"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Paweł Antoni ARNDT";"Robert Kazimierz GAWEŁ";"Michał Aleksander JURGA";"Mirosław PIASECKI"
"e528-7e79-6c4d-5361-d490-3227-a5ad-cc6c";"300301";"92";"11";"miasto";"stały";"Budynek administracyjny Woj. Szpitala dla Nerwowo i Psychicznie Chorych, ul. Poznańska 15, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1249";"1342";"331";"918";"1";"5";"0";"0";"0";"0";"0";"0";"0";"916";"0";"0";"916";"12";"3";"9";"0";"904";"465";"339";"69";"31"
"3ba2-12d6-fba0-6ea3-4729-1ee9-b4a4-5897";"300301";"92";"12";"miasto";"stały";"I Liceum Ogólnokształcące im. B. Chrobrego, Kostrzewskiego 3, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1950";"2130";"522";"1428";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1425";"0";"0";"1425";"20";"2";"18";"0";"1405";"780";"449";"93";"83"
"170b-e348-7c3d-4641-3b59-ccbc-0457-a1b0";"300301";"92";"13";"miasto";"stały";"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1135";"1238";"314";"821";"0";"0";"0";"0";"0";"0";"0";"0";"0";"821";"0";"0";"821";"8";"3";"5";"0";"813";"393";"323";"49";"48"
"8b5f-d3bf-4ad2-11dd-f7b8-49ad-7c1c-b752";"300301";"92";"14";"miasto";"stały";"Przedszkole Nr 2, ul. Wrzesińska 49A, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1135";"1245";"253";"882";"0";"0";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"7";"1";"6";"0";"875";"408";"336";"79";"52"
"55a4-eb49-1958-21e6-553c-7733-93a0-ef25";"300301";"92";"15";"miasto";"stały";"Miejskie Przedsiębiorstwo Komunikacyjne Sp. z o. o., ul. Wesoła 7, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"998";"1108";"309";"689";"0";"1";"0";"0";"0";"0";"0";"0";"0";"688";"0";"0";"688";"6";"6";"0";"0";"682";"365";"225";"63";"29"
"41fa-8616-dc58-92e3-7d95-97cd-f698-3eb3";"300301";"92";"16";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1350";"1460";"406";"944";"6";"5";"0";"0";"0";"0";"0";"0";"0";"944";"0";"4";"940";"8";"4";"4";"0";"932";"476";"326";"70";"60"
"a862-e816-c287-4ad2-8491-e135-c1a1-622d";"300301";"92";"17";"miasto";"stały";"Przedszkole nr 6, ul. Wiosenna 7, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1050";"1129";"441";"609";"0";"0";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"12";"2";"10";"0";"597";"279";"247";"41";"30"
"7c42-554b-af53-e731-9367-7ac0-abf2-bfad";"300301";"92";"18";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1170";"1260";"245";"925";"0";"1";"0";"0";"0";"0";"0";"0";"0";"924";"0";"0";"924";"10";"2";"8";"0";"914";"428";"363";"81";"42"
"dfe8-d493-8488-3a28-f60c-baae-4bfb-ea72";"300301";"92";"19";"miasto";"stały";"Szkoła Podstawowa nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1113";"1215";"303";"810";"3";"8";"0";"0";"0";"0";"0";"0";"0";"806";"0";"0";"806";"8";"3";"5";"0";"798";"439";"270";"50";"39"
"63d2-9f1c-f7c1-f891-f684-37a9-1a62-3a36";"300301";"92";"20";"miasto";"stały";"Szkoła Podstawowa Nr 8, ul. Pawła Cymsa 14, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1160";"1261";"315";"845";"0";"0";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"8";"4";"4";"0";"837";"490";"237";"73";"37"
"0753-03b9-b8ca-17ed-656d-5630-ef9b-3ee2";"300301";"92";"21";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Żwirki i Wigury 22, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"2010";"2187";"563";"1445";"3";"7";"3";"2";"0";"0";"0";"0";"2";"1449";"2";"0";"1449";"24";"4";"20";"0";"1425";"773";"490";"107";"55"
"659e-7e77-ecf0-b8cc-d0e0-1bde-b9d7-ad1f";"300301";"92";"22";"miasto";"stały";"Przedszkole nr 8, Budowlanych 22, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"2050";"2196";"543";"1507";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1507";"0";"0";"1507";"16";"8";"8";"0";"1491";"785";"540";"96";"70"
"dd72-c35f-5325-cf6a-ee2a-3132-a0de-149b";"300301";"92";"23";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Paczkowskiego 13, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1137";"1230";"325";"812";"1";"6";"0";"0";"0";"0";"0";"0";"0";"812";"0";"0";"812";"11";"2";"9";"0";"801";"469";"236";"53";"43"
"9c0d-f98d-9b35-6a23-24b0-0bce-21e7-caf6";"300301";"92";"24";"miasto";"stały";"Gnieźnieńska Spółdzielnia Mieszkaniowa, ul. Budowlanych 2, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1127";"1227";"316";"811";"0";"3";"0";"0";"0";"0";"0";"0";"0";"811";"0";"0";"811";"6";"1";"5";"0";"805";"402";"306";"63";"34"
"2b5a-8a82-d090-1f97-c07e-1bb1-6814-a299";"300301";"92";"25";"miasto";"stały";"Szkoła Podstawowa Nr 9, ul. Staszica 5, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1148";"1238";"339";"809";"5";"4";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"18";"10";"8";"0";"791";"448";"276";"40";"27"
"b68c-72f5-bc78-89b0-9259-bc7e-fcc7-ce3d";"300301";"92";"26";"miasto";"stały";"Szkoła Podstawowa nr 9, ul. Staszica 5, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1077";"1166";"291";"786";"1";"0";"0";"0";"0";"0";"0";"0";"0";"786";"0";"0";"786";"6";"3";"3";"0";"780";"455";"238";"54";"33"
"4428-f105-6578-25ba-89cc-6f3a-853d-e48a";"300301";"92";"27";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych, Cieszkowskiego 17, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"2078";"2248";"486";"1592";"3";"5";"0";"0";"0";"0";"0";"0";"0";"1592";"0";"0";"1592";"23";"10";"13";"0";"1569";"916";"470";"107";"76"
"3e90-0d59-25df-ff40-1931-bf62-d42c-2a5a";"300301";"92";"28";"miasto";"stały";"Siedziba Rady Osiedla Nr IV „Arkuszewo” (kawiarnia Parafii p. w. Bł. Jolenty), Wierzbiczany 4 - 10, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1790";"1934";"422";"1368";"1";"2";"1";"1";"0";"0";"0";"0";"1";"1368";"1";"0";"1368";"19";"7";"12";"0";"1349";"723";"420";"138";"68"
"2ed0-335d-73db-a511-c831-4e84-4c03-a7df";"300301";"92";"29";"miasto";"stały";"Siedziba Rady Osiedla Nr IV „Arkuszewo” (kawiarnia Parafii p. w. Bł. Jolenty), Wierzbiczany 4 - 10, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"670";"734";"159";"511";"0";"1";"0";"0";"0";"0";"0";"0";"0";"511";"0";"0";"511";"6";"3";"3";"0";"505";"287";"148";"48";"22"
"49cf-ab4c-54fd-88ed-0a2a-52c4-5987-56fb";"300301";"92";"30";"miasto";"stały";"Przedszkole Nr 14, Os. Jagiellońskie 33, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"2009";"2160";"523";"1486";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1483";"0";"0";"1483";"27";"10";"17";"0";"1456";"804";"495";"83";"74"
"7fd2-75c6-cea6-ced8-15fb-a1b0-7db9-d9f6";"300301";"92";"31";"miasto";"stały";"Przedszkole Nr 17, Os. Piastowskie 18, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1699";"1844";"414";"1285";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1285";"0";"0";"1285";"12";"1";"11";"0";"1273";"704";"427";"89";"53"
"84c5-8f59-2da8-a2c1-d1f7-fa0b-c2d8-d887";"300301";"92";"32";"miasto";"stały";"Szkoła Podstawowa nr 10, Os. Orła Białego 18, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1710";"1859";"403";"1307";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1307";"0";"0";"1307";"14";"6";"8";"0";"1293";"715";"442";"86";"50"
"54fd-aeb5-4582-5256-c4c0-42a9-ab1c-e5d4";"300301";"92";"33";"miasto";"stały";"Przedszkole Nr 1, Os. Władysława Łokietka 21, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1790";"1921";"465";"1325";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1325";"0";"0";"1325";"12";"9";"3";"0";"1313";"706";"448";"108";"51"
"1c99-9c1c-3974-1518-7657-4720-f02b-3428";"300301";"92";"34";"miasto";"stały";"Szkoła Podstawowa Nr 12, Os. Kazimierza Wielkiego 33, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1150";"1240";"311";"839";"0";"0";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"12";"6";"6";"0";"827";"423";"309";"66";"29"
"aa4c-e3ac-c5cb-493b-c904-77ad-d731-b2d0";"300301";"92";"35";"miasto";"stały";"Szkoła Podstawowa Nr 12, Os. Kazimierza Wielkiego 33, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"1082";"1165";"289";"793";"0";"5";"1";"1";"0";"0";"0";"0";"1";"794";"1";"0";"794";"8";"8";"0";"0";"786";"421";"283";"49";"33"
"05af-c4f6-17c0-bf0e-45b3-d10e-f6f5-9e38";"300301";"92";"36";"miasto";"zakład leczniczy";"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych, Poznańska 15, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"577";"603";"419";"158";"0";"11";"0";"0";"0";"0";"0";"0";"0";"157";"0";"0";"157";"2";"0";"2";"0";"155";"44";"92";"9";"10"
"6cad-a825-916a-76f1-a7c6-664a-ccb5-2ba9";"300301";"92";"37";"miasto";"zakład leczniczy";"Szpital Pomnik Chrztu Polski, św. Jana 9, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"90";"100";"54";"36";"0";"2";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"36";"2";"0";"2";"0";"34";"19";"13";"0";"2"
"0981-4d3c-c6d2-574b-8c60-fa28-9227-7d3a";"300301";"92";"38";"miasto";"zakład leczniczy";"Szpital Pomnik Chrztu Polski, 3 Maja 37 - 39, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"77";"82";"43";"34";"0";"2";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"34";"0";"0";"0";"0";"34";"14";"11";"8";"1"
"74e7-4a16-c394-87d0-ce54-9239-9a90-1468";"300301";"92";"39";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, Wrzesińska 21, 62-200 Gniezno";"m. Gniezno";"gnieźnieński";"wielkopolskie";"67";"69";"24";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"0";"43";"3";"0";"3";"0";"40";"6";"26";"6";"2"
"3cb9-cac6-db6a-b0fc-532d-00b8-e085-ad79";"300302";"92";"1";"miasto";"stały";"Sala Gimnastyczna Szkoły Podstawowej, Plac kpt. Pawła Cymsa 4, 62-250 Czerniejewo";"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";"1959";"2072";"704";"1255";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1255";"0";"0";"1255";"23";"5";"18";"0";"1232";"492";"521";"131";"88"
"a296-5bb5-1e7f-8cf5-a50a-9b57-e5bf-aa33";"300302";"92";"2";"wieś";"stały";"Blok Żywieniowo-Świetlicowy Szkoły Podstawowej, ul. Szkolna 3, 62-250 Czerniejewo";"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";"718";"794";"302";"416";"0";"3";"0";"0";"0";"0";"0";"0";"0";"416";"0";"0";"416";"9";"0";"9";"0";"407";"153";"186";"32";"36"
"85a5-8c43-4d62-34a8-0798-b2cb-ce98-35f0";"300302";"92";"3";"wieś";"stały";"Szkoła Podstawowa, ul. Tadeusza Kościuszki 24, 62-241 Żydowo";"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";"1401";"1518";"429";"972";"0";"1";"0";"0";"0";"0";"0";"0";"0";"972";"0";"0";"972";"18";"3";"15";"0";"954";"408";"415";"72";"59"
"4955-d72b-f93a-d9e2-cfd4-8f7d-841c-cf3b";"300302";"92";"4";"wieś";"stały";"Sala Gimnastyczna Szkoły Podstawowej, ul. Tadeusza Kościuszki 34, 62-241 Żydowo";"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";"1069";"1171";"495";"578";"1";"1";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"6";"0";"6";"0";"572";"166";"328";"44";"34"
"c6f2-0fda-7504-f4a4-5c19-83b5-5572-6575";"300302";"92";"5";"wieś";"zakład karny";"Sala widzeń Zakładu Karnego w Gębarzewie, Gębarzewo, 62-241 Żydowo";"gm. Czerniejewo";"gnieźnieński";"wielkopolskie";"671";"650";"301";"370";"0";"0";"0";"0";"0";"0";"0";"0";"0";"370";"0";"0";"370";"6";"1";"5";"0";"364";"194";"88";"55";"27"
"90c1-5ac2-164f-ad69-4781-9f51-3bfa-b8b8";"300303";"92";"1";"wieś";"stały";"Zespół Szkół w Jankowie Dolnym, Jankowo Dolne 9, 62-200 Gniezno";"gm. Gniezno";"gnieźnieński";"wielkopolskie";"1791";"1970";"495";"1296";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1296";"0";"0";"1296";"5";"0";"5";"0";"1291";"646";"478";"106";"61"
"3015-44a0-1f5e-f0f8-f685-e96f-932b-940c";"300303";"92";"2";"wieś";"stały";"Zespół Szkół im. Ks. Jana Twardowskiego w Szczytnikach Duchownych, Szczytniki Duchowne 27, 62-200 Gniezno";"gm. Gniezno";"gnieźnieński";"wielkopolskie";"1930";"2116";"541";"1389";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1389";"0";"0";"1389";"14";"9";"5";"0";"1375";"703";"456";"128";"88"
"7e5d-2121-34b9-d939-094a-2f9b-b6fb-44dc";"300303";"92";"3";"wieś";"stały";"Świetlica Wiejska, Piekary ul. Poziomkowa 32C, 62-200 Gniezno";"gm. Gniezno";"gnieźnieński";"wielkopolskie";"1550";"1702";"338";"1212";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1212";"0";"0";"1212";"15";"8";"7";"0";"1197";"592";"428";"126";"51"
"54c2-bc4b-9adb-7b55-16af-c70a-210d-c18b";"300303";"92";"4";"wieś";"stały";"Szkoła Podstawowa im. Obrońców Gniezna i Ziemi Gnieźnieńskiej, Goślinowo 14, 62-200 Gniezno";"gm. Gniezno";"gnieźnieński";"wielkopolskie";"1497";"1643";"481";"1015";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"9";"5";"4";"0";"1007";"496";"372";"94";"45"
"0005-d9e6-cd6e-55bd-08be-9581-7bc2-4916";"300303";"92";"5";"wieś";"stały";"Szkoła Podstawowa im. Powstańców Wielkopolskich 1918/19 w Zdziechowie, Zdziechowa 51, 62-200 Gniezno";"gm. Gniezno";"gnieźnieński";"wielkopolskie";"1509";"1660";"586";"923";"0";"2";"0";"0";"0";"0";"0";"0";"0";"923";"0";"0";"923";"10";"2";"8";"0";"913";"363";"421";"67";"62"
"c0b8-7144-8a37-855a-bd83-0ad3-dd5c-95e4";"300304";"92";"1";"wieś";"stały";"Urząd Gminy, Szkolna 2, 62-280 Kiszkowo";"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";"954";"1032";"304";"650";"0";"10";"0";"0";"0";"0";"0";"0";"0";"650";"0";"0";"650";"10";"3";"7";"0";"640";"296";"262";"53";"29"
"10df-1809-2a28-615f-8c2e-407e-c401-c8ff";"300304";"92";"2";"wieś";"stały";"Budynek po Szkole Podstawowej, Rybno Wielkie ul. Główna 14, 62-280 Kiszkowo";"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";"951";"1041";"420";"531";"1";"1";"0";"0";"0";"0";"0";"0";"0";"531";"0";"0";"531";"15";"2";"13";"0";"516";"196";"230";"63";"27"
"b6c5-7a87-cb06-1220-3aea-0d5a-e9f7-cd33";"300304";"92";"3";"wieś";"stały";"Szkoła Podstawowa, Sławno ul. Gnieźnieńska 37, 62-265 Kiszkowo";"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";"1046";"1163";"374";"672";"0";"2";"0";"0";"0";"0";"0";"0";"0";"672";"0";"0";"672";"19";"6";"13";"0";"653";"234";"316";"66";"37"
"b53c-5dc8-6637-d368-96d9-4dfd-21f4-e711";"300304";"92";"4";"wieś";"stały";"Hala Widowiskowo-Sportowa, ul. Polna 33, 62-280 Kiszkowo";"gm. Kiszkowo";"gnieźnieński";"wielkopolskie";"891";"990";"390";"501";"0";"9";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"14";"5";"9";"0";"487";"203";"220";"42";"22"
"6bdb-5b4e-a577-e1cc-ecba-7366-4efd-6f8f";"300305";"92";"1";"miasto";"stały";"Miejsko Gminny Ośrodek Kultury w Kłecku, ul. Gnieźnieńska 8, 62-270 Kłecko";"gm. Kłecko";"gnieźnieński";"wielkopolskie";"1090";"1187";"338";"752";"0";"2";"0";"0";"0";"0";"0";"0";"0";"752";"0";"0";"752";"25";"0";"25";"0";"727";"313";"291";"73";"50"
"2773-815f-cc3d-d013-6c4d-4b27-9404-b847";"300305";"92";"2";"wieś";"stały";"Zespół Szkolno Przedszkolny w Kłecku, ul. Gnieźnieńska 7A, 62-270 Kłecko";"gm. Kłecko";"gnieźnieński";"wielkopolskie";"778";"857";"209";"569";"3";"2";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"11";"3";"8";"0";"558";"240";"238";"51";"29"
"f5d6-f9cd-4bc3-b63d-6ff5-c821-636b-60ce";"300305";"92";"3";"wieś";"stały";"Świetlica wiejska, Wilkowyja 26, 62-270 Kłecko";"gm. Kłecko";"gnieźnieński";"wielkopolskie";"829";"893";"319";"510";"1";"1";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"17";"2";"15";"0";"493";"161";"267";"39";"26"
"4984-b472-b70f-6fde-113f-6615-5b09-20d1";"300305";"92";"4";"wieś";"stały";"Świetlica wiejska, Charbowo 17, 62-270 Kłecko";"gm. Kłecko";"gnieźnieński";"wielkopolskie";"728";"800";"294";"434";"0";"0";"0";"0";"0";"0";"0";"0";"0";"434";"0";"0";"434";"7";"2";"5";"0";"427";"116";"257";"37";"17"
"f6e4-ba23-51c3-ca61-12ac-16b5-efb1-b958";"300305";"92";"5";"miasto";"stały";"Szkoła Podstawowa, Dębnica 3, 62-271 Działyń";"gm. Kłecko";"gnieźnieński";"wielkopolskie";"1042";"1134";"395";"647";"0";"1";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"11";"4";"7";"0";"636";"176";"366";"62";"32"
"7781-56e9-4d1b-7a04-2a1f-2061-f142-d08d";"300305";"92";"6";"miasto";"stały";"Świetlica wiejska, Działyń 18A, 62-271 Działyń";"gm. Kłecko";"gnieźnieński";"wielkopolskie";"851";"930";"306";"545";"2";"0";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"17";"2";"15";"0";"528";"193";"267";"36";"32"
"4d89-f138-c701-9a90-c09d-0e43-9064-fe19";"300306";"92";"1";"wieś";"stały";"Szkoła Podstawowa w Lednogórze, Lednogóra 40A, 62-261 Lednogóra";"gm. Łubowo";"gnieźnieński";"wielkopolskie";"1312";"1462";"395";"917";"1";"5";"0";"0";"0";"0";"0";"0";"0";"917";"0";"0";"917";"19";"3";"16";"0";"898";"467";"303";"69";"59"
