"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Wiktor Michał DURLAK";"Stanisław KOGUT";"Liczba obwodów"
"121007";"gmina miejsko-wiejska";"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";13938;15268;4249;9701;7;1788;0;0;0;0;0;0;0;9694;0;2;9692;1339;596;743;0;8353;4431;3922;18
"121008";"gmina wiejska";"gm. Łabowa";"nowosądecki";"małopolskie";4076;4429;1402;2674;0;30;0;0;0;0;0;0;0;2674;0;0;2674;177;59;118;0;2497;1718;779;5
"121009";"gmina wiejska";"gm. Łącko";"nowosądecki";"małopolskie";11342;12283;3668;7674;4;69;0;0;0;0;0;0;0;7672;0;0;7672;546;178;368;0;7126;5013;2113;12
"121010";"gmina wiejska";"gm. Łososina Dolna";"nowosądecki";"małopolskie";7506;8232;2034;5472;5;57;0;0;0;0;0;0;0;5471;0;0;5471;225;58;167;0;5246;3663;1583;8
"121011";"gmina miejsko-wiejska";"gm. Muszyna";"nowosądecki";"małopolskie";8366;9474;2594;5772;8;404;0;0;0;0;0;0;0;5770;0;0;5770;577;234;343;0;5193;3159;2034;14
"121012";"gmina wiejska";"gm. Nawojowa";"nowosądecki";"małopolskie";5889;6362;1891;3998;6;20;0;0;0;0;0;0;0;3993;0;0;3993;313;132;181;0;3680;2587;1093;8
"121013";"gmina miejsko-wiejska";"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";7555;8506;2709;4846;9;173;0;0;0;0;0;0;0;4844;0;0;4844;382;148;234;0;4462;3071;1391;8
"121014";"gmina wiejska";"gm. Podegrodzie";"nowosądecki";"małopolskie";8898;9762;2495;6402;7;27;0;0;0;0;0;0;0;6400;0;0;6400;398;149;249;0;6002;4161;1841;13
"121015";"gmina wiejska";"gm. Rytro";"nowosądecki";"małopolskie";2641;2910;826;1815;1;23;0;0;0;0;0;0;0;1811;0;0;1811;134;64;70;0;1677;1186;491;2
"121016";"gmina miejsko-wiejska";"gm. Stary Sącz";"nowosądecki";"małopolskie";16652;18162;5080;11572;14;84;0;0;0;0;0;0;0;11565;0;0;11565;1052;420;632;0;10513;7243;3270;15
"126201";"gmina miejska";"m. Nowy Sącz";"Nowy Sącz";"małopolskie";59180;63838;17745;41436;45;250;10;10;0;0;0;0;10;41421;10;0;41421;6518;3193;3325;0;34903;19714;15189;53
