"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bronisław DUTKA";"Jan Wincenty HAMERSKI";"Bogusław WAKSMUNDZKI"
"86d9-2511-298f-f277-bcd0-7263-8f16-52aa";"120707";"36";"14";"wieś";"stały";"Świetlica w Lipowem, Lipowe 264, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"589";"622";"161";"428";"1";"3";"0";"0";"0";"0";"0";"0";"0";"428";"0";"0";"428";"11";"3";"8";"0";"417";"66";"228";"123"
"f939-197a-14cc-4feb-a31b-ba33-3593-3249";"120707";"36";"15";"wieś";"stały";"Szkoła Podstawowa Nr 2 im. Stanisława Konarskiego, Stara Wieś 459, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"1047";"1129";"294";"753";"0";"1";"0";"0";"0";"0";"0";"0";"0";"753";"0";"0";"753";"14";"6";"8";"0";"739";"89";"609";"41"
"ed65-169b-c18f-5c84-a295-dffd-3f58-9fad";"120707";"36";"16";"wieś";"stały";"Budynek wielofunkcyjny, Stare Rybie 11, 34-652 Nowe Rybie";"gm. Limanowa";"limanowski";"małopolskie";"260";"289";"82";"178";"0";"2";"0";"0";"0";"0";"0";"0";"0";"178";"0";"0";"178";"3";"1";"2";"0";"175";"36";"136";"3"
"d59c-403f-991c-8923-2667-0b0e-45d7-285b";"120707";"36";"17";"wieś";"stały";"Szkoła Podstawowa Nr 2 im. Konstytucji 3 Maja, Męcina 504, 34-654 Męcina";"gm. Limanowa";"limanowski";"małopolskie";"698";"743";"234";"464";"0";"3";"0";"0";"0";"0";"0";"0";"0";"464";"0";"0";"464";"18";"1";"17";"0";"446";"85";"342";"19"
"f7f2-f9af-7b47-e331-81a2-3012-408e-852a";"120707";"36";"18";"wieś";"stały";"Szkoła Podstawowa im. Królowej Jadwigi, Wysokie 5, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"493";"531";"171";"322";"0";"0";"0";"0";"0";"0";"0";"0";"0";"322";"0";"0";"322";"7";"1";"6";"0";"315";"62";"237";"16"
"632c-1269-b9d7-6b7c-70be-ab2b-fbf7-3241";"120707";"36";"19";"wieś";"stały";"Świetlica Wiejska, Sowliny 332, 34-600 Limanowa";"gm. Limanowa";"limanowski";"małopolskie";"595";"626";"157";"438";"0";"1";"0";"0";"0";"0";"0";"0";"0";"438";"0";"0";"438";"10";"1";"9";"0";"428";"109";"272";"47"
"f355-6236-66a9-62a8-40ab-a90c-61ac-f6fa";"120708";"36";"1";"wieś";"stały";"Szkoła Podstawowa, Jastrzębie 131, 34-606 Łukowica";"gm. Łukowica";"limanowski";"małopolskie";"837";"895";"318";"519";"0";"0";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"15";"3";"12";"0";"504";"76";"402";"26"
"94b2-a31e-5599-5f77-fbb8-8aa5-a37b-33bf";"120708";"36";"2";"wieś";"stały";"Szkoła Podstawowa, Łukowica 285, 34-606 Łukowica";"gm. Łukowica";"limanowski";"małopolskie";"1638";"1732";"474";"1164";"3";"11";"0";"0";"0";"0";"0";"0";"0";"1164";"0";"0";"1164";"30";"13";"17";"0";"1134";"210";"847";"77"
"2261-e045-a4ec-5a76-4785-1808-ada1-4625";"120708";"36";"3";"wieś";"stały";"Szkoła Podstawowa, Młyńczyska 136, 34-606 Łukowica";"gm. Łukowica";"limanowski";"małopolskie";"704";"748";"266";"438";"0";"6";"0";"0";"0";"0";"0";"0";"0";"438";"0";"0";"438";"14";"1";"13";"0";"424";"68";"318";"38"
"9b3a-2aa1-9679-33c8-9760-c1b4-e640-3531";"120708";"36";"4";"wieś";"stały";"Świetlica Wiejska, Przyszowa 605, 34-604 Przyszowa";"gm. Łukowica";"limanowski";"małopolskie";"1763";"1858";"627";"1136";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1136";"0";"0";"1136";"19";"3";"16";"0";"1117";"260";"804";"53"
"e023-4a01-02e2-87ac-8859-dbac-247d-8a62";"120708";"36";"5";"wieś";"stały";"Szkoła Podstawowa, Świdnik 22, 34-606 Łukowica";"gm. Łukowica";"limanowski";"małopolskie";"744";"795";"224";"520";"0";"0";"0";"0";"0";"0";"0";"0";"0";"520";"0";"0";"520";"12";"2";"10";"0";"508";"128";"359";"21"
"30c4-0910-30bf-5278-c0ba-ddef-3fa5-fc93";"120708";"36";"6";"wieś";"stały";"Szkoła Podstawowa, Stronie 2, 34-604 Przyszowa";"gm. Łukowica";"limanowski";"małopolskie";"758";"817";"176";"582";"2";"6";"0";"0";"0";"0";"0";"0";"0";"582";"0";"0";"582";"18";"5";"13";"0";"564";"149";"388";"27"
"2590-83db-75b5-45a2-d560-4eae-aa8f-0380";"120708";"36";"7";"wieś";"stały";"Szkoła Podstawowa, Roztoka 165, 34-606 Łukowica";"gm. Łukowica";"limanowski";"małopolskie";"585";"613";"216";"369";"0";"1";"0";"0";"0";"0";"0";"0";"0";"369";"0";"0";"369";"5";"0";"5";"0";"364";"68";"276";"20"
"67f8-50e6-7ecd-7f7b-c68b-bb35-fac3-44ed";"120709";"36";"1";"wieś";"stały";"Szkoła Podstawowa, Glisne 70, 34-730 Mszana Dolna";"gm. Mszana Dolna";"limanowski";"małopolskie";"219";"251";"68";"151";"0";"4";"2";"2";"0";"0";"0";"0";"2";"153";"2";"0";"153";"1";"0";"1";"0";"152";"22";"113";"17"
"aef5-0883-f4ad-740c-b079-e9c7-e981-da10";"120709";"36";"2";"wieś";"stały";"Szkoła Podstawowa w Kasinie Wielkiej k/kościoła, Kasina Wielka 761, 34-741 Kasina Wielka";"gm. Mszana Dolna";"limanowski";"małopolskie";"1220";"1341";"412";"808";"0";"4";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"18";"7";"11";"0";"790";"145";"604";"41"
"c1ee-94f9-4dc4-fab6-4fa8-6b90-80a1-f66a";"120709";"36";"3";"wieś";"stały";"Szkoła Podstawowa w Kasinie Wielkiej Przymiarki, Kasina Wielka 762, 34-741 Kasina Wielka";"gm. Mszana Dolna";"limanowski";"małopolskie";"901";"968";"336";"565";"0";"0";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"5";"3";"2";"0";"560";"76";"439";"45"
"b2a1-2e61-67e8-d480-8c4c-aa4a-9891-3044";"120709";"36";"4";"wieś";"stały";"Szkoła Podstawowa Nr 1, Kasinka Mała 513, 34-734 Kasinka Mała";"gm. Mszana Dolna";"limanowski";"małopolskie";"1280";"1376";"335";"945";"3";"11";"0";"0";"0";"0";"0";"0";"0";"945";"0";"0";"945";"17";"3";"14";"0";"928";"178";"679";"71"
"4f60-5d60-adb6-b803-1e89-32fe-3712-83cf";"120709";"36";"5";"wieś";"stały";"Szkoła Podstawowa Nr 2, Kasinka Mała 432, 34-734 Kasinka Mała";"gm. Mszana Dolna";"limanowski";"małopolskie";"1275";"1361";"329";"946";"0";"9";"1";"1";"0";"0";"0";"0";"1";"947";"1";"0";"947";"21";"3";"18";"0";"926";"106";"772";"48"
"0f69-fc5c-7991-9fa6-6c48-5f69-3d40-591f";"120709";"36";"6";"wieś";"stały";"Szkoła Podstawowa Nr 1, Lubomierz 345, 34-736 Lubomierz";"gm. Mszana Dolna";"limanowski";"małopolskie";"1469";"1571";"570";"899";"2";"4";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"14";"2";"12";"0";"885";"97";"741";"47"
"eb5c-61c1-9f66-8053-4ce9-8948-81f9-9b29";"120709";"36";"7";"wieś";"stały";"Remiza OSP, Łętowe 305, 34-733 Mszana Górna";"gm. Mszana Dolna";"limanowski";"małopolskie";"884";"954";"315";"569";"0";"0";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"5";"0";"5";"0";"564";"85";"453";"26"
"7e7f-ad3a-2755-948d-2879-123c-e722-4210";"120709";"36";"8";"wieś";"stały";"Szkoła Podstawowa, Łostówka 245, 34-730 Mszana Dolna";"gm. Mszana Dolna";"limanowski";"małopolskie";"1052";"1103";"523";"529";"1";"0";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"8";"4";"4";"0";"521";"58";"424";"39"
"4226-4362-4e44-5559-658c-e7f4-7161-56c7";"120709";"36";"9";"wieś";"stały";"Dom Wczasowy Agnieszka, Mszana Górna 396, 34-733 Mszana Górna";"gm. Mszana Dolna";"limanowski";"małopolskie";"919";"988";"350";"569";"1";"0";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"11";"2";"9";"0";"558";"103";"419";"36"
"5a99-b12c-bebe-156a-80f6-be86-0b6d-b58d";"120709";"36";"10";"wieś";"stały";"Szkoła Podstawowa Nr 1, Mszana Górna 589, 34-733 Mszana Górna";"gm. Mszana Dolna";"limanowski";"małopolskie";"1049";"1118";"324";"725";"1";"9";"0";"0";"0";"0";"0";"0";"0";"725";"0";"0";"725";"15";"4";"11";"0";"710";"96";"566";"48"
"d922-5078-0755-44ca-52b9-c6e4-683e-861d";"120709";"36";"11";"wieś";"stały";"Zespół Szkoły i Przedszkola, Olszówka 52, 34-730 Mszana Dolna";"gm. Mszana Dolna";"limanowski";"małopolskie";"1153";"1214";"443";"710";"4";"2";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"9";"2";"7";"0";"701";"119";"516";"66"
"f78c-1641-8775-d47e-888b-fa08-8afd-5a18";"120709";"36";"12";"wieś";"stały";"Remiza OSP, Raba Niżna 252, 34-730 Mszana Dolna";"gm. Mszana Dolna";"limanowski";"małopolskie";"847";"903";"337";"510";"1";"3";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"13";"1";"12";"0";"497";"120";"312";"65"
"71ed-d9f1-ef13-122e-55f2-92f6-4a14-279a";"120709";"36";"13";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej ""DIANA"", Kasina Wielka 448, 34-741 Kasina Wielka";"gm. Mszana Dolna";"limanowski";"małopolskie";"45";"43";"2";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"0";"43";"3";"0";"3";"0";"40";"2";"36";"2"
"8d3d-2def-1c21-0d64-be33-879c-faf9-e154";"120709";"36";"14";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Raba Niżna 1, 34-730 Mszana Dolna";"gm. Mszana Dolna";"limanowski";"małopolskie";"29";"38";"1";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"2";"0";"2";"0";"26";"5";"17";"4"
"14d0-da31-6359-43da-c74f-ef63-2645-4a97";"120710";"36";"1";"wieś";"stały";"Zespół Placówek Oświatowych, Konina 211, 34-735 Niedźwiedź";"gm. Niedźwiedź";"limanowski";"małopolskie";"1528";"1517";"748";"780";"2";"2";"0";"0";"0";"0";"0";"0";"0";"780";"0";"0";"780";"19";"9";"10";"0";"761";"76";"643";"42"
"1be6-2147-8f07-31da-c329-fc53-2c93-2cf5";"120710";"36";"2";"wieś";"stały";"Dom Kultury im. Ks. Franciszka Baradzieja, Niedźwiedź 130, 34-735 Niedźwiedź";"gm. Niedźwiedź";"limanowski";"małopolskie";"964";"1053";"436";"528";"0";"7";"0";"0";"0";"0";"0";"0";"0";"528";"0";"0";"528";"10";"1";"9";"0";"518";"121";"341";"56"
"ebd7-28a7-cae0-0f78-2795-b94e-f878-1598";"120710";"36";"3";"wieś";"stały";"Szkoła Podstawowa im. Wł. Orkana, Poręba Wielka 222, 34-735 Niedźwiedź";"gm. Niedźwiedź";"limanowski";"małopolskie";"1755";"1889";"770";"985";"0";"25";"0";"0";"0";"0";"0";"0";"0";"985";"0";"0";"985";"33";"10";"23";"0";"952";"211";"635";"106"
"87ca-2392-871f-b08e-2a12-d31f-fe99-2f5f";"120710";"36";"4";"wieś";"stały";"Zespół Placówek Oświatowych, Podobin 257, 34-735 Niedźwiedź";"gm. Niedźwiedź";"limanowski";"małopolskie";"897";"968";"404";"493";"1";"7";"0";"0";"0";"0";"0";"0";"0";"493";"0";"0";"493";"15";"5";"10";"0";"478";"60";"388";"30"
"dfb7-4ca3-8d3e-b9f7-35e0-17b0-ea1b-59e8";"120711";"36";"1";"wieś";"stały";"Zespół Placówek Oświatowych, Słopnice 732, 34-615 Słopnice";"gm. Słopnice";"limanowski";"małopolskie";"1281";"1369";"449";"832";"0";"6";"0";"0";"0";"0";"0";"0";"0";"832";"0";"0";"832";"19";"6";"13";"0";"813";"106";"634";"73"
"399d-04db-c238-86e8-8fbb-86c2-ec6b-bbc2";"120711";"36";"2";"wieś";"stały";"Szkoła Podstawowa Nr 4, Słopnice 363, 34-615 Słopnice";"gm. Słopnice";"limanowski";"małopolskie";"511";"553";"150";"361";"0";"0";"0";"0";"0";"0";"0";"0";"0";"361";"0";"0";"361";"6";"1";"5";"0";"355";"38";"296";"21"
"ae78-3398-89d6-ced2-ebba-b2fd-dbff-e4d6";"120711";"36";"3";"wieś";"stały";"Zespół Szkoły Podstawowej i Przedszkola, Słopnice 336, 34-615 Słopnice";"gm. Słopnice";"limanowski";"małopolskie";"1053";"1123";"330";"723";"0";"4";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"9";"2";"7";"0";"714";"94";"586";"34"
"c752-cf0f-bb23-1817-4a38-59db-b051-6bb5";"120711";"36";"4";"wieś";"stały";"Szkoła Podstawowa Nr 3, Słopnice 731, 34-615 Słopnice";"gm. Słopnice";"limanowski";"małopolskie";"461";"492";"148";"313";"0";"0";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"7";"2";"5";"0";"306";"40";"247";"19"
"8b12-95d3-1618-3e24-5c9c-7f45-dfea-3155";"120711";"36";"5";"wieś";"stały";"Zespół Placówek Oświatowych, Słopnice 732, 34-615 Słopnice";"gm. Słopnice";"limanowski";"małopolskie";"1247";"1343";"425";"822";"0";"4";"0";"0";"0";"0";"0";"0";"0";"822";"0";"0";"822";"18";"1";"17";"0";"804";"128";"613";"63"
"a952-f220-5fe6-c4a3-cb3a-7ff7-dd3e-4d3e";"120712";"36";"1";"wieś";"stały";"Nowy budynek Pana Marka Dziadonia, Podłopień 68, 34-650 Tymbark";"gm. Tymbark";"limanowski";"małopolskie";"1064";"1130";"292";"772";"1";"2";"0";"0";"0";"0";"0";"0";"0";"772";"0";"0";"772";"15";"1";"14";"0";"757";"117";"616";"24"
"a1d9-bb2e-38f3-3126-03a4-9228-b4a6-8a3b";"120712";"36";"2";"wieś";"stały";"Szkoła Podstawowa (budynek w Rynku), Tymbark 29, 34-650 Tymbark";"gm. Tymbark";"limanowski";"małopolskie";"944";"1011";"276";"668";"1";"5";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"11";"2";"9";"0";"657";"145";"418";"94"
"4bfa-414d-54d6-da94-dde8-fac1-3b78-d1a2";"120712";"36";"3";"wieś";"stały";"Przedszkole Samorządowe, Tymbark 495, 34-650 Tymbark";"gm. Tymbark";"limanowski";"małopolskie";"1164";"1237";"363";"801";"4";"0";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"17";"8";"9";"0";"784";"161";"535";"88"
"6b41-1b92-351a-6a4f-a000-0188-6bff-df7b";"120712";"36";"4";"wieś";"stały";"Szkoła Podstawowa (budynek w Rynku), Tymbark 29, 34-650 Tymbark";"gm. Tymbark";"limanowski";"małopolskie";"927";"998";"256";"671";"1";"0";"0";"0";"0";"0";"0";"0";"0";"671";"0";"0";"671";"19";"4";"15";"0";"652";"84";"521";"47"
"8385-a475-b0ce-32da-06c2-b1df-3bd4-6497";"120712";"36";"5";"wieś";"stały";"Szkoła Podstawowa, Piekiełko 40, 34-650 Tymbark";"gm. Tymbark";"limanowski";"małopolskie";"529";"569";"155";"374";"0";"3";"0";"0";"0";"0";"0";"0";"0";"374";"0";"0";"374";"9";"3";"6";"0";"365";"52";"295";"18"
"18bc-eaa9-c40d-5ced-0ee0-8d44-ea16-11f6";"121101";"36";"1";"miasto";"stały";"Szkoła Podstawowa Nr 4, Osiedle Niwa 4c, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1172";"1255";"413";"759";"0";"3";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"11";"3";"8";"0";"748";"188";"399";"161"
"4d67-29fc-e3de-1467-5740-b830-99dc-3980";"121101";"36";"2";"miasto";"stały";"Szkoła Podstawowa Nr 4, Osiedle Niwa 4c, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"962";"1050";"374";"588";"0";"5";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"6";"0";"6";"0";"582";"115";"358";"109"
"a262-2b96-8ea9-c375-25ad-cbca-4ec4-dadf";"121101";"36";"3";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Kowaniec 125a, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1029";"1137";"443";"586";"0";"12";"0";"0";"0";"0";"0";"0";"0";"586";"0";"0";"586";"19";"5";"14";"0";"567";"110";"330";"127"
"2c02-04c3-93ac-7aff-8c82-6a44-26c0-4f1f";"121101";"36";"4";"miasto";"stały";"Remiza OSP, ul. Kowaniec 92, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"941";"1017";"356";"585";"2";"9";"1";"1";"0";"0";"0";"0";"1";"586";"1";"0";"586";"9";"1";"8";"0";"577";"122";"283";"172"
"b720-85d2-2fa7-b16a-9236-7ddf-8559-9d96";"121101";"36";"5";"miasto";"stały";"Galeria ""Jatki"", ul. Tadeusza Kościuszki 4, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1215";"1311";"398";"817";"0";"7";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"17";"1";"16";"0";"800";"196";"367";"237"
"ee5b-473a-1d28-f080-1299-f40c-b779-b8c8";"121101";"36";"6";"miasto";"stały";"Polski Komitet Pomocy Społecznej, ul. Tadeusza Kościuszki 8, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1402";"1511";"489";"913";"0";"15";"1";"1";"0";"0";"0";"0";"1";"914";"1";"0";"914";"9";"1";"8";"0";"905";"260";"385";"260"
"5cc4-3e15-ed67-0687-27fa-d2cc-a4c2-eb85";"121101";"36";"7";"miasto";"stały";"Stadion Miejski im. Józefa Piłsudskiego, ul. Kolejowa 161, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1344";"1424";"464";"880";"1";"5";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"17";"6";"11";"0";"863";"203";"465";"195"
"fe06-b339-5cc7-73ec-b63d-01da-9457-f19a";"121101";"36";"8";"miasto";"stały";"Szkoła Podstawowa Nr 6, Osiedle Na Skarpie 11, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1050";"1123";"392";"658";"0";"3";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"16";"2";"14";"0";"642";"160";"303";"179"
"4467-aa6d-c4ed-a4ec-f29c-36c8-ecd3-d815";"121101";"36";"9";"miasto";"stały";"Miejski Ośrodek Kultury, al. Tysiąclecia 37, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1320";"1423";"557";"763";"1";"12";"1";"1";"0";"0";"0";"0";"1";"764";"1";"0";"764";"17";"4";"13";"0";"747";"168";"398";"181"
"5a8f-1e11-3806-6dbe-e2e1-979e-a022-7012";"121101";"36";"10";"miasto";"stały";"Szkoła Podstawowa Nr 1, pl. Juliusza Słowackiego 14, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1289";"1408";"392";"897";"1";"15";"1";"1";"0";"0";"0";"0";"1";"898";"1";"0";"898";"21";"3";"18";"0";"877";"240";"387";"250"
"c52f-5f8f-1ebf-85f7-2343-0c2a-5b65-26ff";"121101";"36";"11";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Władysława Orkana 17, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1341";"1449";"451";"890";"1";"7";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"10";"5";"5";"0";"880";"210";"446";"224"
"b9d0-4785-9fff-f75d-0d06-4c0e-223b-528b";"121101";"36";"12";"miasto";"stały";"Miejski Zakład Komunikacji, Osiedle Konfederacji Tatrzańskiej 1a, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1032";"1120";"423";"609";"1";"4";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"9";"0";"9";"0";"600";"137";"288";"175"
"5cc2-ceca-83ad-1c3e-419c-8d55-2488-1318";"121101";"36";"13";"miasto";"stały";"Szkoła Podstawowa Nr 2, al. Mikołaja Kopernika 28, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1049";"1127";"447";"602";"3";"1";"0";"0";"0";"0";"0";"0";"0";"602";"0";"0";"602";"14";"4";"10";"0";"588";"160";"275";"153"
"09de-2f9f-28fa-68fc-0227-5304-d0f6-2751";"121101";"36";"14";"miasto";"stały";"Zespół Szkół Technicznych, ul. Wojska Polskiego 9, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1025";"1102";"423";"602";"1";"6";"0";"0";"0";"0";"0";"0";"0";"602";"0";"0";"602";"9";"2";"7";"0";"593";"160";"298";"135"
"6da3-c708-298e-1bed-5352-d0db-ffa6-29ee";"121101";"36";"15";"miasto";"stały";"Niepubliczne Przedszkole, ul. Wojska Polskiego 26, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1097";"1165";"429";"668";"1";"4";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"15";"2";"13";"0";"653";"169";"297";"187"
"4b9f-2f3a-f0b8-ffeb-0125-c6b4-aed2-2b8a";"121101";"36";"16";"miasto";"stały";"Szkoła Podstawowa Nr 2, al. Mikołaja Kopernika 28, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1053";"1091";"435";"618";"1";"4";"0";"0";"0";"0";"0";"0";"0";"618";"0";"0";"618";"8";"2";"6";"0";"610";"169";"291";"150"
"e3ee-e3bb-ebb9-e1b5-4d05-5e06-d041-e58c";"121101";"36";"17";"miasto";"stały";"Miejska Hala Sportowa ""Gorce"", al. Tysiąclecia 74, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"990";"1050";"349";"641";"0";"8";"0";"0";"0";"0";"0";"0";"0";"641";"0";"0";"641";"11";"2";"9";"0";"630";"177";"282";"171"
"3c2c-804b-111e-9dc1-db89-d7a9-c356-dfdf";"121101";"36";"18";"miasto";"stały";"Pływalnia Miejska, pl. Evry 4, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"774";"816";"260";"514";"0";"0";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"10";"3";"7";"0";"504";"127";"234";"143"
"0efc-c240-e8af-1070-5901-ebd3-777b-1ea9";"121101";"36";"19";"miasto";"stały";"Szkoła Podstawowa Nr 11, pl. Evry 3, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1142";"1218";"407";"735";"0";"0";"0";"0";"0";"0";"0";"0";"0";"735";"0";"0";"735";"11";"4";"7";"0";"724";"198";"181";"345"
"6bf1-74b8-e08d-d449-e49f-fa6d-f2c4-ba26";"121101";"36";"20";"miasto";"stały";"Szkoła Podstawowa Nr 11, pl. Evry 3, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1151";"1203";"468";"683";"0";"0";"0";"0";"0";"0";"0";"0";"0";"683";"0";"0";"683";"14";"3";"11";"0";"669";"173";"351";"145"
"3252-6221-fb25-f3be-d709-e29f-ee78-07db";"121101";"36";"21";"miasto";"stały";"Stacja Opieki przy Parafii Rzymsko-Katolickiej pw. św. Jana Pawła II, ul. Szaflarska 160, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"1396";"1496";"491";"905";"0";"4";"0";"0";"0";"0";"0";"0";"0";"905";"0";"0";"905";"18";"6";"12";"0";"887";"288";"318";"281"
"df59-9602-3162-8777-f164-be32-7ae9-111f";"121101";"36";"22";"miasto";"zakład leczniczy";"Podhalański Szpital Specjalistyczny im. Jana Pawła II, ul. Szpitalna 14, 34-400 Nowy Targ";"m. Nowy Targ";"nowotarski";"małopolskie";"300";"428";"192";"108";"0";"7";"0";"0";"0";"0";"0";"0";"0";"108";"0";"0";"108";"1";"0";"1";"0";"107";"16";"70";"21"
"4822-cc78-95d8-569a-27ec-4827-4894-93da";"121102";"36";"1";"wieś";"stały";"Remiza OSP, Jaworki ul. Czarna Woda 2, 34-460 Szczawnica";"gm. Szczawnica";"nowotarski";"małopolskie";"410";"511";"115";"295";"0";"46";"0";"0";"0";"0";"0";"0";"0";"295";"0";"0";"295";"8";"0";"8";"0";"287";"58";"168";"61"
"0daf-faaf-48b4-11f1-d8b1-93dc-ef3d-baa4";"121102";"36";"2";"wieś";"stały";"Szkoła Podstawowa Nr 3, Szlachtowa ul. Jana Pawła II 25, 34-460 Szczawnica";"gm. Szczawnica";"nowotarski";"małopolskie";"636";"691";"264";"372";"0";"23";"0";"0";"0";"0";"0";"0";"0";"372";"0";"0";"372";"11";"0";"11";"0";"361";"66";"230";"65"
"b96f-8d64-8454-9105-1780-8924-712f-a65e";"121102";"36";"3";"miasto";"stały";"Remiza OSP, ul. Szalaya 84, 34-460 Szczawnica";"gm. Szczawnica";"nowotarski";"małopolskie";"1203";"1376";"464";"739";"2";"95";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"12";"2";"10";"0";"727";"133";"419";"175"
"ea2d-4dd7-6b2c-b75d-46a9-7021-c6d5-2cf0";"121102";"36";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Główna 12, 34-460 Szczawnica";"gm. Szczawnica";"nowotarski";"małopolskie";"809";"1133";"32";"777";"1";"211";"0";"0";"0";"0";"0";"0";"0";"777";"0";"0";"777";"15";"4";"11";"0";"762";"232";"342";"188"
"8f33-2cc7-2b6f-cf8f-6ff7-e5b4-bf0b-1dae";"121102";"36";"5";"miasto";"stały";"Dworek Gościnny, ul. Park Górny 7, 34-460 Szczawnica";"gm. Szczawnica";"nowotarski";"małopolskie";"929";"1207";"194";"735";"2";"191";"1";"1";"0";"0";"0";"0";"1";"736";"1";"0";"736";"14";"1";"13";"0";"722";"187";"367";"168"
