"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zenon Henryk BIAŁOBRZESKI";"Marek Adam KOMOROWSKI";"Janusz WASILEWSKI";"Liczba obwodów"
"200602";"gmina wiejska";"gm. Grabowo";"kolneński";"podlaskie";2557;2800;1162;1395;7;3;2;2;0;0;0;0;2;1397;2;0;1397;24;6;18;0;1373;275;1011;87;5
"200603";"gmina wiejska";"gm. Kolno";"kolneński";"podlaskie";6118;6778;2576;3542;2;21;0;0;0;0;0;0;0;3541;0;0;3541;46;12;34;0;3495;752;2507;236;11
"200604";"gmina wiejska";"gm. Mały Płock";"kolneński";"podlaskie";3556;3927;1631;1925;4;4;0;0;0;0;0;0;0;1925;0;0;1925;41;10;31;0;1884;408;1358;118;4
"200605";"gmina miejsko-wiejska";"gm. Stawiski";"kolneński";"podlaskie";4545;4926;2178;2367;2;6;0;0;0;0;0;0;0;2367;0;0;2367;55;7;48;0;2312;522;1640;150;7
"200606";"gmina wiejska";"gm. Turośl";"kolneński";"podlaskie";3567;3984;1519;2048;1;13;0;0;0;0;0;0;0;2048;0;0;2048;42;6;36;0;2006;496;1356;154;4
"200701";"gmina miejsko-wiejska";"gm. Jedwabne";"łomżyński";"podlaskie";3934;4328;1635;2299;10;7;0;0;0;0;0;0;0;2298;0;0;2298;43;8;35;0;2255;333;1797;125;5
"200702";"gmina wiejska";"gm. Łomża";"łomżyński";"podlaskie";8035;8907;2789;5246;6;35;0;0;0;0;0;0;0;5246;0;0;5246;93;18;75;0;5153;1458;3227;468;13
"200703";"gmina wiejska";"gm. Miastkowo";"łomżyński";"podlaskie";3008;3310;1342;1666;2;10;0;0;0;0;0;0;0;1666;0;0;1666;39;7;32;0;1627;310;1228;89;4
"200704";"gmina miejsko-wiejska";"gm. Nowogród";"łomżyński";"podlaskie";2917;3198;1140;1777;6;8;1;1;0;0;0;0;1;1778;1;0;1778;37;13;24;0;1741;625;993;123;4
"200705";"gmina wiejska";"gm. Piątnica";"łomżyński";"podlaskie";7595;8344;3295;4300;9;18;0;0;0;0;0;0;0;4300;0;0;4300;77;19;58;0;4223;984;2891;348;8
"200706";"gmina wiejska";"gm. Przytuły";"łomżyński";"podlaskie";1548;1727;676;872;2;2;0;0;0;0;0;0;0;872;0;0;872;18;4;14;0;854;94;729;31;4
"200707";"gmina wiejska";"gm. Śniadowo";"łomżyński";"podlaskie";3804;4279;1293;2511;12;9;0;0;0;0;0;0;0;2511;0;0;2511;45;14;31;0;2466;507;1796;163;5
"200708";"gmina wiejska";"gm. Wizna";"łomżyński";"podlaskie";2971;3292;1242;1729;2;17;1;1;0;0;0;0;1;1729;1;0;1729;38;6;32;0;1691;325;1265;101;5
"200709";"gmina wiejska";"gm. Zbójna";"łomżyński";"podlaskie";3063;3438;1376;1687;1;17;0;0;0;0;0;0;0;1687;0;0;1687;27;7;20;0;1660;709;846;105;5
"200801";"gmina miejsko-wiejska";"gm. Goniądz";"moniecki";"podlaskie";3654;3941;1700;1954;4;8;0;0;0;0;0;0;0;1954;0;0;1954;36;8;28;0;1918;529;1204;185;5
"200802";"gmina wiejska";"gm. Jasionówka";"moniecki";"podlaskie";2113;2277;901;1212;6;3;0;0;0;0;0;0;0;1212;0;0;1212;27;12;15;0;1185;288;767;130;2
"200803";"gmina wiejska";"gm. Jaświły";"moniecki";"podlaskie";3811;4075;1913;1898;2;8;0;0;0;0;0;0;0;1898;0;0;1898;31;8;23;0;1867;352;1365;150;4
"200804";"gmina miejsko-wiejska";"gm. Knyszyn";"moniecki";"podlaskie";3557;3889;1635;1922;7;3;0;0;0;0;0;0;0;1922;0;0;1922;38;10;28;0;1884;439;1221;224;3
"200805";"gmina wiejska";"gm. Krypno";"moniecki";"podlaskie";2916;3157;1374;1542;0;3;0;0;0;0;0;0;0;1541;0;0;1541;27;10;17;0;1514;396;979;139;3
"200806";"gmina miejsko-wiejska";"gm. Mońki";"moniecki";"podlaskie";11036;11964;5161;5875;12;36;2;2;0;0;0;0;2;5877;2;0;5877;133;45;88;0;5744;1701;3259;784;12
"200807";"gmina wiejska";"gm. Trzcianne";"moniecki";"podlaskie";3262;3551;1702;1560;1;19;0;0;0;0;0;0;0;1560;0;0;1560;25;5;20;0;1535;243;1199;93;4
"200901";"gmina miejska";"m. Sejny";"sejneński";"podlaskie";3972;4261;1779;2193;13;27;0;0;0;0;0;0;0;2193;0;0;2193;40;8;32;0;2153;912;913;328;4
"200902";"gmina wiejska";"gm. Giby";"sejneński";"podlaskie";2092;2370;904;1188;8;22;0;0;0;0;0;0;0;1188;0;0;1188;28;8;20;0;1160;400;574;186;5
"200903";"gmina wiejska";"gm. Krasnopol";"sejneński";"podlaskie";2865;3050;1426;1439;4;18;0;0;0;0;0;0;0;1439;0;0;1439;37;5;32;0;1402;400;794;208;3
"200904";"gmina wiejska";"gm. Puńsk";"sejneński";"podlaskie";3143;3463;1616;1527;1;12;0;0;0;0;0;0;0;1527;0;0;1527;25;8;17;0;1502;838;500;164;4
"200905";"gmina wiejska";"gm. Sejny";"sejneński";"podlaskie";2992;3250;1478;1514;7;35;0;0;0;0;0;0;0;1514;0;0;1514;37;10;27;0;1477;561;757;159;5
"201201";"gmina wiejska";"gm. Bakałarzewo";"suwalski";"podlaskie";2285;2477;1038;1247;3;10;0;0;0;0;0;0;0;1247;0;0;1247;29;2;27;0;1218;360;648;210;4
"201202";"gmina wiejska";"gm. Filipów";"suwalski";"podlaskie";3191;3499;1481;1710;7;22;0;0;0;0;0;0;0;1710;0;0;1710;42;9;33;0;1668;410;1035;223;3
"201203";"gmina wiejska";"gm. Jeleniewo";"suwalski";"podlaskie";2291;2489;899;1392;1;3;0;0;0;0;0;0;0;1392;0;0;1392;29;6;23;0;1363;371;827;165;3
"201204";"gmina wiejska";"gm. Przerośl";"suwalski";"podlaskie";2153;2393;980;1173;3;10;0;0;0;0;0;0;0;1173;0;0;1173;25;10;15;0;1148;252;772;124;3
"201205";"gmina wiejska";"gm. Raczki";"suwalski";"podlaskie";4258;4627;1754;2504;2;7;0;0;0;0;0;0;0;2504;0;0;2504;45;13;32;0;2459;632;1514;313;7
"201206";"gmina wiejska";"gm. Rutka-Tartak";"suwalski";"podlaskie";1747;1912;744;1003;1;2;0;0;0;0;0;0;0;1003;0;0;1003;11;2;9;0;992;282;587;123;3
"201207";"gmina wiejska";"gm. Suwałki";"suwalski";"podlaskie";5580;6066;2053;3527;5;45;1;1;0;0;0;0;1;3526;1;0;3526;74;27;47;0;3452;1229;1692;531;8
"201208";"gmina wiejska";"gm. Szypliszki";"suwalski";"podlaskie";2903;3210;1339;1564;2;20;0;0;0;0;0;0;0;1564;0;0;1564;19;7;12;0;1545;511;830;204;4
"201209";"gmina wiejska";"gm. Wiżajny";"suwalski";"podlaskie";1770;1901;746;1024;9;6;0;0;0;0;0;0;0;1024;0;0;1024;20;2;18;0;1004;317;597;90;3
"201401";"gmina miejska";"m. Zambrów";"zambrowski";"podlaskie";15924;17073;6797;9127;5;53;1;1;0;0;0;0;1;9128;1;0;9128;198;44;154;0;8930;2680;5284;966;14
"201402";"gmina wiejska";"gm. Kołaki Kościelne";"zambrowski";"podlaskie";1751;1907;533;1218;11;3;0;0;0;0;0;0;0;1218;0;0;1218;15;3;12;0;1203;153;968;82;3
"201403";"gmina wiejska";"gm. Rutki";"zambrowski";"podlaskie";4268;4613;1830;2438;0;7;0;0;0;0;0;0;0;2438;0;0;2438;38;9;29;0;2400;394;1809;197;6
"201404";"gmina wiejska";"gm. Szumowo";"zambrowski";"podlaskie";3485;3880;1298;2187;4;19;0;0;0;0;0;0;0;2187;0;0;2187;22;8;14;0;2165;428;1599;138;10
"201405";"gmina wiejska";"gm. Zambrów";"zambrowski";"podlaskie";7221;7862;2931;4290;6;15;0;0;0;0;0;0;0;4290;0;0;4290;71;20;51;0;4219;917;2952;350;12
"206201";"gmina miejska";"m. Łomża";"Łomża";"podlaskie";43876;46992;16396;27480;30;133;3;3;0;0;0;0;3;27476;3;0;27476;522;155;367;0;26954;9767;14342;2845;32
"206301";"gmina miejska";"m. Suwałki";"Suwałki";"podlaskie";49377;52552;19461;29916;57;202;2;2;0;0;0;0;2;29917;2;2;29915;568;183;385;0;29347;11044;13590;4713;38
