"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Gabriela Anna MORAWSKA-STANECKA";"Czesław Wincenty RYSZKA"
"98a4-2c02-fc0a-2df9-984a-a1a8-8d3c-1ad1";"241401";"75";"12";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Warszawska 294, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"770";"846";"221";"549";"1";"5";"0";"0";"0";"0";"0";"0";"0";"549";"0";"0";"549";"15";"7";"8";"0";"534";"273";"261"
"d3c0-f54f-1a10-3273-b006-04fa-1877-7c7b";"241401";"75";"13";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Warszawska 294, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"847";"947";"198";"649";"1";"1";"0";"0";"0";"0";"0";"0";"0";"649";"0";"0";"649";"21";"0";"21";"0";"628";"236";"392"
"4e29-9097-6946-0a3a-a2c0-91c5-1715-c1a3";"241401";"75";"14";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Warszawska 294, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"694";"785";"189";"505";"0";"1";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"12";"2";"10";"0";"493";"170";"323"
"3724-a3c5-e02e-dd95-5ebb-7a92-6060-0d43";"241401";"75";"15";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Orła Białego w Bieruniu, ul. Warszawska 294, 43-155 Bieruń";"m. Bieruń";"bieruńsko-lędziński";"śląskie";"794";"895";"229";"565";"0";"5";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"16";"5";"11";"0";"549";"221";"328"
"0ad2-ef42-87d1-dd7f-2a9e-daba-52b0-8297";"241402";"75";"1";"miasto";"stały";"Biblioteka Miejska, ul. Imielińska 92/sala nr 1, 41-407 Imielin";"m. Imielin";"bieruńsko-lędziński";"śląskie";"1650";"1815";"426";"1224";"5";"4";"0";"0";"0";"0";"0";"0";"0";"1224";"0";"0";"1224";"29";"9";"20";"0";"1195";"544";"651"
"4ee8-e95c-8524-b29b-e714-5416-54d2-8ab4";"241402";"75";"2";"miasto";"stały";"Biblioteka Miejska, ul. Imielińska 92/sala nr 5, 41-407 Imielin";"m. Imielin";"bieruńsko-lędziński";"śląskie";"1700";"1847";"466";"1234";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1234";"0";"0";"1234";"55";"21";"34";"0";"1179";"575";"604"
"a70e-ba1c-7e30-70b1-2762-4c4a-a623-112e";"241402";"75";"3";"miasto";"stały";"Urząd Miasta Imielin, ul. Imielińska 81/sala nr 11, 41-407 Imielin";"m. Imielin";"bieruńsko-lędziński";"śląskie";"1448";"1613";"379";"1069";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1069";"0";"0";"1069";"35";"12";"23";"0";"1034";"498";"536"
"013e-fa4e-e2a0-395c-8c1f-3b7e-66d8-bfeb";"241402";"75";"4";"miasto";"stały";"Urząd Miasta Imielin, ul. Imielińska 81/sala nr 21, 41-407 Imielin";"m. Imielin";"bieruńsko-lędziński";"śląskie";"1550";"1719";"421";"1129";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1129";"0";"0";"1129";"20";"8";"12";"0";"1109";"447";"662"
"6f6c-df6b-7f2c-9901-7efd-703d-b803-bc78";"241402";"75";"5";"miasto";"dom pomocy społecznej";"Dom opieki dla osób starszych ""Pensjonat MARIE"", ul. Rubinowa 5, 41-407 Imielin";"m. Imielin";"bieruńsko-lędziński";"śląskie";"26";"25";"2";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"1";"0";"1";"0";"23";"14";"9"
"e652-4771-a04b-1cbc-5b01-ee76-1e2d-9f09";"241403";"75";"1";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 2, ul. Hołdunowska 72, Lędziny, ul. Hołdunowska 72, 43-143 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1300";"1443";"483";"817";"0";"4";"0";"0";"0";"0";"0";"0";"0";"816";"0";"0";"816";"21";"8";"13";"0";"795";"326";"469"
"3403-92e7-85fc-83e2-9a9f-7317-14c5-4b3a";"241403";"75";"2";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 2, ul. Hołdunowska 72, Lędziny, ul. Hołdunowska 72, 43-143 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"750";"829";"211";"539";"0";"0";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"14";"7";"7";"0";"525";"236";"289"
"5aac-f9cf-9b14-da97-ca9b-e1af-6ba8-9f1b";"241403";"75";"3";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Hołdunowska 13, Lędziny, ul. Hołdunowska 13, 43-143 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1300";"1461";"386";"914";"0";"0";"0";"0";"0";"0";"0";"0";"0";"913";"0";"0";"913";"16";"6";"10";"0";"897";"293";"604"
"29e5-dc2b-f6f3-b9af-a043-55cd-14c1-0ee5";"241403";"75";"4";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Hołdunowska 13, Lędziny, ul. Hołdunowska 13, 43-143 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1200";"1329";"485";"715";"0";"1";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"27";"6";"21";"0";"686";"234";"452"
"38a4-7c43-823f-5f63-0bd8-6e71-5143-3e1d";"241403";"75";"5";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Hołdunowska 13, Lędziny, ul. Hołdunowska 13, 43-143 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1000";"1098";"387";"613";"0";"1";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"14";"3";"11";"0";"599";"242";"357"
"575b-7a4c-525f-a2a7-47a2-7866-dfe1-12e7";"241403";"75";"6";"miasto";"stały";"Plac Farski, ul. Lędzińska 88, Lędziny, ul. Lędzińska 88, 43-140 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1400";"1559";"413";"987";"2";"0";"0";"0";"0";"0";"0";"0";"0";"986";"0";"0";"986";"30";"12";"18";"0";"956";"339";"617"
"12c0-58e2-4407-71ca-aef7-8067-b8ba-aa63";"241403";"75";"7";"miasto";"stały";"Plac Farski, ul. Lędzińska 88, Lędziny, ul. Lędzińska 88, 43-140 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"949";"1063";"260";"689";"1";"1";"0";"0";"0";"0";"0";"0";"0";"689";"0";"0";"689";"19";"13";"6";"0";"670";"228";"442"
"3c5c-fa3c-e0c0-3ab2-d6a0-143f-f174-7a1f";"241403";"75";"8";"miasto";"stały";"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 1, ul. Paderewskiego 5, Lędziny, ul. Paderewskiego 5, 43-140 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1000";"1077";"251";"749";"0";"1";"0";"0";"0";"0";"0";"0";"0";"749";"0";"0";"749";"22";"7";"15";"0";"727";"285";"442"
"f0b5-55e7-af05-704a-bc8e-2129-a8c4-5ecf";"241403";"75";"9";"miasto";"stały";"Powiatowy Zespół Szkół, ul. Pokoju 4, Lędziny, ul. Pokoju 4, 43-143 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"1450";"1599";"507";"943";"1";"3";"0";"0";"0";"0";"0";"0";"0";"942";"0";"0";"942";"28";"9";"19";"0";"914";"330";"584"
"65c4-d6de-29df-31fe-0c8b-0c70-b35c-3533";"241403";"75";"10";"miasto";"stały";"Lędziny, ul. Lipowa 61, Lędziny, ul. Lipowa 61, 43-144 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"350";"386";"94";"256";"0";"0";"0";"0";"0";"0";"0";"0";"0";"256";"0";"0";"256";"4";"1";"3";"0";"252";"63";"189"
"d132-33c2-50f3-1a50-6717-45ea-532d-0db4";"241403";"75";"11";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Goławiecka 36, Lędziny, ul. Goławiecka 36, 43-144 Lędziny";"m. Lędziny";"bieruńsko-lędziński";"śląskie";"770";"853";"210";"560";"1";"0";"0";"0";"0";"0";"0";"0";"0";"560";"0";"0";"560";"17";"7";"10";"0";"543";"157";"386"
"2d7e-8cff-8369-f0e5-33c1-3fd2-7190-8d70";"241404";"75";"1";"wieś";"stały";"Szkoła Podstawowa im. Wilhelma Gawlikowicza, ul. Świętego Jana 33, 43-220 Bojszowy";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"800";"896";"163";"637";"0";"3";"0";"0";"0";"0";"0";"0";"0";"637";"0";"0";"637";"18";"13";"5";"0";"619";"203";"416"
"ea61-95f4-df29-9525-59d5-b13e-e7d8-083a";"241404";"75";"2";"wieś";"stały";"Szkoła Podstawowa im. Wilhelma Gawlikowicza, ul. Świetęgo Jana 33, 43-220 Bojszowy";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"720";"790";"163";"557";"1";"3";"0";"0";"0";"0";"0";"0";"0";"557";"0";"0";"557";"9";"2";"7";"0";"548";"158";"390"
"acdc-062c-8fca-e67e-d387-bd02-208b-273c";"241404";"75";"3";"wieś";"stały";"Szkoła Podstawowa im. Wilhelma Gawlikowicza, ul. Świętego Jana 33a, 43-220 Bojszowy";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"720";"785";"134";"586";"0";"0";"0";"0";"0";"0";"0";"0";"0";"586";"0";"0";"586";"18";"10";"8";"0";"568";"236";"332"
"aada-c6b2-ad91-a6b4-e702-0c57-3f9e-2cfc";"241404";"75";"4";"wieś";"stały";"Szkoła Podstawowa im. Wilhelma Gawlikowicza, ul. Świętego Jana 33a, 43-220 Bojszowy";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"700";"754";"221";"479";"1";"5";"0";"0";"0";"0";"0";"0";"0";"479";"0";"0";"479";"16";"8";"8";"0";"463";"121";"342"
"fd10-cd7d-1bd8-0d79-2eeb-eb71-5733-b5be";"241404";"75";"5";"wieś";"stały";"Szkoła Podstawowa im. Józefa Kassolika, ul. Żubrów 13, 43-220 Międzyrzecze";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"650";"720";"149";"501";"2";"7";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"11";"2";"9";"0";"490";"163";"327"
"47c6-53cd-30a4-177e-85cc-6ac0-664e-a5de";"241404";"75";"6";"wieś";"stały";"Gminna Szkoła Podstawowa z Oddziałami Integracyjnymi im. ks Jerzego Popiełuszki, ul. Sierpowa 38, 43-220 Świerczyniec";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"400";"388";"122";"278";"0";"2";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"7";"1";"6";"0";"271";"91";"180"
"78a5-e5f9-08ee-1594-e912-dea2-efb5-8334";"241404";"75";"7";"wieś";"stały";"Gminna Szkoła Podstawowa z Oddziałami Integracyjnymi im. ks Jerzego Popiełuszki, ul. Sierpowa 38, 43-220 Świerczyniec";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"600";"667";"127";"473";"0";"0";"0";"0";"0";"0";"0";"0";"0";"473";"0";"0";"473";"8";"4";"4";"0";"465";"117";"348"
"9bdf-10e4-44d4-159b-53e9-b22a-7791-449f";"241404";"75";"8";"wieś";"stały";"Gminna Szkoła Podstawowa z Oddziałami Integracyjnymi im. ks Jerzego Popiełuszki, ul. Sierpowa 38, 43-220 Świerczyniec";"gm. Bojszowy";"bieruńsko-lędziński";"śląskie";"950";"1073";"162";"788";"0";"4";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"17";"3";"14";"0";"771";"360";"411"
"16cf-2e4c-5b9c-90af-9497-60f4-05b4-0d78";"241405";"75";"1";"wieś";"stały";"Szkoła Podstawowa Nr 2, ul. Śląska 12, 41-403 Chełm Śląski";"gm. Chełm Śląski";"bieruńsko-lędziński";"śląskie";"1350";"1498";"350";"1000";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1000";"0";"0";"1000";"32";"8";"24";"0";"968";"403";"565"
"dbfc-4df9-19c0-ec0b-853e-f977-f863-8d2d";"241405";"75";"2";"wieś";"stały";"Szkoła Podstawowa Nr 2, ul. Kolberga 1, 41-403 Chełm Śląski";"gm. Chełm Śląski";"bieruńsko-lędziński";"śląskie";"2100";"2310";"604";"1496";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1496";"0";"0";"1496";"34";"16";"18";"0";"1462";"581";"881"
"d1f4-16c4-9464-6e1c-4f11-32e3-29e2-3f29";"241405";"75";"3";"wieś";"stały";"Szkoła Podstawowa Nr 1, ul. Karłowicza 21, 41-403 Chełm Śląski";"gm. Chełm Śląski";"bieruńsko-lędziński";"śląskie";"951";"1062";"246";"705";"1";"3";"0";"0";"0";"0";"0";"0";"0";"705";"0";"0";"705";"15";"6";"9";"0";"690";"251";"439"
"b707-2fb0-d361-5b2b-14ae-8389-490a-f7dc";"247001";"75";"1";"miasto";"stały";"Szkoła Podstawowa Sportowa, ul. Gwarków 1, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1200";"1322";"532";"668";"2";"3";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"22";"7";"15";"0";"646";"313";"333"
"f76d-4f37-b132-9c65-a543-9cf6-5a27-d301";"247001";"75";"2";"miasto";"stały";"Przedszkole Nr 8, ul. Gwarków 22, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1100";"1229";"443";"657";"1";"6";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"15";"5";"10";"0";"642";"309";"333"
"ca1c-2489-b150-2db3-5e5f-d92a-d580-38cf";"247001";"75";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Piastowska 7, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1351";"1482";"631";"720";"0";"6";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"21";"9";"12";"0";"699";"358";"341"
"29b2-ed5c-48b6-4291-5a6b-067c-73b5-0b4a";"247001";"75";"4";"miasto";"stały";"Mysłowicki Ośrodek Kultury, ul. Grunwaldzka 7, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1100";"1225";"430";"670";"1";"15";"0";"0";"0";"0";"0";"0";"0";"670";"0";"0";"670";"19";"7";"12";"0";"651";"346";"305"
"7963-db9c-c861-2dca-f83e-3592-a246-b948";"247001";"75";"5";"miasto";"stały";"Szkoła Podstawowa Nr 9, ul. Armii Krajowej 30, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1199";"1325";"403";"796";"0";"2";"1";"1";"0";"0";"0";"0";"1";"797";"1";"0";"797";"28";"6";"22";"0";"769";"438";"331"
"8f91-14b5-33a1-5d8a-eca5-74a8-7781-2c9c";"247001";"75";"6";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Mikołowska 3, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1648";"1798";"621";"1027";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1027";"0";"0";"1027";"41";"20";"21";"0";"986";"538";"448"
"60cb-3cf7-be6a-8848-6750-ac6b-665a-8151";"247001";"75";"7";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Adama Mickiewicza 6 - 8, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1549";"1703";"515";"1034";"6";"1";"1";"1";"0";"0";"0";"0";"1";"1034";"1";"0";"1034";"20";"6";"14";"0";"1014";"520";"494"
"1715-f629-32b6-41fd-499d-b4f6-d4d9-f035";"247001";"75";"8";"miasto";"stały";"Szkoła Podstawowa Nr 7 z Oddziałami Dwujęzycznymi, ul. Górnicza 4, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1300";"1392";"634";"666";"2";"1";"0";"0";"0";"0";"0";"0";"0";"666";"0";"0";"666";"22";"9";"13";"0";"644";"302";"342"
"3239-c0f0-27b4-56d1-9097-cd6b-f69b-6c3b";"247001";"75";"9";"miasto";"stały";"Szkoła Podstawowa Nr 7 z Oddziałami Dwujęzycznymi, ul. Górnicza 4, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"800";"894";"353";"447";"0";"0";"0";"0";"0";"0";"0";"0";"0";"447";"0";"0";"447";"10";"2";"8";"0";"437";"219";"218"
"1ca5-abab-b72c-b896-504f-6301-ac93-bc3e";"247001";"75";"10";"miasto";"stały";"Przedszkole Nr 9, ul. Różyckiego 10J, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1500";"1664";"403";"1097";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1098";"1";"0";"1098";"29";"12";"17";"0";"1069";"548";"521"
"d220-af95-af70-9af9-5ee5-02a0-73a7-ba10";"247001";"75";"11";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Mikołowska 44, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1250";"1381";"268";"982";"1";"4";"0";"0";"0";"0";"0";"0";"0";"981";"0";"0";"981";"27";"7";"20";"0";"954";"562";"392"
"3a6b-3fa7-0887-8b2c-293e-ad43-2474-a805";"247001";"75";"12";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Mikołowska 44, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1650";"1803";"367";"1283";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1283";"0";"0";"1283";"36";"11";"25";"0";"1247";"760";"487"
"45af-54c1-e40b-e041-dd4d-36cf-b9dd-3101";"247001";"75";"13";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. 1000 - lecia Państwa Polskiego 6, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"2100";"2315";"549";"1551";"3";"14";"0";"0";"0";"0";"0";"0";"0";"1548";"0";"0";"1548";"34";"14";"20";"0";"1514";"960";"554"
"ca7d-d0c1-b8e8-6773-deca-4403-516d-96d7";"247001";"75";"14";"miasto";"stały";"Szkoła Podstawowa Nr 4 z Oddziałami Dwujęzycznymi, ul. Wielka Skotnica 84a, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1699";"1885";"446";"1253";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1253";"0";"0";"1253";"46";"10";"36";"0";"1207";"624";"583"
"a7f2-9901-3141-5f63-53bb-51fc-83d8-a4dc";"247001";"75";"15";"miasto";"stały";"Szkoła Podstawowa Nr 4 z Oddziałami Dwujęzycznymi, ul. Wielka Skotnica 84a, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1550";"1687";"373";"1176";"0";"1";"1";"1";"0";"1";"0";"0";"0";"1177";"0";"2";"1175";"31";"10";"21";"0";"1144";"671";"473"
"c54c-0172-ad1b-9a4e-f8bd-f0ea-2080-ba66";"247001";"75";"16";"miasto";"stały";"Przedszkole Nr 20, ul. Gabrieli Zapolskiej 1, 41-400 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"849";"919";"131";"718";"1";"7";"0";"0";"0";"0";"0";"0";"0";"718";"0";"0";"718";"14";"7";"7";"0";"704";"467";"237"
"300a-49ba-6315-a85c-8440-a94e-d7a3-e1e4";"247001";"75";"17";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Wielka Skotnica 2, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1200";"1307";"360";"840";"2";"6";"0";"0";"0";"0";"0";"0";"0";"840";"0";"1";"839";"21";"4";"17";"0";"818";"423";"395"
"cd04-81d4-19dc-e12f-0a85-d09c-7106-862a";"247001";"75";"18";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Wielka Skotnica 2, 41-406 Mysłowice";"m. Mysłowice";"Mysłowice";"śląskie";"1449";"1565";"412";"1037";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1037";"0";"0";"1037";"30";"8";"22";"0";"1007";"564";"443"
