"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Cezary Stanisław GRABARCZYK - nr na liście 1";"Magdalena Sylwia SPÓLNICKA - nr na liście 2";"Dorota RUTKOWSKA - nr na liście 3";"Barbara Ewa KLATKA - nr na liście 4";"Jacek Marian SOKALSKI - nr na liście 5";"Arkadiusz Paweł ROŻNIATOWSKI - nr na liście 6";"Robert TELUS - nr na liście 7";"Elżbieta Ewa KUBA - nr na liście 8";"Roman Stanisław JANIEC - nr na liście 9";"Andrzej Jerzy SENEJKO - nr na liście 10";"Anna Renata LISTWOŃ - nr na liście 11";"Roman Piotr SIEDLECKI - nr na liście 12";"Kuba BILSKI - nr na liście 13";"Piotr Sebastian TOKARSKI - nr na liście 14";"Sylwia WOLIŃSKA - nr na liście 15";"Jan Wojciech KOWALCZYK - nr na liście 16";"Ewa Justyna PONIATOWSKA - nr na liście 17";"Marlena Irena WĘŻYK-GŁOWACKA - nr na liście 18";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Patryk Piotr MARJAN - nr na liście 1";"Jacek Krzysztof RAK - nr na liście 2";"Andrzej FĄK - nr na liście 3";"Piotr Bogusław ZABORNY - nr na liście 4";"Alicja Anna HEINZEL - nr na liście 5";"Paweł WYCHOWAŁEK - nr na liście 6";"Bernadeta Edyta FLORCZYK - nr na liście 7";"Marcin BUDKIEWICZ - nr na liście 8";"Wiesława Agata MADEJSKA - nr na liście 9";"Adrian SĘK - nr na liście 10";"Anna Maria CHMIELARSKA - nr na liście 11";"Kamil Mariusz SYPKA - nr na liście 12";"Katarzyna Ewa KLESKA - nr na liście 13";"Ewa Barbara LISZEWSKA - nr na liście 14";"Mirosław Marian KOSTRZEWA - nr na liście 15";"Jadwiga GAJDA - nr na liście 16";"Krzysztof Adam GRABOWSKI - nr na liście 17";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Dariusz KLIMCZAK - nr na liście 1";"Tomasz ŁUCZKOWSKI - nr na liście 2";"Teresa Małgorzata JĘDRASZEK - nr na liście 3";"Elżbieta Teresa OŚCIK - nr na liście 4";"Henryk MAJEWSKI - nr na liście 5";"Bogdan KĄCKI - nr na liście 6";"Krystyna CZECHOWSKA - nr na liście 7";"Agnieszka Teresa FIRST - nr na liście 8";"Zbigniew Stanisław WYSZOGRODZKI - nr na liście 9";"Bożena Maria GRAŁEK - nr na liście 10";"Alicja Bogusława GÓRSKA - nr na liście 11";"Grażyna Marianna OLSZEWSKA - nr na liście 12";"Jacek Bogdan WALCZYK - nr na liście 13";"Stanisław ŁOŚ - nr na liście 14";"Barbara Danuta ROBAK - nr na liście 15";"Damian Piotr PAZUREK - nr na liście 16";"Ewelina SKORUPA - nr na liście 17";"Marek Marian MAZUR - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Antoni MACIEREWICZ - nr na liście 1";"Grzegorz Michał WOJCIECHOWSKI - nr na liście 2";"Robert TELUS - nr na liście 3";"Anna Maria MILCZANOWSKA - nr na liście 4";"Beata Zofia DRÓŻDŻ - nr na liście 5";"Grzegorz Andrzej LOREK - nr na liście 6";"Dariusz Jan KUBIAK - nr na liście 7";"Ewa Beata WENDROWSKA - nr na liście 8";"Krzysztof MACIEJEWSKI - nr na liście 9";"Małgorzata Monika JANOWSKA - nr na liście 10";"Beata Ewa OZGA-FLEJSZER - nr na liście 11";"Waldemar WYCZACHOWSKI - nr na liście 12";"Martyna Olga WOJCIECHOWSKA - nr na liście 13";"Paweł SAŁEK - nr na liście 14";"Agnieszka Katarzyna WYSOCKA - nr na liście 15";"Dariusz Adam MISZTAL - nr na liście 16";"Zbigniew Jan ZIEMBA - nr na liście 17";"Krzysztof Jan CIECIÓRA - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Anita Katarzyna SOWIŃSKA - nr na liście 1";"Artur Zygmunt OSTROWSKI - nr na liście 2";"Marta PANAK - nr na liście 3";"Tadeusz ROZPARA - nr na liście 4";"Małgorzata Alicja PTAK - nr na liście 5";"Małgorzata Dorota WAŁACH - nr na liście 6";"Andrzej Krzysztof PAWELCZYK - nr na liście 7";"Julia Anna KLEMBA - nr na liście 8";"Tomasz LEWANDOWSKI - nr na liście 9";"Paweł ZIĘBA - nr na liście 10";"Agnieszka BIENIAS - nr na liście 11";"Paweł ROCHMIŃSKI - nr na liście 12";"Joanna Ewa MANDAT - nr na liście 13";"Mariusz Łukasz PODPORA - nr na liście 14";"Monika Zofia SULKA - nr na liście 15";"Elżbieta Małgorzata ŻURAW - nr na liście 16";"Marek Jerzy JABŁOŃSKI - nr na liście 17";"Mariusz Krzysztof KOWALCZYK - nr na liście 18";"Liczba obwodów"
"100704";"gmina miejsko-wiejska";"gm. Opoczno";"opoczyński";"łódzkie";24632;26820;7066;17565;35;61;4;3;0;0;0;0;3;17569;3;2;17567;199;138;61;0;17368;1369;741;56;113;162;9;1;171;11;2;8;5;6;15;8;7;5;6;43;804;392;37;37;15;25;27;15;19;14;47;11;10;6;10;62;22;55;4338;192;3944;20;5;5;8;8;7;3;11;1;4;10;7;7;57;16;33;9763;906;885;6674;169;150;81;48;159;26;102;66;11;83;210;38;12;48;95;1094;489;319;49;18;31;14;11;9;27;34;7;0;15;18;7;12;11;23;26
"100705";"gmina wiejska";"gm. Paradyż";"opoczyński";"łódzkie";3131;3456;784;2347;0;11;0;0;0;0;0;0;0;2347;0;0;2347;56;31;25;0;2291;132;40;6;4;4;5;0;55;0;1;1;0;0;0;0;3;0;0;13;115;56;14;4;1;8;10;2;1;1;4;1;1;1;0;6;2;3;213;113;73;4;3;6;2;2;1;1;1;2;0;0;2;0;0;0;3;1744;140;127;1318;20;14;31;2;7;2;49;4;0;4;12;3;1;1;9;87;34;24;4;3;2;0;1;3;3;2;0;0;0;2;1;4;0;4;4
"100706";"gmina wiejska";"gm. Poświętne";"opoczyński";"łódzkie";2399;2643;673;1726;5;19;0;0;0;0;0;0;0;1726;0;1;1725;15;9;6;0;1710;80;37;2;7;11;1;0;17;1;0;0;0;0;1;3;0;0;0;0;73;34;6;3;2;3;0;3;3;1;8;0;0;1;1;3;2;3;247;112;100;1;1;5;7;1;0;1;0;1;0;0;2;0;4;5;7;1240;115;129;841;10;12;3;3;8;2;5;72;2;5;14;3;1;8;7;70;25;25;3;1;2;0;2;1;2;1;3;0;2;1;0;0;0;2;4
"100707";"gmina wiejska";"gm. Sławno";"opoczyński";"łódzkie";5376;5945;1736;3640;2;15;0;0;0;0;0;0;0;3639;0;0;3639;51;29;22;0;3588;154;61;10;7;21;4;0;36;0;1;1;0;1;1;2;2;1;1;5;179;84;16;7;3;6;2;2;7;3;17;2;5;4;3;6;4;8;553;161;318;5;1;1;1;8;0;1;19;4;3;1;5;2;11;2;10;2595;220;345;1740;30;19;19;8;45;9;30;22;2;25;41;7;4;4;25;107;41;22;5;3;2;6;0;3;5;8;1;1;2;5;0;0;2;1;8
"100708";"gmina wiejska";"gm. Żarnów";"opoczyński";"łódzkie";4506;4942;1570;2936;8;31;0;0;0;0;0;0;0;2936;0;0;2936;42;28;14;0;2894;218;105;12;11;10;4;0;54;1;0;0;0;0;1;3;0;1;3;13;174;105;9;5;2;2;13;8;3;4;2;2;2;0;6;5;2;4;285;89;135;9;7;4;4;1;2;1;2;2;2;1;3;6;6;8;3;1995;171;117;1526;20;20;13;4;9;4;27;49;2;11;8;3;0;6;5;222;89;87;5;3;7;1;0;2;6;2;4;0;3;2;2;1;1;7;9
"101001";"gmina wiejska";"gm. Aleksandrów";"piotrkowski";"łódzkie";3367;3727;1138;2229;5;32;0;0;0;0;0;0;0;2229;0;2;2227;26;17;9;0;2201;142;65;6;5;2;14;0;10;0;0;1;1;0;0;2;0;1;3;32;99;59;4;4;4;1;3;4;0;1;2;4;1;1;1;3;2;5;278;220;9;2;12;3;0;5;1;0;0;2;0;0;0;3;0;5;16;1515;286;151;471;18;107;283;15;3;11;29;2;3;5;12;8;4;92;15;167;43;87;6;3;4;4;3;0;2;2;2;0;1;3;2;0;3;2;5
"101002";"gmina wiejska";"gm. Czarnocin";"piotrkowski";"łódzkie";2945;3275;896;2049;1;8;0;0;0;0;0;0;0;2049;0;0;2049;16;9;7;0;2033;172;96;16;6;7;5;2;7;2;6;1;2;2;0;3;7;2;2;6;178;89;5;1;4;9;9;14;5;2;8;9;3;6;6;0;1;7;214;107;9;5;36;4;2;6;3;0;1;2;1;0;7;6;2;6;17;1301;329;188;203;30;161;92;12;17;24;33;5;1;53;11;11;36;50;45;168;60;57;8;1;15;1;0;0;1;4;3;0;4;3;2;1;4;4;4
"101003";"gmina wiejska";"gm. Gorzkowice";"piotrkowski";"łódzkie";6233;6822;2101;4132;8;14;0;0;0;0;0;0;0;4132;0;0;4132;74;54;20;0;4058;279;110;43;7;1;15;2;5;5;13;0;8;0;5;4;1;2;4;54;243;143;13;8;5;12;6;4;2;5;8;2;2;4;2;3;7;17;433;79;10;10;10;5;4;8;2;0;5;3;3;3;4;2;3;267;15;2721;627;261;65;292;264;618;25;12;80;174;13;6;16;10;14;14;161;69;382;64;257;6;3;10;4;0;1;5;11;5;1;1;1;4;1;2;6;9
"101004";"gmina wiejska";"gm. Grabica";"piotrkowski";"łódzkie";4316;4764;1494;2822;3;12;2;2;0;0;0;0;2;2824;2;0;2824;27;21;6;0;2797;217;88;7;10;2;27;1;4;3;2;1;0;2;2;0;2;2;0;64;158;73;7;0;2;15;21;4;2;4;2;0;3;2;0;4;9;10;331;162;6;13;23;3;1;31;4;1;2;3;3;6;6;4;1;23;39;1919;390;298;176;56;191;531;30;13;28;45;1;5;17;5;11;11;64;47;172;29;90;7;9;9;2;2;2;2;3;2;0;3;1;4;2;0;5;5
"101005";"gmina wiejska";"gm. Łęki Szlacheckie";"piotrkowski";"łódzkie";2583;2889;1041;1542;0;17;0;0;0;0;0;0;0;1542;0;1;1541;15;10;5;0;1526;129;42;16;6;1;24;1;2;2;6;0;0;1;1;0;1;0;0;26;75;50;3;1;1;4;0;2;2;0;2;4;0;3;0;0;0;3;128;51;5;3;15;3;0;1;2;1;1;2;0;0;2;1;0;14;27;1088;255;85;29;66;109;314;19;5;14;59;2;2;11;10;1;2;32;73;106;22;58;7;2;2;3;2;1;1;1;0;0;1;1;1;0;2;2;4
"101006";"gmina wiejska";"gm. Moszczenica";"piotrkowski";"łódzkie";9339;10143;3091;6248;10;22;1;1;0;0;0;0;1;6247;1;0;6247;68;47;21;0;6179;615;284;25;20;7;73;4;17;4;2;1;3;1;11;7;5;4;6;141;504;209;22;15;15;83;47;14;14;6;12;5;5;15;2;6;11;23;617;286;18;16;111;11;2;20;2;1;4;8;5;2;9;15;1;12;94;3865;906;347;428;139;319;1121;48;46;41;126;18;7;53;56;22;30;75;83;578;135;309;24;6;11;10;3;6;15;12;5;6;4;3;5;4;7;13;9
"101007";"gmina wiejska";"gm. Ręczno";"piotrkowski";"łódzkie";2664;3011;949;1715;4;16;0;0;0;0;0;0;0;1714;0;0;1714;34;20;14;0;1680;115;68;9;5;0;16;1;1;0;4;0;0;0;2;2;0;0;1;6;87;48;1;7;1;4;3;2;1;5;1;3;2;1;0;1;3;4;204;66;5;6;29;2;2;3;0;1;0;3;3;0;2;0;0;5;77;1123;257;112;103;94;58;138;15;7;7;28;20;2;27;64;3;3;19;166;151;41;68;3;0;2;1;1;2;9;9;4;1;3;0;2;0;1;4;4
"101008";"gmina wiejska";"gm. Rozprza";"piotrkowski";"łódzkie";8693;9527;3104;5589;5;22;0;0;0;0;0;0;0;5588;0;0;5588;69;48;21;0;5519;552;165;52;11;7;86;4;3;4;0;0;93;2;2;5;6;3;2;107;296;143;14;7;4;16;14;15;18;5;19;5;0;7;1;3;9;16;504;229;17;13;64;9;5;19;7;3;3;10;2;3;3;6;2;54;55;3715;870;295;177;151;470;661;42;12;78;133;25;6;35;14;20;33;635;58;452;109;250;10;12;8;1;5;3;4;18;3;0;5;2;7;6;1;8;10
"101009";"gmina miejsko-wiejska";"gm. Sulejów";"piotrkowski";"łódzkie";11838;12927;3917;7921;8;49;0;0;0;0;0;0;0;7921;0;0;7921;110;74;36;0;7811;1069;490;65;18;12;180;1;30;4;1;5;5;1;10;6;3;5;6;227;507;254;21;16;15;46;38;8;18;3;19;5;2;13;5;2;13;29;646;312;28;25;36;4;3;59;2;4;6;7;11;3;12;4;12;6;112;4586;999;381;559;112;226;1851;44;26;28;94;22;11;39;21;28;9;71;65;1003;286;568;20;6;12;11;5;14;13;20;5;1;5;6;6;4;2;19;12
"101010";"gmina wiejska";"gm. Wola Krzysztoporska";"piotrkowski";"łódzkie";8492;9263;2776;5716;0;10;0;0;0;0;0;0;0;5715;0;0;5715;71;52;19;0;5644;414;168;34;18;14;50;5;9;4;0;1;5;1;1;2;5;0;2;95;342;217;14;5;6;16;17;5;11;6;9;4;3;3;3;0;8;15;394;176;14;11;37;5;5;29;7;2;4;2;5;6;8;10;3;17;53;4067;875;363;173;127;257;502;46;20;24;144;3;6;18;17;19;12;1402;59;427;91;259;5;8;3;2;4;6;10;11;8;2;5;3;0;1;1;8;8
"101011";"gmina miejsko-wiejska";"gm. Wolbórz";"piotrkowski";"łódzkie";5733;6331;1558;4175;4;42;0;0;0;0;0;0;0;4175;0;0;4175;51;24;27;0;4124;476;249;24;21;41;37;6;14;0;1;4;7;0;6;8;0;3;4;51;347;211;7;12;8;15;19;10;15;2;20;2;1;4;5;0;10;6;631;89;18;8;455;1;1;6;1;1;6;6;2;5;3;6;1;4;18;2310;533;256;378;59;294;431;29;52;11;38;11;1;63;45;15;9;60;25;360;128;162;11;3;7;7;0;5;4;6;2;0;7;3;3;4;2;6;8
