"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Wojciech Jan KONIECZNY";"Krzysztof Łukasz ŚWIERCZYŃSKI";"Artur Ryszard WARZOCHA"
"3be5-6300-217b-6b87-f8af-389a-7738-b92e";"246401";"69";"31";"miasto";"stały";"Szkoła Podstawowa nr 42, Aleja Armii Krajowej 68a, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1019";"1105";"343";"676";"1";"2";"0";"0";"0";"0";"0";"0";"0";"676";"0";"0";"676";"7";"4";"3";"0";"669";"286";"92";"291"
"e388-a4ba-6377-53ee-085d-3961-c9af-5dca";"246401";"69";"32";"miasto";"stały";"Szkoła Podstawowa nr 42, Aleja Armii Krajowej 68a, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"860";"934";"261";"599";"1";"2";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"599";"5";"0";"5";"0";"594";"235";"87";"272"
"89cc-e4b4-efbf-ba63-5706-7b60-6235-7112";"246401";"69";"33";"miasto";"stały";"Szkoła Podstawowa nr 42, Aleja Armii Krajowej 68a, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1179";"1277";"344";"835";"0";"2";"0";"0";"0";"0";"0";"0";"0";"835";"0";"0";"835";"15";"3";"12";"0";"820";"339";"137";"344"
"2641-9423-d7de-9f00-ce4a-e73d-c3d6-2c38";"246401";"69";"34";"miasto";"stały";"Klub Uczelniany AZS Politechniki Częstochowskiej, Aleja Armii Krajowej 66b, 42-215 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1189";"1309";"283";"906";"1";"4";"0";"0";"0";"0";"0";"0";"0";"906";"0";"0";"906";"6";"1";"5";"0";"900";"397";"129";"374"
"7b27-891c-e938-2527-7b05-34c9-df4f-cff7";"246401";"69";"35";"miasto";"stały";"II LO im. R. Traugutta, ul. Kilińskiego 62, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"549";"610";"133";"416";"1";"4";"0";"0";"0";"0";"0";"0";"0";"416";"0";"0";"416";"5";"2";"3";"0";"411";"176";"73";"162"
"a888-d243-6f1b-1fa7-041e-4b36-02be-aace";"246401";"69";"36";"miasto";"stały";"Szkoła Podstawowa nr 41, ul. Okólna 31/39, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1582";"1686";"346";"1236";"3";"11";"1";"1";"0";"0";"0";"0";"1";"1234";"1";"0";"1234";"10";"4";"6";"0";"1224";"568";"206";"450"
"06fa-1e11-5ed2-a14b-d8db-2f91-44b5-9c23";"246401";"69";"37";"miasto";"stały";"Szkoła Podstawowa nr 41, ul. Okólna 31/39, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1519";"1647";"297";"1222";"4";"6";"0";"0";"0";"0";"0";"0";"0";"1222";"0";"0";"1222";"6";"0";"6";"0";"1216";"732";"156";"328"
"9296-082e-542d-9f91-fcde-640c-03fa-acb1";"246401";"69";"38";"miasto";"stały";"Miejskie Przedszkole nr 12, ul. Broniewskiego 18, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1409";"1544";"411";"998";"3";"9";"0";"0";"0";"0";"0";"0";"0";"998";"0";"0";"998";"12";"0";"12";"0";"986";"431";"144";"411"
"aade-072e-f91a-09be-9fb6-0fe9-08cb-b89e";"246401";"69";"39";"miasto";"stały";"Miejskie Przedszkole nr 42, ul. Polskiego Czerwonego Krzyża 16, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1550";"1665";"369";"1178";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1180";"0";"0";"1180";"13";"7";"6";"0";"1167";"527";"190";"450"
"4dda-bf72-3ba7-9392-396d-55a6-e860-0cbe";"246401";"69";"40";"miasto";"stały";"Szkoła Podstawowa nr 31, ul. Polskiego Czerwonego Krzyża 18, 42-218 Częstochowa";"m. Częstochowa";"Częstochowa";"śląskie";"1719";"1890";"355";"1364";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1364";"0";"0";"1364";"24";"5";"19";"0";"1340";"567";"223";"550"
