"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jerzy Witold JACHNIK";"Tadeusz Wiktor KOPEĆ";"Hubert Zbigniew MAŚLANKA"
"0cf4-b248-2a00-6ee4-0831-dc9e-2801-fa6a";"240302";"79";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, Ustroń, Polana ul. Polańska 25, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1051";"1172";"370";"681";"2";"48";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"9";"1";"8";"0";"672";"63";"197";"412"
"5bb4-e395-62fa-4e88-9754-caf4-3ff2-48ee";"240302";"79";"2";"miasto";"stały";"Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo, Ustroń, Poniwiec ul. 3 Maja 108, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"706";"745";"251";"455";"0";"14";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"5";"1";"4";"0";"450";"43";"89";"318"
"687a-8d79-3f89-cee3-df2d-81e1-a340-8d3e";"240302";"79";"3";"miasto";"stały";"Przedszkole Nr 7, ul. K. I. Gałczyńskiego 16, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1867";"1990";"586";"1281";"8";"18";"2";"2";"0";"0";"0";"0";"2";"1283";"2";"0";"1283";"28";"6";"22";"0";"1255";"109";"409";"737"
"6846-61a6-fbd6-961e-2fda-921e-249d-607c";"240302";"79";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Partyzantów 2, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1363";"1435";"378";"985";"6";"198";"0";"0";"0";"0";"0";"0";"0";"984";"0";"0";"984";"11";"4";"7";"0";"973";"77";"315";"581"
"a368-fc2c-bc93-6e21-1e12-53bc-753c-12a2";"240302";"79";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Ignacego Daszyńskiego 31, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1909";"2091";"562";"1347";"4";"86";"0";"0";"0";"0";"0";"0";"0";"1347";"0";"0";"1347";"29";"9";"20";"0";"1318";"138";"385";"795"
"9d2d-313e-ac6c-9d22-f945-372a-870d-2684";"240302";"79";"6";"miasto";"stały";"Przedszkole Nr 4, Ustroń, Hermanice ul. Wiśniowa 13, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1954";"2105";"622";"1332";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1332";"0";"0";"1332";"27";"12";"15";"0";"1305";"154";"392";"759"
"baa0-1d11-6ef2-d3f3-27c9-2ab7-6cf4-b96d";"240302";"79";"7";"miasto";"stały";"Szkoła Podstawowa nr 5, Ustroń, Lipowiec ul. Szkolna 1, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1158";"1254";"389";"769";"0";"10";"0";"0";"0";"0";"0";"0";"0";"769";"0";"0";"769";"13";"5";"8";"0";"756";"90";"342";"324"
"3356-df29-d6b4-81ae-d527-7b99-d271-3731";"240302";"79";"8";"miasto";"stały";"Szkoła Podstawowa Nr 6, Ustroń, Nierodzim ul. Józefa Kreta 19, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1152";"1212";"413";"739";"0";"0";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"14";"1";"13";"0";"725";"111";"251";"363"
"3ec6-732d-a263-1c7d-548e-3acc-ccaf-2cab";"240302";"79";"9";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Ignacego Daszyńskiego 31, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1100";"1299";"184";"916";"0";"206";"0";"0";"0";"0";"0";"0";"0";"916";"0";"0";"916";"7";"2";"5";"0";"909";"70";"352";"487"
"0b93-20e0-cc9c-f3bc-3b98-169d-b79a-579e";"240302";"79";"10";"miasto";"zakład leczniczy";"Przedsiębiorstwo Uzdrowiskowe ""Ustroń"" S. A., ul. Sanatoryjna 7, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1446";"1322";"491";"955";"0";"414";"0";"0";"0";"0";"0";"0";"0";"955";"0";"0";"955";"21";"9";"12";"0";"934";"66";"465";"403"
