"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Maria JACKOWSKI";"Andrzej Juliusz KAMASA";"Piotr Daniel MIERZWA"
"1cf2-26e5-90a4-671c-649e-9b86-c85d-b3d4";"140202";"39";"2";"wieś";"stały";"Szkoła Podstawowa, Chotum 25, 06-452 Ościsłowo";"gm. Ciechanów";"ciechanowski";"mazowieckie";"796";"892";"402";"394";"1";"4";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"7";"2";"5";"0";"387";"262";"89";"36"
"badd-139e-08d7-3e54-42c3-cdb9-2896-e9e0";"140202";"39";"3";"wieś";"stały";"Urząd Gminy Ciechanów, ul. Fabryczna 8, 06-400 Ciechanów";"gm. Ciechanów";"ciechanowski";"mazowieckie";"1491";"1653";"591";"900";"3";"0";"0";"0";"0";"0";"0";"0";"0";"900";"0";"0";"900";"15";"6";"9";"0";"885";"464";"288";"133"
"a126-64d0-6804-d191-ae65-c4ec-4489-4716";"140202";"39";"4";"wieś";"stały";"Gimnazjum w Gumowie, Gumowo 8, 06-452 Ościsłowo";"gm. Ciechanów";"ciechanowski";"mazowieckie";"807";"908";"333";"474";"1";"0";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"11";"3";"8";"0";"463";"289";"129";"45"
"9370-e2e5-37ce-043c-0d27-82a1-2dc1-ce16";"140203";"39";"1";"miasto";"stały";"Szkoła Podstawowa im. Marii Konopnickiej w Glinojecku, ul. Płocka 7, 06-450 Glinojeck";"gm. Glinojeck";"ciechanowski";"mazowieckie";"1404";"1533";"702";"702";"1";"2";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"15";"1";"14";"0";"686";"455";"155";"76"
"b384-5a26-b5d3-cbe9-0a84-9090-5041-11b1";"140203";"39";"2";"miasto";"stały";"Hala Sportowa w Glinojecku, ul. Ciechanowska 8 C, 06-450 Glinojeck";"gm. Glinojeck";"ciechanowski";"mazowieckie";"1293";"1427";"544";"749";"0";"7";"0";"0";"0";"0";"0";"0";"0";"749";"0";"0";"749";"11";"3";"8";"0";"738";"399";"221";"118"
"ef85-cba9-ddc5-81c6-48a7-5879-bfef-59bf";"140203";"39";"3";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury w Glinojecku, ul. Polna 2C, 06-450 Glinojeck";"gm. Glinojeck";"ciechanowski";"mazowieckie";"1308";"1427";"567";"741";"0";"2";"0";"0";"0";"0";"0";"0";"0";"740";"0";"0";"740";"17";"7";"10";"0";"723";"423";"196";"104"
"a8b1-889e-4b21-6a38-1884-b894-97d7-36a0";"140203";"39";"4";"wieś";"stały";"Dom Kultury, Ościsłowo 37, 06-452 Ościsłowo";"gm. Glinojeck";"ciechanowski";"mazowieckie";"494";"539";"198";"296";"0";"0";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"6";"1";"5";"0";"290";"191";"55";"44"
"c6bc-5a71-07e3-67fb-81db-0fe6-b74b-14b4";"140203";"39";"5";"wieś";"stały";"Szkoła Podstawowa w Woli Młockiej, Wola Młocka 32, 06-450 Glinojeck";"gm. Glinojeck";"ciechanowski";"mazowieckie";"1095";"1218";"494";"601";"0";"3";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"10";"9";"1";"0";"591";"395";"122";"74"
"2b0b-59d7-db3f-2e7b-e94d-cd73-6234-d350";"140204";"39";"1";"wieś";"stały";"Szkoła Podstawowa im. P. J. Gołaszewskiego w Gołyminie-Ośrodku z oddziałami gimnazjum, ul. Ks. Michalaka 10C, 06-420 Gołymin-Ośrodek";"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";"920";"1004";"386";"534";"2";"4";"0";"0";"0";"0";"0";"0";"0";"534";"0";"0";"534";"7";"2";"5";"0";"527";"334";"120";"73"
"cdb0-ab2a-5d7e-a704-acd9-af58-bdd9-8fe8";"140204";"39";"2";"wieś";"stały";"Gminna Biblioteka Publiczna w Gołyminie-Ośrodku, ul. Ks. Michalaka 10B, 06-420  Gołymin-Ośrodek";"gm. Gołymin-Ośrodek";"ciechanowski";"mazowieckie";"790";"875";"373";"417";"0";"2";"0";"0";"0";"0";"0";"0";"0";"417";"0";"0";"417";"6";"2";"4";"0";"411";"303";"63";"45"
