"Kod TERYT";"Powiat";"Województwo";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"060700";"kraśnicki";"lubelskie";"56,00";"1,38";"61,19";"38,81";"0,00";"98,62";"12,77";"";"4,97";"12,88";"";"62,46";"";"6,07";"0,85";""
"060800";"lubartowski";"lubelskie";"58,15";"1,14";"58,67";"41,33";"0,00";"98,86";"10,94";"";"9,08";"10,70";"";"61,81";"";"5,99";"1,49";""
"060900";"lubelski";"lubelskie";"60,77";"0,96";"60,79";"39,21";"0,00";"99,04";"14,74";"";"7,21";"12,72";"";"58,00";"";"6,09";"1,24";""
"061000";"łęczyński";"lubelskie";"57,24";"1,13";"66,43";"33,57";"0,00";"98,87";"17,27";"";"7,72";"8,08";"";"60,12";"";"5,41";"1,41";""
"061100";"łukowski";"lubelskie";"59,59";"1,29";"63,81";"36,19";"0,00";"98,71";"8,89";"";"6,01";"10,51";"";"68,02";"";"4,87";"1,70";""
"061200";"opolski";"lubelskie";"52,45";"1,42";"60,83";"39,17";"0,00";"98,58";"12,28";"";"5,97";"10,80";"";"62,52";"";"7,12";"1,32";""
"061300";"parczewski";"lubelskie";"54,38";"1,45";"66,07";"33,93";"0,00";"98,55";"11,82";"";"6,64";"14,17";"";"59,41";"";"6,40";"1,57";""
"061400";"puławski";"lubelskie";"60,83";"1,04";"52,40";"47,60";"0,00";"98,96";"20,41";"";"7,86";"8,05";"";"53,91";"";"8,34";"1,42";""
"061500";"radzyński";"lubelskie";"56,55";"1,67";"66,67";"33,33";"0,00";"98,33";"8,47";"";"5,55";"13,95";"";"64,29";"";"5,40";"2,33";""
"061600";"rycki";"lubelskie";"59,52";"1,09";"68,15";"31,85";"0,00";"98,91";"10,68";"";"5,13";"13,90";"";"60,54";"";"8,55";"1,20";""
"061700";"świdnicki";"lubelskie";"59,68";"0,84";"54,74";"45,26";"0,00";"99,16";"18,29";"";"6,57";"9,85";"";"56,20";"";"7,83";"1,25";""
"061800";"tomaszowski";"lubelskie";"52,11";"1,24";"67,19";"32,81";"0,00";"98,76";"8,94";"";"5,55";"15,73";"";"63,25";"";"5,55";"0,98";""
"061900";"włodawski";"lubelskie";"53,13";"1,56";"66,41";"33,59";"0,00";"98,44";"14,40";"";"5,41";"18,02";"";"52,84";"";"8,45";"0,87";""
"062000";"zamojski";"lubelskie";"53,60";"1,44";"69,44";"30,56";"0,00";"98,56";"8,10";"";"5,26";"12,61";"";"66,97";"";"5,26";"1,80";""
"066100";"Biała Podlaska";"lubelskie";"61,67";"0,64";"54,55";"45,45";"0,00";"99,36";"32,31";"";"6,69";"5,76";"";"48,13";"";"6,12";"0,98";""
"066200";"Chełm";"lubelskie";"56,75";"0,82";"58,12";"41,88";"0,00";"99,18";"29,32";"";"6,30";"6,20";"";"46,16";"";"11,06";"0,96";""
"066300";"Lublin";"lubelskie";"66,24";"0,59";"48,83";"51,17";"0,00";"99,41";"31,90";"";"7,79";"5,55";"";"42,52";"";"10,82";"1,42";""
"066400";"Zamość";"lubelskie";"56,99";"0,73";"58,02";"41,98";"0,00";"99,27";"20,87";"";"6,01";"10,88";"";"49,11";"";"11,84";"1,28";""
"080100";"gorzowski";"lubuskie";"56,86";"1,57";"67,63";"32,37";"0,00";"98,43";"31,88";"";"7,94";"10,05";"";"34,73";"";"15,41";"";""
"080200";"krośnieński";"lubuskie";"53,13";"1,86";"74,76";"25,24";"0,00";"98,14";"27,31";"";"5,23";"22,39";"";"31,67";"";"13,41";"";""
"080300";"międzyrzecki";"lubuskie";"55,69";"1,84";"72,22";"27,78";"0,00";"98,16";"27,96";"";"7,09";"14,43";"";"34,40";"";"16,12";"";""
"080400";"nowosolski";"lubuskie";"56,58";"1,74";"58,55";"41,45";"0,00";"98,26";"29,82";"";"7,48";"11,26";"";"37,49";"";"13,94";"";""
"080500";"słubicki";"lubuskie";"53,98";"1,81";"74,72";"25,28";"0,00";"98,19";"34,39";"";"7,15";"9,65";"";"32,29";"";"16,51";"";""
"080600";"strzelecko-drezdenecki";"lubuskie";"51,21";"1,71";"75,96";"24,04";"0,00";"98,29";"26,75";"";"5,83";"15,53";"";"39,23";"";"12,66";"";""
"080700";"sulęciński";"lubuskie";"51,64";"2,15";"70,96";"29,04";"0,00";"97,85";"27,21";"";"7,68";"10,96";"";"40,27";"";"13,88";"";""
"080800";"świebodziński";"lubuskie";"55,86";"1,61";"77,26";"22,74";"0,00";"98,39";"30,48";"";"7,57";"12,91";"";"35,17";"";"13,86";"";""
"080900";"zielonogórski";"lubuskie";"56,96";"1,76";"67,29";"32,71";"0,00";"98,24";"30,57";"";"7,65";"11,55";"";"33,40";"";"16,82";"";""
"081000";"żagański";"lubuskie";"52,66";"1,56";"70,38";"29,62";"0,00";"98,44";"25,82";"";"7,51";"11,82";"";"39,83";"";"15,02";"";""
"081100";"żarski";"lubuskie";"53,24";"1,54";"67,27";"32,73";"0,00";"98,46";"28,81";"";"8,47";"12,76";"";"35,32";"";"14,64";"";""
"081200";"wschowski";"lubuskie";"53,02";"1,71";"72,26";"27,74";"0,00";"98,29";"21,08";"";"6,50";"11,78";"";"48,17";"";"12,47";"";""
"086100";"Gorzów Wielkopolski";"lubuskie";"61,82";"0,98";"55,65";"44,35";"0,00";"99,02";"39,18";"";"7,49";"5,61";"";"32,57";"";"15,14";"";""
"086200";"Zielona Góra";"lubuskie";"68,07";"0,79";"53,10";"46,90";"0,00";"99,21";"35,66";"";"6,39";"11,43";"";"26,68";"";"19,83";"";""
"100100";"bełchatowski";"łódzkie";"63,88";"1,13";"62,44";"37,56";"0,00";"98,87";"11,67";"";"10,00";"7,03";"";"59,73";"";"11,58";"";""
"100200";"kutnowski";"łódzkie";"56,32";"1,32";"62,74";"37,26";"0,00";"98,68";"17,90";"";"5,26";"7,95";"";"52,26";"";"14,97";"1,66";""
"100300";"łaski";"łódzkie";"61,15";"1,19";"67,46";"32,54";"0,00";"98,81";"21,27";"";"6,62";"9,43";"";"50,15";"";"10,72";"1,81";""
"100400";"łęczycki";"łódzkie";"54,66";"1,74";"55,70";"44,30";"0,00";"98,26";"14,23";"";"4,88";"11,91";"";"57,62";"";"10,01";"1,34";""
"100500";"łowicki";"łódzkie";"59,77";"1,53";"62,65";"37,35";"0,00";"98,47";"11,37";"";"5,59";"13,22";"";"56,11";"";"12,61";"1,10";""
"100600";"łódzki wschodni";"łódzkie";"67,93";"0,97";"58,51";"41,49";"0,00";"99,03";"26,99";"";"7,74";"7,67";"";"44,59";"";"13,02";"";""
"100700";"opoczyński";"łódzkie";"63,58";"1,46";"64,59";"35,41";"0,00";"98,54";"6,88";"";"4,64";"18,42";"";"64,39";"";"5,66";"";""
"100800";"pabianicki";"łódzkie";"66,46";"0,99";"58,67";"41,33";"0,00";"99,01";"30,48";"";"6,71";"5,98";"";"39,13";"";"15,53";"2,17";""
"100900";"pajęczański";"łódzkie";"59,98";"1,56";"65,73";"34,27";"0,00";"98,44";"10,70";"";"5,41";"12,49";"";"62,33";"";"8,28";"0,79";""
"101000";"piotrkowski";"łódzkie";"60,72";"1,27";"67,02";"32,98";"0,00";"98,73";"9,59";"";"6,51";"10,05";"";"64,74";"";"9,10";"";""
"101100";"poddębicki";"łódzkie";"58,14";"1,57";"63,64";"36,36";"0,00";"98,43";"13,53";"";"4,96";"15,55";"";"55,95";"";"9,01";"1,00";""
"101200";"radomszczański";"łódzkie";"57,85";"1,48";"67,44";"32,56";"0,00";"98,52";"22,40";"";"5,81";"6,35";"";"55,62";"";"9,81";"";""
"101300";"rawski";"łódzkie";"58,52";"1,56";"69,21";"30,79";"0,00";"98,44";"10,01";"";"6,39";"17,88";"";"58,00";"";"7,72";"";""
"101400";"sieradzki";"łódzkie";"59,70";"1,29";"65,61";"34,39";"0,00";"98,71";"18,24";"";"6,19";"10,47";"";"54,45";"";"9,69";"0,96";""
"101500";"skierniewicki";"łódzkie";"61,26";"1,65";"74,51";"25,49";"0,00";"98,35";"9,54";"";"6,56";"11,82";"";"65,43";"";"6,65";"";""
"101600";"tomaszowski";"łódzkie";"61,78";"1,28";"68,00";"32,00";"0,00";"98,72";"18,14";"";"6,46";"12,01";"";"52,02";"";"11,37";"";""
"101700";"wieluński";"łódzkie";"60,05";"1,26";"63,99";"36,01";"0,00";"98,74";"14,46";"";"5,33";"14,74";"";"55,19";"";"9,49";"0,79";""
"101800";"wieruszowski";"łódzkie";"57,93";"1,54";"65,45";"34,55";"0,00";"98,46";"14,37";"";"6,91";"13,22";"";"54,10";"";"10,24";"1,16";""
"101900";"zduńskowolski";"łódzkie";"61,72";"1,25";"66,92";"33,08";"0,00";"98,75";"19,37";"";"6,24";"15,74";"";"47,59";"";"10,16";"0,90";""
"102000";"zgierski";"łódzkie";"64,94";"1,01";"62,73";"37,27";"0,00";"98,99";"30,30";"";"5,77";"6,61";"";"40,81";"";"13,83";"2,68";""
"102100";"brzeziński";"łódzkie";"61,79";"1,40";"70,75";"29,25";"0,00";"98,60";"16,90";"";"6,79";"11,89";"";"53,62";"";"10,80";"";""
"106100";"Łódź";"łódzkie";"68,66";"0,69";"50,26";"49,74";"0,00";"99,31";"37,53";"";"6,53";"3,90";"";"30,82";"";"21,23";"";""
"106200";"Piotrków Trybunalski";"łódzkie";"63,81";"0,95";"58,09";"41,91";"0,00";"99,05";"23,24";"";"6,38";"6,10";"";"43,85";"";"20,42";"";""
"106300";"Skierniewice";"łódzkie";"66,78";"0,95";"60,94";"39,06";"0,00";"99,05";"27,55";"";"6,89";"10,18";"";"40,64";"";"14,73";"";""
"120100";"bocheński";"małopolskie";"63,83";"1,16";"64,75";"35,25";"0,00";"98,84";"11,86";"";"6,62";"11,41";"";"65,08";"";"5,03";"";""
"120200";"brzeski";"małopolskie";"59,29";"1,29";"64,16";"35,84";"0,00";"98,71";"10,14";"";"8,44";"13,49";"";"63,62";"";"4,31";"";""
"120300";"chrzanowski";"małopolskie";"62,82";"1,13";"60,52";"39,48";"0,00";"98,87";"30,18";"";"7,15";"5,48";"";"44,39";"";"12,79";"";""
"120400";"dąbrowski";"małopolskie";"53,63";"1,43";"63,33";"36,67";"0,00";"98,57";"5,81";"";"6,56";"14,43";"";"70,19";"";"3,02";"";""
"120500";"gorlicki";"małopolskie";"57,62";"1,40";"69,60";"30,40";"0,00";"98,60";"15,07";"";"6,14";"10,43";"";"61,92";"";"6,45";"";""
"120600";"krakowski";"małopolskie";"65,44";"1,01";"54,62";"45,38";"0,00";"98,99";"22,69";"";"7,81";"8,40";"0,26";"50,85";"";"8,67";"1,32";""
"120700";"limanowski";"małopolskie";"62,04";"1,22";"62,55";"37,45";"0,00";"98,78";"7,23";"";"6,86";"10,90";"";"71,82";"";"3,20";"";""
"120800";"miechowski";"małopolskie";"55,94";"1,12";"61,60";"38,40";"0,00";"98,88";"11,94";"";"5,69";"11,05";"0,24";"61,59";"";"7,90";"1,59";""
"120900";"myślenicki";"małopolskie";"63,97";"1,13";"63,14";"36,86";"0,00";"98,87";"17,83";"";"8,02";"6,60";"";"62,33";"";"5,22";"";""
"121000";"nowosądecki";"małopolskie";"63,98";"1,31";"61,43";"38,57";"0,00";"98,69";"10,20";"";"6,53";"6,29";"";"71,84";"";"5,14";"";""
"121100";"nowotarski";"małopolskie";"54,52";"1,31";"61,93";"38,07";"0,00";"98,69";"14,15";"";"7,73";"6,18";"";"66,69";"";"5,25";"";""
"121200";"olkuski";"małopolskie";"63,87";"0,98";"64,70";"35,30";"0,00";"99,02";"20,48";"";"6,82";"10,81";"0,19";"51,11";"";"9,76";"0,83";""
"121300";"oświęcimski";"małopolskie";"64,96";"1,01";"61,95";"38,05";"0,00";"98,99";"27,31";"";"6,25";"7,73";"";"48,32";"";"10,38";"";""
"121400";"proszowicki";"małopolskie";"55,30";"1,45";"57,50";"42,50";"0,00";"98,55";"8,05";"";"5,63";"18,44";"";"62,56";"";"5,33";"";""
"121500";"suski";"małopolskie";"59,54";"1,27";"61,88";"38,12";"0,00";"98,73";"15,39";"";"7,66";"8,14";"";"62,83";"";"5,98";"";""
"121600";"tarnowski";"małopolskie";"58,84";"1,28";"66,39";"33,61";"0,00";"98,72";"9,06";"";"6,46";"12,73";"";"67,52";"";"4,24";"";""
"121700";"tatrzański";"małopolskie";"60,36";"0,90";"57,74";"42,26";"0,00";"99,10";"23,79";"";"7,72";"5,64";"";"56,03";"";"6,82";"";""
"121800";"wadowicki";"małopolskie";"61,78";"1,28";"67,04";"32,96";"0,00";"98,72";"21,14";"";"6,73";"10,95";"";"54,03";"";"7,15";"";""
"121900";"wielicki";"małopolskie";"65,20";"0,93";"56,59";"43,41";"0,00";"99,07";"22,77";"";"8,26";"12,95";"";"48,41";"";"7,60";"";""
"126100";"Kraków";"małopolskie";"71,21";"0,56";"44,11";"55,89";"0,00";"99,44";"35,30";"";"8,31";"6,25";"0,29";"33,22";"";"15,11";"1,52";""
"126200";"Nowy Sącz";"małopolskie";"64,93";"0,68";"53,21";"46,79";"0,00";"99,32";"22,49";"";"7,01";"4,84";"";"52,42";"";"13,24";"";""
"126300";"Tarnów";"małopolskie";"61,65";"0,73";"53,81";"46,19";"0,00";"99,27";"23,17";"";"7,10";"14,34";"";"44,75";"";"10,64";"";""
"140100";"białobrzeski";"mazowieckie";"60,22";"1,58";"59,45";"40,55";"0,00";"98,42";"12,91";"";"4,37";"12,01";"";"65,41";"0,46";"4,30";"0,54";""
"140200";"ciechanowski";"mazowieckie";"57,45";"1,43";"61,37";"38,63";"0,00";"98,57";"15,94";"";"5,12";"14,33";"";"54,24";"";"8,91";"1,46";""
"140300";"garwoliński";"mazowieckie";"62,81";"1,27";"59,29";"40,71";"0,00";"98,73";"9,81";"0,30";"5,61";"11,04";"";"67,19";"";"4,48";"1,57";""
"140400";"gostyniński";"mazowieckie";"55,96";"1,67";"57,60";"42,40";"0,00";"98,33";"17,11";"";"5,04";"12,58";"";"55,66";"";"8,58";"1,03";""
"140500";"grodziski";"mazowieckie";"70,41";"0,83";"52,38";"47,62";"0,00";"99,17";"28,60";"";"6,49";"11,21";"";"37,93";"";"13,89";"1,89";""
"140600";"grójecki";"mazowieckie";"61,98";"1,26";"57,96";"42,04";"0,00";"98,74";"12,16";"";"6,52";"21,03";"";"50,56";"0,58";"8,35";"0,80";""
"140700";"kozienicki";"mazowieckie";"60,04";"1,21";"61,67";"38,33";"0,00";"98,79";"17,81";"";"5,12";"8,14";"";"61,26";"0,65";"6,33";"0,68";""
