"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOZAKIEWICZ";"Piotr ROMAN";"Rafał Józef ŚLUSARZ"
"e654-3913-cffb-1049-9dc0-9980-dd7b-f0bf";"020101";"1";"11";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1313";"1384";"478";"835";"0";"3";"0";"0";"0";"0";"0";"0";"0";"835";"0";"0";"835";"9";"2";"7";"0";"826";"233";"408";"185"
"5864-10b0-488a-73ba-ff5d-3e67-4d51-e857";"020101";"1";"12";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1200";"1300";"384";"816";"1";"2";"0";"0";"0";"0";"0";"0";"0";"816";"0";"0";"816";"14";"4";"10";"0";"802";"204";"415";"183"
"ac6b-7efd-7293-2f22-4ab1-7458-6a49-e9e7";"020101";"1";"13";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1386";"467";"833";"1";"1";"2";"2";"0";"1";"0";"0";"1";"832";"1";"0";"832";"6";"4";"2";"0";"826";"218";"442";"166"
"ec8a-eea6-cdc4-460e-3db7-a920-d492-ce45";"020101";"1";"14";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1400";"1513";"417";"983";"2";"2";"1";"1";"0";"0";"0";"0";"1";"984";"1";"0";"984";"12";"2";"10";"0";"972";"274";"464";"234"
"01c7-c2d7-5ff6-ead1-bbe1-e325-59bb-14d9";"020101";"1";"15";"miasto";"stały";"Miejskie Przedszkole Publiczne Nr 5, ul. Zygmunta Augusta 16b, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1418";"382";"918";"0";"3";"0";"0";"0";"0";"0";"0";"0";"918";"0";"0";"918";"17";"6";"11";"0";"901";"268";"414";"219"
"debb-d8ec-d141-1611-d707-8f74-c674-64fd";"020101";"1";"16";"miasto";"stały";"Przedsiębiorstwo Wodociągów i Kanalizacji, Aleja Wojska Polskiego 6/1a, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1299";"1390";"391";"908";"2";"5";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"17";"9";"8";"0";"890";"247";"419";"224"
"f92c-1e93-013e-3107-2eb8-0deb-4656-dd3d";"020101";"1";"17";"miasto";"stały";"Pałac Ślubów, Ratusz-Rynek 41, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1199";"1272";"530";"669";"0";"9";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"10";"3";"7";"0";"659";"170";"317";"172"
"8236-fdfc-60e4-6f9c-8d84-e887-eeb3-edb5";"020101";"1";"18";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1200";"1254";"487";"713";"0";"3";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"17";"4";"13";"0";"696";"159";"359";"178"
"fe74-813d-5cc0-292c-f4fd-00ce-541d-6663";"020101";"1";"19";"miasto";"stały";"Miejskie Przedszkole Publiczne Nr 2, ul. Mikołaja Brody 17, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1400";"1533";"418";"982";"1";"6";"0";"0";"0";"0";"0";"0";"0";"980";"0";"0";"980";"17";"7";"10";"0";"963";"332";"441";"190"
"bb48-5924-1352-d014-a616-8685-9586-ac2a";"020101";"1";"20";"miasto";"stały";"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1400";"1601";"432";"968";"0";"6";"0";"0";"0";"0";"0";"0";"0";"966";"0";"0";"966";"12";"2";"10";"0";"954";"231";"490";"233"
"e076-9634-6cf6-b00c-c10a-fd05-e1e6-196f";"020101";"1";"21";"miasto";"stały";"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"1501";"1587";"608";"893";"5";"3";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"10";"1";"9";"0";"883";"244";"444";"195"
"1462-9bf8-7d90-860f-1faf-9f61-6784-6a5d";"020101";"1";"22";"miasto";"zakład leczniczy";"Zespół Opieki Zdrowotnej w Bolesławcu, ul. Jeleniogórska 4, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"150";"84";"122";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"1";"0";"1";"0";"27";"8";"10";"9"
"70bb-2b29-5d2c-d8b5-ddcd-92b7-3f60-249c";"020101";"1";"23";"miasto";"zakład leczniczy";"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Bolesławcu, Aleja Tysiąclecia 30, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"450";"278";"384";"66";"0";"0";"0";"0";"0";"0";"0";"0";"0";"66";"0";"0";"66";"5";"0";"5";"0";"61";"13";"18";"30"
"1bec-0176-f0e1-1d95-bf21-8a54-ef9a-b870";"020101";"1";"24";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Bolesławcu, ul. Piastów 17, 59-700 Bolesławiec";"m. Bolesławiec";"bolesławiecki";"dolnośląskie";"60";"44";"23";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"2";"0";"2";"0";"35";"7";"23";"5"
"5c82-664a-1e1b-f475-ab40-185a-f479-9750";"020102";"1";"1";"wieś";"stały";"Dom Ludowy, Żeliszów 102A, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"700";"796";"271";"429";"0";"3";"0";"0";"0";"0";"0";"0";"0";"429";"0";"0";"429";"6";"0";"6";"0";"423";"78";"170";"175"
"6729-7963-2e8b-80fe-e608-e815-d37b-b5cc";"020102";"1";"2";"wieś";"stały";"Dom Ludowy, Bożejowice 1A, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"800";"845";"271";"529";"0";"3";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"7";"1";"6";"0";"522";"167";"214";"141"
"7584-bf9e-9ef1-b8f5-e7b4-94ce-0ba8-ae9b";"020102";"1";"3";"wieś";"stały";"Dom Ludowy, Otok 44C, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"700";"758";"300";"400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"400";"0";"0";"400";"6";"2";"4";"0";"394";"99";"165";"130"
"e034-399f-3084-9964-390c-7fbe-09ca-521b";"020102";"1";"4";"wieś";"stały";"Dom Ludowy, Brzeźnik 37, 59-700  Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"600";"699";"203";"397";"0";"3";"0";"0";"0";"0";"0";"0";"0";"397";"0";"0";"397";"4";"2";"2";"0";"393";"81";"124";"188"
"3dc1-eec5-532b-4827-b233-c45a-6840-d648";"020102";"1";"5";"wieś";"stały";"Dom Ludowy, Dobra 94, 59-700  Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"800";"942";"261";"539";"0";"4";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"9";"3";"6";"0";"530";"167";"190";"173"
"4cde-4e3f-42c4-8880-aee8-1d41-afc0-6d27";"020102";"1";"6";"wieś";"stały";"Szkoła Podstawowa, Dąbrowa Bolesławiecka 43, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"1299";"1386";"514";"785";"0";"3";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"21";"5";"16";"0";"764";"173";"300";"291"
"0c08-3730-d953-0b8f-bcfa-c9ba-8b64-e550";"020102";"1";"7";"wieś";"stały";"Dom Ludowy, Trzebień ul. Lipowa 5, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"1100";"1196";"501";"599";"0";"3";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"599";"16";"3";"13";"0";"583";"140";"234";"209"
"1e79-2085-d99f-9090-e804-7a66-7c96-e659";"020102";"1";"8";"wieś";"stały";"Dom Ludowy, Kraśnik Dolny 24C, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1408";"546";"754";"0";"3";"0";"0";"0";"0";"0";"0";"0";"754";"0";"0";"754";"11";"1";"10";"0";"743";"140";"300";"303"
"20b8-1fc1-a8cf-36f0-a7ef-4d3e-29d7-b8f1";"020102";"1";"9";"wieś";"stały";"Centrum Administracyjno-Kulturalne, Kruszyn ul. Kasztanowa 1B, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"1300";"1421";"400";"900";"0";"7";"0";"0";"0";"0";"0";"0";"0";"900";"0";"0";"900";"6";"3";"3";"0";"894";"279";"388";"227"
"c7b5-3f31-b93c-d609-3669-e436-b0dc-f77f";"020102";"1";"10";"wieś";"stały";"Dom Ludowy, Łaziska 30A, 59-700 Bolesławiec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"900";"944";"318";"582";"0";"2";"0";"0";"0";"0";"0";"0";"0";"582";"0";"0";"582";"4";"0";"4";"0";"578";"154";"221";"203"
"15c5-a86b-9f72-6f4f-6018-74bb-8c5f-5be1";"020102";"1";"11";"wieś";"stały";"Dom Ludowy, Ocice 54B, 59-730 Nowogrodziec";"gm. Bolesławiec";"bolesławiecki";"dolnośląskie";"698";"776";"295";"403";"0";"1";"0";"0";"0";"0";"0";"0";"0";"403";"0";"0";"403";"5";"1";"4";"0";"398";"60";"134";"204"
"66ea-8fec-50a4-151a-4eac-306e-4f6b-a50e";"020103";"1";"1";"wieś";"stały";"Szkoła Podstawowa w Gromadce, ul. gen. Wł. Sikorskiego 19, 59-706 Gromadka";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"1597";"1753";"606";"991";"1";"1";"0";"0";"0";"0";"0";"0";"0";"991";"0";"0";"991";"23";"5";"18";"0";"968";"222";"312";"434"
"decd-db41-3acc-5149-c290-3b16-1710-3694";"020103";"1";"2";"wieś";"stały";"Gminny Ośrodek Pomocy Społecznej w Gromadce z siedzibą w Wierzbowej, Wierzbowa 19, 59-706 Gromadka";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"800";"852";"365";"435";"0";"5";"0";"0";"0";"0";"0";"0";"0";"435";"0";"0";"435";"12";"2";"10";"0";"423";"65";"94";"264"
"d658-913f-8f65-4b9a-b146-d011-56f9-d22e";"020103";"1";"3";"wieś";"stały";"Świetlica wiejska w Różyńcu, Różyniec 41B, 59-706 Gromadka";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"1100";"1185";"494";"606";"0";"2";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"11";"3";"8";"0";"595";"124";"199";"272"
"ce93-8819-b4f4-5122-b0ed-4da9-297d-9681";"020103";"1";"4";"wieś";"stały";"Szkoła Podstawowa w Modle, Modła 76, 59-706 Gromadka";"gm. Gromadka";"bolesławiecki";"dolnośląskie";"500";"516";"258";"242";"0";"0";"0";"0";"0";"0";"0";"0";"0";"242";"0";"0";"242";"7";"1";"6";"0";"235";"51";"69";"115"
"9065-1fb8-ea05-fab4-e76d-87c6-4293-7cdd";"020104";"1";"1";"wieś";"stały";"Szkoła Podstawowa im. Górników Surowców Mineralnych w Czernej, Czerna 52, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"703";"818";"315";"388";"0";"0";"0";"0";"0";"0";"0";"0";"0";"388";"0";"0";"388";"10";"3";"7";"0";"378";"80";"147";"151"
"3d60-b2a6-3b0f-686d-dc65-ffe5-19e2-298b";"020104";"1";"2";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Gierałtowie, Gierałtów 47, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"796";"850";"411";"385";"0";"1";"0";"0";"0";"0";"0";"0";"0";"385";"0";"0";"385";"6";"0";"6";"0";"379";"56";"130";"193"
"d12f-c0d5-c2fa-23e5-ed79-5a41-7a55-ae82";"020104";"1";"3";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Godzieszowie, Godzieszów 96, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"497";"507";"266";"231";"0";"1";"0";"0";"0";"0";"0";"0";"0";"231";"0";"0";"231";"7";"3";"4";"0";"224";"64";"66";"94"
"ecaa-87ba-eb8d-5ad9-bff4-6293-3727-3faf";"020104";"1";"4";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Gościszowie, Gościszów 152, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"998";"1117";"480";"518";"1";"2";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"7";"2";"5";"0";"511";"81";"115";"315"
"0e1e-e1a1-a786-9898-184e-6646-1a8e-7566";"020104";"1";"5";"wieś";"stały";"Świetlica wiejska w Milikowie, Milików 146, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"902";"1028";"413";"489";"0";"1";"0";"0";"0";"0";"0";"0";"0";"489";"0";"0";"489";"16";"6";"10";"0";"473";"97";"157";"219"
"4961-e8cc-cb2d-ae36-2f5a-6614-788e-df87";"020104";"1";"6";"wieś";"stały";"Szkoła Podstawowa im. Józefa Piłsudskiego w Nowej Wsi, Nowa Wieś 26a, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"600";"703";"265";"335";"0";"1";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"8";"2";"6";"0";"327";"79";"109";"139"
"3090-7881-cdb0-f972-e248-8530-863b-9341";"020104";"1";"7";"miasto";"stały";"Szkoła Podstawowa im. Bolesława Chrobrego w Nowogrodźcu, ul. Sienkiewicza 8, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"1499";"1622";"646";"853";"0";"7";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"13";"3";"10";"0";"840";"184";"254";"402"
"ba25-928f-6322-2f60-03b2-d3b4-6649-055b";"020104";"1";"8";"miasto";"stały";"Gminne Centrum Kultury i Sportu w Nowogrodźcu, ul. Lubańska 42a, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"1497";"1589";"655";"842";"0";"3";"0";"0";"0";"0";"0";"0";"0";"842";"0";"0";"842";"11";"3";"8";"0";"831";"223";"244";"364"
"ff0a-46dc-f05f-2b83-bad5-e2b3-9475-120e";"020104";"1";"9";"wieś";"stały";"Budynek nr 63 w Parzycach (były Ośrodek Kultury w Parzycach), Parzyce 63, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"700";"764";"306";"394";"0";"0";"0";"0";"0";"0";"0";"0";"0";"394";"0";"0";"394";"7";"1";"6";"0";"387";"83";"159";"145"
"b131-235f-112a-5aa6-5ac5-af92-9e7d-ad93";"020104";"1";"10";"wieś";"stały";"Świetlica Wiejska w Wykrotach, Wykroty ul. Główna 27, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"1400";"1505";"680";"720";"0";"4";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"17";"4";"13";"0";"703";"125";"235";"343"
"2a2a-ff35-3df6-7fdf-00ad-3404-602a-a55e";"020104";"1";"11";"wieś";"stały";"Świetlica Wiejska w Zebrzydowej, Zebrzydowa 52, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"1000";"1107";"460";"540";"0";"4";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"13";"1";"12";"0";"527";"149";"194";"184"
"cc51-4ef6-faa3-8e39-7f2e-5c44-0ab8-339d";"020104";"1";"12";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Nowogrodźcu, ul. Lubańska 16, 59-730 Nowogrodziec";"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";"81";"73";"76";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"5";"0";"2";"3"
"691e-87f0-8c42-1ad7-ef21-5e15-a1cc-123c";"020105";"1";"1";"wieś";"stały";"Centrum Aktywności Społecznej w Tomisławiu, Tomisław 62A, 59-724 Osiecznica";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"800";"834";"368";"432";"0";"5";"0";"0";"0";"0";"0";"0";"0";"432";"0";"0";"432";"4";"3";"1";"0";"428";"91";"161";"176"
"b4ed-b0ea-d97e-8631-3f46-a411-d7d2-8a39";"020105";"1";"2";"wieś";"stały";"Gminny Ośrodek Sportu i Rekreacji w Osiecznicy, ul. Lubańska 29B, 59-724 Osiecznica";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"1198";"1284";"510";"688";"0";"4";"0";"0";"0";"0";"0";"0";"0";"688";"0";"0";"688";"7";"4";"3";"0";"681";"207";"237";"237"
"11f9-7a23-bdf1-eca7-e537-0a80-80d3-d8d2";"020105";"1";"3";"wieś";"stały";"Świetlica Wiejska w Przejęsławiu, Przejęsław 10a, 59-724 Osiecznica";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"400";"427";"195";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"205";"0";"0";"205";"6";"0";"6";"0";"199";"52";"69";"78"
"73c5-a559-3408-23a1-9e64-0515-f286-f65a";"020105";"1";"4";"wieś";"stały";"Świetlica Wiejska w Ławszowej, Ławszowa 81, 59-724  Osiecznica";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"500";"563";"241";"259";"0";"0";"0";"0";"0";"0";"0";"0";"0";"259";"0";"0";"259";"8";"1";"7";"0";"251";"56";"82";"113"
"3e06-9ff3-04bb-9e8f-1f11-aa2f-b680-dd8a";"020105";"1";"5";"wieś";"stały";"Świetlica Wiejska w Parowej, Parowa 89A, 59-724 Osiecznica";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"800";"864";"421";"379";"0";"2";"0";"0";"0";"0";"0";"0";"0";"379";"0";"0";"379";"10";"2";"8";"0";"369";"107";"119";"143"
"e0b2-b092-6510-8d9e-350c-1b44-9769-8271";"020105";"1";"6";"wieś";"stały";"Dom Myśliwski w Ołoboku, Ołobok 58A, 59-724 Osiecznica";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"300";"329";"209";"91";"0";"3";"0";"0";"0";"0";"0";"0";"0";"91";"0";"0";"91";"5";"0";"5";"0";"86";"26";"23";"37"
"5155-eee8-2014-ca13-8502-17de-b258-ec16";"020105";"1";"7";"wieś";"stały";"Centrum Aktywności Społecznej w Świętoszowie, ul. Szkolna 15, 59-726 Świętoszów";"gm. Osiecznica";"bolesławiecki";"dolnośląskie";"900";"1091";"261";"639";"0";"22";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"10";"3";"7";"0";"629";"247";"139";"243"
"8e97-eada-6cd2-899f-ae96-b923-9c92-cdc2";"020106";"1";"1";"wieś";"stały";"Wiejski Dom Kultury, Warta Bolesławiecka 29B, 59-720 Warta Bolesławiecka";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"899";"1032";"302";"597";"0";"3";"0";"0";"0";"0";"0";"0";"0";"597";"0";"0";"597";"9";"0";"9";"0";"588";"125";"237";"226"
"23f8-98f0-131c-127a-485b-baaa-b31f-fc49";"020106";"1";"2";"wieś";"stały";"Szkoła Podstawowa im. Żołnierzy II Armii Wojska Polskiego, Tomaszów Bolesławiecki 96, 59-720 Tomaszów Bolesławiecki";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"1400";"1520";"545";"854";"0";"2";"0";"0";"0";"0";"0";"0";"0";"855";"0";"1";"854";"17";"5";"12";"0";"837";"232";"345";"260"
"5a6d-f8e5-3a96-add2-9787-6908-209f-2a99";"020106";"1";"3";"wieś";"stały";"Świetlica Wiejska, Raciborowice Górne 196, 59-720 Raciborowice Górne";"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";"1000";"1060";"482";"518";"1";"0";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"12";"3";"9";"0";"506";"102";"133";"271"
