"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Małgorzata KOPICZKO";"Jolanta PIOTROWSKA";"Stanisław TOŁWIŃSKI"
"6df9-967d-75a8-f2b2-912e-f65a-cf0b-461f";"280601";"87";"2";"miasto";"stały";"Żegluga Mazurska Sp. z o. o., Al. Wojska Polskiego 8, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"1800";"2101";"577";"1223";"2";"20";"0";"0";"0";"0";"0";"0";"0";"1223";"0";"0";"1223";"15";"3";"12";"0";"1208";"332";"634";"242"
"becc-2ff6-a1b6-add5-fe78-0267-0b59-238f";"280601";"87";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Giżycku, ul. Gimnazjalna 1, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2200";"2577";"786";"1414";"1";"17";"1";"1";"0";"0";"0";"0";"1";"1415";"1";"0";"1415";"20";"5";"15";"0";"1395";"419";"699";"277"
"2405-6b37-c3bb-31d2-37f9-afba-6c6d-eebd";"280601";"87";"4";"miasto";"stały";"Sala sportowa Miejskiego Ośrodka Sportu i Rekreacji, ul. 3 Maja 21A, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2100";"2341";"808";"1292";"4";"19";"0";"0";"0";"0";"0";"0";"0";"1294";"0";"2";"1292";"20";"4";"16";"0";"1272";"418";"649";"205"
"2882-ae37-3e67-e03d-5b07-adbb-571f-813f";"280601";"87";"5";"miasto";"stały";"Urząd Miejski (sala konferencyjna), Aleja 1 Maja 14, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2500";"2716";"1003";"1497";"3";"18";"0";"0";"0";"0";"0";"0";"0";"1496";"0";"0";"1496";"21";"11";"10";"0";"1475";"474";"750";"251"
"fe60-b182-d649-3cca-f41f-a2db-c960-4b09";"280601";"87";"6";"miasto";"stały";"Szkoła Podstawowa Nr 7 im. Janusza Korczaka w Giżycku (blok B-parter), ul. Wodociągowa 8, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2300";"2498";"808";"1492";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1492";"0";"0";"1492";"26";"2";"24";"0";"1466";"399";"816";"251"
"4c52-bd12-9027-d2e2-ffd2-85d8-a3f9-b096";"280601";"87";"7";"miasto";"stały";"Szkoła Podstawowa Nr 7 im. Janusza Korczaka w Giżycku (blok A-stołówka szkolna), ul. Wodociągowa 8, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2600";"2849";"829";"1771";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1771";"0";"0";"1771";"28";"4";"24";"0";"1743";"482";"922";"339"
"a8af-3d48-80e6-fba5-4344-0ea6-dfbf-9233";"280601";"87";"8";"miasto";"stały";"Przedszkole Miejskie Nr 4, ul. Jagiełły 3, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2500";"2896";"801";"1698";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1698";"0";"0";"1698";"35";"27";"8";"0";"1663";"536";"856";"271"
"6371-bd51-1e68-335f-f1c9-4bff-0b51-3f4a";"280601";"87";"9";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Chwały Oręża Polskiego w Giżycku, ul. Warszawska 39, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"2300";"2515";"859";"1441";"4";"20";"1";"1";"0";"0";"0";"0";"1";"1438";"1";"0";"1438";"23";"6";"17";"0";"1415";"410";"750";"255"
"59ba-02d4-2aa1-763c-f582-cb10-7f09-9e2d";"280601";"87";"10";"miasto";"oddział zewnętrzny aresztu śledczego";"Zakład Karny w Dublinach – Oddział Zewnętrzny w Giżycku, ul. Warszawska 28A, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"109";"93";"67";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"4";"0";"4";"0";"38";"10";"22";"6"
"194d-880d-a8e7-ad0f-0d53-cb77-db03-bb7b";"280601";"87";"11";"miasto";"zakład leczniczy";"„Szpital Giżycki"" Sp. z o. o., ul. Warszawska 41, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"99";"82";"47";"52";"0";"1";"0";"0";"0";"0";"0";"0";"0";"52";"0";"0";"52";"1";"0";"1";"0";"51";"23";"19";"9"
"57e6-a5dd-58bd-2cc3-75fe-ad70-5323-42d3";"280601";"87";"12";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Warszawska 31, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"114";"117";"77";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"1";"0";"1";"0";"36";"15";"19";"2"
"f1b3-8a50-094a-1e78-883a-526e-9765-31b7";"280601";"87";"13";"miasto";"zakład leczniczy";"Wojewódzki Ośrodek Terapii Uzależnienia od Alkoholu i Współuzależnienia, ul. Warszawska 41, 11-500 Giżycko";"m. Giżycko";"giżycki";"warmińsko-mazurskie";"60";"31";"30";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"30";"1";"0";"1";"0";"29";"14";"9";"6"
"17a0-0565-c12a-e71c-989f-b860-ce80-90ae";"280604";"87";"1";"wieś";"stały";"Świetlica wiejska w Kamionkach, Kamionki 11, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"400";"442";"215";"185";"0";"3";"0";"0";"0";"0";"0";"0";"0";"185";"0";"0";"185";"2";"0";"2";"0";"183";"69";"69";"45"
"31c4-9d0e-c030-2605-22af-8b85-5537-2d3b";"280604";"87";"2";"wieś";"stały";"Świetlica wiejska w Sterławkach Małych, Sterławki Małe 2B, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"480";"528";"216";"264";"0";"1";"0";"0";"0";"0";"0";"0";"0";"264";"0";"0";"264";"5";"2";"3";"0";"259";"118";"95";"46"
"abe0-09e1-d52d-0fd8-6225-c062-441c-63e9";"280604";"87";"3";"wieś";"stały";"Świetlica wiejska w Kozinie, Kozin 13B, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"589";"641";"279";"310";"0";"8";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"2";"0";"2";"0";"308";"127";"137";"44"
"a1b9-96f7-8760-9c48-0bd9-c8d3-863d-a904";"280604";"87";"4";"wieś";"stały";"Gminny Ośrodek Kultury i Rekreacji w Wilkasach, Wilkasy ul. Olsztyńska 54, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"829";"946";"224";"605";"0";"35";"0";"0";"0";"0";"0";"0";"0";"605";"0";"0";"605";"13";"5";"8";"0";"592";"206";"277";"109"
"d2c6-d1d3-e2d8-4150-3aae-434a-3730-13a1";"280604";"87";"5";"wieś";"stały";"Świetlica wiejska w Wilkasach, Wilkasy ul. Przemysłowa 15, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"379";"411";"145";"234";"1";"4";"0";"0";"0";"0";"0";"0";"0";"234";"0";"0";"234";"5";"2";"3";"0";"229";"91";"88";"50"
"365e-60a7-6440-3c23-b8d5-a56c-0030-5174";"280604";"87";"6";"wieś";"stały";"Świetlica wiejska w Antonowie, Antonowo ul. Sympatyczna 38, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"470";"512";"207";"263";"0";"6";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"4";"0";"4";"0";"259";"79";"133";"47"
"8f10-39d4-73eb-d59e-5ef2-4b76-57df-8fa1";"280604";"87";"7";"wieś";"stały";"Świetlica wiejska w Spytkowie, Spytkowo 21A, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"381";"426";"183";"198";"0";"0";"0";"0";"0";"0";"0";"0";"0";"198";"0";"0";"198";"5";"2";"3";"0";"193";"73";"83";"37"
"f632-5575-8534-6588-0d66-9ece-30f7-cb19";"280604";"87";"8";"wieś";"stały";"Świetlica wiejska w Pieczonkach, Pieczonki 7, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"389";"418";"226";"163";"0";"0";"0";"0";"0";"0";"0";"0";"0";"163";"0";"0";"163";"4";"0";"4";"0";"159";"71";"66";"22"
"9b57-7832-648e-daa2-748b-0590-a6aa-b511";"280604";"87";"9";"wieś";"stały";"Urząd Gminy Giżycko-sala konferencyjna, ul. Mickiewicza 33, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"620";"682";"158";"462";"1";"9";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"8";"3";"5";"0";"454";"99";"246";"109"
"cd92-61c3-4206-6689-6986-ac50-8463-5820";"280604";"87";"10";"wieś";"stały";"Świetlica wiejska w Sulimach, Sulimy 3A, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"289";"326";"135";"154";"1";"1";"0";"0";"0";"0";"0";"0";"0";"154";"0";"0";"154";"1";"0";"1";"0";"153";"52";"73";"28"
"3f4c-efbf-8c43-5042-fc83-b636-7ec3-4ce1";"280604";"87";"11";"wieś";"stały";"Świetlica wiejska w Upałtach Małych, Upałty Małe 5, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"390";"425";"207";"183";"1";"0";"0";"0";"0";"0";"0";"0";"0";"183";"0";"0";"183";"6";"2";"4";"0";"177";"81";"74";"22"
"d324-3c3f-a95b-50de-88b8-ff19-1dd5-54d2";"280604";"87";"12";"wieś";"stały";"Świetlica wiejska w Bystrym, Bystry 1i, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"530";"582";"209";"321";"0";"4";"0";"0";"0";"0";"0";"0";"0";"321";"0";"0";"321";"3";"1";"2";"0";"318";"118";"152";"48"
"a805-1688-7f18-c3ad-615e-dc62-82e1-c4d4";"280604";"87";"13";"wieś";"stały";"Świetlica wiejska w Upałtach, Upałty 10, 11-500 Giżycko";"gm. Giżycko";"giżycki";"warmińsko-mazurskie";"359";"391";"171";"188";"2";"0";"0";"0";"0";"0";"0";"0";"0";"188";"0";"0";"188";"2";"0";"2";"0";"186";"84";"65";"37"
"bb6a-db8d-74e0-0759-797e-ba64-29a8-a325";"280605";"87";"1";"wieś";"stały";"Biblioteka i Ośrodek Kultury Gminy Kruklanki w Kruklankach, ul. 22 Lipca 19, 11-612 Kruklanki";"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";"1118";"1192";"453";"665";"0";"13";"0";"0";"0";"0";"0";"0";"0";"665";"0";"0";"665";"14";"5";"9";"0";"651";"162";"371";"118"
"6618-3569-c64c-8844-000b-9bee-7864-249d";"280605";"87";"2";"wieś";"stały";"Świetlica Ochotniczej Straży Pożarnej w Jeziorowskich, Jeziorowskie 17A, 11-612 Kruklanki";"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";"271";"298";"112";"159";"0";"4";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"5";"0";"5";"0";"154";"45";"81";"28"
"2ef7-a935-4965-a3f1-b050-5386-cc7b-cb8d";"280605";"87";"3";"wieś";"stały";"Szkoła Podstawowa w Boćwince, Boćwinka 12, 11-612 Kruklanki";"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";"470";"522";"251";"219";"0";"3";"0";"0";"0";"0";"0";"0";"0";"219";"0";"0";"219";"5";"1";"4";"0";"214";"96";"90";"28"
"72b6-2478-7226-eb76-2a43-8323-02b6-87fb";"280605";"87";"4";"wieś";"stały";"Była Szkoła Podstawowa w Jurkowie, Jurkowo 17, 11-612 Kruklanki";"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";"420";"459";"223";"197";"0";"1";"0";"0";"0";"0";"0";"0";"0";"197";"0";"0";"197";"5";"2";"3";"0";"192";"91";"75";"26"
"6ce7-5796-b7da-5f59-91c8-e625-02eb-3a25";"280606";"87";"1";"wieś";"stały";"Ośrodek Kultury w Miłkach, ul. Szkolna 1, 11-513 Miłki";"gm. Miłki";"giżycki";"warmińsko-mazurskie";"1188";"1283";"625";"563";"0";"6";"0";"0";"0";"0";"0";"0";"0";"563";"0";"0";"563";"8";"0";"8";"0";"555";"223";"256";"76"
"f8fd-f1ce-8576-2fc7-23f5-bc78-147b-c135";"280606";"87";"2";"wieś";"stały";"Świetlica wiejska, Konopki Nowe 9, 11-513 Miłki";"gm. Miłki";"giżycki";"warmińsko-mazurskie";"529";"572";"287";"242";"1";"2";"0";"0";"0";"0";"0";"0";"0";"242";"0";"0";"242";"2";"1";"1";"0";"240";"157";"54";"29"
"cc7d-304c-1947-3e38-1e8f-27b7-3ba9-c6b6";"280606";"87";"3";"wieś";"stały";"Szkoła Podstawowa w Rydzewie, Rydzewo ul. Mazurska 94, 11-513 Miłki";"gm. Miłki";"giżycki";"warmińsko-mazurskie";"1059";"1169";"494";"565";"0";"0";"0";"0";"0";"0";"0";"0";"0";"564";"0";"0";"564";"6";"1";"5";"0";"558";"247";"195";"116"
"ee29-b97c-819a-0e94-cdbf-8f08-7b30-5d1f";"280608";"87";"1";"miasto";"stały";"Urząd Miasta i Gminy Ryn, parter, ul. Ratuszowa 2, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"770";"849";"364";"406";"0";"25";"0";"0";"0";"0";"0";"0";"0";"406";"0";"0";"406";"8";"3";"5";"0";"398";"173";"158";"67"
"ba65-1934-1783-7269-0281-b1e3-7641-0573";"280608";"87";"2";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Rynie, ul. Szkolna 8a, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"539";"579";"216";"323";"0";"2";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"7";"1";"6";"0";"316";"124";"138";"54"
"7aac-6eef-2fa6-8c27-c1da-577a-0782-4e16";"280608";"87";"3";"miasto";"stały";"Urząd Miasta i Gminy Ryn, I piętro, ul. Ratuszowa 2, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"878";"956";"410";"468";"1";"10";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"9";"0";"9";"0";"459";"165";"210";"84"
"2e70-00e2-2061-b506-5958-9330-dd32-397f";"280608";"87";"4";"wieś";"stały";"Wiejski Dom Kultury, Sterławki Wielkie 54, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"367";"407";"180";"187";"0";"2";"0";"0";"0";"0";"0";"0";"0";"187";"0";"0";"187";"6";"2";"4";"0";"181";"54";"98";"29"
"0f08-d2bc-bab6-8c73-ebe2-d09a-606e-de5a";"280608";"87";"5";"wieś";"stały";"Ryńskie Centrum Kultury w Rynie, ul. Szkolna 1, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"1029";"1152";"609";"420";"1";"12";"0";"0";"0";"0";"0";"0";"0";"420";"0";"0";"420";"7";"1";"6";"0";"413";"196";"134";"83"
"4f02-5869-aee6-d8eb-1344-8ef9-a038-7e73";"280608";"87";"6";"wieś";"stały";"Świetlica Wiejska w Skopie, Skop 9, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"300";"329";"156";"144";"1";"0";"0";"0";"0";"0";"0";"0";"0";"144";"0";"0";"144";"6";"0";"6";"0";"138";"66";"49";"23"
"7d1f-d0ed-5d90-cc19-6911-f31d-90d0-0581";"280608";"87";"7";"wieś";"stały";"Świetlica Wiejska w Szymonce, Szymonka 25, 11-520 Ryn";"gm. Ryn";"giżycki";"warmińsko-mazurskie";"299";"324";"128";"171";"1";"2";"0";"0";"0";"0";"0";"0";"0";"171";"0";"0";"171";"1";"0";"1";"0";"170";"82";"66";"22"
"c9cb-4526-8d0d-d753-9646-0c35-ed5d-f88a";"280610";"87";"1";"wieś";"stały";"Szkoła Podstawowa w Gawlikach Wielkich, Gawliki Wielkie 32, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"580";"638";"288";"292";"2";"5";"0";"0";"0";"0";"0";"0";"0";"292";"0";"0";"292";"4";"1";"3";"0";"288";"110";"131";"47"
"d227-40a1-be77-e855-ac6e-2c4c-cdda-1a26";"280610";"87";"2";"wieś";"stały";"Świetlica Środowiskowa w Orłowie, Orłowo 37A, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"300";"335";"180";"120";"0";"2";"0";"0";"0";"0";"0";"0";"0";"120";"0";"0";"120";"1";"0";"1";"0";"119";"60";"37";"22"
"afd5-6f64-02b2-3d6a-6803-416b-7cf8-484c";"280610";"87";"3";"wieś";"stały";"Szkoła Podstawowa im. Feliksa Nowowiejskiego w Wydminach, Szkoła Filialna w Talkach, Talki 2, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"300";"323";"179";"121";"0";"1";"0";"0";"0";"0";"0";"0";"0";"121";"0";"0";"121";"3";"1";"2";"0";"118";"32";"56";"30"
"5601-fe96-6c89-6854-9188-4b9c-a0cf-a030";"280610";"87";"4";"wieś";"stały";"Ośrodek Zdrowia w Wydminach, Giżycka 6, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"1098";"1212";"579";"519";"1";"2";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"10";"3";"7";"0";"509";"268";"158";"83"
"b477-bf87-7366-7716-d6f5-f01f-9e69-8796";"280610";"87";"5";"wieś";"stały";"Zespół Szkół Ogólnokształcących w Wydminach, (budynek stołówki), ul. Grunwaldzka 94, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"1697";"1863";"687";"1010";"3";"18";"0";"0";"0";"0";"0";"0";"0";"1010";"0";"0";"1010";"22";"6";"16";"0";"988";"383";"469";"136"
"aa9c-87eb-f103-3c1f-7a0f-acea-2228-4c4e";"280610";"87";"6";"wieś";"stały";"Szkoła Podstawowa im. Feliksa Nowowiejskiego w Wydminach, Szkoła Filialna w Zelkach, Zelki 1, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"330";"366";"186";"144";"0";"0";"0";"0";"0";"0";"0";"0";"0";"144";"0";"0";"144";"3";"1";"2";"0";"141";"89";"38";"14"
"481c-a5f9-45a4-7910-f949-cc1c-6731-6a59";"280610";"87";"7";"wieś";"stały";"Świetlica Wiejska w Siedliskach, Siedliska 32, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"269";"303";"137";"132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"132";"0";"0";"132";"3";"1";"2";"0";"129";"62";"56";"11"
"3675-fa9c-dacb-7b47-eee0-0c2c-f995-4510";"280610";"87";"8";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Wydminach, ul. Źródlana 2, 11-510 Wydminy";"gm. Wydminy";"giżycki";"warmińsko-mazurskie";"36";"38";"9";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"0";"0";"0";"0";"27";"14";"8";"5"
"80ba-e599-20bc-1026-7fb9-2a0a-03a7-dbda";"280801";"87";"1";"miasto";"stały";"Miejskie Przedszkole Integracyjne ""Malinka"", ul. Obrońców Westerplatte 16, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1821";"1961";"737";"1084";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1084";"0";"0";"1084";"23";"3";"20";"0";"1061";"342";"461";"258"
"5fb3-4f95-e6ad-aa8d-4f2f-2983-5a91-18fc";"280801";"87";"2";"miasto";"stały";"Przedszkole Niepubliczne ""Słoneczko"", ul. Obrońców Westerplatte 18, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"927";"1014";"318";"609";"1";"5";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"16";"4";"12";"0";"593";"214";"229";"150"
"0578-95ba-ae96-e285-89fb-a741-c027-9500";"280801";"87";"3";"miasto";"stały";"Budynek Organizacji Pozarządowych-świetlica, ul. Miejska 7, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"988";"1059";"388";"600";"3";"2";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"15";"5";"10";"0";"585";"209";"257";"119"
"2342-1e22-e078-0f9d-5128-108a-2120-16c7";"280801";"87";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi-Sala 16 - parter, ul. Kazimierza Wielkiego 12, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1278";"1369";"456";"822";"1";"8";"0";"0";"0";"0";"0";"0";"0";"822";"0";"0";"822";"9";"2";"7";"0";"813";"310";"364";"139"
"7003-f057-6144-4b97-7ab3-4816-d53b-f406";"280801";"87";"5";"miasto";"stały";"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi-Sala 8 - parter, ul. Kazimierza Wielkiego 12, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1629";"1753";"596";"1033";"2";"4";"1";"1";"0";"0";"0";"0";"1";"1034";"1";"0";"1034";"14";"2";"12";"0";"1020";"351";"421";"248"
"7bf5-e5f1-bf88-05bc-64d7-a15e-b946-e9c1";"280801";"87";"6";"miasto";"stały";"Miejskie Przedszkole Integracyjne „Smerfowa Kraina”, ul. Wierzbowa 2, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1608";"1720";"650";"958";"1";"9";"0";"0";"0";"0";"0";"0";"0";"958";"0";"0";"958";"15";"2";"13";"0";"943";"328";"393";"222"
"318c-773b-607d-ee02-4483-aac1-6535-2423";"280801";"87";"7";"miasto";"stały";"Powiatowe Centrum Edukacyjne, ul. Poznańska 21, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"2008";"2124";"781";"1227";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1227";"0";"0";"1227";"16";"3";"13";"0";"1211";"377";"521";"313"
"eb0a-607c-9057-6fcc-f1f8-eb38-81ef-7375";"280801";"87";"8";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Wojska Polskiego 9, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"879";"946";"385";"494";"1";"3";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"7";"2";"5";"0";"487";"162";"210";"115"
"5ffe-dd7f-e310-988b-6178-df72-ebe2-2a23";"280801";"87";"9";"miasto";"stały";"Centrum Biblioteczno-Kulturalne Powiatu Kętrzyńskiego, ul. Pocztowa 13, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"968";"1030";"407";"561";"0";"4";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"10";"3";"7";"0";"551";"194";"227";"130"
"2c5a-b653-bc4f-29d8-16ce-5773-93bf-1e47";"280801";"87";"10";"miasto";"stały";"Państwowa Straż Pożarna, Pl. Słowiański 1, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1256";"1350";"547";"709";"0";"4";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"13";"2";"11";"0";"695";"274";"249";"172"
"8aa6-6d80-c326-793f-60ed-99d3-65c1-7d48";"280801";"87";"11";"miasto";"stały";"Przedszkole Niepubliczne ""Miś Uszatek"", ul. Stanisława Moniuszki 3, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1188";"1274";"471";"717";"1";"6";"0";"0";"0";"0";"0";"0";"0";"717";"0";"0";"717";"19";"0";"19";"0";"698";"251";"285";"162"
"c703-6f5e-a874-9dc2-5ef5-cfc3-ba20-b64b";"280801";"87";"12";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Stanisława Moniuszki 1, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1726";"1856";"697";"1029";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1029";"0";"0";"1029";"21";"2";"19";"0";"1008";"313";"459";"236"
"5799-d045-8eed-7bc4-d05a-cd1d-bcf9-f823";"280801";"87";"13";"miasto";"stały";"I Liceum Ogólnokształcące im. Wojciecha Kętrzyńskiego w Kętrzynie, ul. Powstańców Warszawy 2, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"2066";"2231";"868";"1198";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1196";"0";"0";"1196";"23";"6";"17";"0";"1173";"396";"493";"284"
"b5de-48d2-c48f-874c-c96c-4bf2-24e2-ed4f";"280801";"87";"14";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Bydgoska 1, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"1308";"1417";"524";"784";"1";"7";"1";"1";"0";"0";"0";"0";"1";"785";"1";"0";"785";"17";"2";"15";"0";"768";"296";"309";"163"
"b62b-6bc6-c55f-a5ac-7308-dbda-e14f-5894";"280801";"87";"15";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Wileńska 16, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"81";"62";"66";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"1";"0";"1";"0";"14";"9";"3";"2"
"ca0b-9cb6-e52c-84b4-0aca-5e8a-b3bd-2d83";"280801";"87";"16";"miasto";"zakład leczniczy";"Szpital Powiatowy, ul. Marii Curie-Skłodowskiej 2, 11-400 Kętrzyn";"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";"60";"33";"52";"8";"0";"1";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"8";"1";"0";"1";"0";"7";"3";"2";"2"
"74e5-935b-8a69-0ee6-e54d-67fc-fa32-722b";"280802";"87";"1";"wieś";"stały";"Hala Sportowa w Barcianach, ul. Nowa 1A, 11-410 Barciany";"gm. Barciany";"kętrzyński";"warmińsko-mazurskie";"1475";"1594";"805";"670";"3";"4";"0";"0";"0";"0";"0";"0";"0";"670";"0";"0";"670";"9";"1";"8";"0";"661";"348";"161";"152"
