"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Henryk KIEPURA - nr na liście 1";"Krzysztof SMELA - nr na liście 2";"Stanisław GMITRUK - nr na liście 3";"Bartłomiej Przemysław DOBRZYNIEWICZ - nr na liście 4";"Andrzej KUBAT - nr na liście 5";"Anna Marta SOCHA-KORENDO - nr na liście 6";"Anna Barbara GRUS - nr na liście 7";"Monika Aleksandra KUMOR - nr na liście 8";"Edyta Jolanta MŁYŃSKA - nr na liście 9";"Krystian KOTYNIA - nr na liście 10";"Jerzy Józef CYRULIK - nr na liście 11";"Iwona Izabela LISEK - nr na liście 12";"Anna NOWICKA - nr na liście 13";"Michał Olaf DZWONNIK - nr na liście 14";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Szymon Stanisław GIŻYŃSKI - nr na liście 1";"Lidia Ewa BURZYŃSKA - nr na liście 2";"Mariusz Wiesław TREPKA - nr na liście 3";"Andrzej Janusz GAWRON - nr na liście 4";"Monika FAJER - nr na liście 5";"Piotr DEREJCZYK - nr na liście 6";"Anna Janina KAPTACZ - nr na liście 7";"Tomasz MAJ - nr na liście 8";"Łukasz Artur LANGE - nr na liście 9";"Paweł Jan RUKSZA - nr na liście 10";"Magdalena Anna PIETRULEWICZ - nr na liście 11";"Danuta Elżbieta SŁUŻAŁEK-JAWORSKA - nr na liście 12";"Andrzej Piotr SOWA - nr na liście 13";"Urszula ZALESKA - nr na liście 14";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Zdzisław WOLSKI - nr na liście 1";"Zbigniew Paweł NIESMACZNY - nr na liście 2";"Rafał Tadeusz KĘPSKI - nr na liście 3";"Ewelina Tacjana KOTKOWSKA - nr na liście 4";"Małgorzata IŻYŃSKA - nr na liście 5";"Łukasz Tadeusz KOT - nr na liście 6";"Ewa Katarzyna KSIĄŻEK - nr na liście 7";"Rafał Krzysztof JURECZKO - nr na liście 8";"Ewa LEWANDOWSKA - nr na liście 9";"Paweł Piotr ŁAPETA - nr na liście 10";"Joanna Janina GÓRNA - nr na liście 11";"Emilia Maria SKRZYPCZYŃSKA - nr na liście 12";"Marlena Sonia KAREWICZ - nr na liście 13";"Marcin Antoni GOŁDA - nr na liście 14";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Włodzimierz Bogdan SKALIK - nr na liście 1";"Jacek Adam PAWLIKOWSKI - nr na liście 2";"Bogusław Józef ADAMOWICZ - nr na liście 3";"Bartłomiej Michał BIEGAS - nr na liście 4";"Paweł KLIMCZAK - nr na liście 5";"Zofia SUROWIEC - nr na liście 6";"Władysława Bożena RYNKIEWICZ - nr na liście 7";"Agata Aneta POLAK - nr na liście 8";"Barbara Ewa PIĄTEK - nr na liście 9";"Cecylia Iwona MUSIALIK - nr na liście 10";"Grażyna Teresa MATUSIAK - nr na liście 11";"Katarzyna Anna ERMER - nr na liście 12";"Rafał Adrian GAWENDA - nr na liście 13";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Izabela Dorota LESZCZYNA - nr na liście 1";"Andrzej SZEWIŃSKI - nr na liście 2";"Marta Maria SALWIERAK - nr na liście 3";"Halina Leokadia ROZPONDEK - nr na liście 4";"Gabriel Jan PODBIOŁ - nr na liście 5";"Jolanta Małgorzata URBAŃSKA - nr na liście 6";"Dominik Bogusz KABUS - nr na liście 7";"Marzena Monika MANISZEWSKA - nr na liście 8";"Tomasz Artur STEFAŃCZYK - nr na liście 9";"Marcin BIERNAT - nr na liście 10";"Renata Maria STASIAK-BETLEJEWSKA - nr na liście 11";"Marcin ŚWITAŁA - nr na liście 12";"Edyta Wiesława CIURA - nr na liście 13";"Jarosław Wacław LASECKI - nr na liście 14";"Lista nr 8 - KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Marcin MARANDA - nr na liście 1";"Mariusz Michał SPIECHOWICZ - nr na liście 2";"Grażyna Marianna KLAMEK - nr na liście 3";"Mariusz Józef POGODA - nr na liście 4";"Adam ZAMORA - nr na liście 5";"Beata BOGUS - nr na liście 6";"Wojciech Stanisław SOCHA - nr na liście 7";"Zbigniew Stanisław MIZGALSKI - nr na liście 8";"Krystyna Jadwiga KOSARGA - nr na liście 9";"Łukasz Mateusz SŁAWEK - nr na liście 10";"Piotr Mateusz PTAK - nr na liście 11";"Aleksandra Zdzisława STANIOWSKA - nr na liście 12";"Piotr Paweł STRACH - nr na liście 13";"Magdalena Mirosława CZAJA - nr na liście 14"
"25b8-60a6-2932-9c47-078a-0762-c74c-741e";"240411";"28";"4";"wieś";"stały";"Szkoła Podstawowa w Starym Broniszewie, Stary Broniszew ul. Kwiatowa 28, 42-231 Stary Cykarzew";"gm. Mykanów";"częstochowski";"śląskie";"843";"890";"313";"530";"0";"3";"0";"0";"0";"0";"0";"0";"0";"530";"0";"0";"530";"19";"17";"2";"0";"511";"135";"6";"98";"2";"0";"3";"0";"0";"0";"0";"5";"0";"0";"3";"18";"272";"128";"77";"8";"11";"20";"5";"6";"3";"1";"1";"0";"2";"3";"7";"35";"13";"1";"1";"0";"1";"2";"0";"0";"1";"3";"0";"0";"11";"2";"31";"24";"2";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"31";"22";"3";"2";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"7";"4";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0"
"3730-1b5f-0a08-5a9d-43ce-dc61-836d-a195";"240411";"28";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Borownie, Borowno ul. Klonowa 6/8, 42-233 Mykanów";"gm. Mykanów";"częstochowski";"śląskie";"1350";"1494";"414";"936";"0";"2";"0";"0";"0";"0";"0";"0";"0";"936";"0";"0";"936";"6";"6";"0";"0";"930";"159";"6";"109";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"39";"520";"135";"247";"24";"9";"33";"3";"19";"15";"4";"5";"3";"1";"4";"18";"104";"54";"6";"5";"3";"5";"5";"2";"0";"6";"13";"1";"3";"1";"0";"51";"34";"9";"1";"2";"1";"0";"0";"3";"0";"0";"0";"0";"1";"84";"46";"13";"5";"2";"2";"1";"1";"0";"0";"0";"0";"0";"1";"13";"12";"3";"4";"2";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"4764-a127-01f6-39c6-dc54-a0ae-2198-6ffd";"240411";"28";"6";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Mykanowie, ul. Słoneczna 114, 42-233 Mykanów";"gm. Mykanów";"częstochowski";"śląskie";"789";"888";"191";"598";"2";"3";"0";"0";"0";"0";"0";"0";"0";"598";"0";"0";"598";"6";"5";"1";"0";"592";"119";"8";"86";"13";"0";"1";"1";"1";"0";"2";"2";"0";"0";"0";"5";"287";"128";"82";"5";"6";"36";"4";"6";"8";"3";"2";"2";"0";"2";"3";"75";"39";"5";"4";"0";"8";"3";"1";"0";"2";"6";"4";"0";"0";"3";"30";"22";"0";"1";"1";"3";"0";"0";"0";"0";"1";"1";"0";"1";"71";"47";"10";"2";"2";"1";"2";"2";"0";"0";"1";"2";"0";"0";"2";"10";"2";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"e339-3a81-02ce-da42-73e4-2127-4086-cdc7";"240411";"28";"7";"wieś";"stały";"Publiczna Szkoła Podstawowa SPSK w Rybnej, Rybna ul. Szkolna 5, 42-231 Stary Cykarzew";"gm. Mykanów";"częstochowski";"śląskie";"928";"1059";"258";"670";"0";"2";"0";"0";"0";"0";"0";"0";"0";"670";"0";"0";"670";"5";"2";"3";"0";"665";"135";"7";"106";"8";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"8";"362";"140";"116";"9";"4";"46";"14";"12";"7";"1";"4";"1";"1";"2";"5";"64";"28";"7";"1";"1";"6";"3";"3";"1";"2";"4";"1";"1";"3";"3";"34";"22";"2";"1";"1";"0";"0";"1";"3";"3";"0";"0";"0";"1";"59";"36";"4";"6";"7";"0";"1";"0";"0";"1";"2";"0";"0";"0";"2";"11";"5";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4"
"942e-f07d-197e-afa1-2fb7-316a-be4c-4709";"240411";"28";"8";"wieś";"stały";"Szkoła Podstawowa w Radostkowie, Radostków-Kolonia ul. Szkolna 1, 42-233 Mykanów";"gm. Mykanów";"częstochowski";"śląskie";"1083";"1187";"415";"668";"0";"3";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"11";"9";"2";"0";"657";"119";"3";"100";"2";"1";"5";"0";"0";"1";"0";"1";"0";"0";"1";"5";"361";"152";"106";"11";"9";"41";"3";"10";"11";"4";"1";"0";"3";"0";"10";"46";"18";"1";"0";"2";"5";"11";"0";"0";"7";"2";"0";"0";"0";"0";"35";"20";"3";"2";"0";"5";"0";"0";"0";"2";"0";"1";"0";"2";"83";"51";"10";"8";"4";"0";"2";"0";"0";"0";"0";"0";"0";"0";"8";"13";"2";"0";"1";"2";"0";"4";"1";"0";"2";"0";"1";"0";"0";"0"
"9565-f212-1bb8-aacf-6c48-bfcb-37cc-475f";"240411";"28";"9";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Wierzchowisku, Wierzchowisko ul. Długa 110, 42-233 Mykanów";"gm. Mykanów";"częstochowski";"śląskie";"989";"1070";"180";"809";"1";"2";"0";"0";"0";"0";"0";"0";"0";"806";"0";"0";"806";"8";"6";"2";"0";"798";"170";"5";"153";"4";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1";"1";"212";"85";"68";"2";"8";"18";"2";"8";"3";"0";"3";"4";"0";"5";"6";"130";"55";"3";"3";"6";"22";"11";"1";"0";"5";"0";"2";"3";"11";"8";"62";"52";"2";"0";"1";"3";"0";"0";"3";"0";"0";"0";"0";"1";"211";"120";"48";"19";"2";"0";"2";"0";"2";"3";"1";"2";"0";"1";"11";"13";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"b2d1-552a-8bdb-f2f4-a593-a0e3-40d3-196f";"240411";"28";"10";"wieś";"stały";"Przedszkole w Kuźnicy Kiedrzyńskiej, Kuźnica Kiedrzyńska ul. Witosa 120, 42-233 Mykanów";"gm. Mykanów";"częstochowski";"śląskie";"570";"624";"121";"449";"0";"4";"0";"0";"0";"0";"0";"0";"0";"449";"0";"0";"449";"5";"3";"2";"0";"444";"67";"5";"53";"2";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"2";"267";"94";"82";"4";"11";"18";"9";"8";"15";"2";"10";"6";"0";"2";"6";"24";"11";"3";"3";"0";"2";"0";"1";"0";"2";"0";"1";"1";"0";"0";"26";"15";"1";"2";"2";"1";"0";"0";"4";"0";"0";"0";"0";"1";"57";"35";"10";"3";"1";"0";"2";"0";"0";"1";"1";"0";"0";"0";"4";"3";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"9d8b-06c4-f7cd-a115-acd7-514d-055c-1a29";"240411";"28";"11";"wieś";"stały";"Szkoła Podstawowa w Starym Kocinie, Stary Kocin ul. Kręta 91, 42-231 Stary Cykarzew";"gm. Mykanów";"częstochowski";"śląskie";"610";"665";"181";"429";"0";"0";"0";"0";"0";"0";"0";"0";"0";"429";"0";"0";"429";"11";"11";"0";"0";"418";"106";"1";"85";"3";"0";"1";"1";"1";"0";"0";"1";"0";"0";"3";"10";"234";"79";"92";"2";"11";"22";"3";"4";"7";"1";"3";"2";"0";"2";"6";"28";"12";"3";"0";"0";"0";"1";"1";"0";"0";"2";"2";"3";"3";"1";"9";"5";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"36";"23";"2";"4";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"0454-1806-1b45-5b6e-bda4-f8fa-5f35-ef50";"240412";"28";"1";"wieś";"stały";"Szkoła Podstawowa w Biskupicach, Biskupice ul. Szkolna 4, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"690";"762";"259";"431";"0";"1";"0";"0";"0";"0";"0";"0";"0";"431";"0";"0";"431";"5";"5";"0";"0";"426";"25";"6";"5";"3";"0";"1";"3";"0";"0";"1";"0";"0";"3";"2";"1";"198";"62";"34";"29";"4";"29";"7";"6";"3";"4";"2";"2";"9";"2";"5";"73";"38";"1";"6";"4";"11";"5";"0";"0";"4";"0";"1";"1";"0";"2";"33";"15";"3";"1";"3";"3";"1";"0";"5";"0";"0";"0";"0";"2";"87";"41";"19";"7";"7";"2";"2";"0";"0";"0";"1";"0";"0";"2";"6";"10";"3";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"3";"0"
"9b0e-fcbe-459e-0ae0-069f-4efc-36d5-427f";"240412";"28";"2";"wieś";"stały";"Szkoła Podstawowa w Kusiętach, Kusięta 208, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"910";"956";"300";"610";"0";"1";"0";"0";"0";"0";"0";"0";"0";"610";"0";"0";"610";"13";"11";"2";"0";"597";"42";"7";"11";"7";"0";"4";"0";"1";"2";"1";"0";"1";"3";"1";"4";"280";"102";"65";"22";"16";"28";"3";"7";"5";"17";"4";"1";"2";"1";"7";"77";"35";"7";"0";"0";"10";"9";"2";"0";"5";"2";"0";"5";"1";"1";"41";"22";"5";"2";"0";"3";"0";"0";"6";"2";"1";"0";"0";"0";"150";"95";"16";"18";"5";"0";"1";"1";"0";"1";"1";"0";"0";"0";"12";"7";"2";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0"
"dd9d-2c0f-677b-e982-7638-8056-c534-c0a2";"240412";"28";"3";"wieś";"stały";"Urząd Gminy Olsztyn, Pl. Piłsudskiego 10, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"2137";"2339";"576";"1561";"1";"22";"3";"3";"0";"0";"0";"0";"3";"1564";"3";"0";"1564";"14";"7";"7";"0";"1550";"114";"20";"45";"19";"2";"4";"2";"0";"3";"2";"5";"0";"4";"0";"8";"594";"212";"120";"70";"18";"60";"8";"12";"5";"65";"7";"3";"0";"3";"11";"214";"105";"20";"3";"10";"15";"21";"7";"2";"6";"5";"2";"7";"2";"9";"88";"53";"8";"3";"1";"5";"0";"1";"6";"3";"0";"1";"1";"6";"514";"300";"98";"20";"14";"2";"5";"2";"8";"3";"3";"3";"1";"1";"54";"26";"19";"1";"0";"2";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1"
"3fa4-342a-7476-acc2-b305-8852-4c49-dbc7";"240412";"28";"4";"wieś";"stały";"Szkoła Podstawowa w Turowie, Turów ul. Szkolna 12, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"630";"713";"168";"462";"0";"30";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"2";"2";"0";"0";"460";"30";"8";"7";"3";"1";"3";"0";"0";"4";"2";"1";"0";"0";"1";"0";"236";"70";"60";"10";"19";"39";"3";"4";"5";"6";"8";"1";"3";"0";"8";"55";"23";"5";"1";"5";"6";"5";"1";"0";"0";"3";"1";"4";"0";"1";"29";"16";"3";"2";"0";"2";"0";"1";"1";"1";"0";"0";"0";"3";"98";"46";"13";"7";"3";"0";"2";"1";"1";"1";"1";"2";"1";"3";"17";"12";"5";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"2"
"c195-78c1-c7b6-52fc-f5a3-7a75-5f6a-7c73";"240412";"28";"5";"wieś";"stały";"Szkoła Podstawowa w Zrębicach, Zrębice ul. Główna 143, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"900";"987";"358";"542";"0";"0";"0";"0";"0";"0";"0";"0";"0";"542";"0";"0";"542";"10";"7";"3";"0";"532";"58";"11";"20";"6";"4";"6";"1";"1";"1";"2";"1";"1";"0";"2";"2";"295";"97";"83";"39";"10";"28";"8";"5";"3";"5";"4";"1";"5";"3";"4";"57";"18";"4";"5";"6";"7";"6";"2";"0";"0";"5";"0";"3";"0";"1";"16";"4";"4";"4";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0";"88";"50";"5";"5";"2";"1";"0";"0";"11";"0";"0";"0";"0";"0";"14";"18";"5";"0";"0";"0";"1";"3";"2";"0";"0";"2";"1";"1";"2";"1"
"16a9-20f3-45be-59a4-6076-9702-7be4-4a87";"240412";"28";"6";"wieś";"stały";"Świetlica Środowiskowa w Przymiłowicach, Przymiłowice ul. Zamkowa 118, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"619";"685";"182";"437";"0";"1";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"5";"5";"0";"0";"432";"22";"7";"9";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"224";"68";"73";"10";"10";"18";"5";"5";"2";"22";"0";"0";"5";"0";"6";"60";"22";"11";"2";"0";"9";"7";"1";"0";"2";"2";"1";"1";"1";"1";"26";"13";"5";"0";"1";"1";"0";"0";"2";"2";"1";"0";"0";"1";"95";"41";"7";"10";"6";"0";"4";"1";"6";"0";"3";"0";"1";"2";"14";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"64a5-5bb0-60a8-6258-463e-7213-e503-69c2";"240412";"28";"7";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Turów ul. Joachimowska 85, 42-256 Olsztyn";"gm. Olsztyn";"częstochowski";"śląskie";"51";"40";"18";"33";"0";"2";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"33";"1";"1";"0";"0";"32";"25";"2";"10";"12";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"1";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0128-034d-efd7-dad5-2642-47f8-9ddf-a174";"240413";"28";"1";"wieś";"stały";"Gminne Centrum Kultury, Informacji i Rekreacji w Poczesnej, ul. Modrzewiowa 3, 42-262 Poczesna";"gm. Poczesna";"częstochowski";"śląskie";"1341";"1467";"394";"947";"0";"1";"0";"0";"0";"0";"0";"0";"0";"947";"0";"0";"947";"17";"10";"7";"0";"930";"75";"14";"18";"22";"2";"3";"1";"0";"2";"1";"1";"0";"2";"4";"5";"336";"108";"120";"16";"6";"41";"4";"4";"6";"2";"13";"2";"3";"2";"9";"191";"95";"18";"9";"9";"10";"11";"15";"1";"8";"2";"6";"3";"1";"3";"43";"25";"6";"3";"3";"2";"1";"0";"1";"0";"1";"0";"0";"1";"263";"129";"59";"36";"9";"1";"5";"0";"1";"3";"4";"1";"1";"1";"13";"22";"9";"1";"1";"0";"0";"0";"1";"0";"0";"2";"1";"0";"3";"4"
"dede-99b1-e237-32e3-f2ed-2dba-7537-c8c7";"240413";"28";"2";"wieś";"stały";"Remiza OSP w Nieradzie, Nierada ul. Targowa 103, 42-262 Poczesna";"gm. Poczesna";"częstochowski";"śląskie";"1153";"1262";"405";"748";"0";"0";"0";"0";"0";"0";"0";"0";"0";"748";"0";"0";"748";"7";"6";"1";"0";"741";"54";"5";"15";"6";"0";"19";"3";"0";"0";"0";"0";"0";"3";"1";"2";"394";"111";"112";"22";"10";"55";"9";"6";"10";"2";"8";"3";"6";"26";"14";"92";"40";"9";"1";"7";"3";"5";"5";"0";"8";"1";"2";"7";"0";"4";"39";"16";"5";"2";"1";"6";"0";"0";"3";"1";"0";"0";"2";"3";"141";"52";"39";"8";"13";"0";"0";"0";"0";"1";"1";"4";"17";"0";"6";"21";"8";"0";"1";"0";"1";"1";"1";"2";"2";"2";"2";"0";"1";"0"
"317f-3421-dd29-2ada-7233-8780-4084-73bc";"240413";"28";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Słowiku, Słowik ul. Podlaska 4, 42-263 Wrzosowa";"gm. Poczesna";"częstochowski";"śląskie";"1040";"1150";"300";"740";"1";"3";"1";"1";"0";"0";"0";"0";"1";"741";"1";"0";"741";"9";"6";"3";"0";"732";"72";"12";"30";"14";"2";"3";"1";"1";"2";"0";"2";"0";"0";"1";"4";"289";"78";"109";"14";"10";"38";"1";"8";"6";"4";"10";"5";"4";"1";"1";"141";"64";"19";"5";"3";"21";"8";"4";"1";"4";"0";"0";"5";"0";"7";"47";"37";"1";"1";"1";"1";"1";"1";"3";"0";"1";"0";"0";"0";"172";"106";"24";"18";"6";"1";"3";"1";"0";"0";"1";"1";"0";"1";"10";"11";"7";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"cd5b-4bf4-710d-d9f0-a66c-ba6b-cf46-ccb8";"240413";"28";"4";"wieś";"stały";"Szkoła Podstawowa w Hucie Starej B, Huta Stara B ul. Mickiewicza 12, 42-263 Wrzosowa";"gm. Poczesna";"częstochowski";"śląskie";"1710";"1877";"598";"1112";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"0";"1112";"7";"3";"4";"0";"1105";"68";"13";"14";"20";"0";"8";"3";"1";"2";"1";"0";"0";"1";"3";"2";"492";"159";"164";"36";"8";"56";"7";"8";"4";"3";"13";"5";"3";"7";"19";"202";"87";"12";"4";"7";"16";"10";"3";"2";"18";"11";"5";"13";"2";"12";"91";"54";"7";"0";"3";"4";"1";"0";"7";"4";"1";"0";"4";"6";"216";"94";"58";"35";"12";"0";"3";"1";"2";"0";"1";"1";"1";"1";"7";"36";"13";"0";"1";"3";"1";"1";"2";"2";"1";"3";"0";"0";"6";"3"
"1206-2de2-dcd0-e0f8-db82-4be9-06e6-dcbd";"240413";"28";"5";"wieś";"stały";"Świetlica w Brzezinach Nowych, Brzeziny Nowe ul. Biała 33, 42-263 Wrzosowa";"gm. Poczesna";"częstochowski";"śląskie";"892";"994";"239";"653";"0";"0";"0";"0";"0";"0";"0";"0";"0";"653";"0";"0";"653";"2";"1";"1";"0";"651";"39";"13";"7";"8";"1";"2";"2";"0";"0";"0";"0";"0";"1";"2";"3";"278";"52";"121";"16";"4";"17";"0";"5";"4";"1";"53";"0";"0";"1";"4";"93";"49";"9";"0";"1";"6";"7";"2";"0";"4";"0";"1";"2";"1";"11";"51";"35";"7";"1";"2";"2";"0";"0";"1";"0";"2";"0";"1";"0";"161";"86";"34";"13";"7";"0";"4";"0";"0";"0";"3";"0";"1";"2";"11";"29";"8";"0";"1";"0";"0";"0";"0";"0";"7";"10";"0";"0";"0";"3"
"c534-078d-634c-4688-7a77-51f7-84fc-8676";"240413";"28";"6";"wieś";"stały";"Szkoła Podstawowa we Wrzosowej, ul. Szkolna 4, 42-263 Wrzosowa";"gm. Poczesna";"częstochowski";"śląskie";"1453";"1589";"406";"1047";"3";"5";"1";"1";"0";"0";"0";"0";"1";"1048";"1";"1";"1047";"19";"18";"1";"0";"1028";"65";"15";"20";"4";"1";"8";"4";"0";"1";"3";"1";"0";"1";"1";"6";"414";"165";"125";"23";"12";"46";"3";"7";"7";"0";"9";"5";"1";"4";"7";"180";"87";"17";"6";"1";"6";"19";"6";"1";"9";"1";"5";"11";"4";"7";"75";"43";"5";"6";"1";"6";"1";"1";"5";"4";"0";"0";"0";"3";"266";"160";"45";"36";"10";"0";"0";"1";"3";"2";"4";"0";"1";"0";"4";"28";"11";"1";"1";"1";"2";"3";"2";"3";"1";"0";"0";"1";"0";"2"
"41d1-f8a6-4480-861d-335f-d813-dc15-edb6";"240413";"28";"7";"wieś";"stały";"Wiejskie Centrum Kultury i Rekreacji w Bargłach, Bargły ul. Śląska 84, 42-262 Poczesna";"gm. Poczesna";"częstochowski";"śląskie";"480";"541";"130";"350";"0";"1";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"5";"5";"0";"0";"345";"19";"3";"2";"1";"1";"6";"0";"1";"0";"0";"1";"0";"2";"0";"2";"191";"51";"61";"26";"4";"14";"1";"8";"5";"2";"2";"2";"6";"4";"5";"41";"22";"0";"1";"0";"4";"2";"2";"1";"3";"2";"1";"3";"0";"0";"17";"10";"2";"0";"2";"0";"1";"0";"0";"0";"1";"0";"1";"0";"72";"35";"14";"14";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"5";"5";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
"351b-29c4-8a0f-d456-7b60-389a-9816-f24f";"240413";"28";"8";"wieś";"stały";"Świetlica wiejska w Nowej Wsi, Nowa Wieś ul. Częstochowska 8, 42-262 Poczesna";"gm. Poczesna";"częstochowski";"śląskie";"440";"474";"124";"316";"1";"3";"0";"0";"0";"0";"0";"0";"0";"316";"0";"0";"316";"1";"1";"0";"0";"315";"33";"6";"6";"15";"0";"3";"0";"0";"0";"1";"0";"0";"1";"0";"1";"135";"47";"47";"13";"7";"2";"2";"3";"2";"0";"3";"0";"2";"1";"6";"53";"28";"4";"1";"0";"4";"4";"1";"0";"5";"0";"2";"3";"0";"1";"9";"5";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"76";"30";"14";"16";"8";"1";"1";"0";"2";"1";"1";"1";"0";"0";"1";"9";"5";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
