"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jagna Kinga MARCZUŁAJTIS-WALCZAK - nr na liście 1";"Andrzej Stanisław CZERWIŃSKI - nr na liście 2";"Marta Halina FOGLER - nr na liście 3";"Witold Zygmunt KOCHAN - nr na liście 4";"Elżbieta Joanna RUCHAŁA - nr na liście 5";"Piotr Tomasz MUSIAŁ - nr na liście 6";"Waldemar Paweł OLSZYŃSKI - nr na liście 7";"Sylwia Beata LEHNER - nr na liście 8";"Marek Józef JANCZAK - nr na liście 9";"Jan Bolesław KARPIEL - nr na liście 10";"Janusz Ryszard CYMER - nr na liście 11";"Maria Anna SPRAWKA-BAZYDŁO - nr na liście 12";"Halina Maria WĄSOWSKA-SCHIRMER - nr na liście 13";"Bogusław Tadeusz PACHNIOWSKI - nr na liście 14";"Barbara Grażyna CICHAŃSKA - nr na liście 15";"Andrzej LOREK - nr na liście 16";"Stanisław PATER - nr na liście 17";"Danuta Anna BALCERZYK - nr na liście 18";"Jacek Józef GWÓŹDŹ - nr na liście 19";"Jerzy Stanisław MAJKA - nr na liście 20";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej SKUPIEŃ - nr na liście 1";"Rafał Grzegorz GŁĄB - nr na liście 2";"Marzena Maria MATONOG - nr na liście 3";"Kamil Józef WOJTYCZKA - nr na liście 4";"Halina Sylwia MAŚLANKA - nr na liście 5";"Krystian Wojciech LACHNER - nr na liście 6";"Alicja Barbara BALCERAK - nr na liście 7";"Radosław Ryszard LAZAR - nr na liście 8";"Ryszard Jakub WILK - nr na liście 9";"Radosław Maria CZOSNOWSKI - nr na liście 10";"Mariusz Stanisław BOŻYK - nr na liście 11";"Sylwester Andrzej MATUSIK - nr na liście 12";"Marcin Jan MAZGAJ - nr na liście 13";"Marcin KRÓL - nr na liście 14";"Wojciech Piotr JASKÓŁKA - nr na liście 15";"Karolina Agnieszka FLOREK - nr na liście 16";"Maria Magdalena LIS - nr na liście 17";"Małgorzata Stanisława TYLISZCZAK-SŁYŚ - nr na liście 18";"Barbara Maria SZTERLEJA-BELDA - nr na liście 19";"Stanisław DOBROWOLSKI - nr na liście 20";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Urszula Teresa NOWOGÓRSKA - nr na liście 1";"Józefa KOLBRECKA - nr na liście 2";"Iwona Agnieszka TUMIDAJEWICZ - nr na liście 3";"Anatol KRYGOWSKI - nr na liście 4";"Małgorzata Krystyna PÓŁCHŁOPEK - nr na liście 5";"Katarzyna Maria KIEŁBASA - nr na liście 6";"Grzegorz BARAN - nr na liście 7";"Przemysław Marcin PALUCH - nr na liście 8";"Maria Barbara BIAŁOŃ - nr na liście 9";"Andrzej BARNA - nr na liście 10";"Mirosław Stanisław JANUS - nr na liście 11";"Maria BĄK - nr na liście 12";"Irena Barbara POPŁAWSKA - nr na liście 13";"Wioletta Dorota GRABSKA - nr na liście 14";"Krzysztof FILAS - nr na liście 15";"Maria TYLKA - nr na liście 16";"Hubert Jan RAPCIAK - nr na liście 17";"Małgorzata WÓJCIAK - nr na liście 18";"Rafał Marcin CZARNECKI - nr na liście 19";"Stanisław Wojciech PASOŃ - nr na liście 20";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Arkadiusz MULARCZYK - nr na liście 1";"Anna PALUCH - nr na liście 2";"Barbara Halina BARTUŚ - nr na liście 3";"Wiesław Stanisław JANCZYK - nr na liście 4";"Edward SIARKA - nr na liście 5";"Józef Krzysztof LEŚNIAK - nr na liście 6";"Jan Wiesław DUDA - nr na liście 7";"Jan PICZURA - nr na liście 8";"Andrzej Józef GUT-MOSTOWY - nr na liście 9";"Grzegorz Janusz BIEDROŃ - nr na liście 10";"Patryk Tomasz WICHER - nr na liście 11";"Elżbieta Joanna ZIELIŃSKA - nr na liście 12";"Zofia NIKA - nr na liście 13";"Ewa FILIPIAK - nr na liście 14";"Grażyna Katarzyna TYLKA - nr na liście 15";"Tomasz Stanisław WALICKI - nr na liście 16";"Marta ADAMCZYK - nr na liście 17";"Zygmunt Jan PARUCH - nr na liście 18";"Bartosz LEKSANDER - nr na liście 19";"Marcin Marian ZUBEK - nr na liście 20";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jakub Józef BOCHEŃSKI - nr na liście 1";"Barbara Aleksandra ŻYTKOWICZ - nr na liście 2";"Zuzanna Katarzyna JAKOWICKA - nr na liście 3";"Henryk PLATO - nr na liście 4";"Beata Katarzyna CZERSKA - nr na liście 5";"Marzena Beata DRZEWIŃSKA - nr na liście 6";"Eugeniusz ORZECHOWSKI - nr na liście 7";"Grażyna CEMPA-PULIT - nr na liście 8";"Jolanta Maria REICHERT - nr na liście 9";"Stanisław GĄSIENICA-DANIEL - nr na liście 10";"Maria Jolanta ALCHOWŚKA - nr na liście 11";"Iwona Anna SMOLEŃ - nr na liście 12";"Łukasz KOŁODZIEJ - nr na liście 13";"Bartosz Czesław KĘSKA - nr na liście 14";"Jolanta Aleksandra ŻYLIŃSKA - nr na liście 15";"Krzysztof DŁUGOSZ - nr na liście 16";"Danuta PIOTROWSKA - nr na liście 17";"Magdalena MAJERCZAK-KIESZKOWSKA - nr na liście 18";"Dorota Ewa SZLAGOWSKA-BUDACZ - nr na liście 19";"Liczba obwodów"
"120702";"gmina miejska";"m. Mszana Dolna";"limanowski";"małopolskie";5720;6120;1994;3726;12;23;0;0;0;0;0;0;0;3726;0;0;3726;32;17;15;0;3694;581;372;92;13;9;24;25;3;1;8;4;2;2;4;0;12;1;1;0;3;5;265;102;9;10;72;5;1;7;1;24;1;2;5;1;8;1;4;4;0;0;8;399;211;3;4;4;5;9;7;3;9;1;2;5;87;3;17;2;12;5;7;3;2227;767;97;19;161;106;69;27;7;69;91;16;33;17;646;2;1;6;6;58;29;222;135;14;16;2;3;4;2;6;2;5;2;4;5;3;2;1;6;4;6;4
"120703";"gmina wiejska";"gm. Dobra";"limanowski";"małopolskie";7148;7696;2765;4382;2;26;3;3;1;0;0;0;2;4384;2;0;4384;46;28;18;0;4338;340;169;60;12;4;16;32;3;1;6;10;3;1;0;2;4;2;0;2;2;11;397;157;15;4;33;6;7;7;5;27;5;3;7;53;46;0;12;3;1;0;6;465;334;8;2;5;2;12;15;6;11;7;1;11;12;2;4;0;2;3;6;22;2993;904;82;76;638;79;156;120;7;134;395;64;32;15;245;4;2;21;4;1;14;143;80;11;8;8;5;1;1;1;3;3;0;1;7;0;1;4;1;4;4;9
"120704";"gmina wiejska";"gm. Jodłownik";"limanowski";"małopolskie";6139;6613;2293;3846;1;20;0;0;0;0;0;0;0;3846;0;0;3846;82;60;22;0;3764;196;108;29;2;2;8;29;0;1;6;0;1;1;0;0;4;1;2;1;0;1;369;74;7;7;5;9;2;2;0;9;4;2;3;230;6;2;2;3;1;0;1;390;296;13;5;4;5;8;9;3;3;2;0;4;3;2;0;2;1;1;5;24;2702;789;70;82;518;317;128;158;12;84;275;59;31;6;118;10;5;23;5;4;8;107;47;8;8;8;0;2;6;0;1;2;2;5;1;1;2;0;2;0;12;10
"120705";"gmina wiejska";"gm. Kamienica";"limanowski";"małopolskie";5517;5898;2039;3478;6;38;0;0;0;0;0;0;0;3477;0;0;3477;64;47;17;0;3413;206;102;61;4;2;14;5;2;2;2;5;1;1;0;0;0;0;1;0;0;4;227;99;17;10;22;7;5;2;2;19;4;1;5;3;10;2;10;4;0;1;4;276;217;3;0;2;2;2;7;3;0;4;0;1;0;6;0;0;3;1;0;25;2629;687;128;73;236;118;64;71;10;48;128;51;28;5;936;2;6;18;3;0;17;75;44;4;4;3;3;0;0;0;1;1;1;5;2;2;1;0;1;1;2;6
"120706";"gmina wiejska";"gm. Laskowa";"limanowski";"małopolskie";5522;6077;1302;4220;8;27;0;0;0;0;0;0;0;4220;0;0;4220;61;35;26;0;4159;180;79;35;3;3;11;27;9;0;3;2;0;1;3;1;0;0;1;0;1;1;263;120;28;4;10;4;0;2;1;15;2;1;2;13;49;5;2;2;0;1;2;241;173;6;1;10;3;6;5;5;3;0;0;5;3;5;1;1;1;2;4;7;3400;1211;76;75;756;111;164;129;16;64;340;59;36;26;215;6;3;22;82;1;8;75;49;2;4;1;2;2;2;1;1;1;0;2;1;0;0;2;2;0;3;7
"120707";"gmina wiejska";"gm. Limanowa";"limanowski";"małopolskie";17702;19107;5275;12427;6;53;2;2;0;0;1;0;1;12427;1;0;12427;134;90;44;0;12293;566;206;105;9;4;41;134;8;2;19;1;4;1;3;2;7;2;5;3;5;5;695;277;20;11;39;16;11;23;11;32;2;7;6;20;174;6;16;9;0;0;15;1720;1583;14;5;7;7;7;10;6;7;1;6;4;1;5;4;2;6;6;4;35;8975;2067;185;202;3341;70;685;232;21;157;1356;149;90;29;272;9;6;42;20;11;31;337;233;27;16;6;6;0;6;7;5;5;1;6;3;4;2;2;3;0;5;19
"120708";"gmina wiejska";"gm. Łukowica";"limanowski";"małopolskie";6896;7458;2168;4728;5;27;0;0;0;0;0;0;0;4728;0;0;4728;62;37;25;0;4666;175;70;51;4;1;9;17;3;1;6;1;2;0;2;1;2;1;2;0;1;1;203;104;10;5;10;9;1;7;0;10;3;5;3;2;19;3;5;1;3;1;2;896;846;5;3;6;6;4;3;2;0;1;0;1;0;4;2;0;0;3;2;8;3277;1035;129;106;516;105;396;194;10;78;241;96;58;8;267;4;1;14;2;4;13;115;89;3;4;4;2;1;1;3;0;1;0;0;0;1;1;0;4;1;0;7
"120709";"gmina wiejska";"gm. Mszana Dolna";"limanowski";"małopolskie";12268;13229;4271;7997;13;46;3;3;0;0;0;0;3;8000;3;0;8000;93;61;32;0;7907;498;322;62;7;8;22;29;2;3;5;7;3;0;4;1;10;1;1;7;1;3;495;165;16;5;208;4;1;9;2;27;4;3;3;9;12;0;5;7;0;0;15;551;279;4;5;7;10;16;6;10;19;7;2;7;99;7;18;2;32;7;2;12;6163;1394;155;91;304;178;105;114;21;177;262;100;29;14;3117;11;7;15;5;39;25;200;93;17;17;7;11;4;1;0;6;8;2;2;8;7;4;4;2;5;2;14
"120710";"gmina wiejska";"gm. Niedźwiedź";"limanowski";"małopolskie";5134;5427;2348;2786;3;41;0;0;0;0;0;0;0;2786;0;0;2786;60;40;20;0;2726;212;92;20;3;2;7;15;1;1;1;4;1;0;2;0;59;1;0;3;0;0;166;64;6;1;45;3;5;4;0;14;2;1;0;2;6;2;7;0;0;0;4;286;111;3;0;2;3;6;2;2;2;1;1;4;22;1;6;0;110;3;1;6;1988;707;90;39;187;44;49;83;6;109;202;35;15;13;347;2;1;22;6;24;7;74;31;5;7;1;3;2;2;5;0;1;0;6;2;1;1;2;2;0;3;4
"120711";"gmina wiejska";"gm. Słopnice";"limanowski";"małopolskie";4589;4880;1538;3051;0;14;0;0;0;0;0;0;0;3051;0;0;3051;31;17;14;0;3020;139;55;17;0;4;10;40;1;2;2;1;1;0;0;0;1;1;0;2;0;2;249;114;16;4;14;2;4;5;0;15;1;2;1;13;30;4;11;6;2;0;5;138;108;2;2;2;4;3;2;2;0;1;0;2;1;2;0;0;1;1;3;2;2445;358;30;25;426;16;113;42;5;30;1037;34;4;4;299;3;1;6;5;0;7;49;33;2;1;1;1;0;4;1;0;1;1;0;0;2;0;0;0;0;2;5
"120712";"gmina wiejska";"gm. Tymbark";"limanowski";"małopolskie";4573;4945;1287;3286;7;10;0;0;0;0;0;0;0;3286;0;0;3286;36;20;16;0;3250;224;103;41;2;1;11;36;7;0;5;6;3;0;1;0;0;3;1;1;0;3;224;104;11;6;21;6;3;2;3;12;5;0;0;8;30;2;8;2;0;1;0;307;235;5;3;3;4;10;7;4;4;2;2;2;3;4;4;1;3;1;1;9;2399;636;64;42;406;104;326;59;4;66;413;53;13;12;170;2;0;8;1;7;13;96;46;14;7;5;3;1;2;1;0;5;0;3;4;1;0;0;1;0;3;5
"121001";"gmina miejska";"m. Grybów";"nowosądecki";"małopolskie";4466;4702;1331;3135;10;11;0;0;0;0;0;0;0;3135;0;0;3135;52;27;25;0;3083;341;134;137;2;13;30;2;10;0;1;6;1;0;0;0;0;0;1;1;0;3;306;58;8;4;6;2;1;0;0;206;3;0;3;2;6;2;1;1;0;1;2;182;81;1;6;10;5;12;9;0;3;0;1;5;3;2;1;2;0;3;7;31;2095;825;25;374;51;11;39;80;4;44;18;102;61;2;2;0;412;9;12;1;23;159;118;11;2;3;4;1;1;3;1;1;0;4;1;0;0;1;0;1;7;4
