"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK";"Liczba obwodów"
"301104";"gmina miejsko-wiejska";"gm. Krzywiń";"kościański";"wielkopolskie";7170;7790;2689;4480;0;32;0;0;0;0;0;0;0;4480;0;0;4480;115;14;101;0;4365;2138;316;1911;6
"301105";"gmina miejsko-wiejska";"gm. Śmigiel";"kościański";"wielkopolskie";12521;13638;4935;7586;10;22;0;0;0;0;0;0;0;7586;0;0;7586;190;47;143;0;7396;3178;625;3593;16
"301301";"gmina wiejska";"gm. Krzemieniewo";"leszczyński";"wielkopolskie";6050;6583;2366;3684;3;10;1;1;0;0;0;0;1;3684;1;0;3684;102;17;85;0;3582;1787;314;1481;6
"301302";"gmina wiejska";"gm. Lipno";"leszczyński";"wielkopolskie";5676;6248;1806;3870;1;15;1;1;0;0;0;0;1;3871;1;0;3871;76;17;59;0;3795;1468;310;2017;4
"301303";"gmina miejsko-wiejska";"gm. Osieczna";"leszczyński";"wielkopolskie";6603;7209;2356;4247;3;15;0;0;0;0;0;0;0;4247;0;0;4247;97;24;73;0;4150;1815;313;2022;6
"301304";"gmina miejsko-wiejska";"gm. Rydzyna";"leszczyński";"wielkopolskie";6750;7295;2282;4468;3;17;0;0;0;0;0;0;0;4468;0;0;4468;94;15;79;0;4374;1719;404;2251;11
"301305";"gmina wiejska";"gm. Święciechowa";"leszczyński";"wielkopolskie";5600;6106;1944;3656;1;11;0;0;0;0;0;0;0;3656;0;0;3656;73;16;57;0;3583;1381;290;1912;4
"301306";"gmina wiejska";"gm. Wijewo";"leszczyński";"wielkopolskie";2650;2954;933;1717;0;54;0;0;0;0;0;0;0;1717;0;0;1717;59;15;44;0;1658;773;179;706;2
"301307";"gmina wiejska";"gm. Włoszakowice";"leszczyński";"wielkopolskie";6660;7347;2329;4331;1;31;0;0;0;0;0;0;0;4330;0;0;4330;85;17;68;0;4245;1825;422;1998;6
"302201";"gmina miejsko-wiejska";"gm. Bojanowo";"rawicki";"wielkopolskie";6225;6751;2623;3602;0;18;0;0;0;0;0;0;0;3602;0;0;3602;118;44;74;0;3484;1432;413;1639;7
"302202";"gmina miejsko-wiejska";"gm. Jutrosin";"rawicki";"wielkopolskie";4969;5460;2163;2806;0;11;0;0;0;0;0;0;0;2806;0;0;2806;60;16;44;0;2746;1425;344;977;4
"302203";"gmina miejsko-wiejska";"gm. Miejska Górka";"rawicki";"wielkopolskie";6650;7301;2717;3933;3;22;0;0;0;0;0;0;0;3933;0;0;3933;110;19;91;0;3823;1807;682;1334;6
"302204";"gmina wiejska";"gm. Pakosław";"rawicki";"wielkopolskie";3370;3682;1330;2040;2;9;0;0;0;0;0;0;0;2039;0;0;2039;44;5;39;0;1995;1068;240;687;4
"302205";"gmina miejsko-wiejska";"gm. Rawicz";"rawicki";"wielkopolskie";22347;24056;8508;13838;5;52;2;2;0;0;0;0;2;13839;2;0;13839;275;57;218;0;13564;5013;1397;7154;20
"306301";"gmina miejska";"m. Leszno";"Leszno";"wielkopolskie";44689;48134;13187;31502;26;132;10;10;0;0;0;0;10;31503;10;0;31503;620;132;488;0;30883;9302;2222;19359;34
