"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz Michał BIERECKI";"Sławomir Antoni SOSNOWSKI"
"9a12-8722-429b-c1b9-9766-0c1a-cca8-78b2";"060102";"17";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Wojska Polskiego 88, 21-550 Terespol";"m. Terespol";"bialski";"lubelskie";"1250";"1342";"437";"813";"0";"8";"0";"0";"0";"0";"0";"0";"0";"812";"0";"0";"812";"25";"7";"18";"0";"787";"461";"326"
"d474-1e18-ea7b-6557-47c6-b6f1-734b-7467";"060103";"17";"1";"wieś";"stały";"Publiczne Gimnazjum w Ciciborze Dużym, Cicibór Duży 1A, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"560";"611";"210";"350";"0";"0";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"7";"2";"5";"0";"343";"193";"150"
"b518-1e3f-0f1c-f648-a1f2-d91f-4a95-4253";"060103";"17";"2";"wieś";"stały";"Szkoła Podstawowa w Hrudzie, Hrud 33, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"620";"668";"301";"319";"1";"0";"0";"0";"0";"0";"0";"0";"0";"319";"0";"0";"319";"5";"0";"5";"0";"314";"217";"97"
"1e90-1a9f-6c5f-9597-4717-8d64-0b38-b9f5";"060103";"17";"3";"wieś";"stały";"Przedszkole Samorządowe w Rakowiskach, Rakowiska ul. Wspólna 74, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"1140";"1232";"261";"879";"1";"7";"0";"0";"0";"0";"0";"0";"0";"879";"0";"0";"879";"25";"10";"15";"0";"854";"338";"516"
"466b-f082-6c47-5b5c-3002-7178-72e1-4e10";"060103";"17";"4";"wieś";"stały";"Szkoła Podstawowa w Dokudowie Pierwszym, Dokudów Pierwszy 37A, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"370";"410";"155";"215";"0";"1";"0";"0";"0";"0";"0";"0";"0";"215";"0";"0";"215";"2";"1";"1";"0";"213";"132";"81"
"51bf-7838-b873-32b8-087d-7935-f866-a248";"060103";"17";"5";"wieś";"stały";"Szkoła Podstawowa w Ortelu Książęcym Drugim, Ortel Książęcy Drugi 33, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"420";"469";"145";"275";"1";"7";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"5";"0";"5";"0";"270";"165";"105"
"38f1-3641-64d4-8bcd-ebcc-5765-e35f-0023";"060103";"17";"6";"wieś";"stały";"Szkoła Podstawowa w Grabanowie, Grabanów 49B, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"910";"998";"285";"625";"0";"5";"0";"0";"0";"0";"0";"0";"0";"625";"0";"0";"625";"18";"4";"14";"0";"607";"305";"302"
"8e0d-2c9a-fc97-7393-39c1-ffef-49a4-56d7";"060103";"17";"7";"wieś";"stały";"Szkoła Podstawowa w Sitniku, Sitnik 47, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"410";"445";"143";"267";"0";"2";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"5";"1";"4";"0";"262";"133";"129"
"76f5-2fab-fad1-fabf-1f55-4631-3719-4ea1";"060103";"17";"8";"wieś";"stały";"Świetlica wiejska w Terebeli, Terebela 21, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"270";"301";"62";"208";"0";"2";"0";"0";"0";"0";"0";"0";"0";"208";"0";"0";"208";"2";"1";"1";"0";"206";"135";"71"
"107d-fca6-8a82-2cf0-4f7b-97fe-fdbe-0f2e";"060103";"17";"9";"wieś";"stały";"Szkoła Podstawowa w Sławacinku Starym, Sławacinek Stary 72, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"1580";"1739";"546";"1034";"0";"25";"0";"0";"0";"0";"0";"0";"0";"1034";"0";"0";"1034";"32";"10";"22";"0";"1002";"546";"456"
"fe0e-2d1e-dc14-d9aa-7afe-2f2e-3e63-172c";"060103";"17";"10";"wieś";"stały";"Szkoła Podstawowa w Styrzyńcu, Styrzyniec ul. Dworska 29A, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"540";"587";"179";"361";"0";"3";"0";"0";"0";"0";"0";"0";"0";"361";"0";"0";"361";"10";"1";"9";"0";"351";"172";"179"
"7b95-645e-8dd4-4020-11b7-2d59-7bd0-2a53";"060103";"17";"11";"wieś";"stały";"Szkoła Podstawowa w Sworach, Swory ul. Szkolna 34, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"1173";"1262";"428";"745";"3";"0";"0";"0";"0";"0";"0";"0";"0";"745";"0";"0";"745";"25";"9";"16";"0";"720";"490";"230"
"966c-644d-dcc9-c3ac-6da6-4fdb-1ae6-055f";"060103";"17";"12";"wieś";"stały";"Świetlica wiejska w Czosnówce, Czosnówka ul. Topolowa 37, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"610";"676";"203";"407";"0";"3";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"20";"7";"13";"0";"387";"219";"168"
"9231-3adb-1333-398a-b9ca-386a-1b11-de52";"060103";"17";"13";"wieś";"stały";"Świetlica Wiejska w Wólce Plebańskiej, Wólka Plebańska 45B, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"600";"649";"232";"368";"0";"0";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"11";"4";"7";"0";"357";"240";"117"
"24d9-1282-4622-0247-82e3-fc82-57dc-e30d";"060103";"17";"14";"wieś";"stały";"Szkoła Podstawowa w Woskrzenicach Dużych, Woskrzenice Duże 91, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"910";"995";"293";"617";"0";"2";"0";"0";"0";"0";"0";"0";"0";"617";"0";"0";"617";"17";"1";"16";"0";"600";"334";"266"
"e9ae-1f87-a7ac-0afe-a20d-5558-a04c-c226";"060103";"17";"15";"wieś";"stały";"Dom Pomocy Społecznej w Kozuli, Kozula 1, 21-500 Biała Podlaska";"gm. Biała Podlaska";"bialski";"lubelskie";"110";"130";"27";"83";"0";"0";"0";"0";"0";"0";"0";"0";"0";"83";"0";"0";"83";"2";"1";"1";"0";"81";"51";"30"
"6f4f-5cd9-99e8-1375-fe2b-2322-be8c-c680";"060104";"17";"1";"wieś";"stały";"Szkoła Podstawowa w Drelowie, ul. Szkolna 11, 21-570 Drelów";"gm. Drelów";"bialski";"lubelskie";"1550";"1676";"642";"908";"4";"4";"0";"0";"0";"0";"0";"0";"0";"908";"0";"0";"908";"25";"8";"17";"0";"883";"534";"349"
"6621-b693-2908-236a-da07-b7c1-d4d9-9259";"060104";"17";"2";"wieś";"stały";"Szkoła Podstawowa w Dołdze, Dołha 1, 21-570 Drelów";"gm. Drelów";"bialski";"lubelskie";"730";"785";"328";"402";"0";"1";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"18";"0";"18";"0";"384";"294";"90"
"9de6-6467-6b15-0fc2-cf83-24c4-458e-8ef8";"060104";"17";"3";"wieś";"stały";"Dom Ludowy w Szóstce, Szóstka 58a, 21-570 Drelów";"gm. Drelów";"bialski";"lubelskie";"813";"868";"312";"501";"0";"1";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"24";"4";"20";"0";"477";"315";"162"
"9a92-68e0-386e-9623-26b0-182c-3674-cb5d";"060104";"17";"4";"wieś";"stały";"Szkoła Podstawowa w Żerocinie, Żerocin 32, 21-570 Drelów";"gm. Drelów";"bialski";"lubelskie";"550";"593";"276";"274";"0";"1";"0";"0";"0";"0";"0";"0";"0";"274";"0";"0";"274";"8";"1";"7";"0";"266";"181";"85"
"39e0-9c61-3a38-decc-b90e-81a8-f004-c572";"060104";"17";"5";"wieś";"stały";"Dom Ludowy w Witorożu, Witoroż 2a, 21-570 Drelów";"gm. Drelów";"bialski";"lubelskie";"290";"306";"131";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"5";"0";"5";"0";"154";"112";"42"
"da30-bbba-f972-d16b-5053-774c-c237-b7dc";"060105";"17";"1";"wieś";"stały";"Świetlica Wiejska w Werchlisiu, Werchliś 75, 21-505 Janów Podlaski";"gm. Janów Podlaski";"bialski";"lubelskie";"461";"508";"201";"260";"2";"7";"0";"0";"0";"0";"0";"0";"0";"260";"0";"0";"260";"5";"1";"4";"0";"255";"172";"83"
"846a-ed98-547c-1cd1-de93-3184-733b-95c3";"060105";"17";"2";"wieś";"stały";"Świetlica Wiejska w Bublu-Grannie, Bubel-Granna 78, 21-505 Janów Podlaski";"gm. Janów Podlaski";"bialski";"lubelskie";"250";"265";"111";"139";"1";"2";"0";"0";"0";"0";"0";"0";"0";"139";"0";"0";"139";"4";"2";"2";"0";"135";"79";"56"
"8e0a-fa17-1f12-56ca-a423-e805-4896-f298";"060105";"17";"3";"wieś";"stały";"Zespół Placówek Oświatowych w Janowie Podlaskim, ul. 1 - Maja 5, 21-505 Janów Podlaski";"gm. Janów Podlaski";"bialski";"lubelskie";"1350";"1483";"431";"919";"2";"26";"0";"0";"0";"0";"0";"0";"0";"918";"0";"0";"918";"26";"8";"18";"0";"892";"489";"403"
"93f0-511e-4a9d-8f41-1118-1875-dd6e-25c5";"060105";"17";"4";"wieś";"stały";"Świetlica Wiejska w Nowym Pawłowie, Nowy Pawłów 124, 21-505 Janów Podlaski";"gm. Janów Podlaski";"bialski";"lubelskie";"510";"566";"186";"324";"1";"6";"0";"0";"0";"0";"0";"0";"0";"324";"0";"0";"324";"9";"0";"9";"0";"315";"179";"136"
"967c-8e16-37a6-b996-6451-12de-29de-3fcc";"060105";"17";"5";"wieś";"stały";"Zespół Placówek Oświatowych w Janowie Podlaskim (świetlica szkolna), ul. 1 - Maja 5, 21-505 Janów Podlaski";"gm. Janów Podlaski";"bialski";"lubelskie";"1229";"1467";"437";"792";"2";"95";"0";"0";"0";"0";"0";"0";"0";"792";"0";"0";"792";"21";"9";"12";"0";"771";"458";"313"
"48f1-efa1-151e-5ec7-16b2-a412-100d-f324";"060106";"17";"1";"wieś";"stały";"Gminne Centrum Kultury, Sportu i Turystyki w Kodniu, Kodeń, Kodeń Drugi ul. Rynek 4, 21-509 Kodeń";"gm. Kodeń";"bialski";"lubelskie";"1560";"1700";"502";"1058";"3";"30";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"36";"6";"30";"0";"1022";"595";"427"
"84bc-b81d-11c8-84f5-cd8c-91f2-bdba-9d5e";"060106";"17";"2";"wieś";"stały";"Kopytów, Świetlica wiejska, Kopytów 10, 21-509 Kodeń";"gm. Kodeń";"bialski";"lubelskie";"340";"369";"193";"147";"0";"1";"0";"0";"0";"0";"0";"0";"0";"147";"0";"0";"147";"4";"0";"4";"0";"143";"94";"49"
"17cd-36c5-6f33-0fb8-b8c3-23b9-ab68-4db1";"060106";"17";"3";"wieś";"stały";"Kostomłoty II, Świetlica spółdzielni mieszkaniowej ""Oaza"", Kostomłoty II 9, 21-509 Kodeń";"gm. Kodeń";"bialski";"lubelskie";"340";"356";"188";"152";"0";"2";"0";"0";"0";"0";"0";"0";"0";"152";"0";"0";"152";"5";"0";"5";"0";"147";"96";"51"
"4331-5b53-4498-2bbb-71d3-e624-064e-fac5";"060106";"17";"4";"wieś";"stały";"Kostomłoty I. Świetlica wiejska, Kostomłoty I 38, 21-509 Kodeń";"gm. Kodeń";"bialski";"lubelskie";"230";"252";"93";"137";"0";"0";"0";"0";"0";"0";"0";"0";"0";"137";"0";"0";"137";"8";"2";"6";"0";"129";"75";"54"
"b433-b5e9-6344-26f1-336f-7d1f-db9e-e600";"060106";"17";"5";"wieś";"stały";"Zabłocie, Wiejski Dom Kultury, Zabłocie 107, 21-509 Kodeń";"gm. Kodeń";"bialski";"lubelskie";"250";"269";"100";"150";"2";"3";"0";"0";"0";"0";"0";"0";"0";"150";"0";"0";"150";"4";"1";"3";"0";"146";"76";"70"
"256b-1ba9-6006-3a8e-b66d-984a-5703-5797";"060106";"17";"6";"wieś";"oddział zewnętrzny zakładu karnego";"Oddział Zewnętrzny Zakładu Karnego, Zabłocie 122, 21-509 Kodeń";"gm. Kodeń";"bialski";"lubelskie";"125";"116";"80";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"0";"0";"45";"4";"0";"4";"0";"41";"5";"36"
"71b8-6a57-f1f8-2a00-502c-22da-42c4-da6b";"060107";"17";"1";"wieś";"stały";"Sala Widowiskowa Gminnego Centrum Kultury w Konstantynowie, ul. Piłsudskiego 4, 21-543 Konstantynów";"gm. Konstantynów";"bialski";"lubelskie";"1010";"1098";"348";"662";"1";"10";"0";"0";"0";"0";"0";"0";"0";"662";"0";"0";"662";"15";"4";"11";"0";"647";"319";"328"
"7ffc-38b9-1551-8884-25b3-7db8-66ae-abfe";"060107";"17";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Konstantynowie, ul. Nowa 2, 21-543 Konstantynów";"gm. Konstantynów";"bialski";"lubelskie";"1031";"1127";"438";"593";"2";"17";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"20";"4";"16";"0";"573";"344";"229"
"0908-76a4-46eb-2e7e-5c15-1b25-b85b-9414";"060107";"17";"3";"wieś";"stały";"Świetlica Wiejska w Gnojnie, Gnojno 43a, 21-543 Konstantynów";"gm. Konstantynów";"bialski";"lubelskie";"170";"212";"38";"132";"1";"30";"0";"0";"0";"0";"0";"0";"0";"132";"0";"0";"132";"5";"1";"4";"0";"127";"82";"45"
"0b2e-9d7b-1725-a815-9aa3-7448-8dd6-81a3";"060107";"17";"4";"wieś";"stały";"Świetlica Wiejska w Komarnie-Kolonii, Komarno-Kolonia 14a, 21-543 Konstantynów";"gm. Konstantynów";"bialski";"lubelskie";"701";"762";"290";"411";"0";"1";"0";"0";"0";"0";"0";"0";"0";"411";"0";"0";"411";"12";"2";"10";"0";"399";"267";"132"
"9d7e-e544-c3e0-48bc-0abd-a18a-0447-0dc9";"060107";"17";"5";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Konstantynowie, ul. Kardynała S. Wyszyńskiego 6, 21-543 Konstantynów";"gm. Konstantynów";"bialski";"lubelskie";"100";"82";"44";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"56";"0";"0";"56";"3";"0";"3";"0";"53";"39";"14"
"184a-04df-b871-0482-cca8-dcd1-bd8e-6e65";"060108";"17";"1";"wieś";"stały";"Szkoła Podstawowa w Leśnej Podlaskiej, ul. Bialska 25, 21-542 Leśna Podlaska";"gm. Leśna Podlaska";"bialski";"lubelskie";"1526";"1661";"585";"941";"3";"6";"1";"1";"0";"0";"0";"0";"1";"942";"1";"0";"942";"30";"8";"22";"0";"912";"627";"285"
"c5e6-587c-0f7b-5fae-ba38-b4aa-f736-f1ee";"060108";"17";"2";"wieś";"stały";"Świetlica Wiejska w Witulinie, Witulin 64A, 21-542 Leśna Podlaska";"gm. Leśna Podlaska";"bialski";"lubelskie";"590";"652";"255";"335";"0";"0";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"5";"0";"5";"0";"330";"225";"105"
"74f5-7b50-535d-ca33-287c-5414-c217-d5e1";"060108";"17";"3";"wieś";"stały";"Świetlica Wiejska w Ossówce, Ossówka 17A, 21-542 Leśna Podlaska";"gm. Leśna Podlaska";"bialski";"lubelskie";"297";"337";"98";"199";"0";"0";"0";"0";"0";"0";"0";"0";"0";"199";"0";"0";"199";"6";"0";"6";"0";"193";"145";"48"
"5485-a451-0b1b-3f9a-a19a-ea48-0b7c-2a4a";"060108";"17";"4";"wieś";"stały";"Świetlica Wiejska w Starej Bordziłówce, Stara Bordziłówka 32, 21-542 Leśna Podlaska";"gm. Leśna Podlaska";"bialski";"lubelskie";"700";"772";"261";"439";"1";"3";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"22";"8";"14";"0";"417";"282";"135"
"1a4d-e9cf-64dc-7aac-0c15-6820-aa79-6326";"060109";"17";"1";"wieś";"stały";"Budynek poszkolny w Dubowie, Dubów 93, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"510";"553";"192";"318";"0";"3";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"12";"4";"8";"0";"306";"186";"120"
"50af-4c82-ad79-6b30-50ea-9d45-6cd2-14d7";"060109";"17";"2";"wieś";"stały";"Szkoła Podstawowa w Huszczy, Huszcza Pierwsza 34, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"399";"430";"172";"227";"0";"1";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"5";"0";"5";"0";"222";"184";"38"
"71ab-e48d-b2ae-ece2-a53b-6f8e-4505-de72";"060109";"17";"3";"wieś";"stały";"Remizo-świetlica w Korczówce, Korczówka 71, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"329";"364";"145";"184";"2";"4";"0";"0";"0";"0";"0";"0";"0";"184";"0";"0";"184";"6";"1";"5";"0";"178";"111";"67"
"5a67-b413-2c5b-b7a2-fcb8-cfa2-3211-e992";"060109";"17";"4";"wieś";"stały";"Zespół Szkół w Łomazach, ul. Szkolna 18A, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"1962";"2122";"756";"1206";"2";"9";"0";"0";"0";"0";"0";"0";"0";"1206";"0";"0";"1206";"31";"15";"16";"0";"1175";"647";"528"
"1a1f-8c36-2e33-e002-08aa-c837-a0e6-cf68";"060109";"17";"5";"wieś";"stały";"Budynek poszkolny w Burwinie, Burwin 33, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"181";"197";"73";"108";"0";"0";"0";"0";"0";"0";"0";"0";"0";"108";"0";"0";"108";"1";"1";"0";"0";"107";"77";"30"
"b2d9-3e4c-38c8-0dc1-7caa-00d1-cd01-30f9";"060109";"17";"6";"wieś";"stały";"Świetlica wiejska w Kopytniku, Kopytnik 31A, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"201";"222";"64";"137";"0";"1";"0";"0";"0";"0";"0";"0";"0";"137";"0";"0";"137";"5";"0";"5";"0";"132";"100";"32"
"cbc8-e3f8-31d4-1339-60f7-4d85-f45c-c716";"060109";"17";"7";"wieś";"stały";"Remizo-świetlica w Koszołach, Koszoły 39a, 21-532 Łomazy";"gm. Łomazy";"bialski";"lubelskie";"180";"196";"87";"93";"1";"3";"0";"0";"0";"0";"0";"0";"0";"92";"0";"0";"92";"3";"0";"3";"0";"89";"56";"33"
"0008-979d-3372-cae4-2bea-3a05-6ca9-61ec";"060110";"17";"1";"wieś";"stały";"Szkola Podstawowa w Misiach, budynek w Jelnicy, Jelnica 84, 21-560 Międzyrzec Podlaski";"gm. Międzyrzec Podlaski";"bialski";"lubelskie";"712";"774";"246";"466";"0";"3";"0";"0";"0";"0";"0";"0";"0";"466";"0";"0";"466";"15";"2";"13";"0";"451";"320";"131"
"9ef0-cda5-723f-8902-8b35-7cec-d874-f5f5";"060110";"17";"2";"wieś";"stały";"Szkoła Podstawowa w Tuliłowie, Tuliłów 61A, 21-560 Międzyrzec Podlaski";"gm. Międzyrzec Podlaski";"bialski";"lubelskie";"610";"676";"211";"399";"0";"6";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"8";"2";"6";"0";"391";"270";"121"
