"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar BONKOWSKI";"Dariusz DRELICH";"Stanisław Józef LAMCZYK"
"614c-74a8-9681-049f-7b23-9538-078e-5079";"220102";"63";"18";"wieś";"stały";"Szkoła Podstawowa, ul. Bytowska 10, 77-132 Niezabyszewo";"gm. Bytów";"bytowski";"pomorskie";"704";"771";"308";"396";"0";"4";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"4";"1";"3";"0";"392";"48";"198";"146"
"62fd-3ba9-5cb8-9b2b-acf0-26e9-2f27-3555";"220102";"63";"19";"wieś";"stały";"Szkoła Podstawowa, Rekowo 18, 77-131 Rekowo";"gm. Bytów";"bytowski";"pomorskie";"500";"543";"223";"277";"0";"5";"0";"0";"0";"0";"0";"0";"0";"277";"0";"0";"277";"7";"0";"7";"0";"270";"30";"105";"135"
"3e16-7fc0-1729-5eab-cc11-71de-cd6b-b6b1";"220102";"63";"20";"miasto";"zakład leczniczy";"Szpital Powiatu Bytowskiego Spółka z o. o., ul. Lęborska 13, 77-100 Bytów";"gm. Bytów";"bytowski";"pomorskie";"60";"59";"15";"45";"0";"2";"0";"0";"0";"0";"0";"0";"0";"45";"0";"0";"45";"2";"1";"1";"0";"43";"12";"15";"16"
"a24c-2b58-d858-9206-aa32-1160-97f4-871b";"220103";"63";"1";"wieś";"stały";"Gminne Centrum Kultury i Biblioteka, ul. Bytowska 10, 77-116 Czarna Dąbrówka";"gm. Czarna Dąbrówka";"bytowski";"pomorskie";"1401";"1479";"679";"722";"1";"1";"0";"0";"0";"0";"0";"0";"0";"721";"0";"0";"721";"14";"4";"10";"0";"707";"93";"355";"259"
"d24a-0724-9c5d-2417-a276-404d-fd40-3927";"220103";"63";"2";"wieś";"stały";"Szkoła Podstawowa, Jasień 22, 77-122 Jasień";"gm. Czarna Dąbrówka";"bytowski";"pomorskie";"400";"422";"144";"256";"0";"4";"0";"0";"0";"0";"0";"0";"0";"256";"0";"0";"256";"8";"1";"7";"0";"248";"31";"98";"119"
"79b6-e484-5c5c-2ba9-2507-a3ab-64c1-26f1";"220103";"63";"3";"wieś";"stały";"Sala wiejska, Mikorowo 15/2, 76-243 Mikorowo";"gm. Czarna Dąbrówka";"bytowski";"pomorskie";"541";"570";"261";"280";"0";"4";"0";"0";"0";"0";"0";"0";"0";"280";"0";"0";"280";"2";"1";"1";"0";"278";"33";"137";"108"
"d8d4-80c5-1efb-d300-dcc9-091f-b774-379d";"220103";"63";"4";"wieś";"stały";"Szkoła Podstawowa w Rokitach, Rokity 34, 77-123 Rokity";"gm. Czarna Dąbrówka";"bytowski";"pomorskie";"1049";"1120";"401";"648";"0";"5";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"10";"2";"8";"0";"638";"70";"394";"174"
"8d28-5123-608e-bcc6-98fd-44e7-9c59-8983";"220103";"63";"5";"wieś";"stały";"Szkoła Podstawowa w Nożynie, Nożyno 40, 77-115 Nożyno";"gm. Czarna Dąbrówka";"bytowski";"pomorskie";"856";"899";"434";"422";"0";"10";"0";"0";"0";"0";"0";"0";"0";"422";"0";"0";"422";"5";"2";"3";"0";"417";"46";"217";"154"
"4dd5-7e0e-90ed-77d8-05be-bb2c-0986-0f00";"220104";"63";"1";"wieś";"stały";"Urząd Gminy, ul. Słupska 56, 77-140 Kołczygłowy";"gm. Kołczygłowy";"bytowski";"pomorskie";"951";"1018";"379";"572";"0";"6";"0";"0";"0";"0";"0";"0";"0";"572";"0";"0";"572";"13";"1";"12";"0";"559";"81";"218";"260"
"dfe8-3cab-1734-1251-4130-c3d7-a60c-95e9";"220104";"63";"2";"wieś";"stały";"Gminny Osrodek Kultury, ul. Szkolna 1, 77-140 Kołczygłowy";"gm. Kołczygłowy";"bytowski";"pomorskie";"1310";"1382";"697";"613";"0";"4";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"16";"6";"10";"0";"597";"97";"294";"206"
