"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Włodzimierz BERNACKI";"Mirosław Adam CHODUR";"Wojciech KOZAK";"Artur Stanisław KOZIOŁ"
"709c-ccd6-6df5-e0ea-ed51-c7e7-01ad-0ce2";"120104";"34";"2";"wieś";"stały";"Wiejski Dom Ludowy w Lipnicy Dolnej, Lipnica Dolna 12, 32-724 Lipnica Murowana";"gm. Lipnica Murowana";"bocheński";"małopolskie";"795";"857";"284";"511";"0";"0";"0";"0";"0";"0";"0";"0";"0";"511";"0";"0";"511";"13";"0";"13";"0";"498";"327";"35";"88";"48"
"6711-9860-7678-9b0b-9a89-a545-ed7e-48be";"120104";"34";"3";"wieś";"stały";"Wiejski Dom Ludowy w Lipnicy Górnej, Lipnica Górna 65, 32-724 Lipnica Murowana";"gm. Lipnica Murowana";"bocheński";"małopolskie";"765";"831";"239";"526";"0";"2";"0";"0";"0";"0";"0";"0";"0";"526";"0";"0";"526";"14";"4";"10";"0";"512";"334";"39";"97";"42"
"c5bc-624e-a2f9-eb2b-26cd-7c7b-aa79-2760";"120104";"34";"4";"wieś";"stały";"Gminny Dom Kultury w Lipnicy Murowanej, Lipnica Murowana 74, 32-724 Lipnica Murowana";"gm. Lipnica Murowana";"bocheński";"małopolskie";"554";"608";"125";"429";"2";"10";"1";"1";"0";"0";"0";"0";"1";"430";"1";"0";"430";"4";"1";"3";"0";"426";"294";"34";"39";"59"
"eef1-3ad1-9e65-03fc-bdb7-74fe-8ae0-ca7d";"120104";"34";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa im. św. Jana Pawła II w Rajbrocie, Rajbrot 362, 32-725 Rajbrot";"gm. Lipnica Murowana";"bocheński";"małopolskie";"1628";"1781";"575";"1053";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1053";"0";"0";"1053";"28";"4";"24";"0";"1025";"808";"70";"78";"69"
"3095-6ccc-0cb9-871e-4a1e-37aa-b285-84ed";"120105";"34";"1";"wieś";"stały";"Centrum Kultury Gminy Łapanów, Łapanów 10, 32-740 Łapanów";"gm. Łapanów";"bocheński";"małopolskie";"1644";"1808";"484";"1160";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1160";"0";"0";"1160";"25";"4";"21";"0";"1135";"651";"90";"184";"210"
"a0a4-6566-c799-2e35-3c98-549d-bb5d-50f6";"120105";"34";"2";"wieś";"stały";"Centrum Kultury Gminy Łapanów, Łapanów 10, 32-740 Łapanów";"gm. Łapanów";"bocheński";"małopolskie";"1355";"1495";"465";"890";"1";"3";"0";"0";"0";"0";"0";"0";"0";"889";"0";"0";"889";"20";"6";"14";"0";"869";"616";"57";"125";"71"
"5917-ce55-5980-a551-a49a-7231-803f-6d17";"120105";"34";"3";"wieś";"stały";"Dom Kultury w Sobolowie, Sobolów 25, 32-742 Sobolów";"gm. Łapanów";"bocheński";"małopolskie";"1040";"1164";"269";"771";"1";"11";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"23";"0";"23";"0";"748";"443";"62";"147";"96"
"d383-9b69-a018-5c68-cabd-e959-7c9c-8926";"120105";"34";"4";"wieś";"stały";"Szkoła Podstawowa w Tarnawie, Tarnawa 119, 32-741 Tarnawa";"gm. Łapanów";"bocheński";"małopolskie";"920";"1014";"360";"560";"2";"4";"0";"0";"0";"0";"0";"0";"0";"560";"0";"0";"560";"18";"5";"13";"0";"542";"391";"27";"80";"44"
"42ac-a0ea-a6d4-8d8b-a391-cbe1-907f-7d5c";"120105";"34";"5";"wieś";"stały";"Szkoła Podstawowa w Grabiu, Grabie 60, 32-740 Łapanów";"gm. Łapanów";"bocheński";"małopolskie";"797";"874";"282";"515";"0";"0";"0";"0";"0";"0";"0";"0";"0";"515";"0";"0";"515";"8";"2";"6";"0";"507";"353";"34";"69";"51"
"3cca-b831-f5e3-5145-357e-c080-3cf1-d974";"120106";"34";"1";"wieś";"stały";"Remiza OSP, Królówka 315, 32-722 Królówka";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";"1480";"1632";"377";"1103";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1103";"0";"0";"1103";"19";"0";"19";"0";"1084";"772";"179";"76";"57"
"4432-2c0d-be15-ae8b-85d5-3adf-a2c6-a6b1";"120106";"34";"2";"miasto";"stały";"Szkoła Podstawowa im. Stanisława Lubomirskiego w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";"1926";"2116";"487";"1439";"2";"18";"0";"0";"0";"0";"0";"0";"0";"1439";"0";"0";"1439";"38";"9";"29";"0";"1401";"684";"331";"160";"226"
"ab98-9a41-79a0-c297-63bc-38f4-9fb1-bb88";"120106";"34";"3";"wieś";"stały";"Świetlica Wiejska, Połom Duży 85, 32-720 Nowy Wiśnicz";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";"426";"475";"117";"309";"0";"10";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"9";"0";"9";"0";"300";"171";"68";"30";"31"
"7e64-69f4-6bd8-b75e-54a3-48cc-7f04-d74e";"120106";"34";"4";"wieś";"stały";"Środowiskowy Dom Samopomocy w Muchówce, Muchówka 157, 32-722 Królówka";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";"721";"777";"191";"530";"0";"1";"0";"0";"0";"0";"0";"0";"0";"530";"0";"0";"530";"6";"0";"6";"0";"524";"421";"58";"24";"21"
"8d1a-132b-ee58-582b-c33b-e720-595d-a167";"120106";"34";"5";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Starym Wiśniczu, Stary Wiśnicz 480, 32-720 Nowy Wiśnicz";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";"1998";"2208";"546";"1452";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1452";"0";"0";"1452";"9";"0";"9";"0";"1443";"639";"599";"92";"113"
"66ae-457c-c0fa-ea76-27d6-13d1-0d84-0ee9";"120106";"34";"6";"wieś";"stały";"Szkoła Podstawowa im. ks. Jana Twardowskiego w Kobylu, Kobyle 81, 32-720 Nowy Wiśnicz";"gm. Nowy Wiśnicz";"bocheński";"małopolskie";"919";"1018";"268";"651";"0";"2";"0";"0";"0";"0";"0";"0";"0";"651";"0";"0";"651";"10";"5";"5";"0";"641";"326";"216";"53";"46"
