"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Lucjan BARGIEŁ";"Marek PĘK"
"2202-0780-63af-9d0d-f523-bba6-840f-a990";"120601";"31";"11";"wieś";"stały";"Remiza OSP w Dąbrowie Szlacheckiej, Dąbrowa Szlachecka ul. św. Floriana 19, 32-070 Czernichów";"gm. Czernichów";"krakowski";"małopolskie";"541";"592";"139";"402";"1";"2";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"8";"6";"2";"0";"394";"170";"224"
"3e77-939d-d2de-803e-2bab-deda-90d9-2dd9";"120601";"31";"12";"wieś";"stały";"Szkoła Podstawowa w Czułówku, Czułówek ul. Jana III Sobieskiego 25, 32-061 Rybna";"gm. Czernichów";"krakowski";"małopolskie";"359";"401";"70";"289";"0";"0";"0";"0";"0";"0";"0";"0";"0";"289";"0";"0";"289";"13";"1";"12";"0";"276";"77";"199"
"9480-793f-66a7-d429-ee86-67c0-c5f2-b58f";"120602";"31";"1";"wieś";"stały";"Gminne Centrum Edukacji w Igołomi (przedszkole samorządowe w Igołomi), Igołomia 252, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"1192";"1308";"494";"698";"8";"2";"0";"0";"0";"0";"0";"0";"0";"698";"0";"0";"698";"19";"3";"16";"0";"679";"204";"475"
"8b04-b84f-2d28-5eb0-8fe0-7cd1-a133-8ad5";"120602";"31";"2";"wieś";"stały";"Gminne Centrum Edukacji w Igołomi (przedszkole samorządowe w Igołomi), Igołomia 252, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"1000";"1097";"430";"570";"0";"2";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"24";"3";"21";"0";"546";"153";"393"
"e3b1-7bd9-dfcc-2d60-382b-3749-ab24-5fd3";"120602";"31";"3";"wieś";"stały";"Budynek byłej szkoły podstawowej w Pobiedniku Małym (WTZ), Pobiednik Mały 67, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"720";"796";"265";"455";"0";"1";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"8";"4";"4";"0";"447";"155";"292"
"0e64-6982-352e-4221-9279-a825-f9fc-3cff";"120602";"31";"4";"wieś";"stały";"Gminne Centrum Edukacji w Wawrzeńczycach (szkoła), Wawrzeńczyce 385, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"870";"961";"316";"554";"0";"2";"1";"1";"0";"0";"0";"0";"1";"555";"1";"0";"555";"8";"4";"4";"0";"547";"163";"384"
"82b8-c903-8624-bf5a-97ec-2544-a3be-926d";"120602";"31";"5";"wieś";"stały";"Gminne Centrum Edukacji w Wawrzeńczycach (szkoła), Wawrzeńczyce 385, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"910";"1008";"360";"550";"3";"6";"0";"0";"0";"0";"0";"0";"0";"550";"0";"0";"550";"14";"6";"8";"0";"536";"159";"377"
"b72a-4630-19a7-2311-e307-8e87-fc03-9ce4";"120602";"31";"6";"wieś";"stały";"Szkoła Podstawowa w Dobranowicach, Dobranowice 67, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"481";"528";"190";"291";"0";"1";"0";"0";"0";"0";"0";"0";"0";"291";"0";"0";"291";"10";"1";"9";"0";"281";"67";"214"
"7814-8108-930f-2485-34cb-fbb1-6be5-03a1";"120602";"31";"7";"wieś";"stały";"Budynek remizy OSP w Stręgoborzycach, Stręgoborzyce 126, 32-125 Wawrzeńczyce";"gm. Igołomia-Wawrzeńczyce";"krakowski";"małopolskie";"450";"503";"197";"253";"1";"0";"0";"0";"0";"0";"0";"0";"0";"253";"0";"0";"253";"10";"1";"9";"0";"243";"65";"178"
"3484-a648-619f-204b-7936-2b99-da1b-2fd3";"120603";"31";"1";"wieś";"stały";"Szkoła Podstawowa w Sieciechowicach, Sieciechowice ul. Szkolna 6, 32-095 Iwanowice";"gm. Iwanowice";"krakowski";"małopolskie";"1259";"1411";"496";"763";"2";"9";"0";"0";"0";"0";"0";"0";"0";"763";"0";"0";"763";"20";"5";"15";"0";"743";"219";"524"
"76c3-86cd-e643-f66d-38a9-bb1c-70db-54e6";"120603";"31";"2";"wieś";"stały";"Szkoła Podstawowa w Celinach, Celiny 155, 32-095 Iwanowice";"gm. Iwanowice";"krakowski";"małopolskie";"599";"655";"227";"372";"0";"0";"0";"0";"0";"0";"0";"0";"0";"372";"0";"0";"372";"13";"7";"6";"0";"359";"88";"271"
"4702-d151-2cf1-de29-331b-9e3b-5d40-ce4c";"120603";"31";"3";"wieś";"stały";"Szkoła Podstawowa w Iwanowicach, Iwanowice Włościańskie 98, 32-095 Iwanowice";"gm. Iwanowice";"krakowski";"małopolskie";"1122";"1232";"337";"785";"1";"7";"0";"0";"0";"0";"0";"0";"0";"785";"0";"0";"785";"12";"2";"10";"0";"773";"230";"543"
"85b5-2a24-3d6f-5f7c-bc25-9c0d-e612-b0ed";"120603";"31";"4";"wieś";"stały";"Szkoła Podstawowa w Widomej, Widoma 51, 32-095 Iwanowice";"gm. Iwanowice";"krakowski";"małopolskie";"1042";"1175";"322";"720";"0";"35";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"27";"10";"17";"0";"693";"240";"453"
"3e01-c9fa-3f4d-a403-fa4d-076e-ffae-93c9";"120603";"31";"5";"wieś";"stały";"Szkoła Podstawowa w Naramie, Narama ul. Centralna 49, 32-095 Iwanowice";"gm. Iwanowice";"krakowski";"małopolskie";"1281";"1417";"279";"1002";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1002";"0";"0";"1002";"28";"10";"18";"0";"974";"339";"635"
"971c-b2fc-679b-0735-8beb-da99-8a1e-3b43";"120603";"31";"6";"wieś";"stały";"Szkoła Podstawowa w Iwanowicach, Iwanowice Włościańskie 98, 32-095 Iwanowice";"gm. Iwanowice";"krakowski";"małopolskie";"1220";"1358";"349";"871";"2";"4";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"21";"4";"17";"0";"850";"255";"595"
"a091-95aa-445e-c7f9-5352-bce0-6c2d-6b23";"120604";"31";"1";"wieś";"stały";"Remiza OSP w Gotkowicach, Gotkowice 34, 32-048 Jerzmanowice";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"603";"664";"169";"434";"0";"3";"0";"0";"0";"0";"0";"0";"0";"434";"0";"0";"434";"14";"4";"10";"0";"420";"157";"263"
"f014-6938-45e1-7c9b-644b-9d4d-d45a-3d0d";"120604";"31";"2";"wieś";"stały";"Gminny Ośrodek Kultury i Biblioteka w Jerzmanowicach, Centralna 97, 32-048 Jerzmanowice";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"1880";"2077";"481";"1399";"4";"7";"0";"0";"0";"0";"0";"0";"0";"1399";"0";"0";"1399";"63";"18";"45";"0";"1336";"573";"763"
"7f78-0104-02cd-aa2c-cd69-68f5-25fd-c5f1";"120604";"31";"3";"wieś";"stały";"Szkoła Podstawowa w Szklarach, Szklary 121, 32-048 Jerzmanowice";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"448";"502";"122";"326";"0";"7";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"13";"1";"12";"0";"313";"101";"212"
"5474-3876-dde2-726e-f1b3-ad9a-1cf0-1c2c";"120604";"31";"4";"wieś";"stały";"Przedszkole Samorządowe w Jerzmanowicach, Łazy 39, 32-048 Jerzmanowice";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"390";"427";"88";"302";"0";"2";"0";"0";"0";"0";"0";"0";"0";"302";"0";"0";"302";"13";"5";"8";"0";"289";"127";"162"
"336e-99ce-39eb-b24f-8a38-2f10-64af-d1f8";"120604";"31";"5";"wieś";"stały";"Szkoła Podstawowa w Sąspowie, Sąspów 32, 32-048 Jerzmanowice";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"1000";"1099";"285";"715";"0";"0";"1";"1";"0";"0";"0";"0";"1";"716";"1";"0";"716";"34";"10";"24";"0";"682";"205";"477"
"a054-a076-d8d4-af42-39fc-e67e-7b3e-7598";"120604";"31";"6";"wieś";"stały";"Dom Ludowy w Przegini, Przeginia 116a, 32-049 Przeginia";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"1741";"1899";"501";"1240";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1240";"0";"0";"1240";"24";"5";"19";"0";"1216";"268";"948"
"e2dc-82c7-1b94-58e2-55b2-603a-0527-e8d5";"120604";"31";"7";"wieś";"stały";"Szkoła Podstawowa w Czubrowicach, Czubrowice 85, 32-049 Przeginia";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"829";"916";"278";"551";"0";"0";"0";"0";"0";"0";"0";"0";"0";"551";"0";"0";"551";"13";"3";"10";"0";"538";"143";"395"
"0e6c-c11d-c13d-71bc-e5c8-a8b9-93e2-7ddc";"120604";"31";"8";"wieś";"stały";"Budynek Wielofunkcyjny w Racławicach, Racławice 54a, 32-049 Przeginia";"gm. Jerzmanowice-Przeginia";"krakowski";"małopolskie";"1120";"1228";"331";"789";"0";"4";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"27";"5";"22";"0";"762";"198";"564"
"0c5d-838e-00aa-a35a-05b5-08ec-8326-4dc4";"120605";"31";"1";"wieś";"stały";"Szkoła Podstawowa im. T. Kościuszki w Goszycach, Goszyce ul. Tadeusza Kościuszki 95, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"1323";"1464";"435";"888";"0";"6";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"23";"4";"19";"0";"865";"350";"515"
"23ef-e1a5-9b50-741a-df72-552c-90cb-394a";"120605";"31";"2";"wieś";"stały";"Szkoła Podstawowa im. 600 - lecia Uniwersytetu Jagiellońskiego w Luborzycy z/s Wysiołku Luborzyckim, Wysiołek Luborzycki 160B, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"2058";"2274";"601";"1457";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1457";"0";"0";"1457";"46";"12";"34";"0";"1411";"689";"722"
"0f13-e60b-75b0-02f9-347f-a135-4ac6-34b1";"120605";"31";"3";"wieś";"stały";"Szkoła Podstawowa im. gen. Mariana Langiewicza w Goszczy, Goszcza ul. Szkolna 1, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"853";"945";"315";"538";"0";"1";"1";"1";"0";"0";"0";"0";"1";"539";"1";"0";"539";"10";"3";"7";"0";"529";"240";"289"
"217f-1944-f542-e392-2802-e995-87b9-024e";"120605";"31";"4";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Łuczycach, Łuczyce Szkolna 11, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"1160";"1294";"304";"856";"0";"4";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"18";"4";"14";"0";"838";"407";"431"
"75b3-fc40-4632-e712-d89b-93d3-40f3-8eb7";"120605";"31";"5";"wieś";"stały";"Świetlica wiejska w Zastowie, Zastów 6, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"1002";"1097";"317";"685";"0";"3";"0";"0";"0";"0";"0";"0";"0";"685";"0";"0";"685";"19";"5";"14";"0";"666";"234";"432"
"6727-9bf9-12d3-d7a8-4452-1340-9fbd-021a";"120605";"31";"6";"wieś";"stały";"Przedszkole Samorządowe "" Wesoła Gromadka"" w Dojazdowie, Dojazdów ul. Krakowska 130, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"1280";"1397";"343";"937";"0";"7";"0";"0";"0";"0";"0";"0";"0";"937";"0";"0";"937";"21";"6";"15";"0";"916";"403";"513"
"d6d3-6a6a-9bdb-a7c7-bc4b-ae17-2af7-d59f";"120605";"31";"7";"wieś";"stały";"Szkoła Podstawowa im. Adama Mickiewicza w Karniowie, Karniów 11, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"772";"849";"286";"486";"0";"0";"0";"0";"0";"0";"0";"0";"0";"486";"0";"0";"486";"15";"3";"12";"0";"471";"96";"375"
"a77c-f14d-7448-c1fa-ac3a-cbf0-e10f-2b96";"120605";"31";"8";"wieś";"stały";"Szkoła Podstawowa w Pietrzejowicach, Pietrzejowice 52, 32-010  Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"570";"623";"178";"392";"0";"5";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"8";"1";"7";"0";"384";"160";"224"
"9a33-068b-a503-cfbb-6022-cb54-7678-77b7";"120605";"31";"9";"wieś";"stały";"Filia Gminnej Biblioteki Publicznej w Kocmyrzowie, Kocmyrzów Centralna 115, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"1070";"1209";"306";"764";"0";"2";"0";"0";"0";"0";"0";"0";"0";"764";"0";"0";"764";"32";"5";"27";"0";"732";"322";"410"
"afbc-67a8-f4b2-3b15-fecc-f2f4-0a44-ba99";"120605";"31";"10";"wieś";"stały";"Szkoła Podstawowa w Maciejowicach, Maciejowice 25, 32-010 Luborzyca";"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";"958";"1047";"355";"603";"0";"1";"0";"0";"0";"0";"0";"0";"0";"603";"0";"0";"603";"15";"5";"10";"0";"588";"208";"380"
"dae9-c9fc-98e8-dec7-00a8-3ea8-d496-2e6b";"120606";"31";"1";"miasto";"stały";"Szkoła Podstawowa nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"937";"1052";"260";"677";"0";"9";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"24";"3";"21";"0";"653";"350";"303"
"d938-4c72-2fc1-ebd5-106b-5d0f-d9f1-bd89";"120606";"31";"2";"miasto";"stały";"Szkoła Podstawowa nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"901";"978";"177";"724";"4";"4";"0";"0";"0";"0";"0";"0";"0";"721";"0";"0";"721";"32";"9";"23";"0";"689";"355";"334"
"68d6-c276-491c-f435-d1a8-4020-f20e-4e2e";"120606";"31";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"762";"834";"189";"573";"1";"2";"0";"0";"0";"0";"0";"0";"0";"573";"0";"0";"573";"29";"9";"20";"0";"544";"289";"255"
"7c1c-e215-4221-b003-d578-4a8d-7ec5-ab18";"120606";"31";"4";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"891";"1006";"293";"598";"2";"5";"1";"1";"0";"0";"0";"0";"1";"599";"1";"0";"599";"25";"12";"13";"0";"574";"279";"295"
"7841-2aa2-b372-f711-a4d4-ceaf-16c9-b51d";"120606";"31";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"820";"892";"190";"630";"1";"5";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"25";"9";"16";"0";"605";"340";"265"
"d0ad-071d-79aa-a910-10c8-b666-9a5d-45bf";"120606";"31";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"873";"944";"217";"656";"0";"4";"0";"0";"0";"0";"0";"0";"0";"656";"0";"0";"656";"20";"3";"17";"0";"636";"336";"300"
"221c-551e-3d07-a332-64fc-d551-87e7-b116";"120606";"31";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Krzeszowicach, ul. Długa 22, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"1180";"1285";"287";"893";"0";"8";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"41";"11";"30";"0";"852";"446";"406"
"fbfa-283c-679f-c8a3-a904-28df-1320-844e";"120606";"31";"8";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Krzeszowicach, ul. Szkolna 7, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"791";"880";"206";"585";"2";"6";"0";"0";"0";"0";"0";"0";"0";"585";"0";"0";"585";"21";"4";"17";"0";"564";"253";"311"
"6316-7482-3949-3a8e-14d4-fe3f-4cff-4f78";"120606";"31";"9";"wieś";"stały";"Remiza OSP w Czernej, Czerna 325, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"814";"879";"227";"586";"4";"1";"0";"0";"0";"0";"0";"0";"0";"586";"0";"0";"586";"13";"5";"8";"0";"573";"179";"394"
"1386-c270-ca0c-8f56-2362-8cec-3a23-3efd";"120606";"31";"10";"wieś";"stały";"Szkoła Podstawowa w Paczółtowicach, Paczółtowice 2, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"660";"730";"207";"453";"5";"3";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"17";"3";"14";"0";"436";"124";"312"
"370b-fc07-520c-367b-00c5-ce0f-4d38-3ea6";"120606";"31";"11";"wieś";"stały";"Budynek Komunalny w Siedlcu, Siedlec 5, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"770";"843";"201";"569";"1";"7";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"26";"6";"20";"0";"543";"240";"303"
"5fe8-cefa-c66d-d907-7176-9135-c103-9a23";"120606";"31";"12";"wieś";"stały";"Szkoła Podstawowa w Nawojowej Górze, Nawojowa Góra ul. Szkolna 1, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"1398";"1537";"456";"942";"0";"8";"0";"0";"0";"0";"0";"0";"0";"942";"0";"0";"942";"30";"10";"20";"0";"912";"490";"422"
"b26c-9128-ff78-6d78-4d09-4234-7e4f-4965";"120606";"31";"13";"wieś";"stały";"Szkoła Podstawowa w Filipowicach, Filipowice 554, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"1513";"1652";"486";"1027";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1027";"0";"0";"1027";"27";"10";"17";"0";"1000";"324";"676"
"c431-9a88-aa67-69ab-73f2-5d2d-6dd0-4b5f";"120606";"31";"14";"wieś";"stały";"Zespół Placówek Oświatowych w Woli Filipowskiej, Wola Filipowska ul. Szkolna 2, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"1040";"1137";"358";"681";"1";"7";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"24";"7";"17";"0";"657";"275";"382"
"c0d5-3935-ed83-5764-efa3-e78c-abdb-ce1c";"120606";"31";"15";"wieś";"stały";"Zespół Placówek Oświatowych w Woli Filipowskiej, Wola Filipowska ul. Szkolna 2, 32-065 Krzeszowice";"gm. Krzeszowice";"krakowski";"małopolskie";"981";"1069";"290";"691";"0";"2";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"28";"7";"21";"0";"663";"353";"310"
"8f56-f757-d13a-16f2-5a52-f516-ee26-a622";"120606";"31";"16";"wieś";"stały";"Szkoła Podstawowa w Rudnie, Rudno 48, 32-067 Tenczynek";"gm. Krzeszowice";"krakowski";"małopolskie";"550";"603";"222";"328";"0";"5";"0";"0";"0";"0";"0";"0";"0";"328";"0";"0";"328";"14";"5";"9";"0";"314";"134";"180"
"1617-dab4-840f-efb1-b3e6-773b-ac86-8535";"120606";"31";"17";"wieś";"stały";"Szkoła Podstawowa w Zalasiu, Zalas ul. Ludwika Siudy 6, 32-067 Tenczynek";"gm. Krzeszowice";"krakowski";"małopolskie";"829";"898";"281";"548";"0";"3";"0";"0";"0";"0";"0";"0";"0";"548";"0";"0";"548";"8";"2";"6";"0";"540";"226";"314"
"ec2d-ec8b-1d0a-4c17-5f59-0f2a-77dc-805d";"120606";"31";"18";"wieś";"stały";"Szkoła Podstawowa w Sance, Sanka 266, 32-067 Tenczynek";"gm. Krzeszowice";"krakowski";"małopolskie";"1100";"1213";"342";"758";"1";"2";"0";"0";"0";"0";"0";"0";"0";"758";"0";"0";"758";"34";"5";"29";"0";"724";"259";"465"
"7ed0-d08a-ddbf-eaba-dfa1-8eaa-a805-13ea";"120606";"31";"19";"wieś";"stały";"Szkoła Podstawowa w Tenczynku, ul. Szkolna 6, 32-067 Tenczynek";"gm. Krzeszowice";"krakowski";"małopolskie";"1039";"1139";"328";"711";"0";"8";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"22";"4";"18";"0";"688";"368";"320"
