"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Tomasz Paweł GRODZKI";"Małgorzata Anna JACYNA-WITT"
"7b9b-b739-8149-5869-d735-4697-4848-a8bb";"326201";"97";"113";"miasto";"stały";"Szkoła Podstawowa Nr 10, ul. Kazimierza Królewicza 63, 71-551 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1120";"1285";"211";"909";"1";"13";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"25";"2";"23";"0";"884";"581";"303"
"e65d-0b19-79f8-fb52-da2b-4dcf-1259-c0ae";"326201";"97";"114";"miasto";"stały";"Szkoła Podstawowa Nr 10, ul. Kazimierza Królewicza 63, 71-551 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1397";"1547";"451";"946";"0";"9";"0";"0";"0";"0";"0";"0";"0";"944";"0";"0";"944";"37";"8";"29";"0";"907";"543";"364"
"d3b3-4b62-755d-9267-7bab-e617-b329-2cba";"326201";"97";"115";"miasto";"stały";"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Cyryla i Metodego 43, 71-540 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1414";"1607";"314";"1100";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1100";"0";"0";"1100";"32";"10";"22";"0";"1068";"708";"360"
"fdae-f5ee-cd8c-d6ce-4880-ab28-e7dd-08a7";"326201";"97";"116";"miasto";"stały";"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Cyryla i Metodego 44, 71-540 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"970";"1056";"262";"708";"3";"6";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"32";"8";"24";"0";"676";"421";"255"
"6b79-f7bc-ade6-5619-5e49-9f03-af21-2381";"326201";"97";"117";"miasto";"stały";"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Cyryla i Metodego 44, 71-540 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1470";"1617";"412";"1058";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"37";"14";"23";"0";"1021";"621";"400"
"f608-a49f-2318-98d0-871b-4ee1-c511-e239";"326201";"97";"118";"miasto";"stały";"Szkoła Podstawowa Nr 41 z Oddziałami Integracyjnymi, ul. Cyryla i Metodego 43, 71-540 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1696";"1888";"433";"1263";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1259";"0";"0";"1259";"40";"11";"29";"0";"1219";"780";"439"
"b39b-b3bd-e012-5616-f57d-285d-c713-a52d";"326201";"97";"119";"miasto";"stały";"Rada Osiedla Niebuszewo – Bolinko, ul. Niemcewicza 39, 71-553 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1920";"2106";"564";"1356";"4";"12";"0";"0";"0";"0";"0";"0";"0";"1356";"0";"0";"1356";"55";"9";"46";"0";"1301";"843";"458"
"40d8-e010-ecd6-b832-b8b3-b267-0540-555d";"326201";"97";"120";"miasto";"stały";"Zespół Szkół Łączności, ul. Ku Słońcu 27/30, 71-080 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"740";"824";"167";"573";"3";"11";"0";"0";"0";"0";"0";"0";"0";"573";"0";"0";"573";"12";"1";"11";"0";"561";"370";"191"
"494f-00c7-4d0a-ebea-5bc0-dd93-f5ed-8e2d";"326201";"97";"121";"miasto";"stały";"Szkoła Podstawowa Nr 51, ul. Mikołajczyka 20, 71-075 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1260";"1484";"219";"1041";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"31";"11";"20";"0";"1007";"694";"313"
"b9b7-615e-1459-e6c3-f7fb-f00a-5bcc-6ec8";"326201";"97";"122";"miasto";"stały";"Szkoła Podstawowa Nr 51, ul. Mikołajczyka 20, 71-075 Szczecin";"m. Szczecin";"Szczecin";"zachodniopomorskie";"1200";"1316";"409";"791";"0";"3";"0";"0";"0";"0";"0";"0";"0";"784";"0";"3";"781";"36";"10";"26";"0";"745";"463";"282"
