"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Artur Ryszard PIEGDOŃ";"Sławomir SADOWSKI";"Jerzy WCISŁA"
"cc64-09f2-1968-230f-14d6-e0bc-27d7-420f";"280101";"84";"11";"miasto";"stały";"Szkoła Podstawowa Nr 8 z UJN, ul. Leśna 1, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"780";"884";"272";"508";"2";"36";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"6";"2";"4";"0";"502";"71";"182";"249"
"87c7-3840-5f57-baa0-dd8f-6ac8-aec1-b27e";"280101";"84";"12";"miasto";"zakład leczniczy";"Szpital Powiatowy w Bartoszycach, ul. Kardynała Wyszyńskiego 11, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"120";"139";"94";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"4";"0";"4";"0";"22";"4";"12";"6"
"8260-2f9a-b4d6-461d-75fe-8204-f32f-5044";"280101";"84";"13";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Boh. Monte Cassino 4, 11-200 Bartoszyce";"m. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"53";"69";"32";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"1";"0";"1";"0";"20";"2";"16";"2"
"1ce7-74c6-7b51-245b-5856-ebc1-f601-e7d8";"280102";"84";"1";"miasto";"stały";"Ośrodek Kultury, Kościuszki 26, 11-220 Górowo Iławeckie";"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"1452";"1572";"581";"871";"2";"2";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"17";"2";"15";"0";"854";"118";"321";"415"
"1349-5ac8-a4a2-748b-a2ff-c8f9-6100-a42a";"280102";"84";"2";"miasto";"stały";"Sala gimnastyczna Szkoły Podstawowej, Generała Sikorskiego 22, 11-220 Górowo Iławeckie";"m. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"1534";"1645";"688";"846";"1";"5";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"21";"5";"16";"0";"825";"132";"320";"373"
"31f6-6d97-6b85-5ea2-778b-a622-1321-cf6a";"280103";"84";"1";"wieś";"stały";"Młodzieżowy Dom Kultury w Bartoszycach, ul. Boh. Warszawy 6, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1580";"1705";"749";"831";"0";"7";"0";"0";"0";"0";"0";"0";"0";"831";"0";"0";"831";"21";"3";"18";"0";"810";"145";"348";"317"
"6b91-f504-cd7d-59e5-b433-1348-9ee7-7cff";"280103";"84";"2";"wieś";"stały";"Dom Kultury w Bezledach, Bezledy 47, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1085";"1144";"496";"589";"2";"0";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"1";"0";"1";"0";"588";"95";"340";"153"
"feda-7bb8-37fd-4a0f-071b-a78d-e1da-a38c";"280103";"84";"3";"wieś";"stały";"Świetlica Wiejska, Galiny 36, 11-214 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"1348";"1478";"653";"695";"2";"6";"0";"0";"0";"0";"0";"0";"0";"695";"0";"0";"695";"18";"18";"0";"0";"677";"153";"336";"188"
"f0e3-24fc-dd21-7672-6b94-0aa0-853d-97b5";"280103";"84";"4";"wieś";"stały";"Świetlica Wiejska w Kinkajmach, Kinkajmy 16C, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"559";"624";"275";"284";"0";"14";"0";"0";"0";"0";"0";"0";"0";"284";"0";"0";"284";"13";"3";"10";"0";"271";"38";"138";"95"
"79de-a3dc-8f55-e7b8-b7a8-66e4-eb52-c1f0";"280103";"84";"5";"wieś";"stały";"Dom Kultury w Łabędniku, Łabędnik 11, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"930";"1009";"523";"407";"0";"7";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"9";"5";"4";"0";"398";"74";"211";"113"
"42d4-a7ac-a192-e53a-2543-3f4c-a03d-c31a";"280103";"84";"6";"wieś";"stały";"Dom Kultury w Rodnowie, Rodnowo 10, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"575";"622";"306";"269";"0";"3";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"9";"1";"8";"0";"260";"56";"114";"90"
"fb94-0117-d0e4-0831-0175-a1c1-6cae-c59b";"280103";"84";"7";"wieś";"stały";"Gminny Ośrodek Kultury w Tolko, Tolko 1, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"680";"727";"368";"312";"0";"1";"0";"0";"0";"0";"0";"0";"0";"312";"0";"0";"312";"11";"0";"11";"0";"301";"54";"156";"91"
"531f-6fa3-bfe3-7c1a-4ed4-ad74-db02-d7f1";"280103";"84";"8";"wieś";"stały";"Dom Kultury w Wojciechach, Wojciechy 68, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"571";"621";"279";"292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"292";"0";"0";"292";"9";"4";"5";"0";"283";"47";"156";"80"
"0c39-0e98-c83f-b549-bc72-13eb-3424-5fce";"280103";"84";"9";"wieś";"stały";"Szkoła Podstawowa w Żydowie, Żydowo 2, 11-200 Bartoszyce";"gm. Bartoszyce";"bartoszycki";"warmińsko-mazurskie";"497";"534";"230";"267";"0";"5";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"7";"1";"6";"0";"260";"51";"145";"64"
"07c7-716c-4615-8bc1-30f6-57bc-a5d9-8321";"280104";"84";"1";"miasto";"stały";"Ośrodek Kultury i Aktywności Lokalnej w Bisztynku, ul. Ogrodowa 2, 11-230 Bisztynek";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";"848";"916";"437";"411";"0";"4";"0";"0";"0";"0";"0";"0";"0";"411";"0";"0";"411";"9";"1";"8";"0";"402";"85";"154";"163"
"fd81-5ac6-45a6-60eb-ebdd-96f5-af81-481b";"280104";"84";"2";"miasto";"stały";"Ośrodek Kultury i Aktywności Lokalnej w Bisztynku, ul. Ogrodowa 2, 11-230 Bisztynek";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";"904";"949";"371";"533";"0";"3";"0";"0";"0";"0";"0";"0";"0";"533";"0";"0";"533";"13";"2";"11";"0";"520";"118";"185";"217"
"61be-4a0c-9fbc-a8e7-afc7-8506-b6ed-d98c";"280104";"84";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Bisztynku, ul. Kolejowa 5, 11-230 Bisztynek";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";"701";"762";"418";"283";"0";"0";"0";"0";"0";"0";"0";"0";"0";"283";"0";"0";"283";"7";"2";"5";"0";"276";"64";"109";"103"
"bb1b-679b-74b8-5c00-ce34-716f-1ea7-3fc4";"280104";"84";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Bisztynku, ul. Kolejowa 5, 11-230 Bisztynek";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";"634";"681";"389";"245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"3";"0";"3";"0";"242";"47";"138";"57"
"32be-4ae0-bed8-c2a4-eba6-f5dc-1526-5128";"280104";"84";"5";"wieś";"stały";"Szkoła Podstawowa w Sątopach, Sątopy 1, 11-230 Bisztynek";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";"946";"1004";"614";"332";"0";"7";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"7";"0";"7";"0";"325";"66";"179";"80"
"316d-2cf5-3c01-67c8-b29f-4c47-a87c-0408";"280104";"84";"6";"wieś";"stały";"Świetlica Sątopy-Samulewo, Sątopy-Samulewo 20B/2, 11-230 Bisztynek";"gm. Bisztynek";"bartoszycki";"warmińsko-mazurskie";"623";"683";"300";"323";"1";"0";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"12";"2";"10";"0";"311";"75";"143";"93"
"2060-d1aa-99e3-d935-4639-1e07-9e8b-c916";"280105";"84";"1";"wieś";"stały";"Zespół Szkół z Ukraińskim Językiem Nauczania w Górowie Iławeckim, ul. Szkolna 6, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"1090";"1192";"683";"407";"0";"9";"0";"0";"0";"0";"0";"0";"0";"407";"0";"0";"407";"17";"1";"16";"0";"390";"62";"193";"135"
"75b0-fd81-6670-932b-9761-3645-60fb-2519";"280105";"84";"2";"wieś";"stały";"Dom Pomocy Społecznej ""Senior"", Kamińsk ul. Topolowa 8a, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"969";"1033";"518";"451";"0";"1";"0";"0";"0";"0";"0";"0";"0";"451";"0";"0";"451";"7";"0";"7";"0";"444";"89";"159";"196"
"b44e-ad3e-c0bd-0b32-fb04-97cb-2b00-cb9b";"280105";"84";"3";"wieś";"stały";"Szkoła Podstawowa w Kandytach, Kandyty 77, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"1033";"1140";"638";"395";"1";"2";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"19";"3";"16";"0";"376";"76";"141";"159"
"92d8-c528-1496-dfaf-98b8-e803-1ee4-3d80";"280105";"84";"4";"wieś";"stały";"Szkoła Filialna w Pieszkowie, Pieszkowo 38, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"751";"817";"420";"331";"0";"1";"0";"0";"0";"0";"0";"0";"0";"331";"0";"0";"331";"10";"0";"10";"0";"321";"29";"186";"106"
"d5cd-9442-8a13-a481-cb7d-09cf-f2ea-9f4f";"280105";"84";"5";"wieś";"stały";"Świetlica, Gałajny 9/1, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"662";"723";"413";"249";"0";"2";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"8";"0";"8";"0";"241";"32";"110";"99"
"c9d3-4861-b9a2-2787-bff5-1dc7-8bd2-6c31";"280105";"84";"6";"wieś";"stały";"Świetlica, Bukowiec 41, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"390";"421";"233";"157";"1";"0";"0";"0";"0";"0";"0";"0";"0";"157";"0";"0";"157";"7";"0";"7";"0";"150";"24";"82";"44"
"3464-54c0-4c3f-9c13-7295-2cb5-ea1a-c980";"280105";"84";"7";"wieś";"zakład karny";"Zakład Karny, Kamińsk ul. Obrońców Westerplatte 1, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"995";"1034";"679";"316";"0";"0";"0";"0";"0";"0";"0";"0";"0";"316";"0";"0";"316";"12";"0";"12";"0";"304";"50";"46";"208"
"7b95-2f16-f7f9-8269-9123-afca-ac88-a2d6";"280105";"84";"8";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Kamińsk ul. Obrońców Westerplatte 10, 11-220 Górowo Iławeckie";"gm. Górowo Iławeckie";"bartoszycki";"warmińsko-mazurskie";"28";"28";"10";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"18";"3";"0";"3";"0";"15";"6";"7";"2"
"b674-6ef1-9be6-d92b-1c07-602f-d12a-ed3d";"280106";"84";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Sępopolu, al. Wojska Polskiego 8, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"1472";"1589";"724";"748";"1";"28";"0";"0";"0";"0";"0";"0";"0";"748";"0";"0";"748";"17";"0";"17";"0";"731";"117";"327";"287"
"bf26-a545-a9bd-f6bb-b756-6fd3-8df3-a7e3";"280106";"84";"2";"wieś";"stały";"Miejsko Gminny Ośrodek Kultury w Sępopolu, ul. Mostowa 3, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"632";"687";"365";"267";"0";"7";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"9";"0";"9";"0";"258";"42";"148";"68"
"cb2e-5460-a3ac-98dd-e731-21cb-8a3b-d045";"280106";"84";"3";"wieś";"stały";"Świetlica Wiejska w Wodukajmach, Wodukajmy 20, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"672";"715";"444";"228";"0";"0";"0";"0";"0";"0";"0";"0";"0";"228";"0";"0";"228";"11";"3";"8";"0";"217";"29";"120";"68"
"11ff-7635-7cb3-0034-375b-7feb-5766-b7a3";"280106";"84";"4";"wieś";"stały";"Szkoła Podstawowa w Dzietrzychowie, Dzietrzychowo 10, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"657";"705";"411";"246";"0";"0";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"5";"1";"4";"0";"241";"38";"140";"63"
"87e7-7f6b-9a0d-d4e7-1008-3578-78cc-0318";"280106";"84";"5";"wieś";"stały";"Szkoła Podstawowa w Wiatrowcu, Wiatrowiec 2, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"504";"552";"278";"226";"1";"0";"0";"0";"0";"0";"0";"0";"0";"226";"0";"0";"226";"6";"3";"3";"0";"220";"34";"133";"53"
"5313-3dc5-a095-1f69-0864-db33-e745-e883";"280106";"84";"6";"wieś";"stały";"Świetlica Wiejska w Smolance, Smolanka 20, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"626";"688";"342";"284";"0";"2";"0";"0";"0";"0";"0";"0";"0";"284";"0";"0";"284";"8";"1";"7";"0";"276";"50";"138";"88"
"a69e-bc3c-9395-057c-85e1-1833-e2d7-a130";"280106";"84";"7";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Szczurkowie Szczurkowo 25, 11 - 210 Sępopol, Szczurkowo 25, 11-210 Sępopol";"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";"29";"37";"11";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"18";"6";"2";"4";"0";"12";"1";"10";"1"
"50e0-9772-fc23-61e2-eb18-b8af-320b-b1e5";"280201";"84";"1";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, Rzemieślnicza 1, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1416";"1553";"574";"842";"6";"0";"0";"0";"0";"0";"0";"0";"0";"842";"0";"0";"842";"28";"5";"23";"0";"814";"161";"252";"401"
"703a-ac6a-2b6d-3387-c1e3-ac81-0f70-cda6";"280201";"84";"2";"miasto";"stały";"Szkoła Podstawowa Nr 6, Konarskiego 13, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1366";"1481";"514";"852";"1";"6";"0";"0";"0";"0";"0";"0";"0";"852";"0";"0";"852";"21";"9";"12";"0";"831";"166";"293";"372"
"9973-d04a-c436-2e22-a215-dd4f-6f5f-eaf3";"280201";"84";"3";"miasto";"stały";"Zespół Szkół Budowlanych, Wiejska 2, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1469";"1614";"666";"803";"1";"1";"0";"0";"0";"0";"0";"0";"0";"803";"0";"0";"803";"33";"21";"12";"0";"770";"157";"299";"314"
"2578-2110-1b11-721e-7dfb-cb0d-c8b1-b8a7";"280201";"84";"4";"miasto";"stały";"Braniewskie Centrum Kultury, Katedralna 9, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1430";"1559";"565";"865";"0";"9";"0";"0";"0";"0";"0";"0";"0";"865";"0";"0";"865";"20";"2";"18";"0";"845";"160";"283";"402"
"4b57-3aa6-e49b-91f8-823c-a5f0-e74b-2daa";"280201";"84";"5";"miasto";"stały";"Szkoła Podstawowa Nr 5, Moniuszki 22a, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1590";"1732";"605";"985";"2";"5";"0";"0";"0";"0";"0";"0";"0";"985";"0";"0";"985";"29";"8";"21";"0";"956";"188";"356";"412"
"b978-0897-c366-d13d-e069-8c72-c9ce-5f71";"280201";"84";"6";"miasto";"stały";"Przedszkole Miejskie Nr 4, Sucharskiego 19, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1585";"1764";"525";"1060";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1060";"0";"0";"1060";"18";"5";"13";"0";"1042";"239";"268";"535"
"2371-e097-d1e1-cff5-d8b6-5115-7a89-75ad";"280201";"84";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, PCK 4, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1406";"1513";"539";"867";"1";"7";"0";"0";"0";"0";"0";"0";"0";"867";"0";"0";"867";"11";"7";"4";"0";"856";"181";"311";"364"
"541f-1922-e67b-3b04-d27f-cfe5-9b1b-dedd";"280201";"84";"8";"miasto";"stały";"Przedszkole Miejskie Nr 2, Różana 14, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"1664";"1802";"620";"1044";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1044";"0";"0";"1044";"23";"8";"15";"0";"1021";"210";"344";"467"
"23d8-e9f5-1666-0faf-8ba7-2744-e1fb-a3e3";"280201";"84";"9";"miasto";"zakład leczniczy";"Powiatowe Centrum Medyczne Spółka z o. o. w Braniewie, Moniuszki 13, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"60";"58";"49";"11";"0";"2";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"11";"0";"0";"0";"0";"11";"1";"7";"3"
"85ba-b5b9-0fb6-cc55-ff2d-00ea-7aae-a868";"280201";"84";"10";"miasto";"zakład karny";"Oddział Zewnętrzny w Braniewie Aresztu Śledczego w Elblągu, Plac Grunwaldu 2A, 14-500 Braniewo";"m. Braniewo";"braniewski";"warmińsko-mazurskie";"190";"187";"93";"97";"0";"0";"0";"0";"0";"0";"0";"0";"0";"97";"0";"0";"97";"1";"0";"1";"0";"96";"20";"29";"47"
"67f8-5ae1-a8e2-85a2-ce17-2df3-ce8f-1615";"280202";"84";"1";"wieś";"stały";"Urząd Gminy w Braniewie, ul. Moniuszki 5, 14-500 Braniewo";"gm. Braniewo";"braniewski";"warmińsko-mazurskie";"1420";"1543";"738";"682";"1";"2";"0";"0";"0";"0";"0";"0";"0";"682";"0";"0";"682";"20";"4";"16";"0";"662";"148";"281";"233"
"3fb1-f7bf-037c-e56d-3a9c-f943-e691-5dcb";"280202";"84";"2";"wieś";"stały";"Szkoła Filialna w Szylenach, Szyleny 13, 14-500 Braniewo";"gm. Braniewo";"braniewski";"warmińsko-mazurskie";"703";"766";"366";"337";"0";"2";"0";"0";"0";"0";"0";"0";"0";"337";"0";"0";"337";"7";"2";"5";"0";"330";"96";"153";"81"
"edc3-9d83-aa34-ca3c-fc9f-f3e5-cb9f-b0df";"280202";"84";"3";"wieś";"stały";"Budynek świetlicy wiejskiej w Lipowinie, Lipowina 31A, 14-500 Braniewo";"gm. Braniewo";"braniewski";"warmińsko-mazurskie";"1070";"1179";"595";"475";"1";"0";"0";"0";"0";"0";"0";"0";"0";"475";"0";"0";"475";"12";"5";"7";"0";"463";"127";"221";"115"
"c1d5-26b1-8b45-906f-66d6-67e7-39b3-7202";"280202";"84";"4";"wieś";"stały";"Budynek świetlicy wiejskiej w Żelaznej Górze, Żelazna Góra 24, 14-500  Braniewo";"gm. Braniewo";"braniewski";"warmińsko-mazurskie";"569";"630";"287";"282";"1";"2";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"0";"0";"0";"0";"282";"86";"119";"77"
"eb4d-9839-4ab7-7900-ef1c-43c3-0c9b-fe22";"280202";"84";"5";"wieś";"stały";"Budynek świetlicy wiejskiej w Gronowie, Gronowo 15, 14-500 Braniewo";"gm. Braniewo";"braniewski";"warmińsko-mazurskie";"635";"654";"372";"263";"0";"2";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"4";"3";"1";"0";"259";"102";"80";"77"
