"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni SZYMAŃSKI";"Ryszard Jan ŚWILSKI"
"8bc9-008d-07cd-0a67-55fe-709d-b93c-fb3c";"220401";"66";"11";"miasto";"stały";"Niepubliczne Przedszkole im. Janusza Korczaka, ul. Żwirki i Wigury 8, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1910";"2094";"503";"1407";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1406";"0";"0";"1406";"44";"15";"29";"0";"1362";"384";"978"
"3b35-6e73-bba3-f45d-7b73-e64d-c090-2ed7";"220401";"66";"12";"miasto";"stały";"Hala Widowiskowo-Sportowa przy ZSO Nr 1, ul. Juliana Ursyna Niemcewicza 1, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1110";"1195";"333";"777";"1";"4";"0";"0";"0";"0";"0";"0";"0";"777";"0";"0";"777";"28";"8";"20";"0";"749";"209";"540"
"3b16-c633-7dd2-9ae8-9341-39f6-1f02-7d26";"220401";"66";"13";"miasto";"stały";"Hala Widowiskowo-Sportowa przy ZSO Nr 1, ul. Juliana Ursyna Niemcewicza 1, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"872";"961";"189";"683";"1";"4";"0";"0";"0";"0";"0";"0";"0";"683";"0";"0";"683";"9";"4";"5";"0";"674";"160";"514"
"d40f-1e4e-8516-e718-3383-a064-e1ab-29cd";"220401";"66";"14";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Jana Kasprowicza 16, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"2160";"2386";"380";"1780";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1777";"0";"0";"1777";"40";"24";"16";"0";"1737";"427";"1310"
"f10f-bf75-5100-6573-5c3a-5e83-bfa7-5d54";"220401";"66";"15";"miasto";"stały";"Szkoła Podstawowa nr 4, ul. Jana Kasprowicza 16, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1140";"1236";"238";"902";"1";"14";"0";"0";"0";"0";"0";"0";"0";"902";"0";"1";"901";"27";"6";"21";"0";"874";"249";"625"
"10f0-a0b8-cc3e-0bf3-12cb-13ea-3acc-9058";"220401";"66";"16";"miasto";"stały";"Oddziały Przedszkolne w Szkole Podstawowej Nr 4, ul. Jana Kochanowskiego 8, 83-000 Pruszcz Gdański";"m. Pruszcz Gdański";"gdański";"pomorskie";"1140";"1239";"324";"816";"1";"2";"0";"0";"0";"0";"0";"0";"0";"815";"0";"0";"815";"23";"12";"11";"0";"792";"239";"553"
"5c47-9481-0e74-f45f-6cf8-0835-05a8-3fa9";"220402";"66";"1";"wieś";"stały";"Szkoła Podstawowa w Cedrach Małych, Cedry Małe ul. Żuławska 58, 83-020 Cedry Wielkie";"gm. Cedry Wielkie";"gdański";"pomorskie";"1330";"1458";"586";"744";"0";"6";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"35";"9";"26";"0";"709";"317";"392"
"c36b-b0a2-2535-2099-68a5-1693-c507-f0f7";"220402";"66";"2";"wieś";"stały";"Żuławski Ośrodek Kultury i Sportu w Cedrach Wielkich, ul. Osadników Wojskowych 8, 83-020 Cedry Wielkie";"gm. Cedry Wielkie";"gdański";"pomorskie";"1661";"1822";"684";"977";"1";"10";"0";"0";"0";"0";"0";"0";"0";"977";"0";"0";"977";"22";"7";"15";"0";"955";"351";"604"
"7885-92dd-a81c-f4cb-4a1e-8b57-d962-6359";"220402";"66";"3";"wieś";"stały";"Przedszkole Samorządowe Nr 2 Oddział zamiejscowy w Trutnowach, Trutnowy ul. Św. Piotra i Pawła 3, 83-020 Cedry Wielkie";"gm. Cedry Wielkie";"gdański";"pomorskie";"1160";"1262";"512";"648";"0";"3";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"22";"1";"21";"0";"626";"253";"373"
"a1b1-7b95-6259-a004-deb4-2f1d-811b-2c7a";"220402";"66";"4";"wieś";"stały";"Świetlica Wiejska w Koszwałach, Koszwały ul. Lipowa 15, 83-011 Wiślinka";"gm. Cedry Wielkie";"gdański";"pomorskie";"570";"623";"197";"373";"0";"2";"0";"0";"0";"0";"0";"0";"0";"373";"0";"0";"373";"10";"1";"9";"0";"363";"116";"247"
"969a-6c6b-27a3-bc04-4e91-2929-98a3-5f3a";"220403";"66";"1";"wieś";"stały";"Urząd Gminy w Kolbudach (sala GOK), ul. Staromłyńska 1, 83-050 Kolbudy";"gm. Kolbudy";"gdański";"pomorskie";"2080";"2270";"526";"1554";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1553";"0";"0";"1553";"55";"17";"38";"0";"1498";"567";"931"
"e9c3-173b-eea7-5836-4804-ff40-5b26-af02";"220403";"66";"2";"wieś";"stały";"Zespół Kształcenia i Wychowania w Kolbudach, ul. Gen. Józefa Wybickiego 33, 83-050 Kolbudy";"gm. Kolbudy";"gdański";"pomorskie";"1810";"1977";"387";"1423";"2";"10";"1";"1";"0";"0";"0";"0";"1";"1424";"1";"0";"1424";"39";"16";"23";"0";"1385";"474";"911"
"67e4-0a75-070b-2c2c-7f6e-b2c6-8a22-0852";"220403";"66";"3";"wieś";"stały";"Szkoła Podstawowa w Pręgowie (sala gimnastyczna), Pręgowo ul. Brzozowa 1, 83-050 Kolbudy";"gm. Kolbudy";"gdański";"pomorskie";"2174";"2383";"716";"1458";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1457";"0";"0";"1457";"40";"14";"26";"0";"1417";"449";"968"
"d1a2-f95a-849e-5277-87de-1d05-0b6c-3938";"220403";"66";"4";"wieś";"stały";"Budynek gospodarczy (świetlica wiejska), Bąkowo ul. Otomińska 6, 83-050 Kolbudy";"gm. Kolbudy";"gdański";"pomorskie";"2084";"2281";"453";"1631";"0";"14";"1";"1";"0";"0";"0";"0";"1";"1632";"1";"0";"1632";"49";"14";"35";"0";"1583";"421";"1162"
"04ed-3191-24c4-ecb6-7078-cd9a-1019-b27e";"220403";"66";"5";"wieś";"stały";"Szkoła Podstawowa w Kowalach, Kowale ul. Apollina 7, 80-180 Gdańsk";"gm. Kolbudy";"gdański";"pomorskie";"2205";"2492";"406";"1799";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1799";"0";"0";"1799";"45";"14";"31";"0";"1754";"438";"1316"
"a5f4-4f30-b74a-c29e-6572-d29a-9838-2756";"220403";"66";"6";"wieś";"stały";"Dom Kultury w Kowalach, Kowale ul. Glazurowa 1, 80-180 Gdańsk";"gm. Kolbudy";"gdański";"pomorskie";"760";"830";"156";"604";"0";"0";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"604";"16";"2";"14";"0";"588";"126";"462"
"2474-a00d-0a12-48d9-a715-9b90-12c6-6255";"220403";"66";"7";"wieś";"stały";"Urząd Gminy w Kolbudach (pok. 101 - sala ślubów), Staromłyńska 1, 83-050 Kolbudy";"gm. Kolbudy";"gdański";"pomorskie";"752";"825";"244";"508";"0";"2";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"8";"1";"7";"0";"500";"190";"310"
"d34e-dde5-91cc-047f-609a-a45a-88ad-f010";"220404";"66";"1";"wieś";"stały";"Świetlica Wiejska w Jagatowie, Jagatowo ul. Żurawia 27, 83-010 Straszyn";"gm. Pruszcz Gdański";"gdański";"pomorskie";"851";"941";"263";"588";"0";"5";"0";"0";"0";"0";"0";"0";"0";"587";"0";"0";"587";"12";"2";"10";"0";"575";"194";"381"
"904d-13e3-a313-468a-43a9-86e0-0ee7-a095";"220404";"66";"2";"wieś";"stały";"Szkoła Podstawowa im. Romualda Traugutta w Wojanowie, Wojanowo ul. Parkowa 4, 83-000 Pruszcz Gdański";"gm. Pruszcz Gdański";"gdański";"pomorskie";"691";"755";"356";"335";"0";"0";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"17";"3";"14";"0";"318";"138";"180"
"2031-d393-c2d1-883c-c715-7182-ffcc-f41a";"220404";"66";"3";"wieś";"stały";"Szkoła Podstawowa im. Ignacego Krasickiego w Straszynie, ul. Starogardzka 48, 83-010 Straszyn";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1687";"1813";"395";"1292";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1292";"0";"0";"1292";"40";"9";"31";"0";"1252";"320";"932"
"f7df-fded-52fb-da43-6df2-492c-c3ee-5124";"220404";"66";"4";"wieś";"stały";"Szkoła Podstawowa im. Ignacego Krasickiego w Straszynie, ul. Starogardzka 48, 83-010 Straszyn";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1840";"2024";"399";"1441";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1441";"0";"0";"1441";"36";"12";"24";"0";"1405";"337";"1068"
"5fcf-1a47-6509-32f4-3c14-3a13-5207-154e";"220404";"66";"5";"wieś";"stały";"Szkoła Podstawowa im. Karola Wojtyły w Rotmance, Rotmanka Aleja Piłsudskiego 37, 83-010 Straszyn";"gm. Pruszcz Gdański";"gdański";"pomorskie";"2296";"2535";"352";"1965";"1";"23";"0";"0";"0";"0";"0";"0";"0";"1963";"0";"0";"1963";"45";"28";"17";"0";"1918";"559";"1359"
"8aaa-6869-87de-f747-ebbb-e0e3-1cc6-8bb2";"220404";"66";"6";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Borkowie, Borkowo ul. Akacjowa 2, 80-180 Gdańsk";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1314";"1480";"165";"1148";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"36";"23";"13";"0";"1112";"234";"878"
"de8b-3dc0-f4b2-73e0-f9f0-7980-a564-e4a1";"220404";"66";"7";"wieś";"stały";"Świetlica Wiejska w Juszkowie, Juszkowo ul. Sportowa 10a, 83-000 Pruszcz Gdański";"gm. Pruszcz Gdański";"gdański";"pomorskie";"2214";"2432";"452";"1761";"3";"9";"1";"1";"0";"0";"0";"0";"1";"1763";"1";"0";"1763";"49";"21";"28";"0";"1714";"485";"1229"
"185d-bcd4-742a-1f25-f68f-a8fc-4c3d-2185";"220404";"66";"8";"wieś";"stały";"Szkoła Podstawowa im. Orła Białego w Wiślince, ul. Szkolna 10, 83-011 Wiślinka";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1505";"1631";"465";"1040";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"31";"11";"20";"0";"1007";"363";"644"
"cd13-014b-10f9-d9b6-79d0-cd3a-677a-e399";"220404";"66";"9";"wieś";"stały";"Centrum Profilaktyki Uzależnień w Rokitnicy, Rokitnica ul. Bałtycka 3C, 83-021 Wiślina";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1407";"1568";"434";"972";"0";"10";"0";"0";"0";"0";"0";"0";"0";"972";"0";"0";"972";"24";"13";"11";"0";"948";"281";"667"
"94d5-83bb-20d2-687f-9b24-974b-1bf5-f70e";"220404";"66";"10";"wieś";"stały";"Szkoła Podstawowa im. Bohaterów Grudnia 70 w Łęgowie, ul. Szkolna 9, 83-031 Łęgowo";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1760";"1947";"484";"1276";"0";"33";"0";"0";"0";"0";"0";"0";"0";"1276";"0";"0";"1276";"30";"6";"24";"0";"1246";"427";"819"
"afae-682f-0083-6c07-7fb8-b0fd-ff94-5c68";"220404";"66";"11";"wieś";"stały";"Ośrodek Kultury, Sportu i Biblioteka Publiczna Gminy Pruszcz Gdański, Cieplewo ul. Długa 20a, 83-031 Łęgowo";"gm. Pruszcz Gdański";"gdański";"pomorskie";"790";"870";"167";"622";"0";"3";"0";"0";"0";"0";"0";"0";"0";"622";"0";"0";"622";"15";"5";"10";"0";"607";"184";"423"
"a2db-8561-e69b-5d35-37fe-a794-ce40-9d4b";"220404";"66";"12";"wieś";"stały";"Zespół Szkół Rolniczych Centrum Kształcenia Praktycznego im. Macieja Rataja w Rusocinie, Rusocin ul. Macieja Rataja 12, 83-031 Łęgowo";"gm. Pruszcz Gdański";"gdański";"pomorskie";"988";"1054";"371";"617";"1";"3";"0";"0";"0";"0";"0";"0";"0";"617";"0";"0";"617";"8";"2";"6";"0";"609";"203";"406"
"510e-ac84-b581-617f-7261-d159-c15e-4156";"220404";"66";"13";"wieś";"stały";"Szkoła Podstawowa im. Danuty Siedzikówny ""Inki"" w Wiślinie, ul. Mostowa 5, 83-021 Wiślina";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1162";"1282";"426";"736";"0";"2";"0";"0";"0";"0";"0";"0";"0";"736";"0";"0";"736";"32";"6";"26";"0";"704";"269";"435"
"6460-c571-6050-5b7d-9a02-bff1-f34f-00bd";"220404";"66";"14";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Borkowie, Borkowo ul. Akacjowa 2, 80-180 Gdańsk";"gm. Pruszcz Gdański";"gdański";"pomorskie";"1315";"1462";"250";"1064";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1064";"0";"0";"1064";"39";"19";"20";"0";"1025";"245";"780"
"0cf5-5c34-6e7f-5d1f-71a7-db5b-5b13-7519";"220405";"66";"1";"wieś";"stały";"Remiza Strażacka w Jodłownie, Jodłowno ul. Kasztanowa 21, 83-047 Przywidz";"gm. Przywidz";"gdański";"pomorskie";"1030";"1142";"351";"679";"0";"5";"0";"0";"0";"0";"0";"0";"0";"679";"0";"0";"679";"23";"2";"21";"0";"656";"246";"410"
"06fc-3aeb-bfa3-a0ff-2533-81dd-eb86-1486";"220405";"66";"2";"wieś";"stały";"Szkoła Podstawowa w Przywidzu, ul. Szkolna 1, 83-047 Przywidz";"gm. Przywidz";"gdański";"pomorskie";"1960";"2176";"661";"1299";"0";"28";"0";"0";"0";"0";"0";"0";"0";"1299";"0";"0";"1299";"48";"5";"43";"0";"1251";"513";"738"
"855f-bea4-8ece-84d6-f466-c8ce-b078-6267";"220405";"66";"3";"wieś";"stały";"Szkoła Podstawowa w Trzepowie, Borowina ul. Długa 1, 83-047 Przywidz";"gm. Przywidz";"gdański";"pomorskie";"1081";"1185";"426";"655";"0";"4";"0";"0";"0";"0";"0";"0";"0";"655";"0";"0";"655";"13";"3";"10";"0";"642";"316";"326"
"3852-25e4-50e6-0c9d-e98e-862e-00cb-a23b";"220406";"66";"1";"wieś";"stały";"Urząd Gminy w Pszczółkach, ul. Pomorska 20, 83-032 Pszczółki";"gm. Pszczółki";"gdański";"pomorskie";"1191";"1282";"453";"738";"0";"2";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"20";"3";"17";"0";"718";"225";"493"
"9807-8e2e-1b01-5a1b-9c8e-6ac9-f814-e2b3";"220406";"66";"2";"wieś";"stały";"Szkoła Podstawowa im. Bohaterów Ziemi Gdańskiej w Pszczółkach, ul. Szkolna 4, 83-032 Pszczółki";"gm. Pszczółki";"gdański";"pomorskie";"1161";"1258";"406";"755";"0";"6";"0";"0";"0";"0";"0";"0";"0";"755";"0";"0";"755";"27";"12";"15";"0";"728";"281";"447"
"41ff-6485-d6da-f449-0d7e-7e20-fc69-806e";"220406";"66";"3";"wieś";"stały";"Świetlica Wiejska w Skowarczu, Skowarcz ul. Gdańska 11, 83-032 Pszczółki";"gm. Pszczółki";"gdański";"pomorskie";"1109";"1237";"387";"722";"0";"0";"0";"0";"0";"0";"0";"0";"0";"721";"0";"0";"721";"20";"3";"17";"0";"701";"246";"455"
"a129-4e66-23c0-bbd7-422c-eac3-8e69-44c9";"220406";"66";"4";"wieś";"stały";"Świetlica Wiejska w Żelisławkach, Żelisławki ul. Rycerska 4, 83-032 Pszczółki";"gm. Pszczółki";"gdański";"pomorskie";"588";"640";"277";"311";"0";"1";"0";"0";"0";"0";"0";"0";"0";"311";"0";"0";"311";"7";"1";"6";"0";"304";"140";"164"
"17d9-ace5-08e6-7b05-e819-38a4-66fc-a8e8";"220406";"66";"5";"wieś";"stały";"Świetlica Wiejska w Różynach, Różyny ul. Różana Góra 7A, 83-031 Łęgowo";"gm. Pszczółki";"gdański";"pomorskie";"1200";"1325";"357";"843";"0";"0";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"31";"11";"20";"0";"812";"313";"499"
"5f4d-5b81-30ff-144f-5c9a-4c41-2322-3058";"220406";"66";"6";"wieś";"stały";"Szkoła Podstawowa im. Bohaterów Ziemi Gdańskiej w Pszczółkach, ul. Pomorska 25, 83-032 Pszczółki";"gm. Pszczółki";"gdański";"pomorskie";"920";"1002";"278";"642";"2";"5";"0";"0";"0";"0";"0";"0";"0";"642";"0";"0";"642";"19";"6";"13";"0";"623";"200";"423"
"143b-5800-35f5-a470-81bc-8585-a126-81a4";"220406";"66";"7";"wieś";"stały";"Fundacja ""Żyć godnie"" w Kolniku, Kolnik ul. Dębowa 4, 83-032 Pszczółki";"gm. Pszczółki";"gdański";"pomorskie";"430";"456";"157";"273";"0";"0";"0";"0";"0";"0";"0";"0";"0";"273";"0";"0";"273";"9";"3";"6";"0";"264";"99";"165"
"f684-d81b-3c8c-2464-8da4-c7a6-7178-0449";"220407";"66";"1";"wieś";"stały";"Szkoła Podstawowa im. Obrońców Westerplatte w Suchym Dębie, ul. Sportowa nr 11, 83-022 Suchy Dąb";"gm. Suchy Dąb";"gdański";"pomorskie";"1030";"1131";"392";"638";"0";"2";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"19";"3";"16";"0";"619";"227";"392"
"73dd-9d81-6337-bb05-8a4d-03f2-5f11-97f0";"220407";"66";"2";"wieś";"stały";"Świetlica Wiejska w Krzywym Kole, Krzywe Koło nr 45, 83-022 Suchy Dąb";"gm. Suchy Dąb";"gdański";"pomorskie";"1170";"1286";"608";"562";"0";"0";"0";"0";"0";"0";"0";"0";"0";"562";"0";"0";"562";"21";"9";"12";"0";"541";"243";"298"
"af2a-5ecd-e239-c2c6-ef82-78b2-3aa4-b0e0";"220407";"66";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Grabinach-Zameczku, Grabiny-Zameczek ul. Gdańska nr 88, 83-022 Suchy Dąb";"gm. Suchy Dąb";"gdański";"pomorskie";"770";"811";"329";"441";"0";"0";"0";"0";"0";"0";"0";"0";"0";"441";"0";"0";"441";"19";"3";"16";"0";"422";"141";"281"
"7b69-9d4c-1cee-a202-6431-92aa-00df-9121";"220408";"66";"1";"wieś";"stały";"Szkoła Podstawowa w Czerniewie, Czerniewo 9, 83-042 Ełganowo";"gm. Trąbki Wielkie";"gdański";"pomorskie";"1329";"1336";"560";"769";"1";"3";"0";"0";"0";"0";"0";"0";"0";"768";"0";"0";"768";"28";"22";"6";"0";"740";"260";"480"
"1b7e-0a4f-b7d6-6ed7-3164-10ae-06fb-0be7";"220408";"66";"2";"wieś";"stały";"Szkoła Podstawowa w Mierzeszynie, ul. Wolności 19, 83-041 Mierzeszyn";"gm. Trąbki Wielkie";"gdański";"pomorskie";"1350";"1504";"632";"718";"2";"6";"0";"0";"0";"0";"0";"0";"0";"718";"0";"0";"718";"39";"2";"37";"0";"679";"363";"316"
"c871-1890-c1f4-4017-701c-391d-683a-2423";"220408";"66";"3";"wieś";"stały";"Szkoła Podstawowa w Sobowidzu, ul. Tadeusza Kościuszki 18, 83-033 Sobowidz";"gm. Trąbki Wielkie";"gdański";"pomorskie";"1550";"1717";"678";"872";"0";"1";"0";"0";"0";"0";"0";"0";"0";"872";"0";"0";"872";"37";"7";"30";"0";"835";"389";"446"
"eb43-d5de-1a05-a835-85b0-2e60-66d5-2446";"220408";"66";"4";"wieś";"stały";"Szkoła Podstawowa w Trąbkach Wielkich, ul. Sportowa 2, 83-034 Trąbki Wielkie";"gm. Trąbki Wielkie";"gdański";"pomorskie";"2141";"2364";"916";"1224";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1224";"0";"0";"1224";"41";"8";"33";"0";"1183";"486";"697"
"b8ec-e0e3-8bae-74c8-c932-d0d4-1c49-dc76";"220408";"66";"5";"wieś";"stały";"Szkoła Podstawowa w Kłodawie, ul. Szkolna 10, 83-035 Kłodawa";"gm. Trąbki Wielkie";"gdański";"pomorskie";"1138";"1253";"382";"756";"0";"1";"0";"0";"0";"0";"0";"0";"0";"756";"0";"0";"756";"19";"3";"16";"0";"737";"313";"424"
"b632-98c5-135c-364b-2357-e85a-94f7-f3d8";"221301";"66";"1";"miasto";"stały";"Miejska Biblioteka Publiczna w Czarnej Wodzie, ul. Starogardzka 13, 83-262 Czarna Woda";"gm. Czarna Woda";"starogardzki";"pomorskie";"1239";"1346";"466";"773";"1";"2";"0";"0";"0";"0";"0";"0";"0";"773";"0";"0";"773";"31";"1";"30";"0";"742";"419";"323"
