"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Eryk MARTYNOWSKI";"Waldemar PAWLAK"
"dd5a-b324-6049-2a7b-2737-5a06-87e5-481e";"140403";"38";"5";"wieś";"dom pomocy społecznej";"Zakład Opiekuńczo-Leczniczy dla Dorosłych w Skrzeszewach, Skrzeszewy 26, 09-541 Pacyna";"gm. Pacyna";"gostyniński";"mazowieckie";"41";"36";"11";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"30";"2";"0";"2";"0";"28";"24";"4"
"992c-a2c2-0347-4a45-f521-60cd-13b8-913e";"140404";"38";"1";"wieś";"stały";"Była Szkoła Podstawowa w Brzezi, Brzezia 39A, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"330";"370";"118";"212";"1";"0";"0";"0";"0";"0";"0";"0";"0";"212";"0";"0";"212";"6";"3";"3";"0";"206";"124";"82"
"4576-ddfc-2dc2-a1da-ca40-bad8-60ee-12a0";"140404";"38";"2";"wieś";"stały";"Remiza OSP w Sielcach, Sielce 27A, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"301";"338";"129";"172";"1";"0";"0";"0";"0";"0";"0";"0";"0";"172";"0";"0";"172";"4";"0";"4";"0";"168";"128";"40"
"8052-5333-bd3a-4717-faa8-3589-3474-f8e3";"140404";"38";"3";"wieś";"stały";"Szkoła Podstawowa w Osmolinie, Osmolin ul. Sannicka 4, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"520";"577";"224";"296";"1";"0";"0";"0";"0";"0";"0";"0";"0";"296";"0";"0";"296";"12";"0";"12";"0";"284";"207";"77"
"5f46-e7e0-0cfa-7200-3ab3-d203-9fd2-c833";"140404";"38";"4";"miasto i wieś";"stały";"Remiza OSP w Sannikach, ul. Warszawska 119, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"650";"714";"210";"440";"6";"3";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"7";"2";"5";"0";"433";"269";"164"
"3a29-344c-7bf4-ed46-132b-006c-02cf-8f34";"140404";"38";"5";"miasto";"stały";"Siedziba Instytucji Gminnych, ul. Wólczyńska 75, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"590";"643";"197";"393";"1";"0";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"10";"1";"9";"0";"383";"227";"156"
"2cdd-e23c-913b-650b-65dd-f7d0-517d-b451";"140404";"38";"6";"miasto";"stały";"Siedziba Instytucji Gminnych, ul. Wólczyńska 75, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"530";"588";"228";"302";"2";"1";"0";"0";"0";"0";"0";"0";"0";"302";"0";"0";"302";"9";"1";"8";"0";"293";"156";"137"
"d763-cec8-bac7-61c0-5ce0-20cc-130f-e2ac";"140404";"38";"7";"wieś";"stały";"Remiza OSP w Wólce, Wólka Wysoka 5A, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"290";"322";"84";"206";"1";"0";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"3";"1";"2";"0";"203";"137";"66"
"e82d-b07d-9cc2-b42d-c8ab-a527-e58c-f7ba";"140404";"38";"8";"wieś";"stały";"Szkoła Podstawowa w Sannikach, ul. Warszawska 183, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"590";"657";"194";"396";"0";"0";"0";"0";"0";"0";"0";"0";"0";"396";"0";"0";"396";"5";"3";"2";"0";"391";"266";"125"
"02bb-d786-6b4e-ff86-e1a4-e1b5-60af-69ed";"140404";"38";"9";"wieś";"stały";"Remiza OSP w Lwówku, Lwówek 48, 09-540 Sanniki";"gm. Sanniki";"gostyniński";"mazowieckie";"260";"296";"111";"149";"0";"1";"0";"0";"0";"0";"0";"0";"0";"149";"0";"0";"149";"5";"0";"5";"0";"144";"99";"45"
