"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Grzegorz CZELEJ";"Paweł Adam GÓRNIK";"Krzysztof Zbigniew KAMIŃSKI"
"9ef0-afca-b808-b75d-7d2b-ad47-b26c-9556";"060505";"15";"8";"wieś";"stały";"Publiczna Szkoła Podstawowa w Białej Drugiej, Biała Druga 142, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"1052";"1123";"334";"718";"1";"5";"0";"0";"0";"0";"0";"0";"0";"718";"0";"0";"718";"13";"2";"11";"0";"705";"581";"45";"79"
"0975-1876-f524-19bb-6fc0-d82e-7be7-e481";"060505";"15";"9";"wieś";"stały";"Publiczna Szkoła Podstawowa w Momotach Górnych, Momoty Górne 23, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"710";"766";"254";"456";"0";"1";"0";"0";"0";"0";"0";"0";"0";"456";"0";"0";"456";"10";"1";"9";"0";"446";"346";"29";"71"
"77c3-f2fc-f049-2ae8-2853-5ce0-4c1f-f5a8";"060505";"15";"10";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej, Zamoyskiego 149, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"110";"144";"30";"80";"0";"1";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"80";"3";"1";"2";"0";"77";"57";"8";"12"
"4160-8082-a844-f8d3-f602-a0e8-ac53-278d";"060505";"15";"11";"miasto";"zakład leczniczy";"Niepubliczny Zakład Pielęgnacyjno-Opiekuńczy, Zamoyskiego 77, 23-300 Janów Lubelski";"gm. Janów Lubelski";"janowski";"lubelskie";"53";"60";"46";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"7";"0";"0";"0";"0";"7";"4";"1";"2"
"6120-1fcb-4b76-4487-f697-341e-2069-d3b2";"060506";"15";"1";"miasto";"stały";"Zespół Szkół, ul. Ogrodowa 2, 23-310 Modliborzyce";"gm. Modliborzyce";"janowski";"lubelskie";"1362";"1472";"504";"858";"5";"3";"0";"0";"0";"0";"0";"0";"0";"858";"0";"0";"858";"18";"2";"16";"0";"840";"591";"83";"166"
"6b2e-5c01-5c4a-3035-46f9-a41e-6560-14d5";"060506";"15";"2";"miasto";"stały";"Gminny Ośrodek Kultury, ul. Zamkowa 1, 23-310 Modliborzyce";"gm. Modliborzyce";"janowski";"lubelskie";"1111";"1205";"463";"648";"2";"11";"0";"0";"0";"0";"0";"0";"0";"648";"0";"0";"648";"15";"1";"14";"0";"633";"388";"49";"196"
"a84d-85b8-3de8-1a84-1a9d-beec-e488-633e";"060506";"15";"3";"wieś";"stały";"Remiza OSP, Zarajec 51, 23-310 Modliborzyce";"gm. Modliborzyce";"janowski";"lubelskie";"340";"369";"141";"199";"0";"0";"0";"0";"0";"0";"0";"0";"0";"199";"0";"0";"199";"9";"0";"9";"0";"190";"131";"23";"36"
"6f03-981b-ff80-1ac2-c268-82a6-ab9d-ee68";"060506";"15";"4";"wieś";"stały";"Świetlica Wiejska, Wolica Pierwsza 32, 23-310 Modliborzyce";"gm. Modliborzyce";"janowski";"lubelskie";"371";"406";"165";"206";"1";"0";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"4";"0";"4";"0";"202";"157";"17";"28"
"92a3-49cf-6726-d532-dc25-7790-cbd0-4aff";"060506";"15";"5";"wieś";"stały";"Zespół Placówek Oświatowych, Stojeszyn Pierwszy 5, 23-310 Modliborzyce";"gm. Modliborzyce";"janowski";"lubelskie";"770";"839";"323";"447";"1";"1";"0";"0";"0";"0";"0";"0";"0";"447";"0";"0";"447";"6";"4";"2";"0";"441";"353";"25";"63"
"bd93-facc-5b89-7ee0-4437-7ac1-b429-fd91";"060506";"15";"6";"wieś";"stały";"Remiza OSP, Wierzchowiska Pierwsze 153, 23-310 Modliborzyce";"gm. Modliborzyce";"janowski";"lubelskie";"1262";"1369";"541";"721";"4";"3";"0";"0";"0";"0";"0";"0";"0";"721";"0";"0";"721";"11";"5";"6";"0";"710";"547";"51";"112"
"dd1f-34d0-d94a-14d8-8941-520b-b7fd-6f01";"060507";"15";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa w Potoku Wielkim, Potok Wielki 104, 23-313 Potok Wielki";"gm. Potok Wielki";"janowski";"lubelskie";"1350";"1487";"582";"768";"2";"8";"0";"0";"0";"0";"0";"0";"0";"768";"0";"0";"768";"15";"1";"14";"0";"753";"551";"73";"129"
"3d7e-576e-4392-f8d3-3b07-5558-573b-052c";"060507";"15";"2";"wieś";"stały";"Publiczna Szkoła Podstawowa w Potoku-Stanach, Potok-Stany 63, 23-313 Potok Wielki";"gm. Potok Wielki";"janowski";"lubelskie";"1196";"1297";"500";"696";"4";"0";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"25";"8";"17";"0";"671";"515";"54";"102"
"99d0-d6d9-8f3e-ec85-d7b4-1f3f-304a-6113";"060507";"15";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa w Potoczku, Potoczek 42, 23-313 Potok Wielki";"gm. Potok Wielki";"janowski";"lubelskie";"940";"1028";"423";"517";"1";"2";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"8";"1";"7";"0";"509";"358";"34";"117"
"267a-9911-2a20-893c-c59e-6c2b-e6ae-22a9";"060701";"15";"1";"miasto";"stały";"Centrum Kultury i Promocji, Aleja Niepodległości 44, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"631";"665";"273";"358";"3";"3";"0";"0";"0";"0";"0";"0";"0";"358";"0";"0";"358";"12";"3";"9";"0";"346";"178";"44";"124"
"f02e-654e-8fe6-4412-a987-b190-8c04-f041";"060701";"15";"2";"miasto";"stały";"Publiczna Szkoła Podstawowa Nr 5, Aleja Niepodległości 54, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"840";"893";"317";"523";"0";"3";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"17";"7";"10";"0";"506";"255";"37";"214"
"efa2-84ec-a5b0-a00d-4a7f-2bcc-e474-3c70";"060701";"15";"3";"miasto";"stały";"Zespół Szkół Nr 2, Generała Władysława Sikorskiego 25, 23-204 Kraśnik";"m. Kraśnik";"kraśnicki";"lubelskie";"973";"1047";"476";"497";"0";"4";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"15";"10";"5";"0";"482";"271";"49";"162"
