"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Krzysztof Michał PASZYK - nr na liście 1";"Błażej Łukasz PARDA - nr na liście 2";"Tadeusz Krzysztof TETERUS - nr na liście 3";"Jarosław Zygmunt MACIEJEWSKI - nr na liście 4";"Tomasz Bronisław KRANC - nr na liście 5";"Marcin PISZCZEK - nr na liście 6";"Agnieszka LINKIEWICZ-MENDEL - nr na liście 7";"Józef Kazimierz KWAŚNIEWICZ - nr na liście 8";"Anna KORPIK - nr na liście 9";"Julian Marian HERMASZCZUK - nr na liście 10";"Jolanta Jadwiga LUBIŃSKA - nr na liście 11";"Małgorzata Anna BEJMA - nr na liście 12";"Lucyna Hanna NAWROT - nr na liście 13";"Sławomira Jadwiga KRÓL - nr na liście 14";"Daniel SZTYCH - nr na liście 15";"Maria Teresa GALAS - nr na liście 16";"Radosław Paweł ŁANOSZKA - nr na liście 17";"Bartłomiej Wojciech GÓRNY - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Krzysztof Władysław CZARNECKI - nr na liście 1";"Marta Ryszarda KUBIAK - nr na liście 2";"Grzegorz PIECHOWIAK - nr na liście 3";"Marcin Bartosz PORZUCEK - nr na liście 4";"Michał Witold ZIELIŃSKI - nr na liście 5";"Dorota BANAŚ - nr na liście 6";"Bogdan Włodzimierz FLEMING - nr na liście 7";"Danuta Maria NIJAKA - nr na liście 8";"Maja Małgorzata JANKOWSKA - nr na liście 9";"Józef FELCYN - nr na liście 10";"Maria Lidia MILER - nr na liście 11";"Robert Piotr KASPRZAK - nr na liście 12";"Andrzej Janusz OKPISZ - nr na liście 13";"Rafał PRĘTKOWSKI - nr na liście 14";"Wiesław PIETRUCZUK - nr na liście 15";"Emilia MUZYKA - nr na liście 16";"Maria Joanna KARDASZ - nr na liście 17";"Krzysztof Jakub BŁASZCZYK - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Dariusz Marian STANDERSKI - nr na liście 1";"Romuald Kazimierz AJCHLER - nr na liście 2";"Kamil Bartosz BOCIAN - nr na liście 3";"Agnieszka Magdalena GRZECHOWIAK - nr na liście 4";"Katarzyna JÓZEFOWSKA - nr na liście 5";"Anna Elżbieta WILK-BARAN - nr na liście 6";"Jacek Tadeusz FLIEGER - nr na liście 7";"Karolina SMYKOWSKA - nr na liście 8";"Stanisław Tomasz ŚLIWAK - nr na liście 9";"Paulina BIRULA - nr na liście 10";"Andrzej MELIŃSKI - nr na liście 11";"Natalia Ewa MINGE - nr na liście 12";"Maksym KAPLANSKYY - nr na liście 13";"Patrycja Monika BUŚKO - nr na liście 14";"Marta Grażyna BILON - nr na liście 15";"Jakub Paweł MIĘSIKOWSKI - nr na liście 16";"Hanna MAŃKOWSKA - nr na liście 17";"Adam Roman CUKIER - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Adam URBAŃSKI - nr na liście 1";"Jerzy Józef MOEGLICH - nr na liście 2";"Patrycja Martyna STEMPNIAK - nr na liście 3";"Małgorzata JĘDRYCH - nr na liście 4";"Agata Jadwiga OSTASZEWSKA - nr na liście 5";"Radosław MUSIAŁ - nr na liście 6";"Justyna Tamara WIATR - nr na liście 7";"Marcin Marian MAHSEL - nr na liście 8";"Radosław KOS - nr na liście 9";"Weronika DOMAGAŁA - nr na liście 10";"Daniel WŁUDARCZAK - nr na liście 11";"Adam FELDMANN - nr na liście 12";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Maria Małgorzata JANYSKA - nr na liście 1";"Jakub Adam RUTNICKI - nr na liście 2";"Iwona Maria KAMIŃSKA-LECH - nr na liście 3";"Zbigniew Czesław AJCHLER - nr na liście 4";"Killion Munzele MUNYAMA - nr na liście 5";"Henryk Marian SZOPIŃSKI - nr na liście 6";"Dorota Ewa TUŁODZIECKA-ADAMS - nr na liście 7";"Janusz MROZKOWIAK - nr na liście 8";"Karolina URYZAJ - nr na liście 9";"Krzysztof POSZWA - nr na liście 10";"Artur Łukasz WRÓBLEWSKI - nr na liście 11";"Tomasz Marek WOJCIECHOWSKI - nr na liście 12";"Lidia NOWAKOWSKA - nr na liście 13";"Arkadiusz Jerzy DOLECKI - nr na liście 14";"Magdalena SROKA - nr na liście 15";"Agnieszka Małgorzata KOWALSKA - nr na liście 16";"Maria Małgorzata JEWSZEL-CHABERSKA - nr na liście 17";"Rafał Maciej LIPSKI - nr na liście 18"
"2f11-1b0e-570d-d5ac-fec1-7753-e8ad-340b";"300502";"38";"2";"miasto";"stały";"Centrum Kultury ""RONDO"", ul. Kolejowa 12, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1784";"1959";"535";"1249";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1248";"0";"0";"1248";"14";"8";"6";"0";"1234";"78";"23";"7";"2";"3";"0";"4";"11";"3";"2";"0";"1";"0";"0";"5";"0";"9";"0";"8";"469";"184";"29";"14";"12";"44";"42";"6";"70";"6";"0";"7";"6";"1";"2";"0";"6";"22";"18";"208";"46";"16";"11";"12";"1";"4";"3";"1";"1";"1";"1";"10";"0";"3";"1";"0";"90";"7";"76";"35";"0";"9";"5";"6";"7";"2";"1";"3";"6";"0";"2";"403";"22";"90";"3";"5";"266";"0";"2";"4";"4";"2";"0";"2";"0";"0";"1";"1";"0";"1"
"b6db-e28e-e4bc-6cd5-9cbb-f2ec-4e27-0c0e";"300502";"38";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. 3 Maja 5, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1035";"1141";"371";"664";"0";"2";"0";"0";"0";"0";"0";"0";"0";"664";"0";"0";"664";"13";"13";"0";"0";"651";"65";"12";"11";"4";"5";"1";"5";"6";"3";"4";"0";"2";"0";"4";"1";"0";"5";"1";"1";"234";"91";"16";"15";"17";"6";"15";"1";"34";"4";"0";"0";"2";"2";"2";"0";"6";"5";"18";"129";"22";"12";"8";"2";"2";"0";"1";"2";"1";"0";"0";"5";"1";"0";"0";"1";"71";"1";"56";"28";"2";"1";"2";"1";"2";"3";"4";"4";"5";"1";"3";"167";"12";"31";"1";"1";"110";"0";"2";"1";"5";"0";"1";"1";"1";"0";"0";"1";"0";"0"
"5e15-1607-239a-9858-6fbe-aa5d-1b19-6921";"300502";"38";"4";"miasto";"stały";"Przedszkole Publiczne ""Chatka Puchatka"", ul. Winna 12, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1834";"1992";"433";"1401";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1401";"0";"0";"1401";"20";"11";"9";"0";"1381";"102";"33";"14";"1";"2";"1";"4";"16";"4";"4";"0";"3";"1";"2";"1";"1";"3";"0";"12";"449";"170";"27";"17";"22";"32";"44";"2";"64";"12";"0";"2";"6";"1";"1";"1";"10";"26";"12";"196";"43";"15";"6";"10";"2";"2";"1";"2";"1";"0";"1";"5";"2";"3";"0";"2";"93";"8";"97";"43";"7";"6";"5";"7";"7";"7";"2";"5";"5";"2";"1";"537";"31";"155";"4";"4";"318";"2";"0";"2";"9";"2";"0";"0";"2";"0";"2";"0";"0";"6"
"aa9b-860e-c9b9-a748-d39b-e117-9969-bc70";"300502";"38";"5";"miasto";"stały";"Świetlica Zespołu Szkół Technicznych, ul. Żwirki i Wigury 2, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1900";"2088";"531";"1369";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1369";"0";"0";"1369";"20";"8";"12";"0";"1349";"101";"30";"20";"2";"4";"0";"4";"18";"1";"6";"0";"2";"2";"3";"1";"1";"1";"1";"5";"449";"150";"39";"18";"28";"43";"34";"1";"88";"7";"1";"0";"9";"0";"1";"1";"7";"12";"10";"241";"53";"31";"11";"3";"1";"3";"2";"3";"1";"1";"0";"5";"1";"2";"1";"1";"115";"7";"104";"54";"8";"3";"6";"3";"6";"4";"2";"7";"7";"1";"3";"454";"28";"107";"1";"7";"285";"2";"2";"6";"5";"2";"0";"0";"1";"1";"4";"2";"0";"1"
"0372-db6a-19fd-b049-5868-967f-02a1-4403";"300502";"38";"6";"wieś";"stały";"Szkoła Podstawowa w Ptaszkowie, Ptaszkowo 31A, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"904";"977";"407";"497";"0";"3";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"9";"7";"2";"0";"488";"35";"8";"5";"1";"0";"1";"2";"6";"0";"2";"0";"2";"0";"1";"0";"1";"4";"0";"2";"252";"73";"18";"27";"16";"25";"26";"1";"39";"12";"0";"1";"1";"0";"0";"1";"5";"6";"1";"50";"18";"4";"1";"1";"2";"0";"0";"0";"0";"0";"0";"6";"0";"1";"0";"0";"17";"0";"27";"11";"1";"1";"3";"1";"2";"2";"2";"0";"3";"0";"1";"124";"8";"20";"0";"0";"91";"1";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0"
"d590-169d-355d-3264-afc6-49d3-9568-7641";"300502";"38";"7";"wieś";"stały";"Szkoła Podstawowa Nr1, ul. Chopina 26, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1957";"2136";"909";"1048";"0";"3";"1";"1";"0";"0";"0";"0";"1";"1049";"1";"0";"1049";"19";"8";"11";"0";"1030";"109";"33";"13";"2";"1";"2";"1";"15";"2";"4";"0";"2";"3";"6";"1";"0";"13";"5";"6";"428";"147";"33";"21";"26";"30";"54";"5";"61";"7";"2";"5";"6";"2";"1";"0";"7";"10";"11";"138";"24";"17";"5";"12";"4";"3";"0";"1";"0";"1";"1";"9";"0";"5";"2";"0";"48";"6";"66";"27";"1";"6";"3";"4";"6";"0";"3";"5";"4";"3";"4";"289";"18";"77";"1";"1";"173";"0";"1";"1";"5";"0";"2";"0";"1";"4";"3";"1";"1";"0"
"8ca0-f413-0d40-fb54-61f8-b3cf-4535-7931";"300502";"38";"8";"miasto";"stały";"Liceum Ogólnokształcące, ul. 3 Maja 7, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"1657";"1816";"599";"1058";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1058";"0";"0";"1058";"17";"11";"6";"0";"1041";"80";"21";"14";"0";"2";"2";"2";"11";"0";"11";"1";"2";"2";"1";"4";"0";"1";"0";"6";"371";"123";"46";"18";"21";"56";"17";"3";"44";"9";"1";"1";"4";"3";"0";"0";"2";"16";"7";"178";"32";"17";"8";"7";"2";"2";"3";"2";"0";"2";"0";"13";"1";"2";"0";"0";"84";"3";"56";"22";"3";"3";"2";"3";"5";"2";"1";"1";"11";"1";"2";"356";"15";"58";"4";"2";"260";"0";"4";"4";"3";"0";"0";"1";"0";"1";"3";"0";"0";"1"
"a324-48cd-2973-5553-b2ba-00a7-80b6-4483";"300502";"38";"9";"wieś";"stały";"Szkoła Podstawowa w Kąkolewie, Kąkolewo 64, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"780";"849";"343";"437";"0";"3";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"15";"14";"1";"0";"422";"51";"20";"7";"2";"1";"2";"2";"4";"1";"2";"0";"1";"0";"2";"1";"2";"2";"0";"2";"196";"86";"18";"8";"21";"18";"15";"0";"20";"1";"0";"1";"1";"1";"0";"0";"1";"1";"4";"55";"25";"4";"3";"4";"1";"0";"3";"1";"0";"0";"0";"4";"0";"1";"1";"0";"6";"2";"32";"18";"1";"0";"6";"1";"2";"0";"1";"0";"2";"0";"1";"88";"11";"35";"2";"0";"32";"0";"1";"4";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"3847-496e-c8a0-392c-5a27-8c3e-3a28-6c90";"300502";"38";"10";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Mossego 3, 62-065 Grodzisk Wielkopolski";"gm. Grodzisk Wielkopolski";"grodziski";"wielkopolskie";"67";"41";"45";"22";"0";"1";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"22";"1";"1";"0";"0";"21";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"12";"1";"2";"0";"2";"0";"0";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"1";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"540a-b6d4-aa42-be50-b4b8-cac6-f1c9-4678";"300503";"38";"1";"wieś";"stały";"Szkoła Podstawowa, wejście ul. Słoneczna 2, 64-061 Kamieniec";"gm. Kamieniec";"grodziski";"wielkopolskie";"889";"979";"212";"677";"1";"5";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"5";"4";"1";"0";"672";"36";"19";"5";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"2";"1";"0";"0";"1";"3";"232";"104";"20";"15";"10";"10";"13";"1";"30";"4";"1";"1";"2";"1";"6";"0";"3";"5";"6";"83";"27";"16";"2";"1";"3";"0";"0";"2";"3";"0";"1";"2";"0";"1";"0";"0";"21";"4";"35";"20";"1";"3";"3";"1";"3";"1";"0";"1";"2";"0";"0";"286";"7";"15";"2";"3";"254";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0"
"e12f-7022-f4f1-4d40-87d0-5b95-f0d1-a7f9";"300503";"38";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Stawowa 28, 64-061 Kamieniec";"gm. Kamieniec";"grodziski";"wielkopolskie";"907";"995";"431";"476";"1";"4";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"7";"5";"2";"0";"469";"32";"12";"1";"0";"0";"0";"2";"4";"0";"1";"0";"4";"0";"1";"1";"0";"0";"2";"4";"209";"83";"12";"20";"15";"27";"10";"1";"22";"4";"1";"0";"3";"2";"1";"0";"1";"4";"3";"33";"10";"5";"1";"3";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"1";"1";"7";"0";"25";"10";"1";"5";"3";"1";"2";"0";"0";"2";"0";"0";"1";"170";"6";"6";"1";"1";"152";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"0c8d-f0e8-7544-13ca-7df8-eab6-9224-1deb";"300503";"38";"3";"wieś";"stały";"Szkoła Podstawowa, Konojad ul. Szkolna 15, 64-060 Wolkowo";"gm. Kamieniec";"grodziski";"wielkopolskie";"1040";"1143";"427";"613";"0";"2";"0";"0";"0";"0";"0";"0";"0";"613";"0";"0";"613";"21";"17";"4";"0";"592";"81";"37";"7";"2";"4";"1";"3";"8";"2";"5";"0";"2";"1";"1";"1";"0";"2";"1";"4";"301";"108";"35";"35";"25";"26";"12";"2";"31";"10";"0";"1";"3";"1";"0";"1";"3";"4";"4";"42";"18";"8";"1";"1";"0";"0";"0";"2";"0";"2";"2";"2";"0";"0";"0";"0";"4";"2";"50";"17";"1";"14";"1";"6";"3";"3";"0";"0";"5";"0";"0";"118";"15";"9";"2";"0";"84";"3";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"b9cd-aa44-3df6-15c4-2f88-390a-9e83-970c";"300503";"38";"4";"wieś";"stały";"Świetlica wiejska, Łęki Wielkie 57, 64-060 Wolkowo";"gm. Kamieniec";"grodziski";"wielkopolskie";"907";"966";"390";"517";"0";"2";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"22";"16";"6";"0";"495";"78";"25";"3";"3";"3";"2";"4";"2";"0";"3";"1";"4";"2";"2";"4";"0";"4";"1";"15";"252";"88";"18";"61";"7";"10";"11";"1";"18";"6";"2";"3";"4";"1";"0";"2";"6";"11";"3";"34";"7";"5";"3";"2";"1";"0";"4";"3";"1";"0";"0";"2";"0";"0";"0";"0";"6";"0";"21";"9";"0";"2";"3";"1";"1";"1";"0";"1";"3";"0";"0";"110";"4";"8";"0";"1";"92";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0"
"b925-c55f-5456-31a8-f62b-f51f-0b48-7d3a";"300503";"38";"5";"wieś";"stały";"Szkoła Podstawowa, Parzęczewo 25, 64-061 Kamieniec";"gm. Kamieniec";"grodziski";"wielkopolskie";"920";"1009";"340";"580";"0";"0";"0";"0";"0";"0";"0";"0";"0";"580";"0";"0";"580";"25";"18";"7";"0";"555";"93";"35";"7";"1";"4";"1";"1";"11";"0";"3";"0";"5";"1";"4";"1";"1";"11";"0";"7";"247";"90";"13";"14";"22";"21";"13";"3";"36";"7";"0";"5";"4";"0";"0";"0";"3";"9";"7";"30";"3";"8";"2";"0";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"12";"1";"33";"16";"4";"1";"1";"0";"6";"1";"2";"0";"2";"0";"0";"152";"4";"8";"1";"2";"132";"1";"0";"0";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"2ee1-2f5e-20db-5b3e-ee39-fbe8-1909-4143";"300504";"38";"1";"miasto";"stały";"Dom Kultury, ul. Krystyny 30, 62-067 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1704";"1868";"517";"1187";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1187";"0";"0";"1187";"19";"15";"4";"0";"1168";"237";"39";"7";"3";"5";"1";"6";"149";"2";"6";"1";"1";"3";"2";"4";"0";"0";"3";"5";"423";"121";"38";"15";"41";"25";"21";"1";"28";"2";"1";"2";"1";"0";"1";"1";"2";"114";"9";"80";"29";"20";"9";"5";"2";"0";"0";"2";"1";"1";"0";"2";"1";"1";"0";"1";"3";"3";"78";"50";"3";"2";"3";"1";"4";"2";"3";"3";"3";"0";"4";"350";"26";"156";"6";"3";"132";"0";"1";"15";"3";"1";"0";"1";"0";"1";"1";"1";"0";"3"
"000d-020c-7fba-a107-84ea-3ee0-d197-e0ec";"300504";"38";"2";"miasto";"stały";"Szkoła Podstawowa im. Powstańców Wielkopolskich, ul. Nowotomyska 1, 62-067 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"2057";"2178";"780";"1277";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1276";"0";"0";"1276";"13";"8";"5";"0";"1263";"209";"28";"10";"0";"1";"2";"7";"132";"2";"4";"3";"1";"3";"1";"1";"2";"1";"2";"9";"516";"122";"53";"22";"57";"46";"12";"1";"62";"2";"0";"0";"2";"1";"1";"0";"2";"125";"8";"99";"27";"13";"2";"7";"4";"1";"4";"8";"0";"2";"0";"8";"0";"2";"3";"0";"10";"8";"138";"74";"8";"6";"5";"8";"14";"6";"3";"4";"5";"0";"5";"301";"21";"112";"5";"4";"114";"1";"1";"31";"0";"0";"2";"2";"2";"0";"1";"0";"0";"5"
"9a8c-fe91-2a1e-4bda-f519-40a1-648c-0c53";"300504";"38";"3";"wieś";"stały";"Zespół Przedszkolno-Szkolny, Rostarzewo ul. Rakoniewicka 23, 62-068 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1700";"1867";"603";"1097";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1097";"0";"0";"1097";"27";"19";"8";"0";"1070";"142";"39";"13";"5";"2";"2";"5";"36";"1";"8";"1";"2";"1";"3";"2";"2";"4";"1";"15";"392";"113";"51";"13";"32";"41";"16";"3";"50";"12";"0";"3";"2";"1";"1";"2";"6";"31";"15";"132";"30";"16";"9";"6";"3";"2";"2";"3";"1";"1";"1";"6";"1";"8";"2";"1";"18";"22";"86";"43";"4";"5";"7";"5";"7";"4";"3";"0";"5";"1";"2";"318";"41";"108";"2";"7";"96";"2";"0";"43";"0";"2";"2";"1";"3";"0";"3";"5";"0";"3"
"62a6-d491-574b-181e-e422-0576-b162-6747";"300504";"38";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Jabłonna ul. Nowotomyska 9, 64-308 Nowy Tomyśl";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1917";"2117";"837";"1080";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1080";"0";"0";"1080";"31";"24";"7";"0";"1049";"162";"46";"15";"1";"6";"4";"9";"41";"2";"9";"0";"6";"3";"3";"9";"0";"4";"0";"4";"392";"106";"26";"21";"21";"76";"14";"3";"51";"22";"0";"2";"2";"1";"0";"1";"0";"25";"21";"108";"33";"16";"6";"12";"5";"1";"4";"0";"0";"1";"0";"3";"0";"0";"2";"0";"13";"12";"96";"42";"7";"4";"6";"7";"7";"6";"3";"2";"6";"5";"1";"291";"28";"108";"0";"9";"99";"0";"1";"25";"2";"4";"0";"2";"1";"4";"4";"2";"0";"2"
"b2ca-40a4-ab94-d91d-8388-3d35-3520-22b4";"300504";"38";"5";"wieś";"stały";"Zespół Przedszkolno-Szkolny, Ruchocice ul. Poznańska 23, 62-073 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1187";"1294";"499";"688";"0";"2";"0";"0";"0";"0";"0";"0";"0";"688";"0";"0";"688";"16";"12";"4";"0";"672";"91";"24";"3";"0";"2";"3";"4";"29";"0";"7";"0";"4";"3";"2";"1";"1";"1";"0";"7";"331";"86";"34";"10";"23";"48";"11";"13";"48";"8";"1";"3";"5";"0";"0";"1";"1";"33";"6";"51";"12";"6";"5";"3";"1";"0";"1";"0";"1";"1";"0";"3";"0";"0";"0";"0";"14";"4";"52";"24";"2";"9";"3";"1";"4";"1";"2";"1";"4";"0";"1";"147";"26";"39";"2";"3";"63";"0";"1";"5";"1";"1";"1";"0";"1";"0";"2";"0";"0";"2"
"3029-c1fb-af7f-c4e0-e45a-5f21-9db2-8372";"300504";"38";"6";"wieś";"stały";"Zespół Przedszkolno-Szkolny, Łąkie 81, 62-068 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"559";"617";"219";"340";"0";"1";"0";"0";"0";"0";"0";"0";"0";"340";"0";"0";"340";"10";"6";"4";"0";"330";"51";"10";"0";"1";"3";"2";"0";"25";"0";"2";"1";"1";"0";"1";"1";"0";"0";"1";"3";"195";"30";"23";"6";"20";"20";"2";"1";"22";"1";"1";"1";"0";"2";"5";"1";"1";"55";"4";"20";"12";"1";"1";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"14";"9";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"1";"50";"7";"11";"1";"0";"18";"0";"0";"9";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0"
"937f-fa0d-5729-b321-f38a-9d35-8fd7-f234";"300505";"38";"1";"miasto";"stały";"Szkoła Podstawowa im. Polskich Noblistów w Wielichowie, ul. Kościelna 7a, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"1291";"1358";"397";"894";"1";"1";"0";"0";"0";"0";"0";"0";"0";"894";"0";"0";"894";"19";"9";"10";"0";"875";"101";"30";"8";"0";"6";"0";"8";"17";"2";"4";"2";"2";"1";"2";"2";"0";"1";"2";"14";"322";"67";"13";"16";"14";"44";"17";"0";"116";"4";"0";"2";"4";"0";"3";"3";"4";"6";"9";"99";"26";"16";"9";"1";"1";"1";"3";"1";"1";"2";"0";"8";"2";"0";"1";"0";"24";"3";"80";"42";"7";"5";"3";"7";"6";"4";"1";"1";"1";"1";"2";"273";"26";"73";"4";"6";"140";"3";"1";"11";"1";"1";"2";"0";"0";"0";"1";"0";"0";"4"
"0b0f-5848-5157-22dd-f7ae-c1ae-c394-eadb";"300505";"38";"2";"wieś";"stały";"Szkoła Podstawowa im. Polskich Poetów w Łubnicy, Łubnica ul. Szkolna 4, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"706";"787";"296";"410";"0";"0";"0";"0";"0";"0";"0";"0";"0";"410";"0";"0";"410";"6";"3";"3";"0";"404";"47";"19";"3";"1";"2";"0";"2";"9";"1";"3";"0";"0";"0";"0";"0";"0";"1";"1";"5";"221";"50";"18";"13";"28";"46";"7";"1";"32";"2";"1";"5";"3";"2";"0";"0";"0";"6";"7";"26";"11";"1";"1";"0";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"7";"1";"25";"12";"0";"1";"2";"1";"0";"0";"3";"1";"3";"0";"2";"85";"8";"24";"3";"2";"46";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"0e18-4633-71b9-2f7b-8b34-65ab-5478-5543";"300505";"38";"3";"wieś";"stały";"Szkoła Podstawowa im. Kompanii Wilkowskiej Powstańców Wielkopolskich w Wilkowie Polskim, Wilkowo Polskie ul. Kościańska 2, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"1177";"1265";"438";"739";"0";"2";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"18";"15";"3";"0";"721";"105";"30";"10";"0";"5";"0";"6";"13";"4";"7";"0";"6";"2";"3";"1";"0";"2";"1";"15";"375";"119";"28";"10";"34";"26";"7";"1";"114";"7";"0";"1";"2";"2";"1";"1";"2";"10";"10";"58";"18";"9";"4";"4";"4";"0";"1";"0";"0";"4";"0";"5";"1";"0";"0";"0";"6";"2";"59";"27";"3";"4";"3";"8";"0";"2";"2";"3";"6";"0";"1";"124";"27";"12";"0";"3";"76";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"3"
