"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Jacek BŁASZCZYK";"Krzysztof Mariusz DEBICH";"Dariusz Andrzej PIGŁOWSKI"
"083f-fd1b-8187-bfbb-c4f4-9fc6-0e7c-fe7e";"100201";"25";"21";"miasto";"stały";"Szkoła Podstawowa Nr 7 im. Adama Mickiewicza w Kutnie, ul. Dr. Antoniego Troczewskiego 2, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1551";"1695";"530";"1021";"0";"6";"2";"2";"0";"0";"0";"0";"2";"1022";"2";"0";"1022";"25";"6";"19";"0";"997";"455";"419";"123"
"1bc8-5ab9-ee13-9b90-59f7-facd-e0bb-d797";"100201";"25";"22";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej w Kutnie, ul. Warszawskie Przedmieście 10a, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1970";"2124";"622";"1348";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1348";"0";"0";"1348";"18";"7";"11";"0";"1330";"595";"590";"145"
"740b-a71d-2e20-45ef-8b45-d424-c835-4a5b";"100201";"25";"23";"miasto";"stały";"Przedszkole Miejskie Nr 16 ""Calineczka"" w Kutnie, ul. Wilcza 5, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1848";"2007";"573";"1275";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1275";"0";"0";"1275";"20";"9";"11";"0";"1255";"579";"548";"128"
"906e-f84b-690c-2737-00c4-76bb-a9f0-679e";"100201";"25";"24";"miasto";"stały";"Szkoła Podstawowa Nr 9 im. Wł. Jagiełły w Kutnie, ul. Władysława Jagiełły 6, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1422";"1542";"403";"1019";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1019";"0";"0";"1019";"27";"6";"21";"0";"992";"444";"433";"115"
"176c-8793-734a-0346-1354-7025-7cc1-bd39";"100201";"25";"25";"miasto";"stały";"Szkoła Podstawowa Nr 9 im. Wł. Jagiełły w Kutnie, ul. Władysława Jagiełły 6, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"1066";"1142";"303";"763";"2";"0";"1";"1";"0";"0";"0";"0";"1";"764";"1";"0";"764";"9";"3";"6";"0";"755";"326";"348";"81"
"1ffa-e658-e804-873d-8dc1-6ea9-27bd-1eea";"100201";"25";"26";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Kutnie, ul. Oporowska 27, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"130";"81";"112";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"0";"18";"4";"1";"3";"0";"14";"9";"2";"3"
"16c0-fc6f-60e2-0318-b745-2388-4d93-44cd";"100201";"25";"27";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Kutnie, ul. Bolesława Krzywoustego 11, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"85";"67";"48";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"4";"0";"4";"0";"33";"25";"4";"4"
"f7e5-5b96-36b0-8b80-bdc6-3240-6a9e-8add";"100201";"25";"28";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej prow. przez Zgrom. SS Albertynek w Kutnie, ul. Jana III Sobieskiego 49, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"65";"68";"15";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"50";"1";"0";"1";"0";"49";"45";"4";"0"
"c88e-d974-f955-7691-db28-cb88-20ac-c692";"100201";"25";"29";"miasto";"zakład leczniczy";"""Kutnowski Szpital Samorządowy"" Spółka z o. o. NZOZ ""Kutnowski Szpital Samorządowy im. dr Antoniego Troczewskiego"", ul. Kościuszki 52, 99-300 Kutno";"m. Kutno";"kutnowski";"łódzkie";"312";"163";"254";"58";"0";"1";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"58";"2";"0";"2";"0";"56";"27";"26";"3"
"7ae9-234b-00d5-8c58-9e8d-a0ce-b0a4-8d69";"100202";"25";"1";"wieś";"stały";"Gminny Ośrodek Kultury w Bedlnie, Bedlno 28A, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"1080";"1190";"458";"622";"0";"9";"0";"0";"0";"0";"0";"0";"0";"620";"0";"0";"620";"8";"3";"5";"0";"612";"393";"161";"58"
"3f93-7d41-6ee9-4440-9e69-980d-4951-93d4";"100202";"25";"2";"wieś";"stały";"Szkoła Podstawowa im. 37 Łęczyckiego Pułku Piechoty im. ks. J. Poniatowskiego w Pleckiej Dąbrowie, Plecka Dąbrowa 6, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"1148";"1254";"494";"654";"0";"1";"0";"0";"0";"0";"0";"0";"0";"654";"0";"0";"654";"9";"3";"6";"0";"645";"438";"143";"64"
"0842-83c5-33c7-1c74-6276-7f38-4060-bffc";"100202";"25";"3";"wieś";"stały";"Szkoła Podstawowa im. Bohaterów Walk nad Bzurą w Szewcach Nadolnych, Szewce Nadolne 14, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"488";"538";"190";"298";"0";"4";"0";"0";"0";"0";"0";"0";"0";"298";"0";"0";"298";"3";"1";"2";"0";"295";"211";"59";"25"
"fdc9-c933-c345-d497-56f2-16f9-a0d4-5c79";"100202";"25";"4";"wieś";"stały";"Szkoła Podstawowa im. Marii Konopnickiej w Żeronicach, Żeronice 37A, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"763";"860";"300";"463";"0";"10";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"16";"3";"13";"0";"447";"341";"77";"29"
"d154-dc38-e911-0505-fb57-fa03-32f6-4087";"100202";"25";"5";"wieś";"stały";"Szkoła Podstawowa im. Kornela Makuszyńskiego w Pniewie, Pniewo Małe 21A, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"516";"565";"222";"294";"0";"0";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"5";"0";"5";"0";"289";"166";"90";"33"
"92c6-107d-a6dd-dada-5b95-f938-bdb2-415b";"100202";"25";"6";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Pniewie, Pniewo 91, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"59";"60";"44";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"5";"1";"4";"0";"10";"8";"1";"1"
"0ea2-e34a-d09d-f16b-9ac7-1c00-0cae-57e4";"100202";"25";"7";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Wojszycach, Wojszyce 47, 99-311 Bedlno";"gm. Bedlno";"kutnowski";"łódzkie";"71";"70";"10";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61";"0";"0";"61";"6";"0";"6";"0";"55";"29";"17";"9"
"ae24-0a4e-fd61-1496-a2af-d724-b4fc-8573";"100203";"25";"1";"wieś";"stały";"Zespół Szkół w Dąbrowicach, ul. Kłodawska 1, 99-352 Dąbrowice";"gm. Dąbrowice";"kutnowski";"łódzkie";"820";"907";"290";"530";"1";"3";"0";"0";"0";"0";"0";"0";"0";"530";"0";"0";"530";"10";"2";"8";"0";"520";"367";"121";"32"
"333e-b107-edbd-4b3f-0b91-a654-3b69-d7bf";"100203";"25";"2";"wieś";"stały";"Świetlica w Remizie OSP Augustopol, Augustopol 77, 99-352 Dąbrowice";"gm. Dąbrowice";"kutnowski";"łódzkie";"160";"203";"58";"102";"0";"4";"0";"0";"0";"0";"0";"0";"0";"102";"0";"0";"102";"3";"2";"1";"0";"99";"66";"26";"7"
"405f-8792-8087-bb40-3311-962f-fbff-a345";"100203";"25";"3";"wieś";"stały";"Świetlica w Remizie OSP Baby, Nowe Baby 1A, 99-352 Dąbrowice";"gm. Dąbrowice";"kutnowski";"łódzkie";"248";"268";"108";"140";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140";"0";"0";"140";"1";"0";"1";"0";"139";"101";"27";"11"
"f88f-6d04-231a-8ac4-9b91-947d-8cd3-2559";"100203";"25";"4";"wieś";"stały";"Świetlica w Remizie OSP Ostrówki, Ostrówki 30, 99-352 Dąbrowice";"gm. Dąbrowice";"kutnowski";"łódzkie";"214";"232";"113";"101";"2";"0";"0";"0";"0";"0";"0";"0";"0";"101";"0";"0";"101";"2";"0";"2";"0";"99";"63";"32";"4"
"af60-724c-ba40-5551-801b-d791-fbcd-2d31";"100204";"25";"1";"miasto";"stały";"Budynek na Stadionie Miejskim w Krośniewicach, ul. Kolejowa 21, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"1346";"1460";"492";"854";"5";"3";"0";"0";"0";"0";"0";"0";"0";"854";"0";"0";"854";"21";"4";"17";"0";"833";"457";"301";"75"
"0028-c028-cd8c-e01e-988c-4682-0217-8819";"100204";"25";"2";"miasto";"stały";"Świetlica osiedlowa w Krośniewicach, ul. Błonie 9 (Andersówka), 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"268";"293";"123";"145";"0";"0";"0";"0";"0";"0";"0";"0";"0";"145";"0";"0";"145";"0";"0";"0";"0";"145";"86";"47";"12"
"dc5e-43f1-8417-f1e6-aa73-4981-9a8c-ba5e";"100204";"25";"3";"wieś";"stały";"Budynek po Szkole Podstawowej Nr 1 w Krośniewicach, ul. Poznańska 15, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"813";"895";"429";"384";"0";"0";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"12";"2";"10";"0";"372";"265";"80";"27"
"b0bb-e92e-0732-e124-24df-1c30-a020-5f18";"100204";"25";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Krośniewicach, ul. Łęczycka 17, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"842";"912";"389";"453";"0";"2";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"9";"1";"8";"0";"444";"222";"171";"51"
"6b65-0f93-4a38-33df-8a9a-5163-2e96-7724";"100204";"25";"5";"miasto";"stały";"Liceum Ogólnokształcące w Krośniewicach (wejście od ul. Łęczyckiej 19a), ul. Łęczycka 17, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"728";"788";"265";"463";"1";"2";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"10";"4";"6";"0";"453";"224";"183";"46"
"3fcb-e066-7057-0da2-3e55-a286-1c24-d02f";"100204";"25";"6";"wieś";"stały";"Budynek po Katolickiej Szkole Podstawowej z Oddziałami Przedszkolnymi im. św. Jana Pawła II w Zalesiu, Zalesie 2, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"483";"526";"183";"300";"2";"1";"0";"0";"0";"0";"0";"0";"0";"300";"0";"0";"300";"6";"1";"5";"0";"294";"203";"66";"25"
"9c6d-aa56-2955-82f4-9f41-5033-85c0-4203";"100204";"25";"7";"wieś";"stały";"Szkoła Podstawowa Fundacji ""Elementarz"" z Oddziałem Przedszkolnym w Jankowicach, Jankowice 32, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"431";"470";"236";"195";"0";"0";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"195";"8";"1";"7";"0";"187";"132";"30";"25"
"9b44-faeb-3f4c-efdc-5079-1838-bea6-76fb";"100204";"25";"8";"wieś";"stały";"Szkoła Podstawowa im. gen. Władysława Andersa w Nowem, Nowe 36, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"846";"931";"406";"440";"0";"2";"0";"0";"0";"0";"0";"0";"0";"440";"0";"0";"440";"13";"1";"12";"0";"427";"312";"92";"23"
"d05d-71da-bc28-75f1-b378-de82-12f5-d3e1";"100204";"25";"9";"wieś";"stały";"Szkoła Podstawowa im. gen. Władysława Andersa w Nowem, Nowe 36, 99-340 Krośniewice";"gm. Krośniewice";"kutnowski";"łódzkie";"405";"448";"196";"209";"2";"1";"0";"0";"0";"0";"0";"0";"0";"209";"0";"0";"209";"6";"3";"3";"0";"203";"149";"30";"24"
"66d1-8ded-2861-b818-878d-f3a0-7f61-e99e";"100205";"25";"1";"wieś";"stały";"Urząd Gminy, Krzyżanów 10, 99-314 Krzyżanów";"gm. Krzyżanów";"kutnowski";"łódzkie";"1109";"1218";"516";"593";"1";"3";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"19";"5";"14";"0";"574";"384";"144";"46"
"39ce-eeef-52c0-f4e0-6c1f-4049-c624-20c5";"100205";"25";"2";"wieś";"stały";"Szkoła Podstawowa, Kaszewy Dworne 19, 99-314 Krzyżanów";"gm. Krzyżanów";"kutnowski";"łódzkie";"474";"518";"170";"304";"0";"0";"0";"0";"0";"0";"0";"0";"0";"304";"0";"0";"304";"4";"2";"2";"0";"300";"208";"58";"34"
"92dd-eaad-c8db-8a11-4d49-aa1d-5a2a-7d50";"100205";"25";"3";"wieś";"stały";"Szkoła Podstawowa, Ktery 34, 99-314 Krzyżanów";"gm. Krzyżanów";"kutnowski";"łódzkie";"854";"936";"391";"463";"0";"3";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"9";"4";"5";"0";"453";"327";"94";"32"
"ea6b-08ea-b64b-77e6-9b74-e028-d86a-c270";"100205";"25";"4";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Wały B 27a, 99-314 Krzyżanów";"gm. Krzyżanów";"kutnowski";"łódzkie";"682";"738";"243";"439";"2";"0";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"13";"3";"10";"0";"426";"255";"124";"47"
"1da8-9006-e1d0-9937-6f21-e330-904e-9c2a";"100206";"25";"1";"wieś";"stały";"Szkoła Podstawowa w Strzegocinie, Strzegocin 4, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"806";"884";"419";"387";"0";"4";"0";"0";"0";"0";"0";"0";"0";"387";"0";"0";"387";"6";"1";"5";"0";"381";"269";"82";"30"
"22f4-6c4e-dd38-df40-5bd6-0235-974b-2323";"100206";"25";"2";"wieś";"stały";"Ochotnicza Straż Pożarna w Leszczynku, Leszczynek 9, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"1326";"1449";"453";"873";"0";"3";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"19";"8";"11";"0";"854";"459";"294";"101"
"c758-ad87-f068-c2b7-eaab-8fe3-870f-eaa6";"100206";"25";"3";"wieś";"stały";"Szkoła Podstawowa we Wroczynach, Wroczyny 59a, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"428";"468";"195";"233";"0";"0";"0";"0";"0";"0";"0";"0";"0";"233";"0";"0";"233";"7";"2";"5";"0";"226";"158";"49";"19"
"de7c-ff75-ae57-fe91-8c18-b1cf-c1b2-91ac";"100206";"25";"4";"wieś";"stały";"Szkoła Podstawowa w Gołębiewku, Gołębiewek Nowy 54, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"744";"808";"276";"468";"1";"1";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"468";"11";"4";"7";"0";"457";"267";"146";"44"
"078b-96b3-b9ee-da1a-e18c-235d-d78d-2963";"100206";"25";"5";"wieś";"stały";"Świetlica wiejska, Gołębiew Nowy 23a, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"1206";"1311";"459";"747";"0";"2";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"13";"2";"11";"0";"734";"436";"228";"70"
"4767-838a-bfe6-98f6-63a7-bca7-2d17-8d84";"100206";"25";"6";"wieś";"stały";"Katolicka Szkoła Podstawowa SPSK, Wierzbie 34, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"500";"543";"165";"335";"0";"1";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"5";"1";"4";"0";"330";"197";"99";"34"
"9ead-86ed-3f3b-5613-135e-f895-9f0c-5120";"100206";"25";"7";"wieś";"stały";"Świetlica wiejska, Woźniaków 61, 99-300 Kutno";"gm. Kutno";"kutnowski";"łódzkie";"754";"812";"277";"477";"0";"4";"0";"0";"0";"0";"0";"0";"0";"477";"0";"0";"477";"11";"6";"5";"0";"466";"259";"156";"51"
