"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Maria GAWĘDA";"Marek Henryk MIGALSKI"
"3b33-b87d-1cad-e2b3-1fbb-c503-8125-3a12";"241101";"72";"21";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Elżbiety 14, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1795";"1913";"636";"1159";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1159";"0";"0";"1159";"29";"10";"19";"0";"1130";"444";"686"
"8705-b93c-2a04-f66e-1fb8-d295-cacf-2ed8";"241101";"72";"22";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 3, ul. Sudecka 2, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1400";"1510";"668";"732";"1";"4";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"19";"7";"12";"0";"713";"351";"362"
"aaa4-73db-c30f-2e3b-ebff-dfa1-1ff2-1d42";"241101";"72";"23";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Elżbiety 14, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1450";"1529";"624";"826";"0";"2";"0";"0";"0";"0";"0";"0";"0";"826";"0";"0";"826";"22";"8";"14";"0";"804";"329";"475"
"ea30-12be-de90-efb3-e7d9-2c70-1278-f57d";"241101";"72";"24";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Cecylii 30, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"1500";"1446";"641";"859";"1";"4";"0";"0";"0";"0";"0";"0";"0";"859";"0";"0";"859";"21";"9";"12";"0";"838";"407";"431"
"9a4b-3fed-7d45-aeec-c56c-3d74-b3e7-c7e4";"241101";"72";"25";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, Plac Króla Władysława Jagiełły 3, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"253";"125";"159";"94";"0";"0";"0";"0";"0";"0";"0";"0";"0";"94";"0";"0";"94";"1";"1";"0";"0";"93";"46";"47"
"5c2d-18de-710f-09b4-d7b4-4cea-6d12-9685";"241101";"72";"26";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""ZŁOTA JESIEŃ"", ul. Franciszka Grzonki 1, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"300";"193";"223";"77";"0";"0";"0";"0";"0";"0";"0";"0";"0";"77";"0";"0";"77";"7";"3";"4";"0";"70";"48";"22"
"6371-5ca9-4345-b91c-7919-da47-4685-c91d";"241101";"72";"27";"miasto";"zakład leczniczy";"Szpital Rejonowy, ul. Gamowska 3, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"354";"190";"268";"86";"0";"5";"0";"0";"0";"0";"0";"0";"0";"86";"0";"0";"86";"3";"0";"3";"0";"83";"45";"38"
"0dac-ead3-e212-4f94-c2fe-6c20-6d44-2b01";"241101";"72";"28";"miasto";"zakład karny";"Zakład Karny, ul. Josepha von Eichendorffa 14, 47-400 Racibórz";"m. Racibórz";"raciborski";"śląskie";"750";"683";"521";"229";"0";"0";"0";"0";"0";"0";"0";"0";"0";"229";"0";"0";"229";"9";"1";"8";"0";"220";"68";"152"
"f087-3549-08e5-52ca-2d1c-930d-50ba-7bf8";"241102";"72";"1";"wieś";"stały";"Dom Kultury, Kobyla ul. Główna 78, 44-285 Kornowac";"gm. Kornowac";"raciborski";"śląskie";"852";"896";"335";"517";"1";"0";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"11";"0";"11";"0";"506";"317";"189"
"baca-d5e8-efff-4677-721d-3f23-a222-b13c";"241102";"72";"2";"wieś";"stały";"Szkoła Podstawowa w Kornowacu, ul. Starowiejska 66, 44-285 Kornowac";"gm. Kornowac";"raciborski";"śląskie";"701";"721";"348";"353";"0";"1";"0";"0";"0";"0";"0";"0";"0";"352";"0";"1";"351";"11";"2";"9";"0";"340";"227";"113"
"5760-2f4b-78c9-c60f-6ec0-1e68-9a1b-1a8b";"241102";"72";"3";"wieś";"stały";"Dom Kultury, Łańce ul. Strażacka 2, 44-285 Kornowac";"gm. Kornowac";"raciborski";"śląskie";"450";"469";"171";"279";"0";"2";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"5";"2";"3";"0";"274";"175";"99"
"943a-2271-265b-0874-a6fb-e3f5-de62-a9be";"241102";"72";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Pogrzebień ul. Pamiątki 25, 44-285 Kornowac";"gm. Kornowac";"raciborski";"śląskie";"1000";"1055";"322";"678";"0";"2";"0";"0";"0";"0";"0";"0";"0";"678";"0";"0";"678";"18";"13";"5";"0";"660";"420";"240"
"a253-03ea-72ce-6d30-19d4-d7c8-a591-f264";"241102";"72";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Rzuchów ul. Karola Miarki 8, 44-285 Kornowac";"gm. Kornowac";"raciborski";"śląskie";"803";"856";"325";"478";"0";"1";"0";"0";"0";"0";"0";"0";"0";"478";"0";"0";"478";"17";"3";"14";"0";"461";"292";"169"
"52b6-9323-5d4b-f215-74f5-58ca-c9f5-b726";"241103";"72";"1";"wieś";"stały";"Przedszkole w Bojanowie, Bojanów ul. Raciborska 21, 47-470 Krzanowice";"gm. Krzanowice";"raciborski";"śląskie";"553";"601";"347";"206";"0";"0";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"5";"0";"5";"0";"201";"114";"87"
"ccc4-906c-9ccd-a0f8-8dc8-39ae-ffee-a596";"241103";"72";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Borucinie, Borucin ul. Bończyka 13, 47-470 Krzanowice";"gm. Krzanowice";"raciborski";"śląskie";"854";"938";"492";"362";"0";"0";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"13";"3";"10";"0";"349";"174";"175"
