"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Włodzimierz BERNACKI";"Mirosław Adam CHODUR";"Wojciech KOZAK";"Artur Stanisław KOZIOŁ";"Liczba obwodów"
"120204";"gmina wiejska";"gm. Dębno";"brzeski";"małopolskie";10534;11383;3616;6918;13;28;0;0;0;0;0;0;0;6917;0;0;6917;148;24;124;0;6769;4306;379;1056;1028;12
"120205";"gmina wiejska";"gm. Gnojnik";"brzeski";"małopolskie";5546;6092;1884;3662;5;29;0;0;0;0;0;0;0;3662;0;0;3662;78;10;68;0;3584;2622;208;418;336;6
"120206";"gmina wiejska";"gm. Iwkowa";"brzeski";"małopolskie";4489;4971;1325;3161;5;28;0;0;0;0;0;0;0;3162;0;0;3162;79;11;68;0;3083;2328;126;405;224;4
"120207";"gmina wiejska";"gm. Szczurowa";"brzeski";"małopolskie";6991;7631;3072;3918;5;14;0;0;0;0;0;0;0;3918;0;0;3918;123;13;110;0;3795;2466;243;659;427;11
"121401";"gmina wiejska";"gm. Koniusza";"proszowicki";"małopolskie";6369;7006;2476;3893;4;10;0;0;0;0;0;0;0;3893;0;0;3893;67;8;59;0;3826;2412;175;769;470;10
"121402";"gmina miejsko-wiejska";"gm. Koszyce";"proszowicki";"małopolskie";4143;4531;1949;2194;1;11;0;0;0;0;0;0;0;2194;0;0;2194;52;23;29;0;2142;1369;81;423;269;3
"121403";"gmina miejsko-wiejska";"gm. Nowe Brzesko";"proszowicki";"małopolskie";4216;4635;1557;2660;2;13;0;0;0;0;0;0;0;2659;0;0;2659;48;6;42;0;2611;1724;99;461;327;5
"121404";"gmina wiejska";"gm. Pałecznica";"proszowicki";"małopolskie";2597;2850;984;1613;0;6;0;0;0;0;0;0;0;1613;0;0;1613;42;3;39;0;1571;793;67;646;65;5
"121405";"gmina miejsko-wiejska";"gm. Proszowice";"proszowicki";"małopolskie";12160;13165;4685;7475;15;24;0;0;0;0;0;0;0;7475;0;0;7475;140;43;97;0;7335;4129;357;1752;1097;14
"121406";"gmina wiejska";"gm. Radziemice";"proszowicki";"małopolskie";2489;2729;1014;1475;0;4;0;0;0;0;0;0;0;1475;0;0;1475;37;8;29;0;1438;898;53;366;121;4
"121901";"gmina wiejska";"gm. Biskupice";"wielicki";"małopolskie";7151;7947;2095;5055;3;22;0;0;0;0;0;0;0;5056;0;0;5056;68;15;53;0;4988;2697;243;832;1216;10
"121902";"gmina wiejska";"gm. Gdów";"wielicki";"małopolskie";12770;14058;4011;8759;14;37;1;1;0;0;0;0;1;8758;1;0;8758;168;43;125;0;8590;4828;446;1765;1551;12
"121903";"gmina wiejska";"gm. Kłaj";"wielicki";"małopolskie";7606;8387;2285;5321;3;38;0;0;0;0;0;0;0;5320;0;0;5320;101;28;73;0;5219;2527;289;1005;1398;10
"121904";"gmina miejsko-wiejska";"gm. Niepołomice";"wielicki";"małopolskie";19623;21744;5093;14530;8;71;0;0;0;0;0;0;0;14528;0;0;14528;229;76;153;0;14299;6800;881;2029;4589;13
"121905";"gmina miejsko-wiejska";"gm. Wieliczka";"wielicki";"małopolskie";40922;45781;10728;30194;23;259;0;0;0;0;0;0;0;30193;0;6;30187;456;146;310;0;29731;11798;1382;3620;12931;37
