"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Filip LIBICKI";"Jerzy Stanisław WIERZCHOWIECKI"
"0981-f9b1-f4ee-21ac-88dd-ace4-d23c-203f";"300504";"89";"2";"miasto";"stały";"Szkoła Podstawowa im. Powstańców Wielkopolskich, ul. Nowotomyska 1, 62-067 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1998";"2178";"721";"1277";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1275";"0";"0";"1275";"45";"15";"30";"0";"1230";"699";"531"
"90a8-29ac-e5ce-7bdf-8742-8a60-302c-0a18";"300504";"89";"3";"wieś";"stały";"Zespół Przedszkolno-Szkolny, Rostarzewo ul. Rakoniewicka 23, 62-068 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1710";"1867";"613";"1097";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1097";"0";"0";"1097";"39";"7";"32";"0";"1058";"638";"420"
"1001-c351-4536-b8dc-d935-2965-bbac-011c";"300504";"89";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Jabłonna ul. Nowotomyska 9, 64-308 Nowy Tomyśl";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1935";"2117";"855";"1080";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1080";"0";"0";"1080";"43";"15";"28";"0";"1037";"617";"420"
"d5cb-7f8e-60b8-b269-1e42-cdd9-9070-4bd4";"300504";"89";"5";"wieś";"stały";"Zespół Przedszkolno-Szkolny, Ruchocice ul. Poznańska 23, 62-073 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"1195";"1294";"507";"688";"0";"2";"0";"0";"0";"0";"0";"0";"0";"688";"0";"0";"688";"17";"4";"13";"0";"671";"327";"344"
"cb30-96b3-54ba-2544-ee4b-4874-239a-1ece";"300504";"89";"6";"wieś";"stały";"Zespół Przedszkolno-Szkolny, Łąkie 81, 62-068 Rakoniewice";"gm. Rakoniewice";"grodziski";"wielkopolskie";"561";"617";"221";"340";"0";"1";"0";"0";"0";"0";"0";"0";"0";"340";"0";"0";"340";"5";"1";"4";"0";"335";"137";"198"
"7ba5-6281-1125-82b8-478c-9a04-8208-cf67";"300505";"89";"1";"miasto";"stały";"Szkoła Podstawowa im. Polskich Noblistów w Wielichowie, ul. Kościelna 7a, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"1269";"1358";"375";"894";"1";"1";"0";"0";"0";"0";"0";"0";"0";"894";"0";"0";"894";"51";"22";"29";"0";"843";"533";"310"
"0c80-4d88-bcb0-c849-c667-bc3e-970d-3ee0";"300505";"89";"2";"wieś";"stały";"Szkoła Podstawowa im. Polskich Poetów w Łubnicy, Łubnica ul. Szkolna 4, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"718";"787";"308";"410";"0";"0";"0";"0";"0";"0";"0";"0";"0";"410";"0";"0";"410";"12";"0";"12";"0";"398";"171";"227"
"b019-8ce2-88f9-6b33-9d9e-507b-910d-4fae";"300505";"89";"3";"wieś";"stały";"Szkoła Podstawowa im. Kompanii Wilkowskiej Powstańców Wielkopolskich w Wilkowie Polskim, Wilkowo Polskie ul. Kościańska 2, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"1146";"1265";"407";"739";"0";"2";"0";"0";"0";"0";"0";"0";"0";"739";"0";"0";"739";"27";"5";"22";"0";"712";"340";"372"
"38c9-739b-c5e0-30ce-a4d4-2e5a-07ea-d961";"300505";"89";"4";"wieś";"stały";"Szkoła Podstawowa im. Polskich Noblistów w Wielichowie, ul. Kościelna 7a, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"1275";"1379";"502";"773";"1";"2";"0";"0";"0";"0";"0";"0";"0";"773";"0";"0";"773";"17";"6";"11";"0";"756";"354";"402"
"0c65-d6b7-7a61-6a83-6f65-c08c-cd4d-78b5";"300505";"89";"5";"wieś";"stały";"Szkoła Podstawowa w Gradowicach, Gradowice ul. Szkolna 20, 64-050 Wielichowo";"gm. Wielichowo";"grodziski";"wielkopolskie";"493";"526";"194";"299";"0";"0";"0";"0";"0";"0";"0";"0";"0";"299";"0";"0";"299";"11";"6";"5";"0";"288";"150";"138"
"2671-b583-ea37-9465-12a2-546e-6fa4-7e08";"301401";"89";"1";"wieś";"stały";"Sala widowiskowa przy Gminnym Ośrodku Kultury i Bibliotece Publicznej w Chrzypsku Wielkim ul. Główna 22, ul. Główna 22, 64-412 Chrzypsko Wielkie";"gm. Chrzypsko Wielkie";"międzychodzki";"wielkopolskie";"1197";"1350";"427";"770";"0";"0";"0";"0";"0";"0";"0";"0";"0";"770";"0";"0";"770";"21";"2";"19";"0";"749";"464";"285"
"0281-20db-11d2-e621-98b1-d35c-c195-b041";"301401";"89";"2";"wieś";"stały";"Środowiskowy Dom Samopomocy w Chrzypsku Wielkim ul. Główna 16, ul. Główna 16, 64-412 Chrzypsko Wielkie";"gm. Chrzypsko Wielkie";"międzychodzki";"wielkopolskie";"1100";"1231";"566";"534";"0";"18";"0";"0";"0";"0";"0";"0";"0";"534";"0";"0";"534";"10";"0";"10";"0";"524";"309";"215"
"7c24-5f18-e32d-6268-3999-edcf-7c72-e0df";"301401";"89";"3";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Łężeczkach, Łężeczki 40, 64-412 Chrzypsko Wielkie";"gm. Chrzypsko Wielkie";"międzychodzki";"wielkopolskie";"90";"104";"16";"74";"0";"0";"0";"0";"0";"0";"0";"0";"0";"74";"0";"0";"74";"20";"0";"20";"0";"54";"19";"35"
"1583-9a7b-b7c3-2c0a-c88e-d4e9-9ee4-503c";"301402";"89";"1";"wieś";"stały";"Sala sportowa przy Szkole Podstawowej w Kwilczu, wejście A, ul. Kardynała Stefana Wyszyńskiego 20, 64-420 Kwilcz";"gm. Kwilcz";"międzychodzki";"wielkopolskie";"1850";"2033";"657";"1193";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1192";"0";"0";"1192";"43";"13";"30";"0";"1149";"783";"366"
"5bac-700f-45ed-c0b7-a66a-be76-a931-f919";"301402";"89";"2";"wieś";"stały";"Sala sportowa przy Szkole Podstawowej w Kwilczu, wejście B, ul. Kardynała Stefana Wyszyńskiego 20, 64-420 Kwilcz";"gm. Kwilcz";"międzychodzki";"wielkopolskie";"1162";"1275";"482";"680";"2";"1";"0";"0";"0";"0";"0";"0";"0";"680";"0";"0";"680";"14";"4";"10";"0";"666";"373";"293"
"c8c3-3357-cfae-6a79-3fbe-ad0f-1028-613a";"301402";"89";"3";"wieś";"stały";"Sala sportowa przy Szkole Podstawowej w Luboszu, ul. Powstańców Wielkopolskich 1, 64-423 Lubosz";"gm. Kwilcz";"międzychodzki";"wielkopolskie";"1493";"1643";"640";"853";"1";"2";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"21";"4";"17";"0";"832";"483";"349"
"3d20-a418-7ac0-d3d0-6905-1c6b-535b-0a37";"301403";"89";"1";"miasto";"stały";"Hala Widowiskowo-Sportowa, ul. Dworcowa 22, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1737";"1902";"600";"1137";"3";"16";"0";"0";"0";"0";"0";"0";"0";"1137";"0";"0";"1137";"32";"8";"24";"0";"1105";"792";"313"
"76ce-8705-1545-f7a1-a929-6b78-b391-823e";"301403";"89";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Gorzycka 1, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1596";"1726";"491";"1105";"5";"3";"0";"0";"0";"0";"0";"0";"0";"1105";"0";"0";"1105";"23";"6";"17";"0";"1082";"736";"346"
"8d7d-b046-7987-49ff-6fcf-fa11-4eec-98f8";"301403";"89";"3";"miasto";"stały";"Urząd Miasta i Gminy, ul. Marszałka Piłsudskiego 2, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1757";"1934";"549";"1208";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1208";"0";"0";"1208";"42";"27";"15";"0";"1166";"842";"324"
"184e-15e4-1c7d-3086-bd57-3e89-f335-6029";"301403";"89";"4";"miasto";"stały";"Sala sportowa przy Szkole Podstawowej nr 1, ul. 17 Stycznia 92, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1489";"1623";"606";"883";"0";"3";"0";"0";"0";"0";"0";"0";"0";"883";"0";"0";"883";"34";"17";"17";"0";"849";"627";"222"
"b600-f52b-a113-c466-4788-c416-931d-b6a3";"301403";"89";"5";"miasto";"stały";"Zespół Szkół Nr 2, ul. Bolesława Chrobrego 13, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"714";"759";"229";"485";"1";"5";"0";"0";"0";"0";"0";"0";"0";"485";"0";"0";"485";"17";"5";"12";"0";"468";"344";"124"
"ec85-e172-4cbb-6a6f-317f-869b-4bae-31f2";"301403";"89";"6";"miasto";"stały";"Zespół Przedszkoli Nr 1, ul. św. Jana Pawła II 27, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"940";"1019";"310";"630";"0";"0";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"16";"3";"13";"0";"614";"432";"182"
"13ba-0133-1e5a-af9d-5197-f018-28d6-8ab5";"301403";"89";"7";"wieś";"stały";"Filia Biblioteczna, Bielsko ul. Armii Poznań 22A, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1825";"1979";"604";"1221";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1221";"0";"0";"1221";"25";"7";"18";"0";"1196";"808";"388"
"9525-072e-f5d3-6246-90e3-9849-c976-e55d";"301403";"89";"8";"wieś";"stały";"Dom Kultury Kamionna, ul. Poznańska 15, 64-421 Kamionna";"gm. Międzychód";"międzychodzki";"wielkopolskie";"877";"959";"337";"540";"0";"3";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"14";"6";"8";"0";"526";"325";"201"
"a30f-6fc8-5241-74fc-8bc6-7e21-5b6a-8a1f";"301403";"89";"9";"wieś";"stały";"Zespół Szkół, ul. Szkolna 1, 64-426 Łowyń";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1025";"1121";"410";"615";"0";"5";"0";"0";"0";"0";"0";"0";"0";"615";"0";"0";"615";"11";"1";"10";"0";"604";"347";"257"
"10f5-77e8-731f-abaf-960a-78cf-4be0-0f72";"301403";"89";"10";"wieś";"stały";"Świetlica wiejska, Radgoszcz 90, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"1040";"1094";"429";"611";"0";"5";"0";"0";"0";"0";"0";"0";"0";"611";"0";"0";"611";"20";"7";"13";"0";"591";"388";"203"
"0603-6265-e663-93db-63fc-9d4d-9ad0-65eb";"301403";"89";"11";"wieś";"dom pomocy społecznej";"Świetlica DPS Piłka-Zamyślin, Zamyślin 2A, 64-400";"gm. Międzychód";"międzychodzki";"wielkopolskie";"70";"55";"53";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"17";"3";"1";"2";"0";"14";"6";"8"
"8c0b-8cb0-197f-7429-c596-f9a6-3935-fb21";"301403";"89";"12";"miasto";"zakład leczniczy";"Świetlica SP ZOZ w Międzychodzie, Szpitalna 10, 64-400 Międzychód";"gm. Międzychód";"międzychodzki";"wielkopolskie";"100";"23";"85";"15";"0";"3";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"1";"0";"1";"0";"14";"8";"6"
"6815-03b1-ec9f-5567-bbb1-2c6a-921d-a882";"301404";"89";"1";"miasto";"stały";"Sierakowski Ośrodek Kultury, ul. Poznańska 25, 64-410 Sieraków";"gm. Sieraków";"międzychodzki";"wielkopolskie";"1660";"1838";"635";"1025";"1";"21";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"27";"7";"20";"0";"998";"664";"334"
"a7f4-b2b7-48be-f9a9-a4e9-5ddd-7850-c1fc";"301404";"89";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Poznańska 25, 64-410 Sieraków";"gm. Sieraków";"międzychodzki";"wielkopolskie";"1738";"1927";"657";"1081";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1081";"0";"0";"1081";"44";"8";"36";"0";"1037";"687";"350"
"6707-3d2c-cbef-9a9a-d379-5113-e2e6-f945";"301404";"89";"3";"miasto";"stały";"Kompleks sportowy ""Orlik""-sala gimnastyczna, ul. Wroniecka 25, 64-410 Sieraków";"gm. Sieraków";"międzychodzki";"wielkopolskie";"1950";"2143";"802";"1148";"5";"4";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"30";"4";"26";"0";"1118";"762";"356"
"c22a-cd44-4962-8c4b-cb60-e69a-562a-9509";"301404";"89";"4";"wieś";"stały";"Centrum Kultury Sportu i Turystyki, Lutom, Lutom 77, 64-410 Sieraków";"gm. Sieraków";"międzychodzki";"wielkopolskie";"844";"910";"352";"492";"0";"4";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"18";"4";"14";"0";"474";"250";"224"
"cee8-61a2-a314-a337-8116-b043-2048-b6ed";"301501";"89";"1";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Leśna 13, 64-316 Kuślin";"gm. Kuślin";"nowotomyski";"wielkopolskie";"1513";"1677";"513";"1000";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1000";"0";"0";"1000";"25";"8";"17";"0";"975";"575";"400"
"787e-1457-269b-0c6b-69e9-cd06-4157-f957";"301501";"89";"2";"wieś";"stały";"Zespół Szkoła Podstawowa-Przedszkole, Michorzewo ul. Szkolna 2, 64-316 Kuślin";"gm. Kuślin";"nowotomyski";"wielkopolskie";"1489";"1632";"663";"826";"0";"1";"1";"1";"0";"0";"0";"0";"1";"827";"1";"1";"826";"23";"4";"19";"0";"803";"428";"375"
"664e-5c00-1548-41f8-37b1-bff6-86b2-5c89";"301501";"89";"3";"wieś";"stały";"Zespół Szkoła Podstawowa-Przedszkole, Wąsowo ul. Lipowa 51, 64-316 Kuślin";"gm. Kuślin";"nowotomyski";"wielkopolskie";"853";"947";"308";"545";"0";"3";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"12";"1";"11";"0";"533";"286";"247"
"0609-ac50-193c-eb26-8991-a5ef-744f-ea26";"301502";"89";"1";"miasto";"stały";"Szkoła Podstawowa im. Emilii Sczanieckiej w Lwówku, Gimnazjalna 1, 64-310 Lwówek";"gm. Lwówek";"nowotomyski";"wielkopolskie";"879";"980";"233";"646";"0";"2";"0";"0";"0";"0";"0";"0";"0";"646";"0";"0";"646";"20";"10";"10";"0";"626";"396";"230"
"05d8-4f20-ff27-b422-a720-3bf8-6d9c-1573";"301502";"89";"2";"miasto";"stały";"Szkoła Podstawowa im. Emilii Sczanieckiej w Lwówku, ul. Gimnazjalna 1, 64-310 Lwówek";"gm. Lwówek";"nowotomyski";"wielkopolskie";"1229";"1360";"364";"865";"3";"6";"0";"0";"0";"0";"0";"0";"0";"865";"0";"0";"865";"27";"4";"23";"0";"838";"558";"280"
"ea82-59f4-d163-863e-93c6-7077-d7af-7cb2";"301502";"89";"3";"wieś";"stały";"Miejsko-Gminny Ośrodek Kultury w Lwówku, al. E. Sczanieckiej 56, 64-310 Lwówek";"gm. Lwówek";"nowotomyski";"wielkopolskie";"1076";"1200";"484";"592";"0";"0";"0";"0";"0";"0";"0";"0";"0";"592";"0";"0";"592";"17";"6";"11";"0";"575";"321";"254"
"0814-33da-19b1-07e0-461b-37e4-be51-1195";"301502";"89";"4";"wieś";"stały";"Zespół Szkoły Podstawowej i Przedszkola im. Powstańców Wlkp. w Posadowie, Posadowo 30, 64-310 Lwówek";"gm. Lwówek";"nowotomyski";"wielkopolskie";"741";"811";"357";"384";"2";"1";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"12";"3";"9";"0";"372";"207";"165"
"959c-f319-54af-a08c-6f47-5415-6bfb-a2f6";"301502";"89";"5";"wieś";"stały";"Zespół Szkoły i Przedszkola im. Jana Pawła II w Brodach, Brody 1, 64-310 Lwówek";"gm. Lwówek";"nowotomyski";"wielkopolskie";"1443";"1581";"637";"806";"2";"4";"0";"0";"0";"0";"0";"0";"0";"806";"0";"0";"806";"14";"2";"12";"0";"792";"403";"389"
"a499-3181-8b05-f897-0519-e643-93b3-eed6";"301502";"89";"6";"wieś";"stały";"Sala Wiejska w Zębowie, Zębowo ul. Parkowa 10, 64-310 Lwówek";"gm. Lwówek";"nowotomyski";"wielkopolskie";"1043";"1136";"473";"570";"0";"1";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"14";"0";"14";"0";"556";"347";"209"
