"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew KARCIŃSKI";"Dariusz Zbigniew KLICH";"Kazimierz Adam WIATR"
"46d6-9e0b-c000-0d83-7aba-24cf-2991-2d82";"120402";"35";"19";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej Św. Brata Alberta Chmielowskiego w Dąbrowie Tarnowskiej, ul. Św. Brata Alberta Chmielowskiego 16, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"52";"53";"31";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"3";"0";"3";"0";"18";"8";"1";"9"
"e294-e5ff-c839-2167-adc9-7e8a-5ffd-c0e2";"120402";"35";"20";"miasto";"zakład leczniczy";"Zespół Opieki Zdrowotnej w Dąbrowie Tarnowskiej, ul. Szpitalna 1, 33-200 Dąbrowa Tarnowska";"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";"226";"126";"161";"65";"0";"2";"0";"0";"0";"0";"0";"0";"0";"65";"0";"0";"65";"4";"0";"4";"0";"61";"9";"6";"46"
"7e75-0236-bb3e-0057-4739-f3dd-42e0-112b";"120403";"35";"1";"wieś";"stały";"Gminne Centrum Kultury i Czytelnictwa w Gręboszowie, Gręboszów 143, 33-260 Gręboszów";"gm. Gręboszów";"dąbrowski";"małopolskie";"813";"869";"378";"435";"1";"2";"0";"0";"0";"0";"0";"0";"0";"435";"0";"0";"435";"11";"1";"10";"0";"424";"128";"20";"276"
"60ec-3281-8942-1bd8-3420-3ac0-edc7-2438";"120403";"35";"2";"wieś";"stały";"Budynek byłej Szkoły Podstawowej w Borusowej, Borusowa 106, 33-260 Gręboszów";"gm. Gręboszów";"dąbrowski";"małopolskie";"555";"598";"247";"308";"3";"0";"0";"0";"0";"0";"0";"0";"0";"308";"0";"0";"308";"6";"0";"6";"0";"302";"49";"25";"228"
"d7a7-b705-ddd9-aaa9-d475-0037-5fdc-fb42";"120403";"35";"3";"wieś";"stały";"Budynek Remizy OSP w Żelichowie, Żelichów 7, 33-260 Gręboszów";"gm. Gręboszów";"dąbrowski";"małopolskie";"597";"632";"275";"322";"1";"2";"0";"0";"0";"0";"0";"0";"0";"322";"0";"0";"322";"12";"1";"11";"0";"310";"47";"22";"241"
"dd86-0c9b-be23-59b8-88f4-a8df-5586-19cc";"120403";"35";"4";"wieś";"stały";"Gabinet Rehabilitacji w Ujściu Jezuickim, Ujście Jezuickie 95, 33-260 Gręboszów";"gm. Gręboszów";"dąbrowski";"małopolskie";"617";"652";"308";"309";"0";"1";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"2";"0";"2";"0";"307";"118";"16";"173"
"9815-c0e5-f114-4d05-46bc-8c7a-3f38-7e80";"120404";"35";"1";"wieś";"stały";"Urząd Gminy w Mędrzechowie, Mędrzechów 434, 33-221 Mędrzechów";"gm. Mędrzechów";"dąbrowski";"małopolskie";"1577";"1696";"705";"872";"5";"6";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"28";"2";"26";"0";"843";"219";"87";"537"
"ea5b-0756-2ced-9b7e-8dae-1661-9a7d-c332";"120404";"35";"2";"wieś";"stały";"Dom Ludowy w Grądach, Grądy 29, 33-221 Mędrzechów";"gm. Mędrzechów";"dąbrowski";"małopolskie";"523";"577";"218";"305";"3";"1";"0";"0";"0";"0";"0";"0";"0";"305";"0";"0";"305";"10";"0";"10";"0";"295";"92";"62";"141"
"24d7-9d5f-49c7-5602-fb69-6e30-1858-e193";"120404";"35";"3";"wieś";"stały";"Dom Ludowy w Woli Mędrzechowskiej, Wola Mędrzechowska 176, 33-221 Mędrzechów";"gm. Mędrzechów";"dąbrowski";"małopolskie";"461";"503";"205";"256";"0";"0";"0";"0";"0";"0";"0";"0";"0";"256";"0";"0";"256";"10";"1";"9";"0";"246";"41";"26";"179"
"18a9-824b-ff03-7137-193c-c603-f5bc-2b30";"120404";"35";"4";"wieś";"dom pomocy społecznej";"Dom Radosnej Starości w Kupieninie, Kupienin 35, 33-221 Mędrzechów";"gm. Mędrzechów";"dąbrowski";"małopolskie";"70";"70";"47";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"0";"0";"0";"0";"23";"7";"7";"9"
