"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Stanisław GOGACZ";"Arkadiusz KASZNIA";"Wojciech MATEŃKA";"Marcin WALASEK"
"e991-d177-1d8e-230f-67a2-a392-a8df-4e70";"060801";"14";"11";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. 1 Maja 66 - 74, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"1485";"1609";"337";"1148";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"24";"9";"15";"0";"1124";"516";"439";"93";"76"
"bcfb-8957-57bd-6c72-74c6-268b-437e-7636";"060801";"14";"12";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej, Cicha 14, 21-100 Lubartów";"m. Lubartów";"lubartowski";"lubelskie";"217";"133";"151";"66";"0";"2";"0";"0";"0";"0";"0";"0";"0";"66";"0";"0";"66";"1";"0";"1";"0";"65";"42";"14";"7";"2"
"6078-9053-263f-c3e3-9adc-84f2-4888-c5ae";"060802";"14";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Szkolna 31, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"1028";"1131";"342";"686";"4";"5";"0";"0";"0";"0";"0";"0";"0";"686";"0";"0";"686";"13";"2";"11";"0";"673";"532";"79";"28";"34"
"87f7-da89-2c8f-6ae2-5990-8a87-c5d1-b6e9";"060802";"14";"2";"wieś";"stały";"Świetlica wiejska, Ciotcza 29A, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"265";"294";"86";"179";"0";"1";"0";"0";"0";"0";"0";"0";"0";"179";"0";"0";"179";"0";"0";"0";"0";"179";"132";"18";"14";"15"
"b8ec-2271-bb1c-608a-6824-3940-424e-0aa0";"060802";"14";"3";"wieś";"stały";"Świetlica wiejska, Dębiny 114, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"221";"244";"77";"144";"0";"2";"0";"0";"0";"0";"0";"0";"0";"144";"0";"0";"144";"4";"0";"4";"0";"140";"122";"11";"3";"4"
"c418-ef84-ec51-32fc-90c0-d691-cc36-1f6c";"060802";"14";"4";"wieś";"stały";"Świetlica wiejska, Glinnik 73, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"313";"341";"113";"200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"200";"0";"0";"200";"3";"2";"1";"0";"197";"152";"18";"16";"11"
"2a05-3644-7a3a-9d40-7f5c-fdf2-4a7f-ac2e";"060802";"14";"5";"wieś";"stały";"Szkoła Podstawowa, Wielkie 66, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"428";"470";"157";"271";"0";"0";"0";"0";"0";"0";"0";"0";"0";"271";"0";"0";"271";"9";"1";"8";"0";"262";"192";"31";"25";"14"
"9c11-46dc-b918-1abf-73fe-a65c-aeb3-1dfd";"060802";"14";"6";"wieś";"stały";"Szkoła Podstawowa, Wielkolas 27C, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"435";"478";"198";"237";"0";"2";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"12";"2";"10";"0";"225";"150";"31";"21";"23"
"473f-a2c2-dea7-d2fd-4651-57bc-a0a3-2412";"060802";"14";"7";"wieś";"stały";"Świetlica wiejska, Wolica 66, 21-143 Abramów";"gm. Abramów";"lubartowski";"lubelskie";"342";"373";"96";"246";"1";"1";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"5";"1";"4";"0";"241";"197";"14";"20";"10"
"ac71-ec2c-2e91-8443-1a60-7888-624d-2fd3";"060803";"14";"1";"wieś";"stały";"Świetlica wiejska, Wola Skromowska 56, 21-150 Kock";"gm. Firlej";"lubartowski";"lubelskie";"582";"615";"232";"350";"0";"0";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"4";"1";"3";"0";"346";"252";"45";"26";"23"
"6d26-360b-568b-86c3-9b95-8cae-bfce-e9f2";"060803";"14";"2";"wieś";"stały";"Lokal byłej Szkoły Podstawowej, Sułoszyn 49, 21-150 Kock";"gm. Firlej";"lubartowski";"lubelskie";"355";"395";"137";"218";"0";"4";"0";"0";"0";"0";"0";"0";"0";"218";"0";"0";"218";"6";"1";"5";"0";"212";"148";"31";"12";"21"
"e20a-eb4c-61ac-a697-00dc-1bd9-9b82-3d5c";"060803";"14";"3";"wieś";"stały";"Gminna Biblioteka Publiczna, ul. Kościelna 4, 21-136 Firlej";"gm. Firlej";"lubartowski";"lubelskie";"1461";"1615";"567";"894";"2";"15";"0";"0";"0";"0";"0";"0";"0";"894";"0";"0";"894";"19";"4";"15";"0";"875";"478";"242";"68";"87"
"7556-1912-fdfb-11b5-15a2-1393-c7de-4822";"060803";"14";"4";"wieś";"stały";"Remiza OSP, Serock 89, 21-136 Firlej";"gm. Firlej";"lubartowski";"lubelskie";"359";"405";"145";"214";"0";"3";"0";"0";"0";"0";"0";"0";"0";"214";"0";"0";"214";"6";"3";"3";"0";"208";"129";"48";"12";"19"
"79f0-e3f8-78ed-6352-76ea-4675-6938-08e2";"060803";"14";"5";"wieś";"stały";"Szkoła Podstawowa, Przypisówka 18, 21-136 Firlej";"gm. Firlej";"lubartowski";"lubelskie";"356";"397";"166";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"190";"5";"0";"5";"0";"185";"107";"39";"15";"24"
"a875-c280-2388-7406-0e66-7f12-09b0-90b5";"060803";"14";"6";"wieś";"stały";"Remiza OSP, Łukówiec 50, 21-136 Firlej";"gm. Firlej";"lubartowski";"lubelskie";"461";"505";"216";"245";"2";"0";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"4";"1";"3";"0";"241";"169";"34";"24";"14"
"1679-8165-00af-5ec2-a966-3fd2-47a9-408f";"060803";"14";"7";"wieś";"stały";"Filia Biblioteki Publicznej, Sobolew Kolonia 18A, 21-136 Firlej";"gm. Firlej";"lubartowski";"lubelskie";"346";"381";"156";"190";"0";"2";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"190";"3";"1";"2";"0";"187";"137";"25";"7";"18"
"1870-3785-050d-56d3-1f89-3ece-62f0-d27c";"060803";"14";"8";"wieś";"stały";"Szkoła Podstawowa, Nowy Antonin 72, 21-136 Firlej";"gm. Firlej";"lubartowski";"lubelskie";"385";"421";"182";"203";"0";"0";"0";"0";"0";"0";"0";"0";"0";"203";"0";"0";"203";"6";"0";"6";"0";"197";"141";"25";"14";"17"
"2817-387f-2fef-1d4d-d8ba-5719-17d7-3304";"060804";"14";"1";"wieś";"stały";"Budynek, Kościelna 1, 21-146 Jeziorzany";"gm. Jeziorzany";"lubartowski";"lubelskie";"653";"716";"277";"376";"2";"7";"0";"0";"0";"0";"0";"0";"0";"376";"0";"0";"376";"17";"8";"9";"0";"359";"247";"66";"17";"29"
"97b9-c744-ca5c-1195-3f07-e8c2-e0fd-788a";"060804";"14";"2";"wieś";"stały";"Zespół Szkół, Przytoczno 25, 21-146 Jeziorzany";"gm. Jeziorzany";"lubartowski";"lubelskie";"921";"1015";"418";"503";"0";"2";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"12";"4";"8";"0";"491";"343";"81";"33";"34"
"cae5-bb26-6fd0-8895-b2e5-5561-9d35-bcd7";"060804";"14";"3";"wieś";"stały";"Strażnica OSP, Krępa 89, 21-146 Jeziorzany";"gm. Jeziorzany";"lubartowski";"lubelskie";"472";"504";"185";"287";"1";"0";"0";"0";"0";"0";"0";"0";"0";"287";"0";"0";"287";"8";"0";"8";"0";"279";"232";"27";"14";"6"
"4a88-029b-ed90-f15e-c98b-d201-6c70-7aab";"060805";"14";"1";"wieś";"stały";"lokal Szkoły Podstawowej, Samoklęski 6A, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"609";"682";"258";"351";"0";"0";"0";"0";"0";"0";"0";"0";"0";"351";"0";"0";"351";"8";"0";"8";"0";"343";"239";"58";"22";"24"
"b22f-e1dc-d7a6-3270-2b3c-387b-4f07-0ee5";"060805";"14";"2";"wieś";"stały";"lokal remizo-świetlicy, Syry 53, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"303";"336";"122";"181";"0";"2";"0";"0";"0";"0";"0";"0";"0";"181";"0";"0";"181";"4";"2";"2";"0";"177";"140";"20";"7";"10"
"391b-f80d-aebe-cfd5-9cf8-9455-84eb-23b0";"060805";"14";"3";"wieś";"stały";"Lokal remizo-świetlicy, Starościn 4, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"442";"490";"149";"293";"0";"1";"0";"0";"0";"0";"0";"0";"0";"293";"0";"0";"293";"6";"1";"5";"0";"287";"204";"49";"14";"20"
"77ec-c599-0e68-8966-1526-4910-9ac9-3dd8";"060805";"14";"4";"wieś";"stały";"Lokal remizo-świetlicy, Wólka Krasienińska 21A, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"250";"279";"92";"158";"0";"0";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"4";"2";"2";"0";"154";"72";"68";"9";"5"
"e5a5-3157-1394-9aa3-23c3-82e5-a224-efe5";"060805";"14";"5";"wieś";"stały";"Lokal byłej szkoły Podstawowej, ul. Grobelna 1, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"1106";"831";"679";"427";"7";"3";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"2";"0";"2";"0";"424";"249";"122";"32";"21"
"e90a-455d-2a0e-b978-79d2-9431-3fd9-10f0";"060805";"14";"6";"wieś";"stały";"Lokal Biblioteki Gminnej, ul. Grobelna 1, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"505";"882";"50";"455";"0";"1";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"10";"1";"9";"0";"445";"281";"114";"27";"23"
"8b07-3a27-03c8-59dc-946a-9997-f187-56da";"060805";"14";"7";"wieś";"stały";"Lokal świetlicy wiejskiej, Kierzkówka 12B, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"356";"397";"152";"204";"0";"3";"0";"0";"0";"0";"0";"0";"0";"204";"0";"0";"204";"2";"1";"1";"0";"202";"134";"47";"9";"12"
"9911-a88a-4f40-9c32-8bfd-2e6a-48c8-cc58";"060805";"14";"8";"wieś";"stały";"Lokal świetlicy wiejskiej, Kozłówka 46, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"669";"738";"270";"399";"0";"0";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"15";"3";"12";"0";"384";"212";"110";"28";"34"
"2bdb-878b-d773-653f-f48b-e859-6803-946a";"060805";"14";"9";"wieś";"stały";"Lokal świetlicy wiejskiej, Siedliska 123, 21-132 Kamionka";"gm. Kamionka";"lubartowski";"lubelskie";"466";"504";"190";"276";"0";"2";"0";"0";"0";"0";"0";"0";"0";"276";"0";"0";"276";"7";"4";"3";"0";"269";"164";"61";"19";"25"
"10b8-69cd-fd08-f6b1-bcd8-2a2a-72f5-494c";"060806";"14";"1";"miasto";"stały";"Dom Kultury, ul. Apteczna 4, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"1228";"1273";"558";"670";"1";"6";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"20";"4";"16";"0";"648";"436";"141";"41";"30"
"ff53-0951-047e-9ab3-53cf-97d9-9301-f9cb";"060806";"14";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Przechodnia 11, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"1346";"1434";"546";"800";"1";"1";"0";"0";"0";"0";"0";"0";"0";"800";"0";"0";"800";"26";"7";"19";"0";"774";"464";"196";"71";"43"
"4bd8-a1a7-6eef-7382-e6b7-074f-7733-164a";"060806";"14";"3";"wieś";"stały";"Remiza strażacka, Górka 131, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"437";"484";"179";"258";"0";"2";"0";"0";"0";"0";"0";"0";"0";"258";"0";"0";"258";"12";"2";"10";"0";"246";"195";"24";"15";"12"
"98b9-2fcc-9ecd-dbdd-389a-fc5d-d87c-ea96";"060806";"14";"4";"wieś";"stały";"Szkoła Podstawowa im. H. Sienkiewicza, Talczyn 160, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"415";"461";"207";"208";"0";"4";"0";"0";"0";"0";"0";"0";"0";"208";"0";"0";"208";"6";"0";"6";"0";"202";"157";"19";"13";"13"
"7ab0-c28b-5e63-a2ce-eec5-3c6b-20e7-1e02";"060806";"14";"5";"wieś";"stały";"Świetlica Wiejska, Annopol 16A, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"223";"247";"102";"121";"0";"0";"0";"0";"0";"0";"0";"0";"0";"121";"0";"0";"121";"4";"2";"2";"0";"117";"99";"8";"2";"8"
"306d-7d02-7b99-3095-097a-ea39-a544-9f02";"060806";"14";"6";"wieś";"stały";"Niepubliczna Szkoła Podstawowa, Białobrzegi 90, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"569";"627";"190";"379";"0";"3";"0";"0";"0";"0";"0";"0";"0";"379";"0";"0";"379";"13";"3";"10";"0";"366";"286";"46";"17";"17"
"c50f-b4c9-f319-d965-9c95-5753-33ea-43d6";"060806";"14";"7";"wieś";"stały";"Zespół Szkół im. Jana Pawła II, Poizdów 1, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"500";"549";"194";"306";"0";"2";"0";"0";"0";"0";"0";"0";"0";"306";"0";"0";"306";"4";"1";"3";"0";"302";"262";"21";"9";"10"
"6e34-fc67-80d9-7ab9-2980-99d7-c800-7a37";"060806";"14";"8";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Kocku, Tadeusza Kościuszki 1D, 21-150 Kock";"gm. Kock";"lubartowski";"lubelskie";"72";"72";"41";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"0";"0";"0";"0";"31";"16";"7";"5";"3"
"c56f-9042-0069-9337-3917-1d1f-ca67-8312";"060807";"14";"1";"wieś";"stały";"Dom Pomocy Społecznej, Łucka 71, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"267";"307";"72";"195";"0";"1";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"195";"2";"0";"2";"0";"193";"125";"52";"5";"11"
"a3d8-faa2-f879-f69d-fa7e-4da6-a6de-f524";"060807";"14";"2";"wieś";"stały";"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"1170";"1285";"355";"815";"0";"5";"0";"0";"0";"0";"0";"0";"0";"815";"0";"2";"813";"10";"0";"10";"0";"803";"463";"224";"53";"63"
"18e3-b84a-5a0b-9d62-4353-dd4e-f52d-a79d";"060807";"14";"3";"wieś";"stały";"Szkoła Podstawowa, Łucka-Kolonia 125, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"719";"779";"197";"522";"0";"1";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"14";"6";"8";"0";"508";"329";"105";"40";"34"
"de4f-8738-7cc1-0bb0-9c01-d0cc-abb7-4c02";"060807";"14";"4";"wieś";"stały";"Gminna Biblioteka Publiczna, Skrobów-Kolonia 104, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"1241";"1362";"440";"801";"0";"0";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"20";"7";"13";"0";"781";"461";"188";"72";"60"
"6474-c6b2-6025-8512-ae74-2d04-8e1a-2144";"060807";"14";"5";"wieś";"stały";"Szkoła Podstawowa, Wólka Rokicka 90, 21-100  Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"911";"988";"302";"609";"0";"0";"0";"0";"0";"0";"0";"0";"0";"609";"0";"0";"609";"19";"5";"14";"0";"590";"374";"134";"38";"44"
"7896-7efb-18d9-68d9-19e5-1e13-0a85-0dec";"060807";"14";"6";"wieś";"stały";"Szkoła Podstawowa, Nowodwór 60A, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"777";"845";"241";"536";"0";"1";"0";"0";"0";"0";"0";"0";"0";"536";"0";"0";"536";"13";"5";"8";"0";"523";"308";"132";"38";"45"
"9dc3-3230-d27c-ca4c-1e76-a855-f06d-6cb2";"060807";"14";"7";"wieś";"stały";"Gminna Biblioteka Publiczna, Lisów 32B, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"764";"845";"275";"489";"0";"1";"0";"0";"0";"0";"0";"0";"0";"489";"0";"0";"489";"12";"4";"8";"0";"477";"256";"142";"41";"38"
"92ba-b919-0376-f9f4-b87f-5efa-d9da-6bfb";"060807";"14";"8";"wieś";"stały";"Filia Szkoły Podstawowej, Mieczysławka 39, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"553";"604";"199";"354";"0";"4";"0";"0";"0";"0";"0";"0";"0";"354";"0";"0";"354";"5";"3";"2";"0";"349";"209";"88";"20";"32"
"027b-4089-00a4-d387-d1c2-b99d-6d17-0493";"060807";"14";"9";"wieś";"stały";"Szkoła Podstawowa, Szczekarków 124, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"571";"635";"209";"362";"0";"5";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"5";"1";"4";"0";"357";"248";"58";"25";"26"
"9e1d-d047-5dbd-114a-33b4-fa69-0f87-2eda";"060807";"14";"10";"wieś";"stały";"Szkoła Podstawowa, Annobór 69, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"472";"520";"140";"332";"0";"6";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"7";"1";"6";"0";"325";"214";"68";"19";"24"
"0bfa-dbd2-c7c5-6f3a-dc7a-9c5c-8c8a-bbaf";"060807";"14";"11";"wieś";"stały";"Szkoła Podstawowa, Brzeziny 168, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"501";"555";"195";"306";"0";"0";"0";"0";"0";"0";"0";"0";"0";"306";"0";"0";"306";"6";"2";"4";"0";"300";"223";"49";"11";"17"
"1429-4ca3-9b13-a464-35a8-1c6f-f6d8-5df2";"060807";"14";"12";"wieś";"stały";"Świetlica wiejska, Chlewiska 24A, 21-100 Lubartów";"gm. Lubartów";"lubartowski";"lubelskie";"261";"280";"89";"172";"0";"1";"0";"0";"0";"0";"0";"0";"0";"172";"0";"0";"172";"3";"0";"3";"0";"169";"126";"22";"9";"12"
"ee1c-d334-bc57-bf00-dc83-9195-c75f-32ac";"060808";"14";"1";"wieś";"stały";"Zespół Szkół Ogólnokształcących w Michowie, ul. Szkolna II 2B, 21-140 Michów";"gm. Michów";"lubartowski";"lubelskie";"1256";"1312";"467";"789";"5";"5";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"11";"6";"5";"0";"778";"476";"198";"65";"39"
"8bfc-117e-8d9c-4d4f-8b74-14bf-3dbd-1c70";"060808";"14";"2";"wieś";"stały";"Zespół Szkół Ogólnokształcących w Michowie, ul. Szkolna II 2 B, 21-140 Michów";"gm. Michów";"lubartowski";"lubelskie";"926";"1015";"403";"523";"1";"4";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"6";"4";"2";"0";"517";"382";"66";"40";"29"
"76fa-429b-a06d-898a-d6fd-d056-cdff-072e";"060808";"14";"3";"wieś";"stały";"Szkoła Podstawowa w Katarzynie, Katarzyn 114, 21-140 Michów";"gm. Michów";"lubartowski";"lubelskie";"644";"701";"260";"384";"4";"0";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"7";"2";"5";"0";"377";"294";"47";"15";"21"
"cfb5-d33b-0fe7-e829-dac0-8fc0-8866-b117";"060808";"14";"4";"wieś";"stały";"Szkoła Podstawowa w Rudnie, Rudno ul. Spacerowa 110, 21-140 Michów";"gm. Michów";"lubartowski";"lubelskie";"1149";"1270";"537";"612";"2";"5";"0";"0";"0";"0";"0";"0";"0";"610";"0";"0";"610";"10";"5";"5";"0";"600";"427";"105";"32";"36"
"5574-57e8-00a9-4436-6906-48b8-a03d-7fd6";"060808";"14";"5";"wieś";"stały";"Budynek Świetlicy Wiejskiej w Gołębiu, Gołąb 76, 21-140 Michów";"gm. Michów";"lubartowski";"lubelskie";"283";"318";"118";"165";"0";"1";"0";"0";"0";"0";"0";"0";"0";"165";"0";"0";"165";"4";"2";"2";"0";"161";"102";"27";"17";"15"
"5838-bc6a-e54d-a8f3-7e27-d94c-97cc-390b";"060808";"14";"6";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Giżycach, Giżyce 63, 21-140 Michów";"gm. Michów";"lubartowski";"lubelskie";"258";"291";"99";"159";"0";"1";"0";"0";"0";"0";"0";"0";"0";"159";"0";"0";"159";"1";"0";"1";"0";"158";"126";"20";"5";"7"
