"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław Wojciech OBREMSKI";"Dariusz Paweł STASIAK";"Bogdan Andrzej ZDROJEWSKI"
"a865-c96c-9f79-09dc-2199-b539-3843-8bcc";"020404";"6";"3";"wieś";"stały";"Zespół Placówek Kultury, ul. Zacisze 10D, 56-210 Wąsosz";"gm. Wąsosz";"górowski";"dolnośląskie";"700";"748";"395";"305";"0";"1";"0";"0";"0";"0";"0";"0";"0";"305";"0";"0";"305";"4";"2";"2";"0";"301";"162";"28";"111"
"ddcb-d876-ca42-36d5-1cc2-9efe-772a-c4bc";"020404";"6";"4";"wieś";"stały";"Szkoła Podstawowa, Pobiel 75, 56-210 Wąsosz";"gm. Wąsosz";"górowski";"dolnośląskie";"700";"786";"305";"395";"1";"3";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"9";"2";"7";"0";"386";"220";"64";"102"
"bf6b-4ff1-0e33-3110-8f0f-277d-e11b-a1b7";"020404";"6";"5";"wieś";"stały";"Świetlica wiejska, Kamień Górowski 8A, 56-210 Wąsosz";"gm. Wąsosz";"górowski";"dolnośląskie";"699";"777";"343";"356";"0";"7";"0";"0";"0";"0";"0";"0";"0";"356";"0";"0";"356";"9";"2";"7";"0";"347";"211";"49";"87"
"1a9b-aa38-241f-42cb-50f7-344b-c746-5b7d";"021301";"6";"1";"wieś";"stały";"Szkoła Podstawowa w Cieszkowie, ul. Grunwaldzka 3, 56-330 Cieszków";"gm. Cieszków";"milicki";"dolnośląskie";"2100";"2246";"756";"1342";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1341";"0";"0";"1341";"29";"8";"21";"0";"1312";"670";"204";"438"
"04bc-296b-e1b9-4394-cca6-22e8-3ce0-5a02";"021301";"6";"2";"wieś";"stały";"Świetlica wiejska w Trzebicku, Trzebicko 33, 56-330 Cieszków";"gm. Cieszków";"milicki";"dolnośląskie";"500";"512";"210";"290";"0";"1";"0";"0";"0";"0";"0";"0";"0";"290";"0";"0";"290";"7";"1";"6";"0";"283";"181";"30";"72"
"6e39-d06d-9644-3e96-0e32-82fa-7b62-b7f3";"021301";"6";"3";"wieś";"stały";"Szkoła Podstawowa w Pakosławsku, Pakosławsko 58, 56-330 Cieszków";"gm. Cieszków";"milicki";"dolnośląskie";"899";"949";"428";"471";"2";"4";"0";"0";"0";"0";"0";"0";"0";"471";"0";"0";"471";"6";"2";"4";"0";"465";"236";"77";"152"
"aae1-e773-22fe-04a8-48a3-d86e-65fc-b5be";"021302";"6";"1";"wieś";"stały";"Centrum Edukacyjno-Turystyczno-Sportowe w Krośnicach, ul. Sanatoryjna 19, 56-320 Krośnice";"gm. Krośnice";"milicki";"dolnośląskie";"1700";"1801";"686";"1014";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1014";"0";"0";"1014";"23";"6";"17";"0";"991";"442";"255";"294"
"ced6-ed82-ea8c-610f-243a-a5f7-976c-ae07";"021302";"6";"2";"wieś";"stały";"Szkoła Podstawowa im. Piastów Śląskich w Bukowicach, ul. Wrocławska 43, 56-321 Bukowice";"gm. Krośnice";"milicki";"dolnośląskie";"2297";"2552";"968";"1329";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1329";"0";"0";"1329";"22";"7";"15";"0";"1307";"675";"154";"478"
"7ec9-4b23-41e6-4037-0fda-d1eb-25a9-3598";"021302";"6";"3";"wieś";"stały";"Szkoła Podstawowa im. Edmunda Bojanowskiego w Kuźnicy Czeszyckiej, Kuźnica Czeszycka 1, 56-320 Kuźnica Czeszycka";"gm. Krośnice";"milicki";"dolnośląskie";"799";"885";"320";"479";"1";"3";"0";"0";"0";"0";"0";"0";"0";"479";"0";"0";"479";"9";"2";"7";"0";"470";"259";"59";"152"
"116e-468f-4f16-c535-f831-191c-5a56-420f";"021302";"6";"4";"wieś";"stały";"Świetlica środowiskowa i wiejska w Wierzchowicach, ul. Kościelna 15, 56-320 Wierzchowice";"gm. Krośnice";"milicki";"dolnośląskie";"899";"1010";"360";"539";"0";"2";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"9";"2";"7";"0";"530";"266";"114";"150"
