"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jolanta Emilia HIBNER";"Jan Krzysztof ŻARYN";"Liczba obwodów"
"143201";"gmina miejsko-wiejska";"gm. Błonie";"warszawski zachodni";"mazowieckie";14994;16555;4006;10988;11;62;0;0;0;0;0;0;0;10987;0;0;10987;311;87;224;0;10676;5658;5018;12
"143202";"gmina wiejska";"gm. Izabelin";"warszawski zachodni";"mazowieckie";7443;8153;1270;6172;8;58;2;2;1;1;0;0;0;6173;0;0;6173;154;41;113;0;6019;3377;2642;5
"143203";"gmina wiejska";"gm. Kampinos";"warszawski zachodni";"mazowieckie";3248;3574;1007;2241;6;18;0;0;0;0;0;0;0;2240;0;0;2240;79;23;56;0;2161;910;1251;2
"143204";"gmina wiejska";"gm. Leszno";"warszawski zachodni";"mazowieckie";7040;7923;1931;5109;5;45;0;0;0;0;0;0;0;5109;0;1;5108;160;37;123;0;4948;2667;2281;6
"143205";"gmina miejsko-wiejska";"gm. Łomianki";"warszawski zachodni";"mazowieckie";18721;20321;2803;15918;18;176;1;1;0;0;0;0;1;15908;1;1;15907;362;105;257;0;15545;9676;5869;13
"143206";"gmina miejsko-wiejska";"gm. Ożarów Mazowiecki";"warszawski zachodni";"mazowieckie";16877;18853;3471;13408;5;134;1;1;0;0;0;0;1;13408;1;2;13406;403;109;294;0;13003;7016;5987;21
"143207";"gmina wiejska";"gm. Stare Babice";"warszawski zachodni";"mazowieckie";12765;14210;2059;10706;10;103;1;1;0;0;0;0;1;10707;1;1;10706;257;59;198;0;10449;6135;4314;8
"143401";"gmina miejska";"m. Kobyłka";"wołomiński";"mazowieckie";15998;17691;3228;12770;19;53;0;0;0;0;0;0;0;12769;0;2;12767;377;128;249;0;12390;6241;6149;15
"143402";"gmina miejska";"m. Marki";"wołomiński";"mazowieckie";21816;25216;4490;17326;10;132;0;0;0;0;0;0;0;17324;0;0;17324;469;179;290;0;16855;9137;7718;14
"143403";"gmina miejska";"m. Ząbki";"wołomiński";"mazowieckie";23175;26061;4648;18523;7;226;0;0;0;0;0;0;0;18520;0;1;18519;535;173;362;0;17984;9969;8015;15
"143404";"gmina miejska";"m. Zielonka";"wołomiński";"mazowieckie";12731;13574;2622;10107;6;61;1;1;0;0;0;0;1;10109;1;0;10109;290;80;210;0;9819;5147;4672;12
"143405";"gmina wiejska";"gm. Dąbrówka";"wołomiński";"mazowieckie";5558;6212;1378;4180;5;31;0;0;0;0;0;0;0;4179;0;0;4179;119;26;93;0;4060;1018;3042;7
"143406";"gmina wiejska";"gm. Jadów";"wołomiński";"mazowieckie";5528;6057;2105;3423;6;37;0;0;0;0;0;0;0;3423;0;0;3423;114;19;95;0;3309;1217;2092;10
"143407";"gmina wiejska";"gm. Klembów";"wołomiński";"mazowieckie";6940;7706;1983;4957;4;13;0;0;0;0;0;0;0;4957;0;0;4957;127;27;100;0;4830;1647;3183;8
"143408";"gmina wiejska";"gm. Poświętne";"wołomiński";"mazowieckie";4380;4843;1421;2959;1;9;0;0;0;0;0;0;0;2959;0;0;2959;95;19;76;0;2864;643;2221;6
"143409";"gmina miejsko-wiejska";"gm. Radzymin";"wołomiński";"mazowieckie";17938;19926;4464;13474;8;125;1;1;0;0;0;0;1;13469;1;0;13469;333;117;216;0;13136;5394;7742;13
"143410";"gmina wiejska";"gm. Strachówka";"wołomiński";"mazowieckie";2084;2262;893;1191;4;5;0;0;0;0;0;0;0;1191;0;0;1191;48;7;41;0;1143;328;815;5
"143411";"gmina miejsko-wiejska";"gm. Tłuszcz";"wołomiński";"mazowieckie";13952;15415;4501;9450;3;36;0;0;0;0;0;0;0;9450;0;0;9450;345;70;275;0;9105;3165;5940;15
"143412";"gmina miejsko-wiejska";"gm. Wołomin";"wołomiński";"mazowieckie";35883;39187;8805;27077;18;101;1;1;0;0;0;0;1;27073;1;5;27068;804;256;548;0;26264;12098;14166;31
