"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek Piotr DUDEK";"Joanna SEKUŁA"
"afc3-41da-c57a-13b2-9fdb-8d83-cd99-48af";"246801";"77";"16";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1, ul. Jana Matejki 3, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1500";"1608";"476";"1024";"4";"4";"0";"0";"0";"0";"0";"0";"0";"1024";"0";"0";"1024";"46";"5";"41";"0";"978";"390";"588"
"b1c2-a1fa-fabf-4005-9358-4356-a0fe-d099";"246801";"77";"17";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 1, ul. Jana Matejki 3, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1600";"1712";"748";"852";"1";"2";"0";"0";"0";"0";"0";"0";"0";"852";"0";"0";"852";"51";"14";"37";"0";"801";"385";"416"
"9a93-fb2a-91a1-435e-9d68-3761-ed87-1edb";"246801";"77";"18";"miasto";"stały";"Przedszkole Miejskie Nr 1, ul. Karola Szymanowskiego 10, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1300";"1431";"555";"745";"0";"4";"0";"0";"0";"0";"0";"0";"0";"745";"0";"0";"745";"29";"7";"22";"0";"716";"336";"380"
"9301-05d2-019c-2009-f971-9fc3-8edf-48a0";"246801";"77";"19";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Ławczana 12, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1350";"1441";"445";"905";"1";"1";"0";"0";"0";"0";"0";"0";"0";"905";"0";"0";"905";"37";"14";"23";"0";"868";"408";"460"
"80e6-ce87-1879-f76f-d4e4-9d33-14e0-c7fd";"246801";"77";"20";"miasto";"stały";"Szkoła Podstawowa Nr 7, ul. Ławczana 12, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1300";"1402";"450";"850";"0";"7";"1";"1";"0";"0";"0";"0";"1";"851";"1";"0";"851";"21";"9";"12";"0";"830";"341";"489"
"7550-13d4-9864-ec70-d5f5-fc9a-6b09-1430";"246801";"77";"21";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Towarowa 61, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1500";"1660";"420";"1080";"4";"5";"0";"0";"0";"0";"0";"0";"0";"1080";"0";"0";"1080";"33";"5";"28";"0";"1047";"399";"648"
"3a32-993f-ed12-525b-3a81-b6b2-3105-5bfe";"246801";"77";"22";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Towarowa 61, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1900";"2058";"544";"1356";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1356";"0";"0";"1356";"45";"18";"27";"0";"1311";"753";"558"
"4db6-fd0f-7db8-3ad3-4696-5867-04ba-b138";"246801";"77";"23";"miasto";"stały";"Przedszkole Miejskie Nr 12, ul. Aleksandra Fredry 16, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1800";"1952";"475";"1325";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1325";"0";"0";"1325";"44";"14";"30";"0";"1281";"483";"798"
"c351-2313-5278-49cd-47cc-5897-83fb-6562";"246801";"77";"24";"miasto";"stały";"Szkoła Podstawowa Nr 15, ul. Leśna 49, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1100";"1173";"291";"809";"1";"3";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"25";"6";"19";"0";"783";"295";"488"
"b375-62c3-47bc-57cb-05b6-01ed-135b-96b2";"246801";"77";"25";"miasto";"stały";"Przedszkole Miejskie Nr 15, ul. Azot 16, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"850";"955";"288";"562";"0";"3";"0";"0";"0";"0";"0";"0";"0";"562";"0";"0";"562";"25";"11";"14";"0";"537";"234";"303"
"9309-5503-5f44-4cbe-34ca-c233-700e-03e5";"246801";"77";"26";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Karola Olszewskiego 76, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"850";"937";"212";"638";"2";"3";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"26";"5";"21";"0";"612";"241";"371"
"a8b3-e8cb-ddb0-1541-e1d0-74a7-1321-5546";"246801";"77";"27";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. Jana III Sobieskiego 61, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1150";"1238";"432";"718";"0";"3";"0";"0";"0";"0";"0";"0";"0";"718";"0";"0";"718";"19";"4";"15";"0";"699";"311";"388"
"e48d-3770-b274-0493-8434-7590-1ace-0a0e";"246801";"77";"28";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 3, ul. Koszarowa 20, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1700";"1844";"571";"1129";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1129";"0";"0";"1129";"38";"9";"29";"0";"1091";"484";"607"
"f7c6-38b7-4e76-20e4-38d4-1fa8-d2de-b4be";"246801";"77";"29";"miasto";"stały";"Dom Kultury, ul. Jagiellońska 3, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1299";"1413";"578";"721";"0";"5";"0";"0";"0";"0";"0";"0";"0";"721";"0";"0";"721";"23";"4";"19";"0";"698";"338";"360"
"78ec-41ac-153a-fa7e-7a29-dd31-e33c-ebfe";"246801";"77";"30";"miasto";"stały";"Szkoła Podstawowa Nr 9, ul. Stefana Batorego 48, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1643";"1798";"482";"1161";"5";"5";"0";"0";"0";"0";"0";"0";"0";"1161";"0";"0";"1161";"35";"22";"13";"0";"1126";"514";"612"
"ff0a-2482-ae78-81f2-7527-9686-e43a-2627";"246801";"77";"31";"miasto";"stały";"Klub Środowiskowy ""Pod Skałką"", ul. Jarosława Dąbrowskiego 17, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1350";"1501";"360";"990";"1";"6";"0";"0";"0";"0";"0";"0";"0";"990";"0";"0";"990";"31";"7";"24";"0";"959";"440";"519"
"2a9f-3ed8-88db-6959-a8d8-19e2-f78e-1151";"246801";"77";"32";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Marcina Kasprzaka 6, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"700";"766";"226";"474";"0";"4";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"18";"3";"15";"0";"456";"212";"244"
"9a73-8a65-b0b0-5988-504e-20c5-3980-8ced";"246801";"77";"33";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. ks. Andrzeja Mroczka 53c, 43-600 Jaworzno";"m. Jaworzno";"Jaworzno";"śląskie";"1999";"2193";"601";"1398";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1398";"0";"0";"1398";"47";"18";"29";"0";"1351";"597";"754"
