"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maria Zofia KOC";"Mirosław KRUSIEWICZ";"Krzysztof Paweł PROKOPCZYK";"Leszek Bogdan SZYMAŃSKI";"Liczba obwodów"
"141208";"gmina wiejska";"gm. Jakubów";"miński";"mazowieckie";3604;3942;1205;2399;0;6;0;0;0;0;0;0;0;2398;0;0;2398;44;3;41;0;2354;1626;570;78;80;4
"141209";"gmina miejsko-wiejska";"gm. Kałuszyn";"miński";"mazowieckie";4207;4595;1440;2767;2;13;0;0;0;0;0;0;0;2767;0;0;2767;61;20;41;0;2706;1729;779;108;90;5
"141210";"gmina wiejska";"gm. Latowicz";"miński";"mazowieckie";3804;4167;1428;2375;2;6;0;0;0;0;0;0;0;2375;0;0;2375;47;5;42;0;2328;1680;430;102;116;4
"141211";"gmina wiejska";"gm. Mińsk Mazowiecki";"miński";"mazowieckie";10680;11737;3102;7578;4;23;0;0;0;0;0;0;0;7578;0;0;7578;118;33;85;0;7460;4098;2666;373;323;11
"141212";"gmina miejsko-wiejska";"gm. Mrozy";"miński";"mazowieckie";6391;6948;2084;4307;1;28;0;0;0;0;0;0;0;4307;0;0;4307;84;18;66;0;4223;2438;1461;161;163;10
"141213";"gmina wiejska";"gm. Siennica";"miński";"mazowieckie";5518;6012;1935;3583;5;19;0;0;0;0;0;0;0;3583;0;0;3583;73;21;52;0;3510;2053;1123;172;162;7
"141214";"gmina wiejska";"gm. Stanisławów";"miński";"mazowieckie";4837;5361;1531;3306;7;29;0;0;0;0;0;0;0;3306;0;0;3306;51;18;33;0;3255;2293;722;138;102;5
"141215";"gmina miejska";"m. Sulejówek";"miński";"mazowieckie";13874;15480;2575;11297;8;127;2;2;0;0;0;0;2;11295;2;8;11287;191;46;145;0;11096;5023;5052;557;464;9
"143301";"gmina miejska";"m. Węgrów";"węgrowski";"mazowieckie";9261;10133;2913;6348;10;36;1;1;0;0;0;0;1;6349;1;0;6349;103;36;67;0;6246;3703;2101;192;250;6
"143302";"gmina wiejska";"gm. Grębków";"węgrowski";"mazowieckie";3202;3596;1251;1951;6;11;0;0;0;0;0;0;0;1951;0;1;1950;39;4;35;0;1911;1470;318;49;74;3
"143303";"gmina wiejska";"gm. Korytnica";"węgrowski";"mazowieckie";4538;4953;1656;2882;2;12;0;0;0;0;0;0;0;2882;0;0;2882;45;19;26;0;2837;2259;386;71;121;5
"143304";"gmina wiejska";"gm. Liw";"węgrowski";"mazowieckie";5424;5948;1925;3498;6;32;0;0;0;0;0;0;0;3499;0;0;3499;57;15;42;0;3442;2483;670;96;193;6
"143305";"gmina miejsko-wiejska";"gm. Łochów";"węgrowski";"mazowieckie";12798;14043;4108;8690;7;63;0;0;0;0;0;0;0;8688;0;0;8688;93;30;63;0;8595;5987;1894;347;367;16
"143306";"gmina wiejska";"gm. Miedzna";"węgrowski";"mazowieckie";2942;3214;950;1992;5;6;0;0;0;0;0;0;0;1992;0;0;1992;31;7;24;0;1961;1535;297;66;63;5
"143307";"gmina wiejska";"gm. Sadowne";"węgrowski";"mazowieckie";4326;4727;1556;2769;1;25;0;0;0;0;0;0;0;2769;0;0;2769;36;1;35;0;2733;2078;513;68;74;6
"143308";"gmina wiejska";"gm. Stoczek";"węgrowski";"mazowieckie";3653;3977;1378;2275;3;14;0;0;0;0;0;0;0;2275;0;0;2275;35;7;28;0;2240;1702;396;71;71;6
"143309";"gmina wiejska";"gm. Wierzbno";"węgrowski";"mazowieckie";2067;2278;703;1363;4;4;0;0;0;0;0;0;0;1364;0;0;1364;21;3;18;0;1343;1046;234;24;39;4
