"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Adam Andrzej KOŚMIDER";"Mariusz Kazimierz TRAWKA";"Wojciech Stanisław ZIEMNIAK"
"22aa-c2d9-45ce-90c0-c67f-c6c8-ccef-5bd7";"300402";"94";"16";"wieś";"stały";"Świetlica wiejska, Stary Gostyń 56, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"730";"782";"306";"424";"1";"1";"0";"0";"0";"0";"0";"0";"0";"424";"0";"0";"424";"5";"0";"5";"0";"419";"224";"39";"156"
"82d3-4ad7-ff1b-b868-f6bf-bb33-804a-989c";"300402";"94";"17";"wieś";"stały";"Szkoła Podstawowa, Siemowo 102, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"630";"679";"276";"354";"0";"1";"0";"0";"0";"0";"0";"0";"0";"354";"0";"0";"354";"6";"4";"2";"0";"348";"220";"23";"105"
"a714-0422-16d1-d73e-cf43-bf39-65ca-1dab";"300402";"94";"18";"wieś";"stały";"Szkoła Podstawowa, Kunowo ul. Szkolna 5, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"887";"979";"383";"504";"0";"6";"0";"0";"0";"0";"0";"0";"0";"504";"0";"0";"504";"13";"3";"10";"0";"491";"243";"52";"196"
"e2e7-672c-86e7-89ed-60b3-7884-dcfa-d0ab";"300402";"94";"19";"wieś";"stały";"Państwowa Szkoła Muzyczna I Stopnia, ul. Strzelecka 28, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"1020";"1119";"396";"624";"0";"3";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"11";"4";"7";"0";"613";"289";"71";"253"
"24d7-2ee8-6c65-6b53-f8d1-318a-d0a6-78de";"300402";"94";"20";"wieś";"stały";"Szkoła Podstawowa, Gola 17, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"667";"724";"332";"335";"0";"0";"0";"0";"0";"0";"0";"0";"0";"335";"0";"0";"335";"6";"1";"5";"0";"329";"149";"31";"149"
"01a5-aa0a-ce47-a9d4-d8dd-4d33-4d60-c1fc";"300402";"94";"21";"wieś";"stały";"Wydział Komunikacji i Dróg Starostwa Powiatowego w Gostyniu, ul. Wrocławska 154, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"847";"934";"382";"465";"0";"0";"0";"0";"0";"0";"0";"0";"0";"465";"0";"0";"465";"5";"0";"5";"0";"460";"296";"28";"136"
"1d92-f791-0f31-85ca-df13-7484-fa94-24b8";"300402";"94";"22";"wieś";"stały";"Szkoła Podstawowa, Daleszyn 76, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"690";"754";"297";"393";"1";"0";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"11";"0";"11";"0";"382";"190";"27";"165"
"ef4f-b4e2-f6da-c92d-737e-daa1-8599-5100";"300402";"94";"23";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zespół Opieki Zdrowotnej Szpital w Gostyniu, pl. Karola Marcinkowskiego 8/9, 63-800 Gostyń";"gm. Gostyń";"gostyński";"wielkopolskie";"100";"64";"83";"17";"0";"3";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"17";"1";"1";"0";"0";"16";"7";"3";"6"
"f145-4df5-265d-028f-5070-6785-0172-872f";"300403";"94";"1";"miasto";"stały";"Pałac Ślubów, Pl. Tadeusza Kościuszki 3, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"1260";"1373";"460";"800";"1";"8";"0";"0";"0";"0";"0";"0";"0";"799";"0";"0";"799";"16";"7";"9";"0";"783";"346";"87";"350"
"128e-1036-c792-1f2a-e62d-2232-8a0f-b1ce";"300403";"94";"2";"miasto";"stały";"Kino Szarotka, ul. Powstańców Wielkopolskich 27, 63-840 Krobia";"gm. Krobia";"gostyński";"wielkopolskie";"1820";"1985";"612";"1208";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1208";"0";"0";"1208";"16";"11";"5";"0";"1192";"471";"124";"597"
