"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BURY";"Wojciech Jan GÓRSKI";"Krzysztof Stefan MICHAŁKIEWICZ"
"a9b5-2586-7593-7492-06f2-2a41-b2ed-c23e";"066301";"16";"23";"miasto";"stały";"XXIX Liceum Ogólnokształcące im. cc majora Hieronima Dekutowskiego ps. „Zapora”, ul. Lipowa 25, 20-020 Lublin";"m. Lublin";"Lublin";"lubelskie";"1086";"1191";"297";"789";"6";"14";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"16";"2";"14";"0";"773";"406";"57";"310"
"0927-f013-6bfc-d88c-ce8f-b9ec-eaa2-67f1";"066301";"16";"24";"miasto";"stały";"Wojewódzki Ośrodek Kultury, ul. Dolna Panny Marii 3, 20-010 Lublin";"m. Lublin";"Lublin";"lubelskie";"686";"743";"289";"397";"0";"2";"0";"0";"0";"0";"0";"0";"0";"397";"0";"0";"397";"2";"1";"1";"0";"395";"178";"34";"183"
"9f97-85a6-10de-8296-94e4-be37-5c27-2422";"066301";"16";"25";"miasto";"stały";"III Liceum Ogólnokształcące im. Unii Lubelskiej, Plac Wolności 4, 20-005 Lublin";"m. Lublin";"Lublin";"lubelskie";"553";"658";"203";"350";"1";"50";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"3";"0";"3";"0";"347";"133";"29";"185"
"fbba-ed57-776a-7d4a-bf5c-8a00-96c7-906f";"066301";"16";"26";"miasto";"stały";"Szkoła Muzyczna I i II st. im. Tadeusza Szeligowskiego, ul. Prezydenta Gabriela Narutowicza 32a, 20-016 Lublin";"m. Lublin";"Lublin";"lubelskie";"753";"838";"207";"546";"2";"9";"0";"0";"0";"0";"0";"0";"0";"546";"0";"0";"546";"13";"2";"11";"0";"533";"300";"37";"196"
"d1ec-78f6-cdc7-d457-9a36-90bb-98d0-2747";"066301";"16";"27";"miasto";"stały";"DOM Spółka z o. o. Administrowanie i Zarządzanie Nieruchomościami, ul. Głęboka 17, 20-612 Lublin";"m. Lublin";"Lublin";"lubelskie";"568";"615";"152";"416";"0";"6";"0";"0";"0";"0";"0";"0";"0";"416";"0";"0";"416";"8";"0";"8";"0";"408";"229";"29";"150"
"88f5-add3-bbbb-3334-4b01-ffbb-c631-95de";"066301";"16";"28";"miasto";"stały";"Szkoła Podstawowa nr 7 im. ks. Jana Twardowskiego, ul. Plażowa 9, 20-620 Lublin";"m. Lublin";"Lublin";"lubelskie";"916";"993";"247";"669";"1";"12";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"12";"5";"7";"0";"657";"347";"63";"247"
"0a44-8de6-f77e-4a82-c5ca-5f4d-e519-f737";"066301";"16";"29";"miasto";"stały";"„ADE-EM” Centrum Sp. z o. o., ul. Lubartowska 27 - 29, 20-116 Lublin";"m. Lublin";"Lublin";"lubelskie";"715";"783";"381";"334";"0";"9";"0";"0";"0";"0";"0";"0";"0";"334";"0";"0";"334";"7";"1";"6";"0";"327";"166";"26";"135"
"a552-9b42-4e19-9080-8008-1a9d-6c54-beea";"066301";"16";"30";"miasto";"stały";"Zarząd Nieruchomości Komunalnych, ul. Grodzka 12, 20-112 Lublin";"m. Lublin";"Lublin";"lubelskie";"485";"580";"203";"282";"1";"56";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"5";"0";"5";"0";"277";"135";"18";"124"
"8bac-599c-4fb5-1bdb-f180-9e1e-a861-27d4";"066301";"16";"31";"miasto";"stały";"Zespół Szkół nr 1 im. Władysława Grabskiego, ul. Podwale 11, 20-117 Lublin";"m. Lublin";"Lublin";"lubelskie";"394";"426";"164";"230";"0";"19";"20";"20";"1";"0";"0";"0";"19";"249";"19";"0";"249";"5";"3";"2";"0";"244";"106";"13";"125"
"066d-fba2-2c26-e15b-036a-a291-f412-3a2f";"066301";"16";"32";"miasto";"stały";"Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka, ul. Bronowicka 21, 20-301 Lublin";"m. Lublin";"Lublin";"lubelskie";"1554";"1700";"722";"832";"0";"3";"0";"0";"0";"0";"0";"0";"0";"832";"0";"0";"832";"13";"0";"13";"0";"819";"343";"76";"400"
