"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Cezary Paweł KASPRZAK";"Marek RUDNICKI";"Kazimierz Michał UJAZDOWSKI"
"6035-1840-89b7-b17e-9950-fe0d-f76f-11da";"146503";"44";"875";"miasto";"stały";"Ośrodek Pomocy Społecznej, Białołęka ul. Marywilska 44C, 03-042 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"612";"671";"80";"532";"0";"6";"0";"0";"0";"0";"0";"0";"0";"532";"0";"0";"532";"10";"2";"8";"0";"522";"70";"137";"315"
"0f26-0d6d-8101-42e1-2fbd-0ae0-bc8d-3825";"146503";"44";"876";"miasto";"stały";"Szkoła Podstawowa Nr 342, Białołęka Strumykowa 21A, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1320";"1440";"204";"1116";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1114";"0";"0";"1114";"24";"6";"18";"0";"1090";"203";"290";"597"
"0ce5-18b1-0648-2cbe-51d2-eb33-89ad-8b77";"146503";"44";"877";"miasto";"stały";"Szkoła Podstawowa Nr 342, Białołęka ul. Strumykowa 21A, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1795";"2050";"146";"1649";"2";"25";"0";"0";"0";"0";"0";"0";"0";"1649";"0";"0";"1649";"25";"8";"17";"0";"1624";"228";"411";"985"
"f23d-62bb-d003-0cb2-4af1-8ffb-f25e-dc20";"146503";"44";"878";"miasto";"stały";"Szkoła Podstawowa Nr 342, Białołęka ul. Strumykowa 21A, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2035";"2345";"167";"1868";"0";"49";"0";"0";"0";"0";"0";"0";"0";"1868";"0";"0";"1868";"32";"12";"20";"0";"1836";"317";"440";"1079"
"63e2-74a4-b1c9-f28b-b99a-bcff-4c98-51de";"146503";"44";"879";"miasto";"stały";"Szkoła Podstawowa Nr 366, Białołęka ul. Strumykowa 21, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1615";"1863";"115";"1500";"0";"9";"2";"2";"0";"0";"0";"0";"2";"1502";"2";"1";"1501";"28";"9";"19";"0";"1473";"229";"352";"892"
"7be6-d1ef-09db-a827-5df4-d57a-9b3e-66b8";"146503";"44";"880";"miasto";"stały";"Szkoła Podstawowa Nr 366, Białołęka Strumykowa 21, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1867";"2168";"15";"1852";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1852";"0";"0";"1852";"32";"13";"19";"0";"1820";"268";"465";"1087"
"c261-0f7e-7964-e76b-89bd-2b85-6920-e8c7";"146503";"44";"881";"miasto";"stały";"Filia Szkoły Podstawowej nr 154, Białołęka Sprawna 35a, 03-147 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1589";"1806";"212";"1377";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1377";"0";"0";"1377";"22";"6";"16";"0";"1355";"173";"449";"733"
"3af6-c403-600e-ca2a-eb84-e1d7-7d61-75e1";"146503";"44";"882";"miasto";"stały";"Filia Szkoły Podstawowej Nr 342, Białołęka ul. Topolowa 15, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1370";"1373";"221";"1149";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"19";"5";"14";"0";"1129";"160";"293";"676"
"25bb-0be0-233a-fc9a-c002-c9e0-4338-465d";"146503";"44";"883";"miasto";"stały";"Szkoła Podstawowa nr 154, Białołęka Leśnej Polanki 63/65, 03-142 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1568";"1879";"66";"1502";"0";"19";"1";"1";"0";"0";"0";"0";"1";"1501";"1";"0";"1501";"28";"9";"19";"0";"1473";"228";"416";"829"
"d61f-6dab-d319-d02d-19c2-9135-70ad-1521";"146503";"44";"884";"miasto";"stały";"Szkoła Podstawowa Nr 366, Białołęka ul. Strumykowa 21, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1280";"1477";"109";"1171";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1171";"0";"0";"1171";"16";"10";"6";"0";"1155";"187";"287";"681"
"46bd-f305-2f1a-bdaa-a0d5-ba7d-b131-a366";"146503";"44";"885";"miasto";"stały";"Filia Szkoły Podstawowej nr 154, Białołęka ul. Sprawna 35a, 03-142 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1998";"2277";"326";"1672";"0";"29";"0";"0";"0";"0";"0";"0";"0";"1670";"0";"1";"1669";"23";"6";"17";"0";"1646";"274";"469";"903"
"3ee3-fbb8-6821-7329-7bcc-8b1b-92f8-c444";"146503";"44";"886";"miasto";"stały";"Szkoła Podstawowa Nr 257, Białołęka ul. Podróżnicza 11, 03-111 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"881";"954";"153";"728";"2";"2";"0";"0";"0";"0";"0";"0";"0";"729";"0";"1";"728";"8";"3";"5";"0";"720";"95";"236";"389"
"0c29-ce3d-f485-617f-4a9e-70e2-d382-bf94";"146503";"44";"887";"miasto";"stały";"Szkoła Podstawowa nr 231, Białołęka ul. Juranda ze Spychowa 10, 03-257 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2411";"2693";"239";"2172";"1";"24";"0";"0";"0";"0";"0";"0";"0";"2173";"0";"1";"2172";"30";"6";"24";"0";"2142";"245";"712";"1185"
"2cfb-bcea-af90-2aff-0d29-62be-2f44-7551";"146503";"44";"888";"miasto";"stały";"Szkoła Podstawowa Nr 356, Białołęka Głębocka 66, 03-287 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1691";"2049";"75";"1614";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1616";"0";"0";"1616";"22";"6";"16";"0";"1594";"229";"332";"1033"
"165a-ddd1-3d31-2711-43e3-8bce-15be-d74f";"146503";"44";"889";"miasto";"stały";"Szkoła Podstawowa Nr 356, Białołęka Głębocka 66, 03-287 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1639";"1651";"262";"1377";"12";"47";"0";"0";"0";"0";"0";"0";"0";"1377";"0";"0";"1377";"20";"7";"13";"0";"1357";"227";"273";"857"
"c9ab-4e97-3fbb-9962-70f9-7f69-a23e-c17b";"146503";"44";"890";"miasto";"stały";"Szkoła Podstawowa Nr 366, Białołęka ul. Strumykowa 21, 03-138 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1261";"1464";"68";"1193";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1193";"0";"0";"1193";"14";"3";"11";"0";"1179";"198";"301";"680"
"42f9-b8a8-758e-a096-d896-fc2a-0da8-d76f";"146503";"44";"891";"miasto";"stały";"Szkoła Podstawowa nr 154, Białołęka ul. Leśnej Polanki 63/65, 03-142 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1291";"1474";"200";"1091";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1089";"0";"0";"1089";"33";"12";"21";"0";"1056";"192";"283";"581"
"7145-0714-2c72-d189-d2a3-4dd0-2a09-c812";"146503";"44";"892";"miasto";"stały";"Szkoła Podstawowa Nr 344, Białołęka ul. Erazma z Zakroczymia 15, 03-185 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"1590";"1810";"107";"1483";"0";"15";"0";"0";"0";"0";"0";"0";"0";"1482";"0";"0";"1482";"29";"12";"17";"0";"1453";"247";"415";"791"
"23e5-92ed-0c48-67dd-c6f3-0735-bf09-2737";"146503";"44";"893";"miasto";"stały";"Szkoła Podstawowa Nr 154, Białołęka ul. Leśnej Polanki 63/65, 03-142 WARSZAWA";"Białołęka";"Warszawa";"mazowieckie";"2493";"2953";"123";"2370";"0";"28";"0";"0";"0";"0";"0";"0";"0";"2370";"0";"0";"2370";"44";"18";"26";"0";"2326";"368";"648";"1310"
"e834-cb56-472e-4b09-eeaa-2beb-eb05-909c";"146503";"44";"894";"miasto";"stały";"Szkoła Podstawowa Nr 112, Białołęka Zaułek 34, 03-289 Warszawa";"Białołęka";"Warszawa";"mazowieckie";"1700";"1964";"175";"1525";"1";"19";"0";"0";"0";"0";"0";"0";"0";"1525";"0";"1";"1524";"28";"10";"18";"0";"1496";"211";"343";"942"
"0733-2a77-76b9-7b5c-c8c8-ca84-530b-1d60";"146503";"44";"895";"miasto";"stały";"Szkoła Podstawowa Nr 31, Białołęka Kobiałka 49, 03-044 Warszawa";"Białołęka";"Warszawa";"mazowieckie";"1938";"2037";"261";"1677";"1";"30";"0";"0";"0";"0";"0";"0";"0";"1675";"0";"0";"1675";"27";"7";"20";"0";"1648";"241";"478";"929"
"337a-8864-0488-4785-25b4-8852-6b43-a0ea";"146503";"44";"896";"miasto";"stały";"Szkoła Podstawowa Nr 368, Białołęka Ostródzka 175, 03-287 Warszawa";"Białołęka";"Warszawa";"mazowieckie";"1010";"1209";"58";"952";"0";"41";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"19";"9";"10";"0";"933";"141";"176";"616"
"2327-c146-7499-4151-f094-71dc-9a03-5c1a";"146503";"44";"897";"miasto";"stały";"Szkoła Podstawowa Nr 366, Strumykowa 21, 03-138 Warszawa";"Białołęka";"Warszawa";"mazowieckie";"1199";"1388";"110";"1089";"2";"28";"1";"1";"0";"0";"0";"0";"1";"1090";"1";"0";"1090";"23";"5";"18";"0";"1067";"158";"285";"624"
