"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert DOWHAN";"Zbigniew KOŚCIK"
"6f25-95be-af66-fb34-ec33-6b9f-f174-c78e";"080202";"20";"1";"wieś";"stały";"Szkoła Podstawowa, Bobrowice 36, 66-627 Bobrowice";"gm. Bobrowice";"krośnieński";"lubuskie";"960";"1038";"438";"522";"0";"2";"0";"0";"0";"0";"0";"0";"0";"522";"0";"0";"522";"26";"4";"22";"0";"496";"318";"178"
"c53b-ceec-28f4-8ea0-2b69-1f4d-acca-f3a6";"080202";"20";"2";"wieś";"stały";"Szkoła Podstawowa, Dychów 39, 66-627 Bobrowice";"gm. Bobrowice";"krośnieński";"lubuskie";"890";"981";"355";"535";"1";"5";"0";"0";"0";"0";"0";"0";"0";"535";"0";"0";"535";"16";"1";"15";"0";"519";"277";"242"
"ad8a-7194-c3eb-e9d0-890d-9e48-e8df-f73f";"080202";"20";"3";"wieś";"stały";"Sala Wiejska, Janiszowice 1, 66-627 Bobrowice";"gm. Bobrowice";"krośnieński";"lubuskie";"490";"526";"255";"235";"0";"2";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"10";"0";"10";"0";"225";"124";"101"
"6a45-9222-17d5-1801-141d-3377-772e-75fa";"080203";"20";"1";"wieś";"stały";"Gminne Centrum Kultury, Bytnica 52d, 66-630 Bytnica";"gm. Bytnica";"krośnieński";"lubuskie";"1130";"1233";"580";"550";"1";"9";"0";"0";"0";"0";"0";"0";"0";"550";"0";"3";"547";"12";"0";"12";"0";"535";"297";"238"
"b276-f4e8-de98-7284-0ee6-8e24-ec2a-6d61";"080203";"20";"2";"wieś";"stały";"Centrum Oświatowo-Kulturalne, Budachów 109, 66-630 Budachów";"gm. Bytnica";"krośnieński";"lubuskie";"670";"729";"369";"301";"0";"3";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"7";"3";"4";"0";"294";"151";"143"
"eb35-dfb5-07d2-a362-10e9-813e-1603-8f5a";"080204";"20";"1";"wieś";"stały";"Świetlica wiejska w Połupinie, Połupin ul. Szkolna 4a, 66-600 Krosno Odrzańskie";"gm. Dąbie";"krośnieński";"lubuskie";"730";"806";"274";"456";"0";"0";"0";"0";"0";"0";"0";"0";"0";"456";"0";"0";"456";"24";"7";"17";"0";"432";"281";"151"
"9ca0-723c-aef7-7d02-8423-3731-ab6e-b1b3";"080204";"20";"2";"wieś";"stały";"Świetlica Wiejska w Dąbiu, ul. Szeroka 6b, 66-615 Dąbie";"gm. Dąbie";"krośnieński";"lubuskie";"330";"367";"107";"223";"0";"2";"0";"0";"0";"0";"0";"0";"0";"223";"0";"0";"223";"9";"3";"6";"0";"214";"135";"79"
"5e33-d32e-1d37-9f56-f6c8-cb41-2398-bfb9";"080204";"20";"3";"wieś";"stały";"Szkoła Podstawowa w Szczawnie, Szczawno ul. Szkolna 3, 66-615 Dąbie";"gm. Dąbie";"krośnieński";"lubuskie";"650";"724";"301";"349";"0";"0";"0";"0";"0";"0";"0";"0";"0";"349";"0";"0";"349";"18";"2";"16";"0";"331";"174";"157"
"4ef8-0a5d-1264-b393-5b31-c619-2c37-6139";"080204";"20";"4";"wieś";"stały";"Szkoła Podstawowa w Gronowie, Gronów ul. Główna 1, 66-615 Dąbie";"gm. Dąbie";"krośnieński";"lubuskie";"980";"1089";"426";"554";"1";"7";"0";"0";"0";"0";"0";"0";"0";"554";"0";"0";"554";"17";"3";"14";"0";"537";"328";"209"
"e018-6025-2665-cfaa-c3fe-8fc8-83a2-2b56";"080204";"20";"5";"wieś";"stały";"Szkoła Podstawowa w Kosierzu, Kosierz 40, 66-627 Bobrowice";"gm. Dąbie";"krośnieński";"lubuskie";"450";"502";"188";"262";"0";"0";"0";"0";"0";"0";"0";"0";"0";"262";"0";"0";"262";"15";"3";"12";"0";"247";"126";"121"
"7d40-a99c-9318-f9d2-4016-996e-15d9-0c65";"080204";"20";"6";"wieś";"stały";"Świetlica Wiejska w Brzeźnicy, Brzeźnica ul. Główna 5a, 66-615 Dąbie";"gm. Dąbie";"krośnieński";"lubuskie";"350";"394";"161";"189";"0";"0";"0";"0";"0";"0";"0";"0";"0";"189";"0";"0";"189";"6";"2";"4";"0";"183";"100";"83"
"bab5-1d83-15f0-dad6-6578-8ed8-af7f-c3f4";"080204";"20";"7";"wieś";"stały";"Dom Pomocy Społecznej w Szczawnie, Szczawno ul. Parkowa 2, 66-615 Dąbie";"gm. Dąbie";"krośnieński";"lubuskie";"50";"52";"31";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"19";"5";"0";"5";"0";"14";"3";"11"
"5e73-ef06-124b-dda5-667b-236e-27d2-9830";"080205";"20";"1";"wieś";"stały";"Szkoła Podstawowa w Czarnowicach, Bieżyce 50, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"380";"418";"169";"211";"1";"3";"0";"0";"0";"0";"0";"0";"0";"211";"0";"0";"211";"3";"0";"3";"0";"208";"145";"63"
"89fa-e54a-bbf5-a56b-22f6-5430-9239-524c";"080205";"20";"2";"wieś";"stały";"Biblioteka w Wałowicach, Wałowice 51, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"320";"355";"130";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"190";"0";"0";"190";"10";"4";"6";"0";"180";"116";"64"
"302d-94f4-fdb7-3248-34a1-26f8-ebc4-2b08";"080205";"20";"3";"wieś";"stały";"Wiejski Ośrodek Zdrowia w Polu, Pole 1, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"360";"395";"161";"199";"0";"3";"0";"0";"0";"0";"0";"0";"0";"199";"0";"0";"199";"7";"2";"5";"0";"192";"98";"94"
"6b11-ccef-0237-7230-9398-674c-9773-7467";"080205";"20";"4";"wieś";"stały";"Szkoła Podstawowa w Czarnowicach, Czarnowice 20, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"350";"391";"187";"163";"0";"0";"0";"0";"0";"0";"0";"0";"0";"163";"0";"0";"163";"6";"1";"5";"0";"157";"91";"66"
"33b7-be49-244a-e323-c51b-bba0-e96b-56f8";"080205";"20";"5";"wieś";"stały";"Szkoła Podstawowa w Grabicach, Grabice 59, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"960";"1020";"548";"412";"0";"1";"0";"0";"0";"0";"0";"0";"0";"412";"0";"0";"412";"13";"4";"9";"0";"399";"232";"167"
"cbf1-c037-e6e3-b8f5-4936-a319-e489-00f0";"080205";"20";"6";"wieś";"stały";"Szkoła Podstawowa im. Danuty Siedzikówny ""Inki"" w Chlebowie, Chlebowo 123, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"690";"759";"367";"323";"0";"1";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"13";"2";"11";"0";"310";"175";"135"
"de8d-a4c9-b1b4-fe9c-3a19-0de9-0e69-1ba1";"080205";"20";"7";"wieś";"stały";"Szkoła Podstawowa w Grabicach ze szkołą filialną w Strzegowie, Strzegów 79, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"340";"374";"159";"181";"3";"0";"0";"0";"0";"0";"0";"0";"0";"181";"0";"0";"181";"8";"0";"8";"0";"173";"71";"102"
"4051-079a-68f0-b52b-1927-37a3-c253-3c3c";"080205";"20";"8";"wieś";"stały";"Szkoła Podstawowa w Starosiedlu, Starosiedle 22, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"360";"398";"157";"203";"0";"2";"0";"0";"0";"0";"0";"0";"0";"203";"0";"0";"203";"3";"0";"3";"0";"200";"107";"93"
"0bd5-032f-f563-147f-98ee-786e-2e62-e3a9";"080205";"20";"9";"wieś";"stały";"Świetlica w Sękowicach, Sękowice 64, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"410";"454";"177";"233";"0";"2";"0";"0";"0";"0";"0";"0";"0";"233";"0";"0";"233";"10";"1";"9";"0";"223";"155";"68"
"93de-aa1c-d3e6-ff03-6398-babf-3051-acb7";"080205";"20";"10";"wieś";"stały";"Nadleśnictwo Gubin, Komorów ul. Dolna 19, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"660";"716";"315";"345";"0";"2";"0";"0";"0";"0";"0";"0";"0";"345";"0";"0";"345";"18";"6";"12";"0";"327";"204";"123"
"d4e9-cdb4-131a-e03c-26d9-c5b6-13a9-640e";"080205";"20";"11";"wieś";"stały";"Wiejski Ośrodek Zdrowia w Stargardzie Gubińskim, Stargard Gubiński 1A, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"330";"365";"135";"195";"0";"2";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"195";"13";"2";"11";"0";"182";"102";"80"
"55c5-d701-7ce7-3d3e-a33d-5193-5958-73c8";"080205";"20";"12";"wieś";"oddział zewnętrzny aresztu śledczego";"Oddział Zewnętrzny w Wałowicach, Kolonia Wałowice 74, 66-620 Gubin";"gm. Gubin";"krośnieński";"lubuskie";"100";"81";"57";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"0";"43";"1";"0";"1";"0";"42";"32";"10"
"bb40-fa4c-3843-deb0-d793-e229-968d-a251";"080206";"20";"1";"miasto";"stały";"CAK ""ZAMEK"", ul. Szkolna 1, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"880";"965";"427";"453";"0";"2";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"17";"4";"13";"0";"436";"270";"166"
"e35a-6938-2e2d-ace3-e3be-2057-fc15-c9c2";"080206";"20";"2";"miasto";"stały";"Przedszkole nr 4, ul. Bolesława Chrobrego 33, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"800";"867";"308";"492";"1";"3";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"14";"4";"10";"0";"478";"342";"136"
"3eaf-6248-0526-a2c5-ff28-f77b-8233-31d5";"080206";"20";"3";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Pułaskiego 3, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"1530";"1643";"435";"1095";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"0";"1095";"41";"13";"28";"0";"1054";"777";"277"
"f45d-a4e1-2a44-a272-2627-72a1-7e30-73c7";"080206";"20";"4";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Pułaskiego 3, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"1470";"1580";"514";"956";"1";"8";"0";"0";"0";"0";"0";"0";"0";"954";"0";"0";"954";"26";"7";"19";"0";"928";"660";"268"
"720c-49f9-6fe0-ad09-9907-0f4e-7dd1-235b";"080206";"20";"5";"miasto";"stały";"Przedszkole Nr 2, ul. Piastów 2, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"730";"801";"274";"456";"0";"4";"0";"0";"0";"0";"0";"0";"0";"456";"0";"0";"456";"13";"3";"10";"0";"443";"297";"146"
"9fba-d147-d5fd-1357-fa0a-91e3-e2e9-61d6";"080206";"20";"6";"miasto";"stały";"Przedszkole Nr 1, ul. Srebrna Góra 2, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"910";"976";"355";"555";"1";"0";"0";"0";"0";"0";"0";"0";"0";"555";"0";"0";"555";"18";"2";"16";"0";"537";"346";"191"
"3d8e-4ee8-3d84-ccba-ba90-4ba7-efe6-6924";"080206";"20";"7";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Moniuszki 30, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"829";"897";"224";"605";"0";"1";"0";"0";"0";"0";"0";"0";"0";"605";"0";"0";"605";"21";"11";"10";"0";"584";"383";"201"
"23c8-f84e-07b4-0b17-8921-f6da-a09c-9d39";"080206";"20";"8";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Moniuszki 30, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"980";"1060";"341";"639";"0";"7";"0";"0";"0";"0";"0";"0";"0";"639";"0";"0";"639";"19";"9";"10";"0";"620";"405";"215"
"164f-2f44-d4a0-beb1-3831-d4c3-b55a-d771";"080206";"20";"9";"wieś";"stały";"Świetlica wiejska, Kamień 1, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"800";"870";"306";"494";"0";"4";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"17";"4";"13";"0";"477";"280";"197"
"21ea-d323-10b7-a4ec-36a7-3c01-9612-a484";"080206";"20";"10";"wieś";"stały";"Przedszkole, Stary Raduszec 47, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"950";"1028";"490";"460";"0";"1";"0";"0";"0";"0";"0";"0";"0";"460";"0";"0";"460";"20";"3";"17";"0";"440";"281";"159"
"c5d0-96bb-f378-a0e1-3fc4-e01b-3ff0-4207";"080206";"20";"11";"wieś";"stały";"Szkoła Podstawowa, Radnica 146, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"640";"706";"318";"322";"0";"1";"0";"0";"0";"0";"0";"0";"0";"322";"0";"0";"322";"15";"1";"14";"0";"307";"169";"138"
"aab2-a896-db4e-6bda-35cd-18d2-2f71-8104";"080206";"20";"12";"wieś";"stały";"Zespół Edukacyjny, Osiecznica ul. Szkolna 15, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"1279";"1417";"436";"843";"0";"7";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"34";"6";"28";"0";"809";"496";"313"
"f871-bd97-1154-d9c4-aaf5-93ce-a016-e15f";"080206";"20";"13";"miasto";"stały";"Szkoła Podstawowa, Wężyska 162, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"940";"1043";"424";"516";"1";"3";"0";"0";"0";"0";"0";"0";"0";"516";"0";"0";"516";"30";"5";"25";"0";"486";"251";"235"
"7d10-7c7e-15be-36a1-9ecb-52fc-16ba-c077";"080206";"20";"14";"miasto";"zakład leczniczy";"Zachodnie Centrum Medyczne Sp. z o. o., Piastów 3, 66-600 Krosno Odrzańskie";"gm. Krosno Odrzańskie";"krośnieński";"lubuskie";"40";"25";"37";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"3";"1";"0";"1";"0";"2";"1";"1"
"3ace-9e1c-acea-5f99-b56f-90d8-830d-f3ee";"080207";"20";"1";"wieś";"stały";"Szkoła Podstawowa, Maszewo 114, 66-614 Maszewo";"gm. Maszewo";"krośnieński";"lubuskie";"1290";"1409";"617";"673";"0";"3";"0";"0";"0";"0";"0";"0";"0";"673";"0";"0";"673";"21";"4";"17";"0";"652";"329";"323"
"62dd-58d4-5f45-46e2-cb40-a87c-2746-0b12";"080207";"20";"2";"wieś";"stały";"Szkoła Podstawowa, Gęstowice 32, 66-614 Maszewo";"gm. Maszewo";"krośnieński";"lubuskie";"760";"825";"385";"375";"0";"1";"0";"0";"0";"0";"0";"0";"0";"375";"0";"0";"375";"16";"3";"13";"0";"359";"189";"170"
"de41-16f0-0fdc-a3c5-518e-8754-55b0-9272";"080801";"20";"1";"wieś";"stały";"Urząd Gminy, os. Szkolne 13, 66-218 Lubrza";"gm. Lubrza";"świebodziński";"lubuskie";"1760";"1916";"664";"1096";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1095";"0";"0";"1095";"39";"5";"34";"0";"1056";"599";"457"
"f7e9-cbd9-f048-0c43-b468-2538-4741-ce31";"080801";"20";"2";"wieś";"stały";"Niepubliczna Szkoła Podstawowa, Mostki 81, 66-218 Lubrza";"gm. Lubrza";"świebodziński";"lubuskie";"790";"880";"391";"399";"0";"10";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"11";"0";"11";"0";"388";"246";"142"
"83b7-c3f2-7b43-5a6a-a669-8e66-8f11-ea0b";"080802";"20";"1";"wieś";"stały";"Sala Posiedzeń Urzędu Gminy, ul. Spacerowa 12, 66-220 Łagów";"gm. Łagów";"świebodziński";"lubuskie";"1820";"1986";"690";"1130";"4";"27";"0";"0";"0";"0";"0";"0";"0";"1129";"0";"0";"1129";"57";"10";"47";"0";"1072";"638";"434"
"4454-188b-2c80-3a23-cf31-7d30-9626-42b1";"080802";"20";"2";"wieś";"stały";"Samorządowa Szkoła Podstawowa, Toporów ul. Szkolna 11, 66-220 Łagów";"gm. Łagów";"świebodziński";"lubuskie";"990";"1095";"474";"516";"0";"12";"0";"0";"0";"0";"0";"0";"0";"516";"0";"0";"516";"15";"2";"13";"0";"501";"308";"193"
"7c14-91fb-3351-123e-0d24-192e-6edf-7d3c";"080802";"20";"3";"wieś";"stały";"Samorządowa Szkoła Podstawowa, Sieniawa 8a, 66-220 Łagów";"gm. Łagów";"świebodziński";"lubuskie";"870";"950";"438";"432";"0";"2";"0";"0";"0";"0";"0";"0";"0";"432";"0";"0";"432";"15";"3";"12";"0";"417";"234";"183"
"4c4d-bac8-4c1f-47b9-0588-d5fc-0955-980d";"080803";"20";"1";"wieś";"stały";"Klub Zakładowy ""ESKULAP"", Cibórz 37, 66-213 Skąpe";"gm. Skąpe";"świebodziński";"lubuskie";"1010";"1101";"477";"533";"0";"5";"0";"0";"0";"0";"0";"0";"0";"533";"0";"0";"533";"22";"4";"18";"0";"511";"307";"204"
"afe3-bf07-df90-e3c7-28c0-50f2-3df4-b714";"080803";"20";"2";"wieś";"stały";"Świetlica wiejska, Ołobok ul. Wojciechowskiego 34, 66-213 Skąpe";"gm. Skąpe";"świebodziński";"lubuskie";"1269";"1407";"532";"737";"0";"15";"1";"1";"0";"0";"0";"0";"1";"738";"1";"0";"738";"25";"4";"21";"0";"713";"456";"257"
"752a-06ba-764a-9d02-b54e-9071-0206-7fa8";"080803";"20";"3";"wieś";"stały";"Sala wiejska, Skąpe 48, 66-213 Skąpe";"gm. Skąpe";"świebodziński";"lubuskie";"1270";"1382";"558";"711";"0";"3";"0";"0";"0";"0";"0";"0";"0";"712";"0";"0";"712";"26";"7";"19";"0";"686";"387";"299"
"908d-c95b-110b-3857-0829-6ff4-15d4-7a4b";"080803";"20";"4";"wieś";"zakład leczniczy";"Stara Przychodnia, Cibórz 7, 66-213 Skąpe";"gm. Skąpe";"świebodziński";"lubuskie";"136";"136";"30";"106";"0";"0";"0";"0";"0";"0";"0";"0";"0";"106";"0";"0";"106";"5";"1";"4";"0";"101";"51";"50"
"7847-f443-ae1c-1737-22bb-8e53-f455-18cd";"080804";"20";"1";"wieś";"stały";"Sala wielofunkcyjna, ul. Herbowa 30, 66-225 Szczaniec";"gm. Szczaniec";"świebodziński";"lubuskie";"1379";"1525";"526";"853";"0";"1";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"34";"13";"21";"0";"819";"397";"422"
"2f93-8a5a-5395-4cbc-de50-c540-0972-8140";"080804";"20";"2";"wieś";"stały";"Sala Wiejska, Myszęcin 23, 66-225 Szczaniec";"gm. Szczaniec";"świebodziński";"lubuskie";"530";"592";"267";"263";"1";"2";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"17";"4";"13";"0";"246";"123";"123"
"d100-ff22-a6ee-f07b-b26f-f4c2-5905-06c5";"080804";"20";"3";"wieś";"stały";"Sala Wiejska, Smardzewo 20, 66-225 Szczaniec";"gm. Szczaniec";"świebodziński";"lubuskie";"880";"974";"388";"492";"0";"0";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"30";"4";"26";"0";"462";"245";"217"
"598e-9146-110e-dfa1-e29c-10e7-cc2c-40e2";"080805";"20";"1";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Żaków 1, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"2140";"2270";"746";"1394";"2";"3";"1";"1";"0";"0";"0";"0";"1";"1395";"1";"0";"1395";"38";"20";"18";"0";"1357";"890";"467"
"fefb-025b-c719-6583-4ea3-0958-74dc-c958";"080805";"20";"2";"miasto";"stały";"Publiczne Przedszkole nr 7, Osiedle Widok 24, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1150";"1230";"385";"765";"0";"3";"0";"0";"0";"0";"0";"0";"0";"765";"0";"3";"762";"31";"7";"24";"0";"731";"502";"229"
"4a44-88c6-3675-ff6a-288a-48cf-947e-e4b2";"080805";"20";"3";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Zachodnia 74A, 66-200 Świebodzin";"gm. Świebodzin";"świebodziński";"lubuskie";"1000";"1067";"351";"649";"2";"7";"0";"0";"0";"0";"0";"0";"0";"649";"0";"0";"649";"18";"5";"13";"0";"631";"419";"212"
