"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Robert Adam MAMĄTOW";"Tadeusz NALEWAJK"
"3912-a844-0e6e-887b-e8bf-e7f7-5049-16ce";"141102";"46";"4";"wieś";"stały";"Budynek po byłej Szkole Podstawowej w Gutach Dużych, Guty Duże 42, 06-232 Czerwonka";"gm. Czerwonka";"makowski";"mazowieckie";"171";"187";"71";"100";"2";"0";"0";"0";"0";"0";"0";"0";"0";"100";"0";"0";"100";"1";"0";"1";"0";"99";"76";"23"
"2591-6fc2-fdc1-3d00-228f-c314-9cda-fcee";"141103";"46";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Karniewie, ul. Szkolna 9, 06-425 Karniewo";"gm. Karniewo";"makowski";"mazowieckie";"1760";"1908";"725";"1035";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1035";"0";"0";"1035";"28";"8";"20";"0";"1007";"648";"359"
"fefa-c826-8e36-3e27-b83d-4d13-f03d-9afd";"141103";"46";"2";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Łukowo 71, 06-425 Karniewo";"gm. Karniewo";"makowski";"mazowieckie";"580";"622";"273";"307";"0";"0";"0";"0";"0";"0";"0";"0";"0";"307";"0";"0";"307";"8";"3";"5";"0";"299";"201";"98"
"f8d2-7eaf-8b94-7a28-1ab3-8850-343c-ed8f";"141103";"46";"3";"wieś";"stały";"Szkoła Podstawowa w Romanowie, Romanowo 12, 06-425 Karniewo";"gm. Karniewo";"makowski";"mazowieckie";"710";"786";"274";"436";"3";"0";"0";"0";"0";"0";"0";"0";"0";"436";"0";"0";"436";"9";"6";"3";"0";"427";"295";"132"
"cee6-db1b-d49a-1fb1-d223-4059-8377-3467";"141103";"46";"4";"wieś";"stały";"Szkoła Podstawowa w Szwelicach, Szwelice 66, 06-100 Pułtusk";"gm. Karniewo";"makowski";"mazowieckie";"712";"793";"229";"483";"0";"0";"0";"0";"0";"0";"0";"0";"0";"483";"0";"0";"483";"12";"2";"10";"0";"471";"338";"133"
"9dd1-37f7-4b29-d96e-4002-ad20-c416-7d76";"141104";"46";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Ogrodowa 2A, 06-212 Krasnosielc";"gm. Krasnosielc";"makowski";"mazowieckie";"1262";"1348";"566";"696";"3";"3";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"32";"7";"25";"0";"664";"394";"270"
"a524-e3d1-e309-e70a-2c6d-59ac-98de-59ea";"141104";"46";"2";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Rynek 40A, 06-212 Krasnosielc";"gm. Krasnosielc";"makowski";"mazowieckie";"966";"1043";"408";"558";"3";"4";"0";"0";"0";"0";"0";"0";"0";"558";"0";"0";"558";"13";"3";"10";"0";"545";"368";"177"
"7551-74b5-1231-23ce-8bed-5af7-7119-891a";"141104";"46";"3";"wieś";"stały";"Szkoła Podstawowa, Amelin 33, 06-212 Krasnosielc";"gm. Krasnosielc";"makowski";"mazowieckie";"515";"567";"228";"287";"0";"1";"0";"0";"0";"0";"0";"0";"0";"287";"0";"0";"287";"3";"3";"0";"0";"284";"212";"72"
"f9b7-d64f-6c01-fba6-d288-74f8-76de-1a55";"141104";"46";"4";"wieś";"stały";"Budynek byłej Szkoły Podstawowej, Pienice 19, 06-212 Krasnosielc";"gm. Krasnosielc";"makowski";"mazowieckie";"381";"417";"188";"193";"0";"0";"0";"0";"0";"0";"0";"0";"0";"193";"0";"0";"193";"5";"4";"1";"0";"188";"124";"64"
"edd9-1bdd-5d26-24b2-addb-4b9e-b975-7212";"141104";"46";"5";"wieś";"stały";"Szkoła Podstawowa, Drążdżewo 62, 06-214 Krasnosielc";"gm. Krasnosielc";"makowski";"mazowieckie";"1143";"1234";"494";"649";"1";"1";"0";"0";"0";"0";"0";"0";"0";"649";"0";"0";"649";"23";"2";"21";"0";"626";"400";"226"
"d45e-8e92-8af0-5c83-65fa-7632-6fcf-2186";"141104";"46";"6";"wieś";"stały";"Szkoła Podstawowa, Raki 55A, 06-214 Krasnosielc";"gm. Krasnosielc";"makowski";"mazowieckie";"403";"441";"177";"226";"1";"2";"0";"0";"0";"0";"0";"0";"0";"226";"0";"0";"226";"10";"3";"7";"0";"216";"171";"45"
"d213-a2f7-8302-a083-dbfe-ede9-439a-0cde";"141105";"46";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa z Publicznym Przedszkolem, ul. Ostrołęcka 24, 06-231 Młynarze";"gm. Młynarze";"makowski";"mazowieckie";"670";"736";"194";"476";"1";"2";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"23";"8";"15";"0";"453";"297";"156"
"7e4b-7572-eb0b-4c6b-3a8f-d89f-2b5a-7a0b";"141105";"46";"2";"wieś";"stały";"Świetlica wiejska, Kołaki 17, 06-231 Młynarze";"gm. Młynarze";"makowski";"mazowieckie";"290";"313";"132";"158";"0";"0";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"6";"2";"4";"0";"152";"111";"41"
"6983-39b3-d6a2-3d47-1f1b-1c80-d68f-4293";"141105";"46";"3";"wieś";"stały";"Świetlica wiejska, Rupin 2, 06-231 Młynarze";"gm. Młynarze";"makowski";"mazowieckie";"280";"311";"100";"180";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180";"0";"0";"180";"7";"1";"6";"0";"173";"127";"46"
"0d35-52f3-3355-3098-8aca-505a-bb6a-8059";"141106";"46";"1";"wieś";"stały";"Remiza OSP, Jaciążek 25, 06-210 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"510";"562";"185";"325";"0";"1";"0";"0";"0";"0";"0";"0";"0";"325";"0";"0";"325";"11";"1";"10";"0";"314";"235";"79"
"1549-dc45-2130-9ffa-b5e2-60ab-badf-0d03";"141106";"46";"2";"wieś";"stały";"Remiza OSP, Stary Podoś 45, 06-210 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"220";"237";"72";"148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"148";"0";"0";"148";"5";"0";"5";"0";"143";"107";"36"
"8e28-8f1c-27fc-9516-0328-f667-ba30-a7cb";"141106";"46";"3";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Arkadiusza Gołasia w Płoniawach-Bramurze, Płoniawy-Bramura 80A, 06-210 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"730";"811";"296";"434";"0";"4";"0";"0";"0";"0";"0";"0";"0";"434";"0";"0";"434";"23";"8";"15";"0";"411";"245";"166"
"4420-215e-5a6a-420b-01c8-8fce-4148-d535";"141106";"46";"4";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Św. Stanisława Kostki w Chodkowie Wielkim, Chodkowo Wielkie 29, 06-210 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"470";"516";"171";"299";"0";"4";"0";"0";"0";"0";"0";"0";"0";"299";"0";"0";"299";"7";"3";"4";"0";"292";"219";"73"
"b12e-f2d6-0930-abfe-543b-2615-745b-6f4a";"141106";"46";"5";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Marii Skłodowskiej-Curie w Krasińcu, Krasiniec 18, 06-211 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"930";"1021";"455";"475";"0";"0";"0";"0";"0";"0";"0";"0";"0";"475";"0";"0";"475";"12";"2";"10";"0";"463";"329";"134"
"d18a-2da1-4176-2fe7-ce5e-5cd2-c0e0-b5b8";"141106";"46";"6";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Bohaterów Września w Węgrzynowie, Węgrzynowo 150, 06-211 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"660";"719";"302";"358";"0";"1";"0";"0";"0";"0";"0";"0";"0";"358";"0";"0";"358";"12";"4";"8";"0";"346";"224";"122"
"f321-d249-654c-59a2-faee-5f7d-e7ce-cfda";"141106";"46";"7";"wieś";"stały";"Świetlica wiejska, Kobylinek, 06-211 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"280";"314";"119";"161";"0";"0";"0";"0";"0";"0";"0";"0";"0";"161";"0";"0";"161";"5";"1";"4";"0";"156";"117";"39"
"53c8-8932-d695-d046-8fd4-7fdf-0bae-321d";"141106";"46";"8";"wieś";"stały";"Remiza OSP w Zawadach Dworskich, Zawady Dworskie 32A, 06-210 Płoniawy-Bramura";"gm. Płoniawy-Bramura";"makowski";"mazowieckie";"240";"261";"104";"136";"0";"0";"0";"0";"0";"0";"0";"0";"0";"136";"0";"0";"136";"4";"0";"4";"0";"132";"107";"25"
"9687-7fa7-7b82-d835-846b-1fc7-773c-c77f";"141107";"46";"1";"miasto";"stały";"Gminny Ośrodek Upowszechniania Kultury w Różanie, ul. Mickiewicza 5, 06-230 Różan";"gm. Różan";"makowski";"mazowieckie";"1059";"1162";"361";"697";"2";"3";"0";"0";"0";"0";"0";"0";"0";"698";"0";"0";"698";"26";"8";"18";"0";"672";"381";"291"
"748c-e2b5-ee03-6168-1d26-aeb1-4a53-23cb";"141107";"46";"2";"miasto";"stały";"Urząd Gminy w Różanie (sala konferencyjna), Plac Obrońców Różana 4, 06-230 Różan";"gm. Różan";"makowski";"mazowieckie";"933";"1033";"337";"596";"2";"26";"0";"0";"0";"0";"0";"0";"0";"596";"0";"0";"596";"10";"1";"9";"0";"586";"344";"242"
"d503-bda9-acf4-6344-b9b1-68e0-1c58-c32c";"141107";"46";"3";"wieś";"stały";"Dom Dziennego Pobytu w Różanie, ul. Gdańska 4/3, 06-230 Różan";"gm. Różan";"makowski";"mazowieckie";"1251";"1386";"480";"771";"0";"10";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"15";"2";"13";"0";"756";"470";"286"
"2549-72be-89f1-5a48-5dd2-e014-de40-f060";"141108";"46";"1";"wieś";"stały";"Publiczna Szkoła Podstawowa im. Armii Krajowej, Rzewnie 3, 06-225 Rzewnie";"gm. Rzewnie";"makowski";"mazowieckie";"1143";"1265";"335";"808";"0";"20";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"27";"5";"22";"0";"781";"523";"258"
"fad3-1c4f-b138-9331-ae53-c44c-486f-5c8b";"141108";"46";"2";"wieś";"stały";"budynek po Publicznej Szkole Podstawowej, Łachy Włościańskie 10, 06-225 Rzewnie";"gm. Rzewnie";"makowski";"mazowieckie";"513";"582";"192";"321";"0";"8";"0";"0";"0";"0";"0";"0";"0";"321";"0";"0";"321";"8";"0";"8";"0";"313";"199";"114"
"2581-7733-fba1-84d4-1188-ac9b-b539-4b04";"141108";"46";"3";"wieś";"stały";"Świetlica wiejska, Nowy Sielc 42, 06-225 Rzewnie";"gm. Rzewnie";"makowski";"mazowieckie";"321";"355";"108";"213";"0";"2";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"5";"0";"5";"0";"208";"152";"56"
"481d-3f15-c75b-2a58-4f50-df6d-40b1-2965";"141109";"46";"1";"wieś";"stały";"Zespół Placówek Oświatowych w Sypniewie, Wł. Broniewskiego 2A, 06-216 Sypniewo";"gm. Sypniewo";"makowski";"mazowieckie";"1010";"1110";"319";"691";"2";"3";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"16";"6";"10";"0";"675";"444";"231"
"0c36-dea4-bf46-e993-4101-d925-cfe8-72e4";"141109";"46";"2";"wieś";"stały";"Szkoła Podstawowa w Maminie, Mamino 43, 06-216 Sypniewo";"gm. Sypniewo";"makowski";"mazowieckie";"180";"195";"78";"102";"0";"0";"0";"0";"0";"0";"0";"0";"0";"102";"0";"0";"102";"0";"0";"0";"0";"102";"72";"30"
"b57c-ed84-a9d5-7966-a075-85b5-c92c-2559";"141109";"46";"3";"wieś";"stały";"Świetlica Wiejska w Rawach, Rawy 32, 06-213 Sypniewo";"gm. Sypniewo";"makowski";"mazowieckie";"210";"221";"73";"137";"0";"0";"0";"0";"0";"0";"0";"0";"0";"137";"0";"0";"137";"2";"0";"2";"0";"135";"115";"20"
"814a-0f8f-6499-1221-ea60-b93f-7572-af3d";"141109";"46";"4";"wieś";"stały";"Szkoła Podstawowa w Gąsewie Poduchownym, Gąsewo Poduchowne Władysława Stanisława Reymonta 12A, 06-213 Sypniewo";"gm. Sypniewo";"makowski";"mazowieckie";"1000";"1079";"359";"641";"1";"1";"0";"0";"0";"0";"0";"0";"0";"641";"0";"0";"641";"18";"4";"14";"0";"623";"437";"186"
"59d5-12e3-473a-3272-3066-3232-c520-d400";"141110";"46";"1";"wieś";"stały";"Gminne Centrum Kultury, Czytelnictwa i Sportu, Stary Szelków 35A, 06-220 Stary Szelków";"gm. Szelków";"makowski";"mazowieckie";"930";"1019";"329";"601";"1";"8";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"10";"1";"9";"0";"591";"397";"194"
"1083-4f85-ce14-1b52-a3d4-8724-5fa5-c3a8";"141110";"46";"2";"wieś";"stały";"Świetlica wiejska, Makowica 41, 06-200 Maków Mazowiecki";"gm. Szelków";"makowski";"mazowieckie";"510";"560";"220";"290";"0";"1";"0";"0";"0";"0";"0";"0";"0";"289";"0";"0";"289";"5";"0";"5";"0";"284";"162";"122"
"719a-d09a-1c7e-912a-f57e-1c8e-0a71-9760";"141110";"46";"3";"wieś";"stały";"Świetlica OSP, Pomaski Wielkie 5, 06-200 Maków Mazowiecki";"gm. Szelków";"makowski";"mazowieckie";"210";"228";"64";"146";"0";"1";"0";"0";"0";"0";"0";"0";"0";"146";"0";"0";"146";"4";"2";"2";"0";"142";"94";"48"
"584a-d259-c3ad-658e-31a4-692a-2d2e-94d5";"141110";"46";"4";"wieś";"stały";"Świetlica wiejska, Przeradowo 23, 06-220 Stary Szelków";"gm. Szelków";"makowski";"mazowieckie";"310";"344";"84";"226";"0";"5";"0";"0";"0";"0";"0";"0";"0";"226";"0";"0";"226";"6";"3";"3";"0";"220";"152";"68"
"007e-43ba-ad4b-eb5d-b017-cca6-c555-2685";"141110";"46";"5";"wieś";"stały";"Świetlica wiejska, Ciepielewo 66, 06-220 Stary Szelków";"gm. Szelków";"makowski";"mazowieckie";"340";"364";"130";"210";"0";"0";"0";"0";"0";"0";"0";"0";"0";"210";"0";"0";"210";"5";"2";"3";"0";"205";"149";"56"
"b24d-e429-05b1-dfc3-6864-552c-6b8a-33e6";"141110";"46";"6";"wieś";"stały";"Budynek gminny w Nowym Strachocinie, Nowy Strachocin 22, 06-220 Stary Szelków";"gm. Szelków";"makowski";"mazowieckie";"170";"186";"79";"91";"0";"3";"0";"0";"0";"0";"0";"0";"0";"91";"0";"0";"91";"4";"0";"4";"0";"87";"60";"27"
"1c13-2c51-1f3e-a652-cdd6-b24a-9f05-0984";"141110";"46";"7";"wieś";"stały";"Świetlica wiejska, Dzierżanowo 53, 06-200 Maków Mazowiecki";"gm. Szelków";"makowski";"mazowieckie";"190";"205";"85";"105";"0";"0";"0";"0";"0";"0";"0";"0";"0";"105";"0";"0";"105";"1";"0";"1";"0";"104";"79";"25"
"7606-12d9-449c-7113-1e25-143e-93c1-727a";"141501";"46";"1";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II, Niepodległości 27A, 06-320 Baranowo";"gm. Baranowo";"ostrołęcki";"mazowieckie";"1294";"1393";"524";"770";"1";"0";"0";"0";"0";"0";"0";"0";"0";"770";"0";"0";"770";"14";"2";"12";"0";"756";"419";"337"
"a186-be07-5e70-1249-5fc7-7e0c-7588-b110";"141501";"46";"2";"wieś";"stały";"Szkoła Podstawowa, Jastrząbka 33, 06-320 Baranowo";"gm. Baranowo";"ostrołęcki";"mazowieckie";"520";"563";"238";"282";"0";"0";"0";"0";"0";"0";"0";"0";"0";"282";"0";"0";"282";"7";"1";"6";"0";"275";"194";"81"
"db0c-461e-5275-220c-d918-0af1-9536-1fa1";"141501";"46";"3";"wieś";"stały";"Remizo-świetlica, Cierpięta 7, 06-320 Baranowo";"gm. Baranowo";"ostrołęcki";"mazowieckie";"520";"558";"246";"274";"0";"1";"0";"0";"0";"0";"0";"0";"0";"274";"0";"0";"274";"10";"0";"10";"0";"264";"180";"84"
"f2d5-bf95-e3a0-f2a5-ccb6-064c-30ee-95e6";"141501";"46";"4";"wieś";"stały";"Remiza Strażacka, Brodowe Łąki 30, 06-320  Baranowo";"gm. Baranowo";"ostrołęcki";"mazowieckie";"1054";"1145";"501";"553";"2";"1";"0";"0";"0";"0";"0";"0";"0";"553";"0";"0";"553";"10";"2";"8";"0";"543";"370";"173"
"0f26-b275-0d28-0f88-cf8b-738e-406c-195b";"141501";"46";"5";"wieś";"stały";"Szkoła Podstawowa Bakuła-Ziomek, Ziomek 1, 06-320 Baranowo";"gm. Baranowo";"ostrołęcki";"mazowieckie";"403";"451";"176";"227";"0";"0";"0";"0";"0";"0";"0";"0";"0";"227";"0";"0";"227";"7";"3";"4";"0";"220";"155";"65"
"90d3-684e-07ba-875f-5d39-0dd3-4fdd-9abf";"141501";"46";"6";"wieś";"stały";"Zespół Szkół Powiatowych, ul. Niepodległości 27, 06-320 Baranowo";"gm. Baranowo";"ostrołęcki";"mazowieckie";"1003";"1103";"483";"520";"3";"3";"0";"0";"0";"0";"0";"0";"0";"520";"0";"0";"520";"14";"1";"13";"0";"506";"350";"156"
"7d39-f622-a361-e223-44b6-7492-3514-3eaf";"141502";"46";"1";"wieś";"stały";"Szkoła Podstawowa, Czarnia 42, 07-431 Czarnia";"gm. Czarnia";"ostrołęcki";"mazowieckie";"645";"693";"332";"313";"0";"2";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"7";"0";"7";"0";"306";"185";"121"
"d889-a01b-0700-7cf7-7d06-c802-786f-7b5e";"141502";"46";"2";"wieś";"stały";"Remizo-Świetlica, Bandysie 33a, 07-431 Czarnia";"gm. Czarnia";"ostrołęcki";"mazowieckie";"251";"271";"128";"123";"0";"0";"0";"0";"0";"0";"0";"0";"0";"123";"0";"0";"123";"3";"2";"1";"0";"120";"90";"30"
"47f6-5e20-e58f-3a47-fce5-ac8f-d6ed-bf41";"141502";"46";"3";"wieś";"stały";"Szkoła Podstawowa, Długie 13, 07-431 Czarnia";"gm. Czarnia";"ostrołęcki";"mazowieckie";"172";"200";"75";"97";"0";"0";"0";"0";"0";"0";"0";"0";"0";"97";"0";"0";"97";"4";"0";"4";"0";"93";"65";"28"
"9655-9f2a-bfde-7015-c7f7-438d-7d69-6c69";"141502";"46";"4";"wieś";"stały";"Szkoła Podstawowa, Surowe 194, 07-431 Czarnia";"gm. Czarnia";"ostrołęcki";"mazowieckie";"730";"785";"344";"386";"0";"0";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"7";"1";"6";"0";"379";"292";"87"
"e607-d318-2641-ce8f-f37b-9ad6-90ca-2600";"141503";"46";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Szkolna 5, 07-407 Czerwin";"gm. Czerwin";"ostrołęcki";"mazowieckie";"1530";"1680";"559";"971";"3";"3";"0";"0";"0";"0";"0";"0";"0";"971";"0";"0";"971";"16";"2";"14";"0";"955";"654";"301"
"3a77-a3ef-9448-e25d-2134-1bd5-4362-ab7a";"141503";"46";"2";"wieś";"stały";"Remiza OSP, Jarnuty, 07-407 Czerwin";"gm. Czerwin";"ostrołęcki";"mazowieckie";"222";"247";"104";"118";"0";"6";"0";"0";"0";"0";"0";"0";"0";"118";"0";"0";"118";"1";"0";"1";"0";"117";"81";"36"
"21da-4a39-f2d4-29a5-5ea8-7231-4fb7-cab1";"141503";"46";"3";"wieś";"stały";"Remiza OSP, Suchcice ul. Zadworska 2, 07-407 Czerwin";"gm. Czerwin";"ostrołęcki";"mazowieckie";"180";"205";"72";"108";"0";"2";"0";"0";"0";"0";"0";"0";"0";"108";"0";"0";"108";"1";"0";"1";"0";"107";"65";"42"
"121b-6fed-e87e-5a8d-ba76-613d-85a6-c666";"141503";"46";"4";"wieś";"stały";"Szkoła Podstawowa, Laski Szlacheckie 35A, 07-407 Czerwin";"gm. Czerwin";"ostrołęcki";"mazowieckie";"480";"530";"195";"285";"5";"0";"0";"0";"0";"0";"0";"0";"0";"285";"0";"0";"285";"1";"0";"1";"0";"284";"205";"79"
"075b-f53e-fc62-2764-94a6-61b1-a49d-16af";"141503";"46";"5";"wieś";"stały";"Szkoła Podstawowa, Piski ul. Juliusza Słowackiego 22, 07-407 Czerwin";"gm. Czerwin";"ostrołęcki";"mazowieckie";"826";"919";"323";"503";"3";"0";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"5";"0";"5";"0";"498";"418";"80"
"94b1-017c-7416-6bfb-b210-ea62-5c9a-46e3";"141503";"46";"6";"wieś";"stały";"Remiza OSP, Malinowo Nowe 14, 07-407 Czerwin";"gm. Czerwin";"ostrołęcki";"mazowieckie";"221";"247";"95";"126";"0";"3";"0";"0";"0";"0";"0";"0";"0";"126";"0";"0";"126";"3";"0";"3";"0";"123";"82";"41"
