"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Maciej Józef KOŹBIAŁ";"Andrzej Michał PAJĄK"
"0d9d-5648-00cd-86a2-0e81-bb3f-3ad2-137d";"120304";"30";"15";"wieś";"stały";"Świetlica w Gromcu, Gromiec ul. Traugutta 1, 32-590 Libiąż";"gm. Libiąż";"chrzanowski";"małopolskie";"1118";"1234";"311";"807";"0";"0";"0";"0";"0";"0";"0";"0";"0";"807";"0";"0";"807";"17";"2";"15";"0";"790";"296";"494"
"1989-8f3c-a86e-2369-bb22-5c8e-0c48-9c70";"120305";"30";"1";"miasto";"stały";"Szkoła Podstawowa Nr 8 w Trzebini, Osiedle Widokowe 21, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"860";"931";"258";"602";"0";"1";"0";"0";"0";"0";"0";"0";"0";"602";"0";"0";"602";"24";"5";"19";"0";"578";"320";"258"
"2786-cc95-1f80-febf-2739-34fe-f86e-0e00";"120305";"30";"2";"miasto";"stały";"Szkoła Podstawowa Nr 8 w Trzebini, Osiedle Widokowe 21, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"850";"934";"228";"622";"0";"3";"0";"0";"0";"0";"0";"0";"0";"622";"0";"0";"622";"22";"2";"20";"0";"600";"358";"242"
"01d8-81e0-6c71-7192-f7fe-fea4-bc8f-4439";"120305";"30";"3";"miasto";"stały";"Zespół Szkół Ekonomiczno-Chemicznych w Trzebini, ul. Głogowa 12, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1367";"1490";"470";"897";"1";"3";"0";"0";"0";"0";"0";"0";"0";"897";"0";"0";"897";"46";"9";"37";"0";"851";"442";"409"
"d4d4-ebeb-bcd7-dd69-2507-e15c-83e0-8916";"120305";"30";"4";"miasto";"stały";"Budynek gminy Rynek 18, Rynek 18, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"820";"896";"276";"544";"2";"0";"0";"0";"0";"0";"0";"0";"0";"543";"0";"0";"543";"22";"8";"14";"0";"521";"314";"207"
"3a52-d413-44bd-8d97-fb99-2b84-51be-fa62";"120305";"30";"5";"miasto";"stały";"Dwór Zieleniewskich w Trzebini, ul. Marszałka Piłsudskiego 47a, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1000";"1085";"241";"759";"1";"2";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"33";"9";"24";"0";"726";"413";"313"
"313d-4b04-bc9b-c5a7-1cb8-2b11-ddd4-02fa";"120305";"30";"6";"miasto";"stały";"Powiatowy Młodzieżowy Dom Kultury w Trzebini, ul. Kościuszki 70, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"940";"1019";"365";"575";"1";"4";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"19";"3";"16";"0";"556";"291";"265"
"132b-6605-c934-6a13-944e-8997-2369-809d";"120305";"30";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3 w Trzebini, ul. 1 Maja 60, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1078";"1173";"415";"663";"0";"2";"0";"0";"0";"0";"0";"0";"0";"663";"0";"0";"663";"19";"1";"18";"0";"644";"372";"272"
"ed35-a615-f245-8838-ac67-242c-1aa3-50c8";"120305";"30";"8";"miasto";"stały";"Dom Gromadzki w Trzebini, ul. 1 Maja 97, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"860";"945";"281";"579";"0";"0";"0";"0";"0";"0";"0";"0";"0";"579";"0";"0";"579";"24";"8";"16";"0";"555";"309";"246"
"fe11-3e58-c274-df80-61e6-7ae7-8d72-aa3c";"120305";"30";"9";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Trzebini, ul. Styczniowa 47, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"600";"655";"257";"343";"0";"1";"0";"0";"0";"0";"0";"0";"0";"343";"0";"0";"343";"11";"1";"10";"0";"332";"161";"171"
"0639-bc23-bdcd-2ce8-7f55-be16-ddef-01d3";"120305";"30";"10";"miasto";"stały";"Zespół Szkół Techniczno-Usługowych w Trzebini, ul. Gwarków 3, 32-541 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1020";"1133";"378";"642";"0";"4";"0";"0";"0";"0";"0";"0";"0";"642";"0";"0";"642";"27";"13";"14";"0";"615";"345";"270"
"8f6c-23d8-f3a1-221e-5059-3189-1a54-71a7";"120305";"30";"11";"miasto";"stały";"Szkoła Podstawowa Nr 5 w Trzebini, ul. Jana III Sobieskiego 25, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1269";"1402";"407";"862";"2";"8";"0";"0";"0";"0";"0";"0";"0";"861";"0";"0";"861";"30";"9";"21";"0";"831";"446";"385"
"ffeb-bc55-bb51-d67a-1812-7f6f-5c10-2cf6";"120305";"30";"12";"miasto";"stały";"Szkoła Podstawowa Nr 5 w Trzebini, ul. Jana III Sobieskiego 25, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1120";"1222";"329";"791";"0";"2";"0";"0";"0";"0";"0";"0";"0";"791";"0";"0";"791";"23";"8";"15";"0";"768";"432";"336"
"11d9-7ce6-60b9-6e88-10ea-69e3-8195-db36";"120305";"30";"13";"miasto";"stały";"Szkoła Podstawowa Nr 6 w Trzebini, Osiedle Gaj 39, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"1200";"1301";"473";"727";"1";"2";"0";"0";"0";"0";"0";"0";"0";"727";"0";"0";"727";"36";"6";"30";"0";"691";"319";"372"
"47b9-0b79-8b5b-fbb0-4d09-1014-9749-21a0";"120305";"30";"14";"miasto";"stały";"Szkoła Podstawowa Nr 6 w Trzebini, Osiedle Gaj 39, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"910";"986";"296";"614";"0";"1";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"23";"5";"18";"0";"591";"326";"265"
"ca73-24fa-d932-66c7-e9bf-ee5b-13e6-c60d";"120305";"30";"15";"wieś";"stały";"Wiejski Dom Kultury w Czyżówce, Czyżówka ul. Szkolna 15, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"470";"513";"157";"313";"0";"0";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"10";"6";"4";"0";"303";"113";"190"
"cfc2-ec63-7690-f121-c5e6-79a1-f87f-e99f";"120305";"30";"16";"wieś";"stały";"Wiejski Dom Kultury w Płokach, ul. Główna 4, 32-543 Płoki";"gm. Trzebinia";"chrzanowski";"małopolskie";"710";"778";"220";"490";"1";"1";"0";"0";"0";"0";"0";"0";"0";"490";"0";"0";"490";"21";"4";"17";"0";"469";"252";"217"
"c34e-244e-a471-9b42-dbc6-7c6e-b08e-c10c";"120305";"30";"17";"wieś";"stały";"Wiejski Dom Kultury w Lgocie, ul. Trzebińska 39, 32-543 Lgota";"gm. Trzebinia";"chrzanowski";"małopolskie";"640";"701";"211";"429";"0";"1";"0";"0";"0";"0";"0";"0";"0";"429";"0";"0";"429";"20";"5";"15";"0";"409";"157";"252"
"520c-3bed-7a91-5efa-81f6-d58f-3e7c-f11a";"120305";"30";"18";"wieś";"stały";"Szkoła Podstawowa w Myślachowicach, Szkolna 15, 32-543 Myślachowice";"gm. Trzebinia";"chrzanowski";"małopolskie";"1550";"1696";"450";"1100";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1100";"0";"0";"1100";"37";"9";"28";"0";"1063";"628";"435"
"678e-626b-fcee-4065-1396-4e66-2b5f-b6b9";"120305";"30";"19";"wieś";"stały";"Wiejski Dom Kultury w Psarach, ul. Św. Floriana 4, 32-545 Psary";"gm. Trzebinia";"chrzanowski";"małopolskie";"998";"1087";"269";"729";"1";"1";"0";"0";"0";"0";"0";"0";"0";"729";"0";"0";"729";"21";"4";"17";"0";"708";"360";"348"
"d1f6-217b-197e-cd41-1daf-200b-82a7-9dc1";"120305";"30";"20";"wieś";"stały";"Wiejski Dom Kultury w Karniowicach, ul. Władysława Łokietka 34, 32-545 Karniowice";"gm. Trzebinia";"chrzanowski";"małopolskie";"982";"1075";"344";"638";"0";"1";"0";"0";"0";"0";"0";"0";"0";"638";"0";"0";"638";"13";"3";"10";"0";"625";"321";"304"
"ceb7-6f22-831a-8b03-2057-f9f7-f879-b810";"120305";"30";"21";"wieś";"stały";"Dom Strażaka w Dulowej, ul. Brata Alberta 5, 32-545 Dulowa";"gm. Trzebinia";"chrzanowski";"małopolskie";"1090";"1198";"250";"840";"2";"1";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"24";"11";"13";"0";"816";"428";"388"
"b586-ca6b-740f-f2d3-5a74-8db0-9085-76a4";"120305";"30";"22";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Młoszowej, ul. Kamieniec 1, 32-540 Młoszowa";"gm. Trzebinia";"chrzanowski";"małopolskie";"1038";"1136";"306";"732";"0";"2";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"32";"9";"23";"0";"700";"332";"368"
"430c-0103-6052-530e-d8c2-8b91-d1bb-f187";"120305";"30";"23";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Młoszowej, ul. Kamieniec 1, 32-540 Młoszowa";"gm. Trzebinia";"chrzanowski";"małopolskie";"971";"1088";"293";"678";"0";"5";"0";"0";"0";"0";"0";"0";"0";"678";"0";"0";"678";"14";"4";"10";"0";"664";"356";"308"
"8449-4498-c120-ee73-1375-51d7-2b88-55ed";"120305";"30";"24";"wieś";"stały";"Wiejski Dom Kultury w Pile Kościeleckiej, ul. Zielona 50, 32-540 Piła Kościelecka";"gm. Trzebinia";"chrzanowski";"małopolskie";"560";"609";"98";"462";"1";"2";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"16";"8";"8";"0";"446";"242";"204"
"e161-d917-1b65-1b19-0f21-dd4e-0bcb-eb1c";"120305";"30";"25";"wieś";"stały";"Szkoła Podstawowa w Bolęcinie, ul. Zakopiańska 14, 32-540 Bolęcin";"gm. Trzebinia";"chrzanowski";"małopolskie";"1402";"1517";"485";"917";"0";"0";"0";"0";"0";"0";"0";"0";"0";"917";"0";"0";"917";"30";"3";"27";"0";"887";"415";"472"
"93cb-cfc1-dce7-e0d8-6150-2115-9fc9-6528";"120305";"30";"26";"miasto";"zakład karny";"Zakład Karny w Trzebini, ul. Słowackiego 70, 32-540 Trzebinia";"gm. Trzebinia";"chrzanowski";"małopolskie";"330";"277";"144";"186";"0";"0";"0";"0";"0";"0";"0";"0";"0";"186";"0";"0";"186";"8";"0";"8";"0";"178";"133";"45"
"42a6-f519-fc9a-5366-dd11-42a5-6104-7bb3";"120901";"30";"1";"miasto";"stały";"Urząd Gminy i Miasta Dobczyce (partner-sala konferencyjna), Rynek 26, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1350";"1493";"417";"933";"0";"10";"0";"0";"0";"0";"0";"0";"0";"933";"0";"0";"933";"41";"10";"31";"0";"892";"351";"541"
"250b-0da9-6e0e-7369-e38a-7d21-6d2a-b507";"120901";"30";"2";"miasto";"stały";"Przedszkole Samorządowe Nr 1 w Dobczycach, pl. Zgody 9, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1550";"1702";"396";"1154";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1153";"0";"0";"1153";"41";"17";"24";"0";"1112";"503";"609"
"77cd-09f0-a4d7-cdd1-882c-2a14-7dfd-5644";"120901";"30";"3";"miasto";"stały";"Regionalne Centrum Oświatowo-Sportowe w Dobczycach, ul. Szkolna 43, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1760";"1906";"495";"1265";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1265";"0";"0";"1265";"47";"17";"30";"0";"1218";"565";"653"
"13f9-23f6-3629-e69d-e587-a0a5-8bfe-8648";"120901";"30";"4";"wieś";"stały";"Szkoła Podstawowa w Brzączowicach, Brzączowice 186, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1070";"1168";"363";"708";"0";"0";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"26";"5";"21";"0";"682";"282";"400"
"9774-559c-2a1d-f92f-6750-d3e4-83b7-7cc4";"120901";"30";"5";"wieś";"stały";"Szkoła Podstawowa w Kornatce, Kornatka 105, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1180";"1303";"360";"820";"0";"7";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"17";"3";"14";"0";"803";"190";"613"
"9ef2-94be-177f-981c-4c54-37a6-9f17-11c0";"120901";"30";"6";"wieś";"stały";"Szkoła Podstawowa w Stadnikach, Stadniki 148, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1270";"1406";"357";"913";"1";"9";"0";"0";"0";"0";"0";"0";"0";"913";"0";"0";"913";"21";"10";"11";"0";"892";"236";"656"
"9e39-978a-96ff-fd67-b577-544f-1ecd-ba2b";"120901";"30";"7";"wieś";"stały";"Szkoła Podstawowa w Dziekanowicach, Dziekanowice 66, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"1239";"1380";"371";"868";"0";"4";"0";"0";"0";"0";"0";"0";"0";"868";"0";"0";"868";"25";"4";"21";"0";"843";"283";"560"
"9339-a5a3-4ac8-ce6f-5f57-41d6-1433-0f22";"120901";"30";"8";"wieś";"stały";"Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 16, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"760";"850";"293";"467";"0";"6";"0";"0";"0";"0";"0";"0";"0";"467";"0";"0";"467";"17";"2";"15";"0";"450";"147";"303"
"c598-0e58-45d4-b105-a1e3-7dda-3ded-358f";"120901";"30";"9";"wieś";"stały";"Strażnica OSP w Stojowicach, Stojowice 130, 32-410 Dobczyce";"gm. Dobczyce";"myślenicki";"małopolskie";"471";"517";"110";"361";"1";"3";"0";"0";"0";"0";"0";"0";"0";"361";"0";"0";"361";"12";"6";"6";"0";"349";"123";"226"
"8a99-668b-1c11-4c92-5b03-c52a-4ee0-b62b";"120902";"30";"1";"wieś";"stały";"Szkoła Podstawowa w Lubniu, Lubień 513, 32-433 Lubień";"gm. Lubień";"myślenicki";"małopolskie";"1330";"1456";"384";"946";"0";"6";"0";"0";"0";"0";"0";"0";"0";"946";"0";"0";"946";"44";"15";"29";"0";"902";"225";"677"
"c469-7abc-3525-9dc9-3b1c-3da8-3dcf-2423";"120902";"30";"2";"wieś";"stały";"Urząd Gminy w Lubniu, Lubień 50, 32-433 Lubień";"gm. Lubień";"myślenicki";"małopolskie";"1330";"1449";"489";"841";"1";"3";"0";"0";"0";"0";"0";"0";"0";"841";"0";"0";"841";"25";"4";"21";"0";"816";"155";"661"
"136a-6564-79f3-5d65-8511-9181-326c-0d93";"120902";"30";"3";"wieś";"stały";"Szkoła Podstawowa w Tenczynie, Tenczyn 171, 32-433 Lubień";"gm. Lubień";"myślenicki";"małopolskie";"1630";"1801";"413";"1217";"0";"19";"0";"0";"0";"0";"0";"0";"0";"1216";"0";"0";"1216";"13";"2";"11";"0";"1203";"196";"1007"
"7974-3ef4-dc8e-2d9e-31fc-de9a-ce87-de1d";"120902";"30";"4";"wieś";"stały";"Szkoła Podstawowa w Krzeczowie, Krzeczów 174, 32-433 Lubień";"gm. Lubień";"myślenicki";"małopolskie";"630";"692";"204";"426";"0";"0";"0";"0";"0";"0";"0";"0";"0";"426";"0";"0";"426";"18";"3";"15";"0";"408";"77";"331"
"271f-f1c1-89b7-981b-d6b3-39ec-8a17-936f";"120902";"30";"5";"wieś";"stały";"Szkoła Podstawowa w Skomielnej Białej, Skomielna Biała 1, 32-434 Skomielna Biała";"gm. Lubień";"myślenicki";"małopolskie";"2080";"2269";"691";"1389";"5";"9";"0";"0";"0";"0";"0";"0";"0";"1389";"0";"0";"1389";"39";"10";"29";"0";"1350";"328";"1022"
"5344-2e49-7dec-870b-9f09-ce9f-c1ed-b882";"120903";"30";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Myślenicach, ul. Jana Sobieskiego 1, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1780";"1950";"359";"1421";"1";"9";"1";"1";"0";"0";"0";"0";"1";"1422";"1";"1";"1421";"45";"16";"29";"0";"1376";"707";"669"
"203b-d3a9-40a1-470b-c354-3250-79d6-8925";"120903";"30";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Pardyaka 26, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1730";"1902";"456";"1274";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1274";"1";"0";"1274";"43";"15";"28";"0";"1231";"580";"651"
"6a40-23b4-95b3-d2cc-2be5-65a5-7033-ae82";"120903";"30";"3";"miasto";"stały";"Zespół Szkół im. Andrzeja Średniawskiego w Myślenicach, ul. 3 Maja 97b, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1329";"1436";"406";"923";"1";"3";"0";"0";"0";"0";"0";"0";"0";"923";"0";"0";"923";"27";"10";"17";"0";"896";"319";"577"
"d099-1b4d-a885-8791-fb86-1e3d-c7c7-2397";"120903";"30";"4";"miasto";"stały";"Małopolski System Informacji Turystycznej, Rynek 27, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"910";"988";"187";"723";"1";"9";"0";"0";"0";"0";"0";"0";"0";"723";"0";"0";"723";"21";"2";"19";"0";"702";"402";"300"
"e796-a37e-fe6e-a914-abd9-8660-210a-f5d4";"120903";"30";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Myślenicach, ul. Żeromskiego 2, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1145";"1272";"209";"936";"0";"9";"1";"1";"0";"0";"0";"0";"1";"937";"1";"0";"937";"36";"9";"27";"0";"901";"467";"434"
"1f86-ceb6-1aa2-969d-daa7-1813-cb2b-bffd";"120903";"30";"6";"miasto";"stały";"Myślenicki Ośrodek Kultury i Sportu, ul. Marszałka Piłsudskiego 20, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1282";"1425";"281";"1001";"2";"16";"1";"1";"0";"0";"0";"0";"1";"1001";"1";"0";"1001";"43";"15";"28";"0";"958";"535";"423"
"f093-82e4-f105-ff2e-d1a0-f8b1-a1b9-6518";"120903";"30";"7";"miasto";"stały";"Zespół Placówek Oświatowych Nr 1 w Myślenicach, ul. Kazimierza Wielkiego 123, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1891";"2096";"388";"1504";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1504";"0";"0";"1504";"79";"16";"63";"0";"1425";"661";"764"
"9564-e8e4-981c-5ecc-3f28-5e46-038e-03b9";"120903";"30";"8";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Myślenicach, ul. Zdrojowa 14, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"951";"1049";"229";"722";"0";"5";"0";"0";"0";"0";"0";"0";"0";"722";"0";"0";"722";"22";"5";"17";"0";"700";"372";"328"
"832f-3be6-db70-8f5c-a7ef-20d6-189d-025f";"120903";"30";"9";"miasto";"stały";"Cech Rzemiosł Różnych w Myślenicach, ul. Ogrodowa 1, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1674";"1825";"523";"1150";"0";"5";"3";"3";"0";"0";"0";"0";"3";"1153";"3";"0";"1153";"39";"13";"26";"0";"1114";"538";"576"
"0748-f043-956e-6531-5879-9a6f-0d0b-04d2";"120903";"30";"10";"wieś";"stały";"Szkoła Podstawowa w Bęczarce, Bęczarka 14, 32-444 Głogoczów";"gm. Myślenice";"myślenicki";"małopolskie";"770";"855";"225";"545";"0";"2";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"12";"2";"10";"0";"533";"183";"350"
"e87a-71a0-5537-e138-ad0f-a946-5edd-5e5f";"120903";"30";"11";"wieś";"stały";"Zespół Placówek Oświatowych w Bysinie, Bysina 284, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"969";"1069";"249";"720";"0";"4";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"26";"7";"19";"0";"694";"127";"567"
"9f62-6b71-896a-7c3b-3e6a-d3dc-9c15-9c81";"120903";"30";"12";"wieś";"stały";"Zespół Placówek Oświatowych w Jasienicy, Jasienica 48, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1230";"1349";"471";"759";"0";"7";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"26";"7";"19";"0";"733";"208";"525"
"c7b9-df3d-07a9-802b-60d9-16fc-5cab-9c1f";"120903";"30";"13";"wieś";"stały";"Szkoła Podstawowa w Jaworniku, Jawornik 293, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"2196";"2443";"548";"1648";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1649";"0";"0";"1649";"53";"24";"29";"0";"1596";"489";"1107"
"8ca7-e6fe-12c3-4b4e-047a-6b2e-4062-c69a";"120903";"30";"14";"wieś";"stały";"Szkoła Podstawowa w Borzęcie, Borzęta 368, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1210";"1335";"416";"794";"0";"1";"0";"0";"0";"0";"0";"0";"0";"794";"0";"0";"794";"36";"9";"27";"0";"758";"245";"513"
"1333-59e5-0836-f1c0-e86e-f6af-01e7-d77f";"120903";"30";"15";"wieś";"stały";"Zespół Placówek Oświatowych w Głogoczowie, Głogoczów 297, 32-444 Głogoczów";"gm. Myślenice";"myślenicki";"małopolskie";"2135";"2355";"623";"1512";"1";"5";"1";"1";"0";"0";"0";"0";"1";"1513";"1";"0";"1513";"43";"13";"30";"0";"1470";"515";"955"
"b5f0-7f44-6c26-76a7-7ff8-a966-182c-e072";"120903";"30";"16";"wieś";"stały";"Szkoła Podstawowa w Krzyszkowicach, Krzyszkowice 368, 32-445 Krzyszkowice";"gm. Myślenice";"myślenicki";"małopolskie";"1713";"1914";"425";"1288";"0";"6";"1";"1";"0";"0";"0";"0";"1";"1289";"1";"0";"1289";"33";"10";"23";"0";"1256";"342";"914"
"1ecb-1c67-ea60-cd06-e759-6ac0-def7-71ed";"120903";"30";"17";"wieś";"stały";"Szkoła Podstawowa w Polance, Polanka 71, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"779";"874";"239";"540";"0";"0";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"16";"1";"15";"0";"524";"183";"341"
"dde0-730c-6f61-f9eb-7ec6-a5b3-ffa6-d8e6";"120903";"30";"18";"wieś";"stały";"Szkoła Podstawowa w Zawadzie, Zawada 24, 32-445 Krzyszkowice";"gm. Myślenice";"myślenicki";"małopolskie";"889";"992";"190";"699";"0";"2";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"10";"1";"9";"0";"689";"171";"518"
"6367-b0b7-cb49-579c-d77b-2fbc-2fdc-c88b";"120903";"30";"19";"wieś";"stały";"Zespół Placówek Oświatowych w Drogini, Droginia 20, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"859";"957";"231";"628";"0";"2";"1";"1";"0";"0";"0";"0";"1";"629";"1";"0";"629";"17";"3";"14";"0";"612";"173";"439"
"aa1d-2aa3-2c76-b81d-2f1a-aa6f-d92e-5ec6";"120903";"30";"20";"wieś";"stały";"Zespół Placówek Oświatowych w Osieczanach, Osieczany 100, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"1328";"1469";"359";"969";"1";"1";"1";"1";"0";"0";"0";"0";"1";"970";"1";"0";"970";"37";"7";"30";"0";"933";"345";"588"
"2c16-8258-437f-5766-5034-5c88-076e-4ea3";"120903";"30";"21";"wieś";"stały";"Szkoła Podstawowa w Porębie, Poręba 16, 32-425 Trzemeśnia";"gm. Myślenice";"myślenicki";"małopolskie";"850";"943";"275";"575";"1";"6";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"12";"2";"10";"0";"563";"168";"395"
"3515-bce3-c04b-4049-f3e9-1cd0-6dbf-8a40";"120903";"30";"22";"wieś";"stały";"Szkoła Podstawowa w Trzemeśni, Trzemeśnia 250, 32-425 Trzemeśnia";"gm. Myślenice";"myślenicki";"małopolskie";"1632";"1794";"496";"1136";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1136";"0";"0";"1136";"32";"4";"28";"0";"1104";"334";"770"
"30c4-78c7-918e-cdef-628c-1d45-0597-c4ef";"120903";"30";"23";"wieś";"stały";"Szkoła Podstawowa w Zasani, Zasań 102, 32-425 Trzemeśnia";"gm. Myślenice";"myślenicki";"małopolskie";"599";"667";"206";"393";"0";"1";"0";"0";"0";"0";"0";"0";"0";"393";"0";"0";"393";"18";"5";"13";"0";"375";"96";"279"
"a9db-3e66-71b6-4206-99f0-5392-53c8-6140";"120903";"30";"24";"wieś";"stały";"Świetlica Wiejska w Łękach, Łęki 259, 32-425 Trzemeśnia";"gm. Myślenice";"myślenicki";"małopolskie";"751";"836";"222";"529";"0";"2";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"14";"0";"14";"0";"515";"140";"375"
"de41-8912-3eb4-9152-3e05-db0e-9ac2-d746";"120903";"30";"25";"miasto";"stały";"Szkoła Podstawowa nr 6 w Myślenicach, ul. Chełm 67, Chełm Chełm 67, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"230";"258";"46";"184";"0";"1";"0";"0";"0";"0";"0";"0";"0";"184";"0";"0";"184";"1";"0";"1";"0";"183";"12";"171"
"fe02-c8b4-a095-3e42-ca5a-6c87-b2ef-6b32";"120903";"30";"26";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Myślenicach, ul. Szpitalna 2, 32-400 Myślenice";"gm. Myślenice";"myślenicki";"małopolskie";"110";"56";"99";"11";"0";"2";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"11";"0";"0";"0";"0";"11";"6";"5"
