"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jarosław Wojciech OBREMSKI";"Dariusz Paweł STASIAK";"Bogdan Andrzej ZDROJEWSKI";"Liczba obwodów"
"022006";"gmina miejsko-wiejska";"gm. Żmigród";"trzebnicki";"dolnośląskie";10537;11556;4431;6106;5;20;0;0;0;0;0;0;0;6106;0;0;6106;124;14;110;0;5982;2530;772;2680;10
"022201";"gmina miejsko-wiejska";"gm. Brzeg Dolny";"wołowski";"dolnośląskie";11609;12708;4181;7428;8;32;0;0;0;0;0;0;0;7427;0;1;7426;120;36;84;0;7306;2774;854;3678;11
"022202";"gmina wiejska";"gm. Wińsko";"wołowski";"dolnośląskie";6095;6752;2627;3468;8;14;0;0;0;0;0;0;0;3465;0;0;3465;64;14;50;0;3401;2111;388;902;6
"022203";"gmina miejsko-wiejska";"gm. Wołów";"wołowski";"dolnośląskie";17452;18796;7132;10320;10;55;0;0;0;0;0;0;0;10318;0;0;10318;200;35;165;0;10118;4544;1221;4353;16
"022301";"gmina wiejska";"gm. Czernica";"wrocławski";"dolnośląskie";10897;12096;2008;8885;5;78;1;1;0;0;0;0;1;8888;1;1;8887;114;36;78;0;8773;2921;977;4875;7
"022302";"gmina wiejska";"gm. Długołęka";"wrocławski";"dolnośląskie";22296;25356;4166;18125;13;147;1;1;0;0;0;0;1;18117;1;1;18116;266;86;180;0;17850;6445;2224;9181;17
"022303";"gmina wiejska";"gm. Jordanów Śląski";"wrocławski";"dolnośląskie";2299;2530;780;1519;1;12;0;0;0;0;0;0;0;1519;0;1;1518;15;3;12;0;1503;800;184;519;2
"022304";"gmina miejsko-wiejska";"gm. Kąty Wrocławskie";"wrocławski";"dolnośląskie";16736;18404;4409;12323;6;101;1;1;0;0;0;0;1;12323;1;3;12320;188;80;108;0;12132;4510;1533;6089;12
"022305";"gmina wiejska";"gm. Kobierzyce";"wrocławski";"dolnośląskie";14198;15369;3520;10676;2;127;0;0;0;0;0;0;0;10676;0;0;10676;149;49;100;0;10527;3247;1270;6010;13
"022306";"gmina wiejska";"gm. Mietków";"wrocławski";"dolnośląskie";2873;3112;1026;1847;1;7;0;0;0;0;0;0;0;1847;0;0;1847;22;5;17;0;1825;837;260;728;4
"022307";"gmina miejsko-wiejska";"gm. Sobótka";"wrocławski";"dolnośląskie";9200;10212;3217;5982;5;44;0;0;0;0;0;0;0;5982;0;0;5982;99;41;58;0;5883;2499;710;2674;6
"022308";"gmina miejsko-wiejska";"gm. Siechnice";"wrocławski";"dolnośląskie";15144;16829;3066;12078;2;103;0;0;0;0;0;0;0;12078;0;0;12078;167;52;115;0;11911;3969;1566;6376;17
"022309";"gmina wiejska";"gm. Żórawina";"wrocławski";"dolnośląskie";7803;8552;2265;5538;6;28;0;0;0;0;0;0;0;5538;0;0;5538;85;20;65;0;5453;2042;696;2715;7
