"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Sergiusz KMIECIK";"Barbara Grażyna ZDROJEWSKA"
"65df-92e7-6be6-38a8-cb47-fc22-19d8-f4a0";"026401";"8";"268";"miasto";"stały";"Szkoła Podstawowa nr 98, ul. Sycowska 22a, 51-319 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1649";"535";"965";"0";"10";"0";"0";"0";"0";"0";"0";"0";"965";"0";"0";"965";"39";"6";"33";"0";"926";"441";"485"
"c67c-7638-a7c5-3a15-d74b-6b90-2334-8a38";"026401";"8";"269";"miasto";"stały";"Szkoła Podstawowa nr 98, ul. Sycowska 22a, 51-319 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1437";"313";"987";"2";"16";"0";"0";"0";"0";"0";"0";"0";"987";"0";"0";"987";"24";"12";"12";"0";"963";"456";"507"
"35f1-ff86-f9c9-fb4d-9da0-df23-dc91-fda1";"026401";"8";"270";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. Gorlicka 25, 51-314 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2103";"2448";"236";"1867";"0";"41";"0";"0";"0";"0";"0";"0";"0";"1867";"0";"0";"1867";"58";"21";"37";"0";"1809";"573";"1236"
"099c-6251-2ddc-bf0a-2734-3fb7-3864-4daa";"026401";"8";"271";"miasto";"stały";"Szkoła Podstawowa nr 44, ul. Wilanowska 31, 51-206 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2107";"2258";"543";"1564";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1564";"0";"0";"1564";"35";"10";"25";"0";"1529";"634";"895"
"485c-9de8-b480-f4fb-231b-853d-fdb2-c203";"026401";"8";"272";"miasto";"stały";"Szkoła Podstawowa nr 44, ul. Wilanowska 31, 51-206 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1795";"2025";"291";"1504";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1504";"0";"0";"1504";"39";"10";"29";"0";"1465";"534";"931"
"70e9-7454-10f4-bc74-38bc-3cb1-4552-0ae6";"026401";"8";"273";"miasto";"stały";"Fundacja PRZYJAZNY DOM im. Stanisława Jabłonki, ul. gen. Leopolda Okulickiego 2, 51-216 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1729";"467";"1133";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"32";"8";"24";"0";"1100";"511";"589"
"e5a3-5f69-cf2a-e6dd-a73b-5251-3c5e-6d21";"026401";"8";"274";"miasto";"stały";"Publiczna Szkoła i Przedszkole MARCO POLO, ul. Zatorska 11, 51-215 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1991";"2320";"217";"1774";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1774";"0";"0";"1774";"51";"16";"35";"0";"1723";"623";"1100"
"1c39-f528-f4b0-dc92-4a13-801d-bf73-e5d3";"026401";"8";"275";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 23, ul. Przedwiośnie 47, 51-211 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1596";"1775";"297";"1299";"0";"25";"0";"0";"0";"0";"0";"0";"0";"1299";"0";"0";"1299";"21";"7";"14";"0";"1278";"609";"669"
"d06c-e2df-7ea4-1c4d-1174-a3a8-2f1f-0355";"026401";"8";"276";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4 (Szkoła Podstawowa nr 40), ul. Sołtysowicka 34, 51-168 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1100";"1251";"228";"872";"0";"23";"1";"1";"0";"0";"0";"0";"1";"872";"1";"0";"872";"20";"6";"14";"0";"852";"311";"541"
"477f-d165-fa31-a1ec-1939-815d-c33f-0a3e";"026401";"8";"277";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4 (Szkoła Podstawowa nr 40), ul. Sołtysowicka 34, 51-168 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1907";"2181";"175";"1732";"0";"37";"0";"0";"0";"0";"0";"0";"0";"1728";"0";"0";"1728";"55";"19";"36";"0";"1673";"528";"1145"
"e7f6-156a-eb27-8b97-b0aa-367a-95a5-945d";"026401";"8";"278";"miasto";"stały";"Ośrodek Opiekuńczo-Adaptacyjny ""Pensjonat dla Osób Starszych"", ul. Henryka Michała Kamieńskiego 190, 51-124 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2000";"2366";"258";"1742";"0";"28";"0";"0";"0";"0";"0";"0";"0";"1742";"0";"0";"1742";"72";"25";"47";"0";"1670";"583";"1087"
"a7c3-c24b-7804-2d8f-0d55-5cd4-7334-a373";"026401";"8";"279";"miasto";"stały";"Świetlica Osiedlowa Rady Osiedla Polanowice-Poświętne-Ligota, ul. Henryka Michała Kamieńskiego 256, 51-180 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1308";"1555";"176";"1132";"0";"20";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"32";"12";"20";"0";"1100";"264";"836"
"b14a-a370-600b-bfe8-cf13-0079-fbf4-b983";"026401";"8";"280";"miasto";"stały";"MCUS Dom Pomocy Społecznej, ul. Kaletnicza 8, 51-180 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1302";"301";"899";"1";"14";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"21";"5";"16";"0";"878";"337";"541"
"2fc7-534a-b059-b7f8-9a20-ff56-5b82-e790";"026401";"8";"281";"miasto";"stały";"Rada Osiedla Świniary, ul. Pęgowska 14, 51-180 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2100";"2556";"286";"1814";"0";"25";"0";"0";"0";"0";"0";"0";"0";"1814";"0";"0";"1814";"74";"49";"25";"0";"1740";"625";"1115"
"9c9e-d62a-a6eb-d1ac-4e8a-d413-aaac-0a51";"026401";"8";"282";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 5, ul. Osobowicka 127, 51-004 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"4000";"2225";"2426";"1574";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1574";"0";"92";"1482";"47";"12";"35";"0";"1435";"455";"980"
"47f8-d22f-23bf-7f48-38e3-e164-425d-b968";"026401";"8";"288";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej MSWiA we Wrocławiu, ul. Ołbińska 32, 50-233 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"40";"71";"13";"27";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"27";"1";"0";"1";"0";"26";"10";"16"
"8d50-8798-76cd-ff79-769e-a78d-8d35-88d9";"026401";"8";"289";"miasto";"zakład leczniczy";"""Dolnośląskie Centrum Zdrowia Psychicznego"" sp. z o. o.-budynek A, Wybrzeże J. Conrada-Korzeniowskiego 18, 50-226 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"240";"192";"177";"63";"0";"2";"0";"0";"0";"0";"0";"0";"0";"63";"0";"0";"63";"5";"0";"5";"0";"58";"23";"35"
"22ca-eff0-ac1f-a536-471f-00ff-cf7d-70fb";"026401";"8";"290";"miasto";"zakład karny";"Zakład Karny Nr 1, ul. Kleczkowska 35, 50-227 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1237";"797";"703";"0";"0";"0";"0";"0";"0";"0";"0";"0";"703";"0";"1";"702";"30";"1";"29";"0";"672";"109";"563"
"cfa9-f408-8ba7-ae9e-b1cc-c09b-ec6d-342e";"026401";"8";"291";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Maryi Nieustającej Pomocy, ul. Grunwaldzka 104, 50-357 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"70";"64";"32";"38";"0";"3";"0";"0";"0";"0";"0";"0";"0";"38";"0";"0";"38";"3";"0";"3";"0";"35";"25";"10"
"f9fb-7580-948a-4691-224c-4093-1ddc-1fa6";"026401";"8";"301";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Mączna 3, 54-131 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"160";"133";"107";"53";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53";"0";"0";"53";"0";"0";"0";"0";"53";"37";"16"
"ba62-e9bc-cf3e-84be-be5b-ce23-16ad-88a8";"026401";"8";"302";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Miłosierny Samarytanin"", ul. ks. Marcina Lutra 2 - 8, 54-239 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"50";"47";"28";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"22";"0";"0";"0";"0";"22";"7";"15"
"0ecb-8b98-2170-7aa6-56ec-0dc0-1ed7-03f1";"026401";"8";"303";"miasto";"zakład leczniczy";"Dolnośląski Szpital Specjalistyczny im. T. Marciniaka-Centrum Medycyny Ratunkowej, ul. Generała Augusta Emila Fieldorfa 2, 54-049 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"500";"464";"361";"139";"0";"6";"0";"0";"0";"0";"0";"0";"0";"139";"0";"0";"139";"4";"1";"3";"0";"135";"55";"80"
"c244-ed72-1b0b-90f0-bd5b-27c3-c429-77fb";"026401";"8";"304";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Rędzińska 66/68, 54-106 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"140";"90";"94";"46";"0";"1";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"46";"3";"2";"1";"0";"43";"31";"12"
"3193-4e99-cba7-1d8e-c21d-9506-edc2-2182";"026401";"8";"305";"miasto";"zakład leczniczy";"Wojewódzki Szpital Specjalistyczny im. J. Gromkowskiego-budynek A2, ul. Koszarowa 5, 51-149 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"342";"291";"276";"66";"0";"24";"0";"0";"0";"0";"0";"0";"0";"66";"0";"0";"66";"2";"0";"2";"0";"64";"26";"38"
"3427-4f42-2c98-9445-deee-64c5-0ab9-29cf";"026401";"8";"306";"miasto";"zakład leczniczy";"Wojewódzki Szpital Specjalistyczny we Wrocławiu, ul. Kamieńskiego 73a, 51-124 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"250";"272";"135";"115";"0";"8";"0";"0";"0";"0";"0";"0";"0";"115";"0";"0";"115";"1";"0";"1";"0";"114";"44";"70"
"7a79-78ce-a8c2-8bf9-2987-db27-5d31-de9c";"026401";"8";"307";"miasto";"zakład leczniczy";"Dolnośląskie Centrum Chorób Serca im. prof. Zbigniewa Religi-Medinet Sp. z o. o., ul. Kamieńskiego 73a, 51-124 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"60";"45";"34";"26";"0";"2";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"1";"0";"1";"0";"25";"13";"12"
"b46e-9ce6-a96d-d78e-fad7-7e43-d9dd-90c0";"026401";"8";"308";"miasto";"zakład leczniczy";"Specjalistyczny Zakład Profilaktyczno-Leczniczy PROVITA sp. z o. o., ul. Bierutowska 63, 51-317 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"70";"56";"28";"42";"0";"3";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"1";"0";"1";"0";"41";"13";"28"
"68b7-c6fc-31a1-5aec-7362-6faa-5650-b9d5";"026401";"8";"309";"miasto";"zakład leczniczy";"Wojewódzki Szpital Specjalistyczny we Wrocławiu, ul. Poświęcka 8, 51-128 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"148";"75";"106";"42";"0";"2";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"2";"0";"2";"0";"40";"25";"15"
