"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Mieczysław Józef GOLBA";"Bartosz ROMOWICZ"
"cb76-ee93-8f37-d577-3f12-c109-2e94-5dee";"180108";"58";"8";"miasto";"stały";"Bieszczadzki Zespół Placówek Szkolno-Wychowawczych, W. Gombrowicza 37, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"760";"834";"373";"387";"0";"4";"0";"0";"0";"0";"0";"0";"0";"387";"0";"0";"387";"12";"5";"7";"0";"375";"199";"176"
"0dd1-465c-104d-2813-c914-ac61-1c8b-112b";"180108";"58";"9";"wieś";"stały";"Szkoła Podstawowa w Łobozewie Dolnym, Łobozew Dolny 61A, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"590";"657";"300";"290";"0";"15";"0";"0";"0";"0";"0";"0";"0";"290";"0";"0";"290";"0";"0";"0";"0";"290";"143";"147"
"1c24-29c7-6289-b531-0665-1e2d-1673-a4fd";"180108";"58";"10";"wieś";"stały";"Szkoła Podstawowa w Ustjanowej Górnej, Ustjanowa Górna 84, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"790";"892";"314";"476";"0";"23";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"15";"4";"11";"0";"461";"267";"194"
"639a-50cb-b2ee-fc1d-400b-3fbd-7658-bd59";"180108";"58";"11";"wieś";"stały";"Świetlica wiejska w Równi, Równia 51 B, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"480";"527";"210";"270";"0";"9";"0";"0";"0";"0";"0";"0";"0";"270";"0";"0";"270";"16";"9";"7";"0";"254";"151";"103"
"40ae-7559-132a-3578-3e39-942c-000c-b4a4";"180108";"58";"12";"wieś";"stały";"Świetlica wiejska w Bandrowie Narodowym, Bandrów Narodowy 52, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"320";"341";"172";"148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"148";"0";"0";"148";"5";"0";"5";"0";"143";"53";"90"
"2fa1-7304-c0a7-44b6-25c2-b825-7da0-74a0";"180108";"58";"13";"wieś";"stały";"Szkoła Podstawowa w Hoszowie, Hoszów 31, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"530";"582";"220";"310";"0";"14";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"14";"5";"9";"0";"296";"146";"150"
"4253-9a28-66b1-9427-5c8a-c3ee-106d-c615";"180108";"58";"14";"wieś";"stały";"Dom Pomocy Społecznej w Moczarach, Moczary 41, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"210";"215";"152";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"58";"4";"2";"2";"0";"54";"27";"27"
"88f0-6bf2-60b7-c25c-df7b-ab13-179b-a803";"180108";"58";"15";"wieś";"stały";"Świetlica w Brzegach Dolnych, Brzegi Dolne 46, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"310";"335";"132";"178";"0";"0";"0";"0";"0";"0";"0";"0";"0";"178";"0";"0";"178";"5";"2";"3";"0";"173";"92";"81"
"b1e9-774f-37e3-31cc-3482-e2b7-343f-15c8";"180108";"58";"16";"wieś";"stały";"Szkoła Podstawowa w Łodynie, Łodyna 41, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"430";"497";"192";"238";"0";"19";"0";"0";"0";"0";"0";"0";"0";"238";"0";"0";"238";"7";"3";"4";"0";"231";"81";"150"
"1431-e8c5-68e3-bb32-b3c1-f5c2-ad21-afa9";"180108";"58";"17";"wieś";"stały";"Świetlica wiejska w Krościenku, Krościenko 74, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"550";"604";"284";"266";"0";"4";"0";"0";"0";"0";"0";"0";"0";"266";"0";"0";"266";"7";"6";"1";"0";"259";"94";"165"
"818a-6c40-cc97-78ca-d3c1-e3e5-500e-7048";"180108";"58";"18";"wieś";"stały";"Budynek byłego Gimnazjum w Wojtkówce, Wojtkówka 26, 38-712 Wojtkowa";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"360";"396";"154";"206";"0";"2";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"6";"2";"4";"0";"200";"99";"101"
"2f38-1fd0-2d4d-097e-aff5-34fe-bd91-73e7";"180108";"58";"19";"wieś";"stały";"Szkoła Podstawowa w Wojtkowej, Wojtkowa 40, 38-712 Wojtkowa";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"460";"510";"211";"249";"1";"7";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"4";"0";"4";"0";"245";"100";"145"
"a9dc-c29a-a18d-71b1-e91f-8fbd-154d-43a4";"180108";"58";"20";"wieś";"stały";"Szkoła Podstawowa w Ropience, Ropienka 111, 38-711 Ropienka";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"800";"896";"326";"474";"0";"19";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"13";"4";"9";"0";"461";"213";"248"
"9ff4-3ee2-9264-2bdc-5307-3c15-6f44-267e";"180108";"58";"21";"wieś";"stały";"Świetlica w Brelikowie, Brelików 38, 38-711 Ropienka";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"230";"250";"110";"120";"0";"3";"0";"0";"0";"0";"0";"0";"0";"120";"0";"0";"120";"2";"0";"2";"0";"118";"54";"64"
"2c38-93fb-f72c-011a-a583-4625-eef3-290b";"180108";"58";"22";"miasto";"zakład leczniczy";"Szpital Ogólny SP ZOZ w Ustrzykach Dolnych, ul. 29 Listopada 57, 38-700 Ustrzyki Dolne";"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";"100";"80";"70";"30";"0";"2";"0";"0";"0";"0";"0";"0";"0";"30";"0";"0";"30";"0";"0";"0";"0";"30";"20";"10"
"74b8-7422-f7a5-0318-1c1c-6012-4ad7-f99c";"180401";"58";"1";"miasto";"stały";"Szkoła Podstawowa Nr 6, ul. Spytka z Jarosławia 2, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1270";"1395";"607";"663";"2";"17";"0";"0";"0";"0";"0";"0";"0";"663";"0";"0";"663";"22";"5";"17";"0";"641";"404";"237"
"c33d-e510-4ce0-d9c4-123d-13a1-a188-637e";"180401";"58";"2";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. Ignacego Kraszewskiego 39, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1280";"1360";"469";"811";"5";"11";"0";"0";"0";"0";"0";"0";"0";"810";"0";"0";"810";"28";"7";"21";"0";"782";"468";"314"
"c766-b3c6-6959-c548-9bd2-b77d-3968-0339";"180401";"58";"3";"miasto";"stały";"Przedsiębiorstwo Wodociągów i Kanalizacji Sp. z o. o., ul. Hetmana Jana Tarnowskiego 28, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1310";"1396";"578";"732";"1";"1";"0";"0";"0";"0";"0";"0";"0";"732";"0";"0";"732";"19";"13";"6";"0";"713";"435";"278"
"5eb2-aebf-0587-6ed2-2a0b-be62-06b3-bdd2";"180401";"58";"4";"miasto";"stały";"Miejski Zakład Komunikacji Sp. z o. o., ul. Zamkowa 1, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1230";"1320";"465";"765";"1";"2";"0";"0";"0";"0";"0";"0";"0";"764";"0";"0";"764";"26";"17";"9";"0";"738";"468";"270"
"0522-e255-3682-3c79-119f-6821-2350-f646";"180401";"58";"5";"miasto";"stały";"Zespół Szkół Budowlanych i Ogólnokształcących, ul. Józefa Poniatowskiego 23, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1258";"1337";"444";"814";"5";"6";"0";"0";"0";"0";"0";"0";"0";"814";"0";"0";"814";"17";"4";"13";"0";"797";"472";"325"
"33f5-d812-d295-7625-d8c6-65e1-0799-e5d1";"180401";"58";"6";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. 3 Maja 30, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1199";"1284";"528";"671";"2";"1";"0";"0";"0";"0";"0";"0";"0";"671";"0";"0";"671";"18";"3";"15";"0";"653";"367";"286"
"75b2-227e-59f2-401f-43cd-bd85-cf7c-a5cf";"180401";"58";"7";"miasto";"stały";"Szkoła Podstawowa Nr 10, os. Słoneczne 7, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1328";"1430";"508";"820";"2";"8";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"16";"4";"12";"0";"804";"477";"327"
"470b-8679-0369-7c69-afa7-543f-868d-daf7";"180401";"58";"8";"miasto";"stały";"Zespół Placówek Oświatowo-Wychowawczych, ul. Władysława Reymonta 1, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1090";"1161";"386";"704";"0";"3";"1";"1";"0";"0";"0";"0";"1";"705";"1";"0";"705";"25";"8";"17";"0";"680";"377";"303"
"c1f8-1691-1971-c915-9cf9-055c-58b0-fd87";"180401";"58";"9";"miasto";"stały";"Miejskie Przedszkole Nr 8, os. Słoneczne 6, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1100";"1173";"372";"728";"1";"5";"0";"0";"0";"0";"0";"0";"0";"727";"0";"0";"727";"18";"2";"16";"0";"709";"400";"309"
"a806-9ee0-dad4-3d6a-3077-c34e-ca6f-c995";"180401";"58";"10";"miasto";"stały";"Miejskie Przedszkole Nr 10, Osiedle Kombatantów 22, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1150";"1218";"380";"770";"1";"2";"0";"0";"0";"0";"0";"0";"0";"770";"0";"0";"770";"15";"4";"11";"0";"755";"427";"328"
"e9ed-f54c-15a0-ad5a-83f9-c2e5-ca01-2255";"180401";"58";"11";"miasto";"stały";"Miejskie Przedszkole Nr 10, Osiedle Kombatantów 22, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"920";"983";"376";"544";"6";"3";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"8";"2";"6";"0";"536";"343";"193"
"4bf4-31f2-984d-4363-90a0-579f-8c16-68dc";"180401";"58";"12";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Romualda Traugutta 15, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1310";"1407";"409";"901";"1";"5";"0";"0";"0";"0";"0";"0";"0";"901";"0";"0";"901";"29";"12";"17";"0";"872";"504";"368"
"72d4-531e-037f-f5a0-fff7-4096-6712-f17c";"180401";"58";"13";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Romualda Traugutta 15, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1320";"1387";"413";"907";"0";"2";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"38";"12";"26";"0";"869";"451";"418"
"fd48-79ee-a5ac-db21-9148-4b4b-5790-9e25";"180401";"58";"14";"miasto";"stały";"Żłobek Miejski ""Radosny zakątek"", ul. Ignacego Kraszewskiego 1, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1620";"1734";"701";"919";"1";"7";"0";"0";"0";"0";"0";"0";"0";"919";"0";"0";"919";"30";"14";"16";"0";"889";"484";"405"
"bdca-6cb8-c70f-fb3f-9a7c-4086-e50a-4fb1";"180401";"58";"15";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Jana Pawła II 26, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1680";"1808";"631";"1049";"10";"6";"0";"0";"0";"0";"0";"0";"0";"1049";"0";"0";"1049";"31";"9";"22";"0";"1018";"566";"452"
"df1b-f4f8-cd8b-7f54-e79a-1d32-bd9a-3edc";"180401";"58";"16";"miasto";"stały";"Ośrodek Rehabilitacyjno-Edukacyjno-Wychowawczy, Osiedle im. Wincentego Witosa 18, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1409";"1507";"509";"900";"1";"4";"0";"0";"0";"0";"0";"0";"0";"898";"0";"0";"898";"19";"6";"13";"0";"879";"483";"396"
"a0a7-520e-308f-7483-bca6-c52f-6ce3-1f85";"180401";"58";"17";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Żeromskiego 4, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1420";"1546";"485";"935";"3";"7";"0";"0";"0";"0";"0";"0";"0";"935";"0";"0";"935";"28";"8";"20";"0";"907";"508";"399"
"193a-5ff3-af84-2c81-5c50-3385-5e43-aaf2";"180401";"58";"18";"miasto";"stały";"Szkoła Podstawowa Nr 11, ul. Ignacego Kraszewskiego 39, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1360";"1379";"461";"899";"0";"8";"0";"0";"0";"0";"0";"0";"0";"899";"0";"0";"899";"17";"5";"12";"0";"882";"514";"368"
"81e8-d40e-767f-49df-5d1c-1adf-9fd5-3051";"180401";"58";"19";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Jana Pawła II 30, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1440";"1539";"531";"909";"4";"5";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"21";"10";"11";"0";"888";"548";"340"
"60f8-2f65-bf4a-cb57-2b69-991d-6e70-da28";"180401";"58";"20";"miasto";"stały";"Miejskie Przedszkole Nr 12, Aleja im. pułkownika Wojciecha Szczepańskiego 2, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1110";"1186";"323";"787";"0";"3";"0";"0";"0";"0";"0";"0";"0";"787";"0";"0";"787";"32";"10";"22";"0";"755";"404";"351"
"afec-efc6-e7b3-0fe3-ee00-ce34-f30c-e354";"180401";"58";"21";"miasto";"stały";"Dzienny Dom ""Senior +"", ul. Dolnoleżajska 16, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"1718";"1894";"568";"1150";"2";"21";"0";"0";"0";"0";"0";"0";"0";"1150";"0";"0";"1150";"35";"7";"28";"0";"1115";"819";"296"
"685f-8c97-bfa7-6a1c-3106-65cd-89a5-5c39";"180401";"58";"22";"miasto";"zakład leczniczy";"Centrum Opieki Medycznej w Jarosławiu, ul. 3 Maja 70, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"180";"157";"143";"37";"0";"3";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"3";"0";"3";"0";"34";"25";"9"
"e0c0-6be5-2af9-7914-45c3-6a5c-1a6a-f3a7";"180401";"58";"23";"miasto";"zakład leczniczy";"Specjalistyczny Psychiatryczny Zakład Opieki Zdrowotnej w Jarosławiu, ul. Tadeusza Kościuszki 18, 37-500 Jarosław";"m. Jarosław";"jarosławski";"podkarpackie";"400";"409";"231";"169";"0";"0";"0";"0";"0";"0";"0";"0";"0";"169";"0";"0";"169";"2";"0";"2";"0";"167";"124";"43"
"88bf-7785-b1b2-8ee3-5fa3-cb81-ab57-08f6";"180402";"58";"1";"miasto";"stały";"Szkoła Podstawowa im. Bohaterów Września 1939r., ul. Mickiewicza 4, 37-550 Radymno";"m. Radymno";"jarosławski";"podkarpackie";"1390";"1556";"528";"862";"2";"5";"0";"0";"0";"0";"0";"0";"0";"862";"0";"0";"862";"24";"14";"10";"0";"838";"560";"278"
"3a65-95de-cc9e-bc1c-ff14-6fab-c587-29b8";"180402";"58";"2";"miasto";"stały";"Zespół Szkół Ogólnokształcących, Zawodowych i Rolniczych, ul. Złota Góra 13, 37-550 Radymno";"m. Radymno";"jarosławski";"podkarpackie";"780";"834";"308";"472";"2";"2";"0";"0";"0";"0";"0";"0";"0";"472";"0";"0";"472";"12";"1";"11";"0";"460";"298";"162"
"cd4c-485b-7f9c-19bc-91ab-be77-45e9-08b9";"180402";"58";"3";"miasto";"stały";"Przedszkole Samorządowe, ul. Kazimierza Wielkiego 4, 37-550 Radymno";"m. Radymno";"jarosławski";"podkarpackie";"1840";"1974";"698";"1142";"2";"2";"0";"0";"0";"0";"0";"0";"0";"1141";"0";"0";"1141";"41";"15";"26";"0";"1100";"783";"317"
"4f71-f696-2475-a738-8f21-902e-a93e-1267";"180403";"58";"1";"wieś";"stały";"Szkoła Podstawowa w Chłopicach, Chłopice 192A, 37-561 Chłopice";"gm. Chłopice";"jarosławski";"podkarpackie";"730";"784";"249";"481";"3";"0";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"13";"3";"10";"0";"468";"400";"68"
"9547-75a4-bf40-3c05-6f38-1d7b-73d9-676d";"180403";"58";"2";"wieś";"stały";"Świetlica Wiejska, Łowce-Bojanówka 102, 37-554 Łowce";"gm. Chłopice";"jarosławski";"podkarpackie";"1120";"1224";"463";"657";"3";"1";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"14";"3";"11";"0";"643";"487";"156"
"d9ba-b218-2efb-1ba3-14ca-bb6d-a193-e81f";"180403";"58";"3";"wieś";"stały";"Świetlica Wiejska, Dobkowice 185A, 37-554 Łowce";"gm. Chłopice";"jarosławski";"podkarpackie";"630";"684";"246";"384";"1";"1";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"16";"3";"13";"0";"368";"331";"37"
"1a3b-89bf-e924-287b-4cb3-1e2a-fa6b-e807";"180403";"58";"4";"wieś";"stały";"Świetlica Wiejska, Boratyn 172, 37-561 Chłopice";"gm. Chłopice";"jarosławski";"podkarpackie";"660";"726";"237";"423";"1";"3";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"10";"0";"10";"0";"413";"310";"103"
"a4ef-4b04-7abc-0522-f417-2789-1b53-cb54";"180403";"58";"5";"wieś";"stały";"Świetlica Wiejska Jankowice, Jankowice 176, 37-561 Chłopice";"gm. Chłopice";"jarosławski";"podkarpackie";"580";"638";"196";"384";"1";"1";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"6";"4";"2";"0";"378";"303";"75"
"e8df-61db-4451-c0b8-2d40-4822-69b8-18f0";"180403";"58";"6";"wieś";"stały";"Świetlica Wiejska, Zamiechów 111, 37-554 Łowce";"gm. Chłopice";"jarosławski";"podkarpackie";"410";"449";"192";"218";"0";"1";"0";"0";"0";"0";"0";"0";"0";"218";"0";"0";"218";"6";"1";"5";"0";"212";"167";"45"
"df54-01f1-9968-4e6c-8770-c343-3bbe-e45f";"180404";"58";"1";"wieś";"stały";"Świetlica w Koniaczowie, Koniaczów 47, 37-500 Jarosław";"gm. Jarosław";"jarosławski";"podkarpackie";"500";"555";"138";"362";"1";"1";"0";"0";"0";"0";"0";"0";"0";"362";"0";"0";"362";"8";"6";"2";"0";"354";"231";"123"
