"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marek Stefan BOROWSKI";"Cezary Andrzej JURKIEWICZ"
"9139-4331-bbac-a05e-5d5a-72f4-5654-041a";"146507";"42";"421";"miasto";"stały";"Szkoła Podstawowa nr 215, Praga-Południe ul. Kwatery Głównej 13, 04-330 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1221";"1444";"57";"1164";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1164";"0";"0";"1164";"29";"13";"16";"0";"1135";"815";"320"
"c1a0-d6bd-a37f-7087-c69c-9282-7f95-a874";"146507";"42";"422";"miasto";"stały";"Szkoła Podstawowa nr 215, Praga-Południe ul. Kwatery Głównej 13, 04-309 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1460";"1640";"207";"1253";"2";"31";"0";"0";"0";"0";"0";"0";"0";"1251";"0";"0";"1251";"27";"4";"23";"0";"1224";"879";"345"
"580c-4d88-7b39-2d13-bcd7-72c9-79cb-3da4";"146507";"42";"423";"miasto";"stały";"XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, Praga-Południe ul. Naddnieprzańska 2/4, 04-305 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1909";"2197";"183";"1726";"0";"16";"0";"0";"0";"0";"0";"0";"0";"1726";"0";"0";"1726";"62";"13";"49";"0";"1664";"1095";"569"
"4869-92a5-6315-90f7-3a59-fb45-8a8d-eb52";"146507";"42";"424";"miasto";"stały";"Przedszkole nr 179, Praga-Południe ul. Jarocińska 12/14, 04-294 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1602";"1792";"204";"1398";"0";"16";"1";"1";"0";"0";"0";"0";"1";"1399";"1";"0";"1399";"30";"9";"21";"0";"1369";"858";"511"
"a25f-72f9-e1a1-2b5e-c459-0286-712b-b6d0";"146507";"42";"425";"miasto";"stały";"Szkoła Podstawowa nr 163, Praga-Południe ul. Tarnowiecka 4, 04-294 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1849";"2075";"279";"1570";"1";"23";"1";"1";"0";"0";"0";"0";"1";"1572";"1";"0";"1572";"47";"6";"41";"0";"1525";"944";"581"
"85d8-e376-674b-e692-1502-e6d4-ecdb-0d5d";"146507";"42";"426";"miasto";"stały";"Przedszkole nr 177, Praga-Południe ul. Tarnowiecka 4, 04-205 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1305";"1529";"153";"1152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1152";"0";"0";"1152";"27";"8";"19";"0";"1125";"698";"427"
"f779-37ca-c043-c0a3-e58c-641d-0e3f-a473";"146507";"42";"427";"miasto";"stały";"Szkoła Podstawowa nr 163, Praga-Południe ul. Osiecka 28/32, 04-171 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1400";"1578";"388";"1012";"1";"34";"0";"0";"0";"0";"0";"0";"0";"1012";"0";"0";"1012";"41";"8";"33";"0";"971";"591";"380"
"d0c0-a5c5-8ef8-80a7-1d69-20f4-55f9-2096";"146507";"42";"428";"miasto";"stały";"Zespół Szkół Spożywczo-Gastronomicznych, Praga-Południe ul. Komorska 17/23, 04-174 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"2529";"2710";"425";"2104";"2";"19";"0";"0";"0";"0";"0";"0";"0";"2109";"0";"9";"2100";"57";"18";"39";"0";"2043";"1270";"773"
"5caf-3439-2fec-0adc-a2d5-ef56-a3a9-b5ad";"146507";"42";"429";"miasto";"stały";"Szkoła Podstawowa nr 163, Praga-Południe ul. Osiecka 28/32, 04-174 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1781";"2035";"249";"1532";"0";"24";"1";"1";"0";"0";"0";"0";"1";"1531";"1";"0";"1531";"32";"6";"26";"0";"1499";"1055";"444"
"c00c-ee76-2e87-13a7-ecd0-a02b-7458-b477";"146507";"42";"430";"miasto";"stały";"Zespół Szkół Spożywczo-Gastronomicznych, Praga-Południe ul. Komorska 17/23, 04-173 Warszawa";"Praga-Południe";"Warszawa";"mazowieckie";"1365";"1588";"168";"1197";"3";"17";"2";"2";"1";"0";"0";"0";"1";"1194";"1";"4";"1190";"41";"10";"31";"0";"1149";"782";"367"
