"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zbigniew ADAMCZYK";"Ryszard Jakub BOBER";"Andrzej Tadeusz MIODUSZEWSKI";"Marek NOWAK";"Robert ZADURA"
"fd24-26c3-a8ec-07ed-01a7-6deb-748a-8acd";"040202";"12";"6";"wieś";"dom pomocy społecznej";"Zakład Opiekuńczo-Leczniczy, Wichulec 14A, 87-327 Bobrowo";"gm. Bobrowo";"brodnicki";"kujawsko-pomorskie";"90";"83";"66";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"0";"0";"0";"0";"24";"4";"8";"9";"2";"1"
"887f-1547-e571-87c3-cbbb-707b-b717-8ed3";"040203";"12";"1";"wieś";"stały";"Świetlica Wiejska, Karbowo ul. Klubowa 25, 87-300 Brodnica";"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";"1391";"1540";"474";"917";"1";"5";"0";"0";"0";"0";"0";"0";"0";"917";"0";"0";"917";"10";"5";"5";"0";"907";"37";"500";"252";"61";"57"
"78c1-2bb9-173d-5393-857c-4fbe-b85b-8859";"040203";"12";"2";"wieś";"stały";"Szkoła Podstawowa, Cielęta 15, 87-300 Brodnica";"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";"871";"973";"365";"506";"0";"1";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"5";"3";"2";"0";"501";"26";"227";"176";"41";"31"
"3679-3dfa-aac1-19ea-b227-cf03-5ca1-bc1a";"040203";"12";"3";"wieś";"stały";"Sala Sportowa, Szczuka 34, 87-300 Brodnica";"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";"930";"1029";"394";"537";"0";"2";"0";"0";"0";"0";"0";"0";"0";"537";"0";"0";"537";"20";"6";"14";"0";"517";"27";"186";"237";"39";"28"
"9ad4-4eda-fa80-ae47-3908-ef44-c8c1-c4e4";"040203";"12";"4";"wieś";"stały";"Szkoła Podstawowa, Gortatowo 7, 87-300 Brodnica";"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";"351";"396";"161";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"189";"0";"0";"189";"1";"0";"1";"0";"188";"9";"74";"83";"9";"13"
"1a89-b2f2-fd97-7ecb-38b5-e345-cbc7-351d";"040203";"12";"5";"wieś";"stały";"Szkoła Podstawowa, Gorczenica 87, 87-300 Brodnica";"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";"941";"1063";"448";"493";"0";"2";"0";"0";"0";"0";"0";"0";"0";"493";"0";"0";"493";"12";"2";"10";"0";"481";"21";"257";"171";"13";"19"
"9658-81bd-82ed-4897-71dd-ba2d-0186-d79b";"040203";"12";"6";"wieś";"stały";"Szkoła Podstawowa, Szabda 59, 87-300 Brodnica";"gm. Brodnica";"brodnicki";"kujawsko-pomorskie";"1250";"1372";"541";"709";"0";"0";"0";"0";"0";"0";"0";"0";"0";"709";"0";"0";"709";"7";"6";"1";"0";"702";"35";"335";"241";"48";"43"
"f976-8f05-bac8-a8a5-b6d9-954e-6e03-e3d0";"040204";"12";"1";"wieś";"stały";"Szkoła Podstawowa, Brzozie 51b, 87-313 Brzozie";"gm. Brzozie";"brodnicki";"kujawsko-pomorskie";"750";"834";"255";"495";"0";"2";"0";"0";"0";"0";"0";"0";"0";"495";"0";"0";"495";"6";"1";"5";"0";"489";"29";"160";"254";"29";"17"
"4708-c2a9-ddc0-d063-11e7-1a7b-336a-33e1";"040204";"12";"2";"wieś";"stały";"Szkoła Podstawowa, Wielkie Leźno 1, 87-313 Brzozie";"gm. Brzozie";"brodnicki";"kujawsko-pomorskie";"538";"597";"246";"292";"1";"2";"0";"0";"0";"0";"0";"0";"0";"292";"0";"0";"292";"2";"1";"1";"0";"290";"13";"88";"156";"23";"10"
"d96c-539a-852b-fbe3-1603-e67a-de2d-e0c5";"040204";"12";"3";"wieś";"stały";"Szkoła Podstawowa, Jajkowo 11, 87-313 Brzozie";"gm. Brzozie";"brodnicki";"kujawsko-pomorskie";"579";"642";"290";"289";"0";"0";"0";"0";"0";"0";"0";"0";"0";"289";"0";"0";"289";"8";"1";"7";"0";"281";"22";"113";"116";"18";"12"
"6f13-ca8a-80e8-6081-6da6-765f-6188-ab2a";"040204";"12";"4";"wieś";"stały";"Budynek po byłym Gimnazjum, Brzozie 51c, 87-313 Brzozie";"gm. Brzozie";"brodnicki";"kujawsko-pomorskie";"759";"851";"233";"525";"0";"9";"0";"0";"0";"0";"0";"0";"0";"525";"0";"0";"525";"16";"0";"16";"0";"509";"28";"177";"271";"24";"9"
"1bca-6cda-0c76-443a-df37-ff1d-3d36-fc57";"040205";"12";"1";"miasto";"stały";"Zespół Szkół, ul. Chopina 1, 87-320 Górzno";"gm. Górzno";"brodnicki";"kujawsko-pomorskie";"1030";"1121";"386";"644";"0";"6";"0";"0";"0";"0";"0";"0";"0";"644";"0";"0";"644";"16";"4";"12";"0";"628";"27";"272";"234";"48";"47"
"b7ed-52d1-9bfd-e3fa-8c82-9efc-4764-db92";"040205";"12";"2";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Rynek 14a, 87-320 Górzno";"gm. Górzno";"brodnicki";"kujawsko-pomorskie";"391";"453";"157";"234";"0";"0";"0";"0";"0";"0";"0";"0";"0";"234";"0";"0";"234";"7";"0";"7";"0";"227";"15";"90";"102";"9";"11"
"1d80-42d6-d0a6-044c-b7c3-4ee1-7e98-1755";"040205";"12";"3";"wieś";"stały";"Niepubliczna Szkoła, Gołkowo 26, 87-320 Górzno";"gm. Górzno";"brodnicki";"kujawsko-pomorskie";"430";"467";"202";"228";"3";"0";"0";"0";"0";"0";"0";"0";"0";"228";"0";"0";"228";"1";"0";"1";"0";"227";"8";"80";"123";"10";"6"
"faa5-9c40-bb6f-2015-6add-434a-3f95-0119";"040205";"12";"4";"wieś";"stały";"Niepubliczna Szkoła Podstawowa, Miesiączkowo, 87-320 Górzno";"gm. Górzno";"brodnicki";"kujawsko-pomorskie";"390";"433";"177";"213";"0";"0";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"6";"1";"5";"0";"207";"10";"94";"87";"12";"4"
"42c8-2153-ba95-3ecd-a679-714a-388f-cb20";"040205";"12";"5";"wieś";"stały";"Zespół Szkół, ul. Chopina 1, 87-320 Górzno";"gm. Górzno";"brodnicki";"kujawsko-pomorskie";"602";"665";"256";"346";"1";"1";"0";"0";"0";"0";"0";"0";"0";"346";"0";"0";"346";"3";"1";"2";"0";"343";"17";"139";"154";"18";"15"
"b922-1d84-e2a0-bccc-eefa-d947-3e72-0a3b";"040206";"12";"1";"wieś";"stały";"Szkoła Podstawowa, Radoszki 64A, 87-321 Bartniczka";"gm. Bartniczka";"brodnicki";"kujawsko-pomorskie";"801";"899";"346";"455";"0";"4";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"7";"3";"4";"0";"448";"17";"162";"223";"27";"19"
"9228-0202-e265-20a1-fa43-2b13-82b8-922c";"040206";"12";"2";"wieś";"stały";"Świetlica Wiejska, ul. Długa 16A, 87-321 Bartniczka";"gm. Bartniczka";"brodnicki";"kujawsko-pomorskie";"911";"1018";"341";"570";"0";"7";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"9";"3";"6";"0";"561";"28";"219";"272";"28";"14"
"2e62-452a-5933-85a1-4a79-c1fd-f291-9320";"040206";"12";"3";"wieś";"stały";"Przedszkole Publiczne, Łaszewo 49, 87-321 Bartniczka";"gm. Bartniczka";"brodnicki";"kujawsko-pomorskie";"541";"603";"195";"346";"0";"1";"0";"0";"0";"0";"0";"0";"0";"346";"0";"0";"346";"7";"2";"5";"0";"339";"16";"122";"171";"16";"14"
"7180-0d2a-29b3-2be0-8877-3c56-c1d5-1901";"040206";"12";"4";"wieś";"stały";"Szkoła Podstawowa (była Szkoła Podstawowa w Nowych Świerczynach z siedzibą w Jastrzębiu), Jastrzębie 14, 87-321 Bartniczka";"gm. Bartniczka";"brodnicki";"kujawsko-pomorskie";"990";"1100";"476";"514";"0";"1";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"7";"0";"7";"0";"507";"32";"218";"218";"18";"21"
"cf7b-4f31-d4d8-5d17-3d15-35ed-bef0-6d41";"040207";"12";"1";"miasto";"stały";"Centrum Kultury i Sportu, ul. Rynek 9, 87-330 Jabłonowo Pomorskie";"gm. Jabłonowo Pomorskie";"brodnicki";"kujawsko-pomorskie";"1320";"1452";"530";"790";"1";"2";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"18";"5";"13";"0";"772";"37";"412";"254";"39";"30"
"1db8-9c5a-c4b7-eea7-6841-886d-245d-6708";"040207";"12";"2";"miasto";"stały";"Szkoła Podstawowa (świetlica), ul. Słoneczna 2, 87-330 Jabłonowo Pomorskie";"gm. Jabłonowo Pomorskie";"brodnicki";"kujawsko-pomorskie";"1319";"1505";"549";"770";"2";"8";"0";"0";"0";"0";"0";"0";"0";"770";"0";"0";"770";"15";"5";"10";"0";"755";"20";"469";"228";"24";"14"
"34c6-af06-61f8-8c74-6d11-b17b-c615-e22a";"040207";"12";"3";"wieś";"stały";"Szkoła Podstawowa (sala nr 7), ul. Słoneczna 2, 87-330 Jabłonowo Pomorskie";"gm. Jabłonowo Pomorskie";"brodnicki";"kujawsko-pomorskie";"1300";"1429";"629";"671";"0";"4";"0";"0";"0";"0";"0";"0";"0";"671";"0";"0";"671";"13";"3";"10";"0";"658";"27";"389";"210";"23";"9"
"54fc-b29f-e551-0dfc-0528-4661-2693-b386";"040207";"12";"4";"wieś";"stały";"Szkoła Podstawowa, Płowęż 16, 87-330 Jabłonowo Pomorskie";"gm. Jabłonowo Pomorskie";"brodnicki";"kujawsko-pomorskie";"520";"580";"288";"232";"0";"0";"0";"0";"0";"0";"0";"0";"0";"232";"0";"0";"232";"0";"0";"0";"0";"232";"5";"125";"87";"6";"9"
