"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Przemysław Józef ALEXANDROWICZ";"Marcin Rafał BOSACKI"
"c8f2-1186-0cf0-0866-3a41-1370-6096-5179";"306401";"91";"11";"miasto";"stały";"V Liceum Ogólnokształcące im. Klaudyny Potockiej, ul. Zmartwychwstańców 10, 61-501 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1458";"1720";"382";"1076";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1073";"0";"2";"1071";"45";"6";"39";"0";"1026";"289";"737"
"17fb-252d-3a93-4462-1cb6-d55c-0046-a540";"306401";"91";"12";"miasto";"stały";"Szkoła Podstawowa nr 5 im. Romualda Traugutta, ul. Romualda Traugutta 42, 61-514 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"2120";"2593";"16";"2104";"1";"40";"0";"0";"0";"0";"0";"0";"0";"2100";"0";"0";"2100";"63";"19";"44";"0";"2037";"420";"1617"
"d4cf-c6f6-4f2a-78d7-a2c9-4347-043e-24bd";"306401";"91";"13";"miasto";"stały";"H. Cegielski-Poznań Spółka Akcyjna, ul. 28 Czerwca 1956 r. 223 - 229, 61-485 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1950";"2219";"450";"1500";"2";"20";"0";"0";"0";"0";"0";"0";"0";"1499";"0";"0";"1499";"48";"12";"36";"0";"1451";"389";"1062"
"d988-d86c-cd9a-8327-a58e-6ad7-a022-043f";"306401";"91";"14";"miasto";"stały";"Szkoła Podstawowa nr 77 im. 15 Pułku Ułanów Poznańskich, ul. Romana Dmowskiego 50, 60-204 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1378";"1551";"305";"1073";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1073";"0";"0";"1073";"35";"6";"29";"0";"1038";"328";"710"
"e716-c042-5c38-7dac-c233-7ed5-3fd7-9b49";"306401";"91";"15";"miasto";"stały";"Zespół Szkół nr 8, ul. Kazimierza Jarochowskiego 62, 60-246 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1629";"1842";"296";"1333";"2";"21";"0";"0";"0";"0";"0";"0";"0";"1333";"0";"0";"1333";"61";"10";"51";"0";"1272";"363";"909"
"496c-ed08-cd5c-922d-6df0-2ec6-0774-d4a3";"306401";"91";"16";"miasto";"stały";"Zespół Szkół nr 8, ul. Kazimierza Jarochowskiego 62, 60-246 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1461";"1693";"313";"1148";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"37";"7";"30";"0";"1111";"345";"766"
"96ae-83d8-430d-9a68-de6c-c733-5f8a-66a0";"306401";"91";"17";"miasto";"stały";"XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II, ul. Klaudyny Potockiej 38, 60-211 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1548";"1826";"250";"1298";"1";"31";"0";"0";"0";"0";"0";"0";"0";"1298";"0";"0";"1298";"62";"10";"52";"0";"1236";"352";"884"
"13a2-7874-41d8-e91d-5566-97e0-f343-e36f";"306401";"91";"18";"miasto";"stały";"XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II, ul. Klaudyny Potockiej 38, 60-211 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1491";"1732";"210";"1281";"3";"21";"0";"0";"0";"0";"0";"0";"0";"1277";"0";"0";"1277";"31";"2";"29";"0";"1246";"345";"901"
"f701-8399-7df1-88a8-50d1-b456-fe55-a320";"306401";"91";"19";"miasto";"stały";"XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II, ul. Klaudyny Potockiej 38, 60-211 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1670";"1976";"238";"1432";"7";"7";"1";"1";"0";"0";"0";"0";"1";"1433";"1";"0";"1433";"57";"15";"42";"0";"1376";"356";"1020"
"1b9e-86be-e903-8151-e313-9a40-2c46-4e7a";"306401";"91";"20";"miasto";"stały";"Zespół Szkół Gimnazjalno-Licealnych, ul. Stanisława Wyspiańskiego 27, 60-751 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1560";"1853";"260";"1300";"2";"53";"0";"0";"0";"0";"0";"0";"0";"1300";"0";"0";"1300";"32";"6";"26";"0";"1268";"362";"906"
"6d18-0dac-3508-fafe-82c1-80cb-2a7c-8ff2";"306401";"91";"21";"miasto";"stały";"Zespół Szkół i Placówek Oświatowych, ul. Ryszarda Berwińskiego 2/4, 60-765 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1501";"1798";"391";"1109";"6";"37";"2";"2";"0";"0";"0";"0";"2";"1109";"2";"0";"1109";"38";"9";"29";"0";"1071";"276";"795"
"e819-1d7b-20ca-aa5b-fb20-092e-e5c3-78bc";"306401";"91";"22";"miasto";"stały";"Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka, ul. Józefa Łukaszewicza 9/13, 60-726 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1420";"1677";"388";"1032";"2";"30";"0";"0";"0";"0";"0";"0";"0";"1031";"0";"0";"1031";"26";"13";"13";"0";"1005";"289";"716"
"103c-ed11-40f6-0d7a-2bb9-9330-d2dd-8754";"306401";"91";"23";"miasto";"stały";"Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka, ul. Józefa Łukaszewicza 9/13, 60-726 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1689";"1910";"483";"1203";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1203";"0";"0";"1203";"40";"7";"33";"0";"1163";"343";"820"
"133e-8bc3-379a-172f-5bc4-67ab-55fc-3180";"306401";"91";"24";"miasto";"stały";"Szkoła Podstawowa nr 9 im. dra Franciszka Witaszka, ul. Józefa Łukaszewicza 9/13, 60-726 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1158";"1367";"338";"820";"1";"9";"0";"0";"0";"0";"0";"0";"0";"820";"0";"0";"820";"38";"11";"27";"0";"782";"212";"570"
"c563-f90b-19da-2cda-4682-37da-a5ed-143f";"306401";"91";"25";"miasto";"stały";"Zespół Szkół Handlowych im. Bohaterów Poznańskiego Czerwca `56, ul. Śniadeckich 54/58, 60-774 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1230";"1474";"263";"967";"2";"30";"0";"0";"0";"0";"0";"0";"0";"967";"0";"0";"967";"34";"8";"26";"0";"933";"244";"689"
"50a3-61c4-956f-da2c-71a9-1309-3239-f465";"306401";"91";"26";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 12 im. Generałowej Zamoyskiej i Heleny Modrzejewskiej, ul. Jana Matejki 8/10, 60-766 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1218";"1305";"284";"934";"2";"25";"0";"0";"0";"0";"0";"0";"0";"934";"0";"0";"934";"32";"5";"27";"0";"902";"224";"678"
"0b49-fa95-6258-4c06-0e50-87d5-7309-f2d0";"306401";"91";"27";"miasto";"stały";"Zespół Szkół Ogólnokształcących nr 12 im. Generałowej Zamoyskiej i Heleny Modrzejewskiej, ul. Jana Matejki 8/10, 60-766 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1507";"1845";"103";"1404";"1";"25";"0";"0";"0";"0";"0";"0";"0";"1403";"0";"1";"1402";"35";"10";"25";"0";"1367";"327";"1040"
"7aee-0741-beb3-32fb-5e84-40fc-5ed2-cc21";"306401";"91";"28";"miasto";"stały";"Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego, ul. Stanisława Przybyszewskiego 37, 60-356 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1328";"1618";"178";"1150";"1";"58";"0";"0";"0";"0";"0";"0";"0";"1150";"0";"0";"1150";"45";"12";"33";"0";"1105";"287";"818"
"6045-bfd6-766b-d2b8-2c1d-2b95-129f-8141";"306401";"91";"29";"miasto";"stały";"Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego, ul. Stanisława Przybyszewskiego 37, 60-356 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1580";"1875";"192";"1388";"0";"22";"0";"0";"0";"0";"0";"0";"0";"1388";"0";"0";"1388";"55";"14";"41";"0";"1333";"323";"1010"
"c185-b26f-7e47-1655-762e-57db-fc79-8a53";"306401";"91";"30";"miasto";"stały";"Szkoła Podstawowa nr 92 z Oddziałami Przysposabiającymi do Pracy im. Ignacego Jana Paderewskiego, ul. Juliusza Słowackiego 58/60, 60-521 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1028";"1096";"327";"701";"1";"19";"0";"0";"0";"0";"0";"0";"0";"701";"0";"1";"700";"29";"4";"25";"0";"671";"177";"494"
"82a6-b5da-f459-82d9-2dce-179b-d093-a09b";"306401";"91";"31";"miasto";"stały";"Przedszkole nr 86 „Tęczowy Świat”, ul. Julisza Słowackiego 15, 60-822 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1340";"1646";"152";"1188";"1";"73";"0";"0";"0";"0";"0";"0";"0";"1185";"0";"0";"1185";"50";"27";"23";"0";"1135";"268";"867"
"0dd2-7f9e-95a6-b407-2b1b-68e5-8c26-aeea";"306401";"91";"32";"miasto";"stały";"Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego, ul. Juliusza Słowackiego 54/56, 60-521 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1699";"2046";"337";"1362";"1";"41";"0";"0";"0";"0";"0";"0";"0";"1362";"0";"0";"1362";"55";"15";"40";"0";"1307";"341";"966"
"515d-9f68-1975-6497-d106-23a9-b169-9607";"306401";"91";"33";"miasto";"stały";"Szkoła Podstawowa nr 92 z Oddziałami Przysposabiającymi do Pracy im. Ignacego Jana Paderewskiego, ul. Juliusza Słowackiego 58/60, 60-521 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1198";"1453";"312";"886";"1";"11";"2";"2";"0";"0";"0";"0";"2";"888";"2";"0";"888";"35";"17";"18";"0";"853";"208";"645"
"e6b1-9888-1a38-6a5d-21e5-419e-42b5-ab5c";"306401";"91";"34";"miasto";"stały";"Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego, ul. Juliusza Słowackiego 54/56, 60-521 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1149";"1375";"278";"870";"0";"12";"0";"0";"0";"0";"0";"0";"0";"870";"0";"0";"870";"18";"8";"10";"0";"852";"241";"611"
"c430-1cb9-1c47-75f9-8816-79f3-9d73-70cb";"306401";"91";"35";"miasto";"stały";"Miejski Ośrodek Pomocy Rodzinie w Poznaniu Filia Jeżyce, ul. Jana Długosza 18a, 60-558 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1460";"1653";"379";"1081";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1081";"0";"0";"1081";"35";"4";"31";"0";"1046";"334";"712"
"268c-e63f-c4ba-0db1-20af-1964-aff4-0885";"306401";"91";"36";"miasto";"stały";"Szkoła Podstawowa Specjalna nr 106, ul. Klemensa Janickiego 22, 60-542 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1978";"2238";"319";"1659";"2";"26";"1";"1";"0";"0";"0";"0";"1";"1660";"1";"0";"1660";"50";"21";"29";"0";"1610";"292";"1318"
"9f50-eae3-849d-550d-8256-8a79-4522-94eb";"306401";"91";"37";"miasto";"stały";"Zespół Szkół Zawodowych nr 1, ul. św. Floriana 3, 60-536 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"988";"1241";"121";"867";"0";"26";"0";"0";"0";"0";"0";"0";"0";"867";"0";"0";"867";"18";"9";"9";"0";"849";"193";"656"
"c628-4696-b452-0ff5-fdb6-e078-0d8c-eea6";"306401";"91";"38";"miasto";"stały";"Szkoła Podstawowa nr 23 im. gen. Józefa Bema, ul. Cypriana Norwida 21, 60-867 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"989";"1254";"127";"858";"1";"49";"0";"0";"0";"0";"0";"0";"0";"857";"0";"0";"857";"36";"9";"27";"0";"821";"179";"642"
"5451-90ce-0c02-7681-6eca-26aa-792a-00c4";"306401";"91";"39";"miasto";"stały";"Szkoła Podstawowa nr 23 im. gen. Józefa Bema, ul. Cypriana Norwida 21, 60-867 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"2029";"2490";"131";"1898";"2";"16";"0";"0";"0";"0";"0";"0";"0";"1898";"0";"0";"1898";"57";"16";"41";"0";"1841";"477";"1364"
"32a2-4e54-5398-83ab-3775-500e-9c47-c83b";"306401";"91";"40";"miasto";"stały";"Zespół Szkół nr 2, ul. Hangarowa 14, 60-409 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1740";"1972";"173";"1567";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1564";"0";"0";"1564";"53";"13";"40";"0";"1511";"270";"1241"
"b04f-88cd-2871-43f2-922a-2d50-c030-bbf3";"306401";"91";"41";"miasto";"stały";"Zespół Szkół nr 2, ul. Hangarowa 14, 60-409 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"980";"1076";"123";"856";"1";"7";"0";"0";"0";"0";"0";"0";"0";"858";"0";"1";"857";"28";"3";"25";"0";"829";"250";"579"
"d11a-960f-8f07-51aa-746a-f3ca-0000-3058";"306401";"91";"42";"miasto";"stały";"Zespół Szkół nr 2, ul. Hangarowa 14, 60-409 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1109";"1220";"202";"907";"2";"9";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"37";"5";"32";"0";"870";"233";"637"
"e7f0-fd6b-f025-0a6f-0617-3802-dbf3-455e";"306401";"91";"43";"miasto";"stały";"XXXVIII Dwujęzyczne Liceum Ogólnokształcące im. Jana Nowaka Jeziorańskiego, ul. Michała Drzymały 4/6, 60-613 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1790";"2060";"423";"1367";"1";"31";"1";"1";"0";"0";"0";"0";"1";"1367";"1";"0";"1367";"56";"9";"47";"0";"1311";"357";"954"
"9642-8c23-1260-c83d-84e2-f931-9f51-acda";"306401";"91";"44";"miasto";"stały";"XXXVIII Dwujęzyczne Liceum Ogólnokształcące im. Jana Nowaka Jeziorańskiego, ul. Michała Drzymały 4/6, 60-613 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1610";"1905";"230";"1380";"1";"29";"0";"0";"0";"0";"0";"0";"0";"1380";"0";"5";"1375";"50";"18";"32";"0";"1325";"323";"1002"
"ca1c-f066-01df-a1f3-4981-9f7b-c156-e2a1";"306401";"91";"45";"miasto";"stały";"Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego, ul. Sochaczewska 3, 60-645 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1638";"1940";"153";"1475";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1475";"0";"0";"1475";"65";"14";"51";"0";"1410";"456";"954"
"ebd7-f64e-efce-007a-e9d8-3217-eebf-3d25";"306401";"91";"46";"miasto";"stały";"Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego, ul. Sochaczewska 3, 60-645 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1720";"1958";"193";"1527";"1";"17";"0";"0";"0";"0";"0";"0";"0";"1523";"0";"0";"1523";"49";"10";"39";"0";"1474";"387";"1087"
"faa2-c4c2-3042-73ed-d8bb-3cbe-2981-6788";"306401";"91";"47";"miasto";"stały";"XXV Liceum Ogólnokształcące im. Generałowej Jadwigi Zamoyskiej, ul. Widna 1, 60-655 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1719";"1962";"250";"1469";"1";"32";"0";"0";"0";"0";"0";"0";"0";"1469";"0";"0";"1469";"52";"16";"36";"0";"1417";"384";"1033"
"b661-b2b3-b7d6-64c2-9d0e-a276-54e3-d77a";"306401";"91";"48";"miasto";"stały";"Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego, os. Winiary 2, 60-665 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1320";"1625";"56";"1265";"2";"12";"0";"0";"0";"0";"0";"0";"0";"1264";"0";"0";"1264";"54";"9";"45";"0";"1210";"341";"869"
"298a-f5cd-89ce-8568-64a4-3e5a-a398-51c2";"306401";"91";"49";"miasto";"stały";"Uniwersytet Przyrodniczy Wydział Inżynierii Środowiska i Gospodarki Przestrzennej, ul. Piątkowska 94, 60-649 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1799";"2004";"357";"1442";"2";"30";"0";"0";"0";"0";"0";"0";"0";"1442";"0";"3";"1439";"46";"18";"28";"0";"1393";"340";"1053"
"e8aa-3be7-e462-53f2-ee3a-356c-b59b-77b3";"306401";"91";"50";"miasto";"stały";"Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego, os. Winiary 2, 60-665 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1610";"1812";"180";"1430";"3";"17";"0";"0";"0";"0";"0";"0";"0";"1430";"0";"0";"1430";"45";"16";"29";"0";"1385";"382";"1003"
"a918-7e42-af07-9995-72f1-287e-73ee-49c5";"306401";"91";"51";"miasto";"stały";"Zespół Szkół nr 7, os. Zwycięstwa 101, 61-652 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1619";"1836";"215";"1404";"3";"14";"0";"0";"0";"0";"0";"0";"0";"1401";"0";"0";"1401";"43";"30";"13";"0";"1358";"396";"962"
"7e80-129f-a04e-ee95-be26-8dcc-53ec-e93a";"306401";"91";"52";"miasto";"stały";"Zespół Szkół nr 7, os. Zwycięstwa 101, 61-652 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1690";"1982";"214";"1476";"2";"28";"0";"0";"0";"0";"0";"0";"0";"1476";"0";"0";"1476";"49";"17";"32";"0";"1427";"396";"1031"
"822a-016c-902a-1e88-0436-1c0a-9294-93e9";"306401";"91";"53";"miasto";"stały";"Zespół Szkół nr 7, os. Zwycięstwa 101, 61-652 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"2120";"2192";"418";"1702";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1702";"0";"0";"1702";"48";"9";"39";"0";"1654";"420";"1234"
"59ed-da29-07f1-f89e-1003-37fc-49f0-9188";"306401";"91";"54";"miasto";"stały";"XX Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego, Wichrowe Wzgórze 111, 61-699 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1650";"1874";"241";"1409";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1409";"0";"0";"1409";"45";"9";"36";"0";"1364";"370";"994"
"41db-7e87-4748-5a59-ccb2-dc59-0d45-7269";"306401";"91";"55";"miasto";"stały";"Szkoła Podstawowa nr 11 im. gen. Dezyderego Chłapowskiego, Wichrowe Wzgórze 119, 61-699 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1590";"1822";"165";"1425";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1425";"0";"0";"1425";"32";"9";"23";"0";"1393";"396";"997"
"3eda-33e5-ad65-ed7f-fd16-25b9-4877-be20";"306401";"91";"56";"miasto";"stały";"Szkoła Podstawowa nr 11 im. gen. Dezyderego Chłapowskiego, Wichrowe Wzgórze 119, 61-699 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1510";"1744";"243";"1270";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1267";"0";"0";"1267";"39";"7";"32";"0";"1228";"358";"870"
"2b0e-aa2d-0c3c-642f-ea4a-864f-1150-cc73";"306401";"91";"57";"miasto";"stały";"XX Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego, Wichrowe Wzgórze 111, 61-699 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1631";"1409";"224";"1409";"3";"22";"0";"0";"0";"0";"0";"0";"0";"1410";"0";"0";"1410";"50";"13";"37";"0";"1360";"371";"989"
"7fe0-287b-ad35-88fb-186b-7d61-6e0c-a66a";"306401";"91";"58";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 5, os. Kosmonautów 111, 61-641 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1290";"1459";"165";"1125";"1";"35";"0";"0";"0";"0";"0";"0";"0";"1123";"0";"4";"1119";"35";"8";"27";"0";"1084";"336";"748"
"24cf-be16-8cac-83c1-74a6-5c66-72ab-b026";"306401";"91";"59";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 5, os. Kosmonautów 111, 61-641 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1530";"1741";"266";"1264";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1262";"0";"0";"1262";"39";"8";"31";"0";"1223";"357";"866"
"6833-fecc-150d-0057-821c-6d76-01f6-3133";"306401";"91";"60";"miasto";"stały";"Przedszkole nr 134 „Słoneczny Świat”, os. Kosmonautów 108, 61-642 Poznań";"m. Poznań";"Poznań";"wielkopolskie";"1514";"1722";"231";"1283";"4";"9";"2";"2";"0";"0";"0";"0";"2";"1285";"2";"0";"1285";"29";"8";"21";"0";"1256";"395";"861"
