"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan DOBRZYŃSKI";"Mariusz Krzysztof GROMKO";"Wanda JANKOWSKA";"Zbigniew NIKITOROWICZ"
"722b-82aa-11c3-60f2-45c2-3d10-5d65-4329";"200203";"60";"3";"wieś";"stały";"Wiejski Dom Kulturyw Kozińcach, Kozińce 9, 16-002 Dobrzyniewo Duże";"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";"1509";"1628";"598";"911";"1";"2";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"12";"2";"10";"0";"899";"164";"478";"83";"174"
"16b3-34b8-f21d-eb13-1aec-85ef-2be5-c4b4";"200203";"60";"4";"wieś";"stały";"Wiejski Dom Kultury w Pogorzałkach, Pogorzałki 153, 16-002 Dobrzyniewo Duże";"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";"920";"1012";"421";"499";"0";"11";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"4";"2";"2";"0";"495";"68";"281";"54";"92"
"514a-4115-420c-3c06-8023-af71-d16a-8443";"200203";"60";"5";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Fasty ul. Białostocka 5, 15-694 Białystok";"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";"1220";"1333";"332";"888";"1";"3";"0";"0";"0";"0";"0";"0";"0";"888";"0";"0";"888";"18";"5";"13";"0";"870";"95";"340";"107";"328"
"1cf2-30c0-52b3-7590-2d96-9219-d714-7882";"200204";"60";"1";"wieś";"stały";"Gminne Centrum Kultury w Gródku, ul. Chodkiewiczów 4, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"720";"791";"281";"439";"2";"7";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"10";"2";"8";"0";"429";"45";"84";"32";"268"
"1964-a9cb-582c-3a90-0aaf-05a7-2486-0991";"200204";"60";"2";"wieś";"stały";"Szkoła Podstawowa w Gródku, ul. Chodkiewiczów 18, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"722";"791";"283";"439";"1";"6";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"7";"3";"4";"0";"432";"61";"101";"48";"222"
"4d43-784f-41ae-20f0-ca6d-d1fe-af20-6b09";"200204";"60";"3";"wieś";"stały";"Szkoła Podstawowa w Gródku, ul. Chodkiewiczów 18, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"673";"741";"313";"360";"3";"8";"0";"0";"0";"0";"0";"0";"0";"360";"0";"0";"360";"5";"3";"2";"0";"355";"50";"82";"40";"183"
"f892-1c83-38c9-6ffe-bd30-3704-bbe7-d270";"200204";"60";"4";"wieś";"stały";"Świetlica w Słuczance, Słuczanka 22, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"342";"356";"200";"142";"2";"1";"0";"0";"0";"0";"0";"0";"0";"142";"0";"0";"142";"2";"0";"2";"0";"140";"15";"35";"24";"66"
"20a6-2efa-d088-9dc1-4a83-3357-7d27-e4e8";"200204";"60";"5";"wieś";"stały";"BOBREX w Bobrownikach, Bobrowniki 80, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"170";"192";"118";"52";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52";"0";"0";"52";"1";"0";"1";"0";"51";"3";"16";"5";"27"
"3923-f10e-d144-c421-6370-2c6f-c4ac-59e6";"200204";"60";"6";"wieś";"stały";"Świetlica w Podozieranach, Podozierany 37, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"171";"194";"101";"70";"0";"1";"0";"0";"0";"0";"0";"0";"0";"70";"0";"0";"70";"4";"0";"4";"0";"66";"8";"36";"10";"12"
"a8ca-f091-9abf-4124-1ca9-852b-ce1a-8d2d";"200204";"60";"7";"wieś";"stały";"Rolnicza Spółdzielnia Produkcyjna w Zubrach, Zubry 76, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"191";"211";"106";"85";"0";"4";"0";"0";"0";"0";"0";"0";"0";"85";"0";"0";"85";"0";"0";"0";"0";"85";"7";"30";"9";"39"
"61d3-c8a5-c6c6-1dca-77e1-e9e4-8b78-0947";"200204";"60";"8";"wieś";"stały";"Nadleśnictwo Waliły w Waliłach-Stacji, Waliły-Stacja Białostocka 3, 16-040  Gródek";"gm. Gródek";"białostocki";"podlaskie";"461";"504";"194";"267";"0";"2";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"4";"2";"2";"0";"263";"22";"60";"42";"139"
"e382-5a2b-82f6-19e8-75b7-2044-3d10-7f2a";"200204";"60";"9";"wieś";"stały";"Rolnicza Spółdzielnia Produkcyjna w Kołodnie, Kołodno 41, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"264";"291";"106";"158";"0";"0";"0";"0";"0";"0";"0";"0";"0";"158";"0";"0";"158";"6";"1";"5";"0";"152";"11";"46";"20";"75"
"820e-6767-df80-3d70-e301-22c9-5516-8b49";"200204";"60";"10";"wieś";"stały";"Szkoła Podstawowa w Załukach, Załuki 5, 16-040 Gródek";"gm. Gródek";"białostocki";"podlaskie";"253";"290";"76";"177";"0";"1";"0";"0";"0";"0";"0";"0";"0";"177";"0";"0";"177";"5";"0";"5";"0";"172";"20";"51";"17";"84"
"0e2d-597f-cc59-a98e-60be-816f-8658-73dd";"200205";"60";"1";"wieś";"stały";"Świetlica Wiejska w Tryczówce, Tryczówka 39A, 16-061 Juchnowiec Kościelny";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"918";"1010";"366";"552";"0";"1";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"6";"1";"5";"0";"546";"65";"288";"50";"143"
"11b6-e73e-0f46-c343-2a3b-c99f-f626-e1a4";"200205";"60";"2";"wieś";"stały";"Ośrodek Kultury w Juchnowcu Kościelnym, ul. Plac Królowej Rodzin 1, 16-061 Juchnowiec Kościelny";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"802";"865";"222";"580";"0";"0";"0";"0";"0";"0";"0";"0";"0";"580";"0";"0";"580";"11";"2";"9";"0";"569";"50";"364";"65";"90"
"105d-999c-9af9-83f1-785a-8ec5-19dd-504a";"200205";"60";"3";"wieś";"stały";"Zespół Szkół im. Ks. Jerzego Popiełuszki w Juchnowcu Górnym, Juchnowiec Górny ul. Szkolna 5, 16-061 Juchnowiec Kościelny";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"934";"1025";"274";"660";"1";"1";"0";"0";"0";"0";"0";"0";"0";"660";"0";"0";"660";"11";"2";"9";"0";"649";"73";"419";"49";"108"
"47b4-72ac-0157-156e-0005-9ae0-cf82-5d1a";"200205";"60";"4";"wieś";"stały";"Świetlica Wiejska w Lewickich, Lewickie 74, 16-061 Juchnowiec Kościelny";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"631";"730";"125";"506";"0";"2";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"6";"4";"2";"0";"500";"48";"266";"59";"127"
"b68e-1c2e-6867-e33b-c81e-b842-4e8f-8508";"200205";"60";"5";"wieś";"stały";"Zespół Szkół w Księżynie, Księżyno ul. Szkolna 7, 16-001 Kleosin";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"732";"809";"190";"542";"2";"2";"0";"0";"0";"0";"0";"0";"0";"542";"0";"0";"542";"4";"1";"3";"0";"538";"46";"298";"56";"138"
"f459-f6a7-00bb-71df-5f56-87f3-bcd4-6a21";"200205";"60";"6";"wieś";"stały";"Zespół Szkół w Księżynie, Księżyno ul. Szkolna 7, 16-001 Kleosin";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"940";"1038";"230";"710";"0";"1";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"12";"4";"8";"0";"698";"57";"371";"70";"200"
"c1a7-53dc-ff89-b4e3-5eed-de07-b67d-704e";"200205";"60";"7";"wieś";"stały";"Remiza OSP w Hermanówce, Hermanówka 1A, 16-061 Juchnowiec Kościelny";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"772";"842";"197";"575";"0";"0";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"8";"3";"5";"0";"567";"47";"244";"56";"220"
"b93f-690f-9127-4762-dd3f-9519-ef03-0bf2";"200205";"60";"8";"wieś";"stały";"Świetlica Wiejska w Olmontach, Olmonty 93, 15-603 Białystok";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"702";"778";"150";"552";"0";"7";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"5";"2";"3";"0";"547";"26";"199";"56";"266"
"13a8-02fd-69a4-a504-d258-a0cc-bd58-7375";"200205";"60";"9";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"1483";"1610";"371";"1112";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1112";"0";"0";"1112";"16";"1";"15";"0";"1096";"89";"412";"114";"481"
"0aa7-f11f-7f9f-7fa3-180d-7e03-25ae-9fa5";"200205";"60";"10";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"1386";"1506";"341";"1045";"4";"5";"0";"0";"0";"0";"0";"0";"0";"1045";"0";"0";"1045";"12";"3";"9";"0";"1033";"95";"500";"111";"327"
"ab6c-df2f-33cc-cb9e-e054-569d-465a-45ae";"200205";"60";"11";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"793";"877";"212";"581";"0";"1";"0";"0";"0";"0";"0";"0";"0";"581";"0";"0";"581";"7";"3";"4";"0";"574";"63";"255";"65";"191"
"df35-25d9-03c1-deed-4d75-7e00-c49c-2a15";"200205";"60";"12";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"1221";"1313";"452";"769";"0";"0";"0";"0";"0";"0";"0";"0";"0";"769";"0";"0";"769";"16";"4";"12";"0";"753";"86";"369";"91";"207"
"eab3-7bff-6a18-421d-74e1-faac-5eb8-8280";"200205";"60";"13";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Czerewkach, Czerewki 1, 16-061 Juchnowiec Kościelny";"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";"77";"89";"43";"34";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"0";"0";"34";"4";"0";"4";"0";"30";"9";"14";"4";"3"
"9440-cf9f-c351-0121-2fd6-c397-1749-2460";"200206";"60";"1";"wieś";"stały";"Szkoła Podstawowa w Łupiance Starej, Łupianka Stara 1, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"692";"738";"274";"418";"1";"0";"1";"1";"0";"0";"0";"0";"1";"419";"1";"0";"419";"7";"0";"7";"0";"412";"37";"328";"26";"21"
"e747-4dc4-7055-e8c7-ff13-83fe-ae5e-8a6e";"200206";"60";"2";"wieś";"stały";"Szkoła Podstawowa w Płonce Kościelnej, Płonka Kościelna 47, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1040";"1127";"417";"623";"0";"1";"0";"0";"0";"0";"0";"0";"0";"623";"0";"0";"623";"9";"2";"7";"0";"614";"81";"447";"40";"46"
"25f2-f62c-dda8-bb9f-6efd-1b89-f5a6-f2dc";"200206";"60";"3";"miasto i wieś";"stały";"Szkoła Podstawowa w Łapach (Osse), ul. Letnia 1, 18-100 Łapy";"gm. Łapy";"białostocki";"podlaskie";"1450";"1560";"588";"862";"1";"2";"0";"0";"0";"0";"0";"0";"0";"862";"0";"0";"862";"17";"3";"14";"0";"845";"86";"540";"81";"138"
