"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Daria Urszula BALON";"Ryszard Wiesław SKOTNICZNY";"Alicja Maria ZAJĄC"
"918a-137f-ec64-115d-72f4-22f9-ae93-7600";"180204";"57";"3";"wieś";"stały";"Szkoła Podstawowa w Trześniowie, Trześniów 107, 36-212 Trześniów";"gm. Haczów";"brzozowski";"podkarpackie";"860";"931";"359";"501";"2";"1";"0";"0";"0";"0";"0";"0";"0";"501";"0";"0";"501";"10";"1";"9";"0";"491";"92";"48";"351"
"dff6-1582-79ec-17d0-0ebd-1266-3dcc-b55b";"180204";"57";"4";"wieś";"stały";"Dom Ludowy w Bukowie, Buków 91, 36-212 Trześniów";"gm. Haczów";"brzozowski";"podkarpackie";"260";"278";"89";"171";"1";"1";"0";"0";"0";"0";"0";"0";"0";"171";"0";"0";"171";"2";"0";"2";"0";"169";"26";"23";"120"
"6897-046b-e4f9-4cfc-1542-8afe-e9c1-2b9a";"180204";"57";"5";"wieś";"stały";"Szkoła Podstawowa w Jasionowie, Jasionów 195, 36-211 Jasionów";"gm. Haczów";"brzozowski";"podkarpackie";"1010";"1086";"473";"537";"0";"2";"0";"0";"0";"0";"0";"0";"0";"537";"0";"7";"530";"7";"1";"6";"0";"523";"97";"53";"373"
"da3c-45a1-d27e-1813-fd67-26e5-8e9c-723e";"180204";"57";"6";"wieś";"stały";"Szkoła Podstawowa we Wzdowie, Wzdów 121, 36-211 Jasionów";"gm. Haczów";"brzozowski";"podkarpackie";"690";"749";"308";"382";"0";"0";"0";"0";"0";"0";"0";"0";"0";"382";"0";"0";"382";"6";"0";"6";"0";"376";"65";"35";"276"
"d367-06d3-6371-38aa-7616-876e-e663-aac1";"180204";"57";"7";"wieś";"stały";"Szkoła Podstawowa w Malinówce, Malinówka 42, 36-213 Haczów";"gm. Haczów";"brzozowski";"podkarpackie";"710";"785";"225";"485";"1";"1";"0";"0";"0";"0";"0";"0";"0";"485";"0";"0";"485";"12";"4";"8";"0";"473";"44";"37";"392"
"a131-e4c7-86ad-7f63-5e21-5350-0218-3b20";"180204";"57";"8";"wieś";"stały";"Szkoła Podstawowa w Jabłonicy Polskiej, Jabłonica Polska 178, 36-213 Haczów";"gm. Haczów";"brzozowski";"podkarpackie";"790";"870";"246";"544";"17";"1";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"10";"1";"9";"0";"534";"66";"59";"409"
"32c7-1785-9669-6468-2fd2-c4f6-cdea-e8d6";"180205";"57";"1";"wieś";"stały";"Gminny Ośrodek Pomocy Społecznej w Jasienicy Rosielnej, Jasienica Rosielna 240, 36-220 Jasienica Rosielna";"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";"1610";"1730";"452";"1158";"14";"4";"0";"0";"0";"0";"0";"0";"0";"1158";"0";"0";"1158";"18";"3";"15";"0";"1140";"121";"117";"902"
"e360-5b05-b03c-4955-0696-d30e-179a-793e";"180205";"57";"2";"wieś";"stały";"Szkoła Podstawowa im. Św. Michała Archanioła w Bliznem, Blizne 439A, 36-221 Blizne";"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";"1170";"1290";"354";"816";"2";"20";"0";"0";"0";"0";"0";"0";"0";"816";"0";"0";"816";"10";"2";"8";"0";"806";"76";"63";"667"
"26d6-9f18-accc-9e8b-64bd-0832-45c8-ae1c";"180205";"57";"3";"wieś";"stały";"Szkoła Podstawowa im. Św. Michała Archanioła w Bliznem, Blizne 439A, 36-221 Blizne";"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";"1230";"1340";"319";"911";"4";"24";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"14";"3";"11";"0";"897";"90";"90";"717"
"c75e-703a-587b-5b45-ee7d-17e0-f451-f83c";"180205";"57";"4";"wieś";"stały";"Zespół Szkół w Orzechówce, Orzechówka 5, 36-220 Jasienica Rosielna";"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";"1080";"1180";"309";"771";"8";"3";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"13";"3";"10";"0";"758";"62";"67";"629"
