"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Daria Urszula BALON";"Ryszard Wiesław SKOTNICZNY";"Alicja Maria ZAJĄC"
"45c1-aa64-6625-6aa3-b739-128c-d1de-1b35";"180205";"57";"5";"wieś";"stały";"Szkoła Podstawowa im. Księdza Biskupa Jakuba Glazera w Woli Jasienickiej, Wola Jasienicka 108, 36-220 Jasienica Rosielna";"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";"480";"529";"141";"339";"2";"1";"0";"0";"0";"0";"0";"0";"0";"339";"0";"0";"339";"8";"0";"8";"0";"331";"13";"21";"297"
"76b1-abc8-327d-e165-32b2-ce2d-bfe0-6a6b";"180206";"57";"1";"wieś";"stały";"Szkoła Podstawowa im. Aleksandra Fredry w Nozdrzcu, Nozdrzec 227A, 36-245 Nozdrzec";"gm. Nozdrzec";"brzozowski";"podkarpackie";"970";"1052";"384";"586";"0";"1";"0";"0";"0";"0";"0";"0";"0";"586";"0";"0";"586";"7";"0";"7";"0";"579";"120";"70";"389"
"f892-0799-df50-8fda-14b3-563c-b91d-6589";"180206";"57";"2";"wieś";"stały";"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego w Hłudnie, Hłudno 89, 36-245 Nozdrzec";"gm. Nozdrzec";"brzozowski";"podkarpackie";"657";"722";"267";"390";"1";"5";"0";"0";"0";"0";"0";"0";"0";"389";"0";"0";"389";"9";"2";"7";"0";"380";"72";"49";"259"
"8f34-f11e-9b82-21be-03b8-ef71-87d8-eba5";"180206";"57";"3";"wieś";"stały";"Szkoła Podstawowa im. Świętego Jana Pawła II w Warze, Wara 247, 36-245 Nozdrzec";"gm. Nozdrzec";"brzozowski";"podkarpackie";"810";"885";"298";"512";"0";"4";"0";"0";"0";"0";"0";"0";"0";"512";"0";"0";"512";"6";"0";"6";"0";"506";"89";"58";"359"
"d05d-7eb2-e93a-a76e-675e-577d-037b-4187";"180206";"57";"4";"wieś";"stały";"Szkoła Podstawowa w Siedliskach, Siedliska 36A, 36-245 Nozdrzec";"gm. Nozdrzec";"brzozowski";"podkarpackie";"320";"350";"118";"202";"0";"1";"0";"0";"0";"0";"0";"0";"0";"202";"0";"0";"202";"4";"2";"2";"0";"198";"26";"17";"155"
"51db-0616-1e96-03ad-fe7e-56cc-fff9-6e1f";"180206";"57";"5";"wieś";"stały";"Dom Strażaka w Hucie Poręby, Huta Poręby 30B, 36-245 Nozdrzec";"gm. Nozdrzec";"brzozowski";"podkarpackie";"130";"141";"58";"72";"0";"0";"0";"0";"0";"0";"0";"0";"0";"72";"0";"0";"72";"2";"0";"2";"0";"70";"9";"4";"57"
"f911-c4dc-e469-a5f6-c653-fb02-9215-df84";"180206";"57";"6";"wieś";"stały";"Szkoła Podstawowa im. Świętej Jadwigi Królowej Polski w Izdebkach, Izdebki 362, 36-203 Izdebki";"gm. Nozdrzec";"brzozowski";"podkarpackie";"870";"940";"440";"430";"0";"2";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"10";"3";"7";"0";"420";"57";"38";"325"
"b361-4b4c-abe6-1ba8-7940-2ee5-7624-2e57";"180206";"57";"7";"wieś";"stały";"Szkoła Podstawowa im. Świętej Jadwigi Królowej Polski w Izdebkach, Izdebki 362, 36-203 Izdebki";"gm. Nozdrzec";"brzozowski";"podkarpackie";"790";"855";"363";"427";"0";"5";"0";"0";"0";"0";"0";"0";"0";"427";"0";"0";"427";"9";"3";"6";"0";"418";"107";"39";"272"
"a522-24f0-b5d3-98ed-41be-bfbc-281b-aaf6";"180206";"57";"8";"wieś";"stały";"Dom Strażaka w Izdebkach Rudawcu, Izdebki, Rudawiec 714A, 36-203 Izdebki";"gm. Nozdrzec";"brzozowski";"podkarpackie";"270";"289";"105";"165";"0";"0";"0";"0";"0";"0";"0";"0";"0";"165";"0";"0";"165";"7";"2";"5";"0";"158";"15";"12";"131"
"8054-7ba1-f173-757a-8a71-6bfe-bf23-7a01";"180206";"57";"9";"wieś";"stały";"Szkoła Podstawowa Nr 1 im. Marszałka Józefa Piłsudskiego w Wesołej, Wesoła 401, 36-233 Wesoła";"gm. Nozdrzec";"brzozowski";"podkarpackie";"910";"1001";"396";"514";"0";"9";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"10";"3";"7";"0";"504";"52";"52";"400"
"be6d-6840-1b46-dd85-b600-77d6-ac82-90e2";"180206";"57";"10";"wieś";"stały";"Dom Strażaka w Wesołej Magierowie, Wesoła, Magierów 555, 36-233 Wesoła";"gm. Nozdrzec";"brzozowski";"podkarpackie";"60";"55";"24";"36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"36";"1";"0";"1";"0";"35";"0";"5";"30"
"a3da-9786-1c82-37fe-7e27-5749-a158-230c";"180206";"57";"11";"wieś";"stały";"Szkoła Podstawowa Nr 2 w Wesołej, Wesoła, Ujazdy 607, 36-233 Wesoła";"gm. Nozdrzec";"brzozowski";"podkarpackie";"240";"269";"69";"171";"0";"4";"0";"0";"0";"0";"0";"0";"0";"171";"0";"0";"171";"5";"1";"4";"0";"166";"15";"19";"132"
"5799-3c4f-0030-d157-459d-aceb-74ab-ac8a";"180501";"57";"1";"miasto";"stały";"Urząd Miasta w Jaśle, Sala Posiedzeń RMJ, I piętro, ul. Rynek 12, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1370";"1469";"495";"875";"4";"11";"0";"0";"0";"0";"0";"0";"0";"875";"0";"0";"875";"18";"8";"10";"0";"857";"337";"133";"387"
"5396-07ab-3e16-72be-4dcc-3a54-fef7-0ffb";"180501";"57";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Jaśle, ul. Tadeusza Czackiego 2, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1030";"1098";"422";"608";"1";"4";"0";"0";"0";"0";"0";"0";"0";"608";"0";"0";"608";"22";"8";"14";"0";"586";"199";"119";"268"
"5403-b877-dd67-7f73-f830-d010-4f2c-4501";"180501";"57";"3";"miasto";"stały";"Jasielski Dom Kultury, ul. Kołłątaja 1, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1200";"1277";"489";"711";"3";"6";"0";"0";"0";"0";"0";"0";"0";"711";"0";"0";"711";"10";"5";"5";"0";"701";"241";"112";"348"
"5cf4-670c-2d27-8a65-4c10-5086-b137-f3bb";"180501";"57";"4";"miasto";"stały";"Zespół Szkół Miejskich Nr 3 w Jaśle, ul. Szkolna 38, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1440";"1541";"515";"925";"2";"7";"0";"0";"0";"0";"0";"0";"0";"925";"0";"0";"925";"16";"4";"12";"0";"909";"368";"182";"359"
"e9d5-b716-696d-ef7f-2232-405d-9f1b-01dc";"180501";"57";"5";"miasto";"stały";"Zespół Szkół Miejskich Nr 3 w Jaśle, ul. Szkolna 38, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1390";"1489";"479";"911";"1";"5";"0";"0";"0";"0";"0";"0";"0";"909";"0";"0";"909";"8";"4";"4";"0";"901";"295";"139";"467"
"cd5c-063f-e825-f221-65a3-9833-9067-ae67";"180501";"57";"6";"miasto";"stały";"Zespół Szkół Miejskich Nr 3 w Jaśle, ul. Szkolna 38, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1450";"1550";"524";"926";"3";"1";"0";"0";"0";"0";"0";"0";"0";"926";"0";"0";"926";"17";"9";"8";"0";"909";"281";"197";"431"
"4654-f077-bd06-064e-0125-1191-91b0-3627";"180501";"57";"7";"miasto";"stały";"I Liceum Ogółnokształcące w Jaśle, ul. Czackiego 4, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1040";"1115";"449";"591";"0";"3";"0";"0";"0";"0";"0";"0";"0";"591";"0";"0";"591";"10";"8";"2";"0";"581";"183";"101";"297"
"cc83-4b85-a4da-552d-9840-fc49-5770-8961";"180501";"57";"8";"miasto";"stały";"Dom Ludowy Bryły, Jasło, Bryły ul. Mickiewicza 115, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"590";"630";"160";"430";"0";"1";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"8";"1";"7";"0";"422";"58";"58";"306"
"20bc-8eaf-cfff-1f1d-7146-b7ff-ef38-1558";"180501";"57";"9";"miasto";"stały";"Dom Ludowy Kaczorowy, Jasło, Kaczorowy ul. Kaczorowy 55, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"500";"528";"190";"310";"0";"3";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"12";"5";"7";"0";"298";"67";"50";"181"
"f22c-170f-6c99-7001-d9ef-ac6a-4590-cd51";"180501";"57";"10";"miasto";"stały";"Klub Osiedlowy Gamrat, Jasło, Gamrat ul. Mickiewicza 124, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1000";"1083";"439";"561";"1";"2";"0";"0";"0";"0";"0";"0";"0";"561";"0";"0";"561";"17";"3";"14";"0";"544";"83";"45";"416"
"e3f9-bfbd-3f47-fb52-4ba0-a558-8819-1109";"180501";"57";"11";"miasto";"stały";"Dom Ludowy Krajowice, Jasło, Krajowice ul. Okrężna 1, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"540";"582";"239";"301";"1";"1";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"4";"2";"2";"0";"297";"57";"25";"215"
"77f2-5387-8472-d352-156c-d7ac-3ad0-d554";"180501";"57";"12";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Jaśle, Jasło, Ulaszowice ul. Tadeusza Czackiego 2, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"930";"991";"306";"624";"3";"5";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"14";"5";"9";"0";"610";"195";"94";"321"
"68db-da72-6803-db69-d53f-4cec-4a5e-5071";"180501";"57";"13";"miasto";"stały";"Niepubliczne Przedszkole "" SMYK"" w Jaśle, Jasło, Ulaszowice ul. Na Kotlinę 3, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1460";"1535";"526";"934";"1";"8";"0";"0";"0";"0";"0";"0";"0";"934";"0";"0";"934";"15";"4";"11";"0";"919";"341";"164";"414"
"12dc-7401-f9a7-c036-3b77-1504-93fd-800a";"180501";"57";"14";"miasto";"stały";"Szkoła Podstawowa Nr 10 w Jaśle, Jasło, Brzyszczki ul. Lwowska 36, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"760";"820";"235";"525";"1";"0";"0";"0";"0";"0";"0";"0";"0";"525";"0";"0";"525";"9";"4";"5";"0";"516";"90";"79";"347"
"ca46-4128-bd60-af15-15dd-67eb-5621-3351";"180501";"57";"15";"miasto";"stały";"Dom Ludowy Hankówka, Jasło, Hankówka ul. Hankówka 109, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"570";"600";"199";"371";"0";"2";"0";"0";"0";"0";"0";"0";"0";"371";"0";"0";"371";"10";"6";"4";"0";"361";"105";"84";"172"
"1bd3-253d-359e-468b-c109-40c1-137b-c6cf";"180501";"57";"16";"miasto";"stały";"Szkoła Podstawowa Nr 7 w Jaśle, Jasło, Żółków ul. Św. Jana z Dukli 52, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"660";"721";"227";"433";"1";"13";"0";"0";"0";"0";"0";"0";"0";"433";"0";"0";"433";"6";"4";"2";"0";"427";"91";"53";"283"
"f935-6923-5fbd-a5e0-6cda-afaa-55ca-69cb";"180501";"57";"17";"miasto";"stały";"Zespół Szkół Miejskich Nr 5 w Jaśle, Jasło, Sobniów ul. Sobniowska 58, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1380";"1465";"473";"907";"2";"2";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"17";"8";"9";"0";"890";"230";"151";"509"
"da7c-2f15-1664-bf00-a9dc-624d-e93c-2bcf";"180501";"57";"18";"miasto";"stały";"Zespół Szkół Technicznych w Jaśle, Jasło, Górka ul. Staszica 30, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1310";"1391";"371";"939";"1";"8";"0";"0";"0";"0";"0";"0";"0";"939";"0";"0";"939";"18";"12";"6";"0";"921";"338";"168";"415"
"2b51-52fc-99e5-f533-eb89-7028-9c70-377e";"180501";"57";"19";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Jaśle, ul. Wincentego Pola 9, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1520";"1628";"542";"978";"2";"6";"0";"0";"0";"0";"0";"0";"0";"978";"0";"0";"978";"16";"2";"14";"0";"962";"367";"165";"430"
"7722-175a-b04e-777f-c1ab-3309-2d7f-6749";"180501";"57";"20";"miasto";"stały";"Zespół Szkół Technicznych w Jaśle, ul. Staszica 30, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"619";"667";"262";"357";"3";"0";"0";"0";"0";"0";"0";"0";"0";"357";"0";"0";"357";"8";"1";"7";"0";"349";"123";"43";"183"
"0cb7-5b7d-082c-d145-99a1-8b74-3182-d1a0";"180501";"57";"21";"miasto";"stały";"MOSiR w Jaśle, ul. Sikorskiego 15, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"570";"590";"226";"344";"0";"0";"0";"0";"0";"0";"0";"0";"0";"344";"0";"0";"344";"6";"1";"5";"0";"338";"125";"59";"154"
"a3b3-1827-ce3e-3b0b-6c57-3089-32df-4440";"180501";"57";"22";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Jaśle, ul. Kopernika 8a, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"1280";"1383";"520";"760";"0";"6";"0";"0";"0";"0";"0";"0";"0";"760";"0";"0";"760";"13";"2";"11";"0";"747";"221";"114";"412"
"f72b-e3d5-cf8b-d6dc-a4c5-10ae-2cc4-d9ca";"180501";"57";"23";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Jaśle, ul. Kopernika 8a, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"780";"839";"270";"510";"0";"4";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"9";"1";"8";"0";"501";"171";"92";"238"
"9de5-306e-06d4-cc45-79e0-9987-fc01-90e6";"180501";"57";"24";"miasto";"stały";"Zespół Szkół Technicznych w Jaśle, ul. Staszica 30, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"700";"753";"301";"399";"1";"0";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"4";"0";"4";"0";"395";"105";"57";"233"
"8cd8-12d7-5fe5-ebe5-3119-f768-7eb2-ad74";"180501";"57";"25";"miasto";"stały";"Zespół Szkół Miejskich Nr 1 w Jaśle, Jasło, Gądki ul. Rafineryjna 3a, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"810";"869";"357";"453";"0";"1";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"10";"2";"8";"0";"443";"116";"65";"262"
"5564-1761-99af-6137-4d57-781d-4e04-75c3";"180501";"57";"26";"miasto";"stały";"Zespół Szkół Miejskich Nr 1 w Jaśle, ul. Rafineryjna 3a, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"920";"978";"399";"521";"0";"0";"0";"0";"0";"0";"0";"0";"0";"521";"0";"0";"521";"15";"4";"11";"0";"506";"143";"58";"305"
"7f68-4075-4ad9-7b48-8748-112d-a27c-880b";"180501";"57";"27";"miasto";"stały";"Dom Ludowy Niegłowice, Jasło, Niegłowice ul. Niegłowicka 27, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"410";"438";"161";"249";"0";"0";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"2";"0";"2";"0";"247";"45";"33";"169"
"1fd6-231a-8de5-28e6-97ec-289e-0482-fd07";"180501";"57";"28";"miasto";"zakład leczniczy";"Szpital Specjalistyczny w Jaśle, ul. Lwowska 22, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"250";"202";"201";"49";"0";"4";"0";"0";"0";"0";"0";"0";"0";"49";"0";"0";"49";"2";"1";"1";"0";"47";"15";"6";"26"
"1a42-7d88-447a-7fd7-08b3-9c25-92b3-f80a";"180501";"57";"29";"miasto";"zakład leczniczy";"Szpital Specjalistyczny w Jaśle, ul. Za Bursą 1, 38-200 Jasło";"m. Jasło";"jasielski";"podkarpackie";"35";"34";"30";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"5";"2";"0";"3"
"f5fd-8864-7bdc-cfa2-cbfa-5ff3-f99a-b151";"180502";"57";"1";"wieś";"stały";"Szkoła Podstawowa-świetlica, Błażkowa 125, 38-212 Brzyska";"gm. Brzyska";"jasielski";"podkarpackie";"580";"629";"193";"387";"0";"0";"0";"0";"0";"0";"0";"0";"0";"387";"0";"0";"387";"10";"0";"10";"0";"377";"23";"25";"329"
"9922-5798-b282-3839-4851-6e3b-2b1b-dfdd";"180502";"57";"2";"wieś";"stały";"Szkoła Podstawowa-sala lekcyjna, Błażkowa 125, 38-212 Brzyska";"gm. Brzyska";"jasielski";"podkarpackie";"600";"651";"260";"340";"0";"4";"0";"0";"0";"0";"0";"0";"0";"340";"0";"0";"340";"8";"3";"5";"0";"332";"30";"15";"287"
"885c-02c8-2a7c-d4e7-5a70-ed74-4cb7-9522";"180502";"57";"3";"wieś";"stały";"Szkoła Podstawowa-sala lekcyjna, Brzyska 348, 38-212 Brzyska";"gm. Brzyska";"jasielski";"podkarpackie";"880";"955";"304";"576";"1";"3";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"18";"4";"14";"0";"557";"22";"35";"500"
"bfd2-c676-2ac0-62f4-6734-dab4-c0c8-fdc1";"180502";"57";"4";"wieś";"stały";"Szkoła Podstawowa-świetlica, Brzyska 348, 38-212 Brzyska";"gm. Brzyska";"jasielski";"podkarpackie";"1020";"1098";"441";"579";"1";"2";"0";"0";"0";"0";"0";"0";"0";"579";"0";"0";"579";"13";"3";"10";"0";"566";"69";"35";"462"
"eb3f-eded-f003-fada-3ff2-972d-ce96-51c3";"180502";"57";"5";"wieś";"stały";"Dom Ludowy, Ujazd 26, 38-212 Brzyska";"gm. Brzyska";"jasielski";"podkarpackie";"370";"395";"144";"226";"0";"2";"0";"0";"0";"0";"0";"0";"0";"226";"0";"0";"226";"6";"1";"5";"0";"220";"30";"15";"175"
"d952-a4e9-7838-4614-b061-d1b2-d4b1-bec3";"180502";"57";"6";"wieś";"stały";"Dom Ludowy, Wróblowa 129, 38-212 Brzyska";"gm. Brzyska";"jasielski";"podkarpackie";"480";"518";"162";"318";"0";"1";"0";"0";"0";"0";"0";"0";"0";"317";"0";"0";"317";"9";"2";"7";"0";"308";"33";"27";"248"
"202a-b20e-6496-6c9e-914a-067d-eca2-bc46";"180502";"57";"7";"wieś";"stały";"Dom Ludowy, Dąbrówka 118, 38-211 Jasło";"gm. Brzyska";"jasielski";"podkarpackie";"880";"967";"270";"610";"0";"2";"0";"0";"0";"0";"0";"0";"0";"610";"0";"0";"610";"11";"1";"10";"0";"599";"81";"62";"456"
"a542-e54b-fc37-eafc-ddbe-ce0e-0623-ed06";"180503";"57";"1";"wieś";"stały";"Szkoła Podstawowa w Cieklinie, Cieklin 337, 38-222 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"1350";"1467";"485";"865";"1";"9";"0";"0";"0";"0";"0";"0";"0";"865";"0";"0";"865";"11";"0";"11";"0";"854";"91";"69";"694"
"15c6-65a2-5af2-2733-8a8b-5b0e-03b5-99da";"180503";"57";"2";"wieś";"stały";"Dom Ludowy w Radości, Radość 61, 38-222 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"450";"483";"189";"261";"0";"0";"0";"0";"0";"0";"0";"0";"0";"261";"0";"0";"261";"5";"0";"5";"0";"256";"24";"27";"205"
"5168-41c6-16f6-5b64-00d8-877e-a770-cc8f";"180503";"57";"3";"wieś";"stały";"Szkoła Podstawowa w Łazach Dębowieckich, Łazy Dębowieckie 202, 38-220 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"490";"532";"167";"323";"3";"0";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"12";"0";"12";"0";"311";"26";"17";"268"
"f5b8-c5d7-5ed4-22e9-7928-4a6e-197c-7a9a";"180503";"57";"4";"wieś";"stały";"Urząd Gminy Dębowiec, Dębowiec 101, 38-220 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"1620";"1764";"610";"1010";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1010";"0";"0";"1010";"13";"5";"8";"0";"997";"198";"106";"693"
"e76c-af57-6127-c724-6593-8365-85c5-c3ab";"180503";"57";"5";"wieś";"stały";"Dom Ludowy w Majscowej, Majscowa 171, 38-220 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"390";"419";"187";"203";"0";"0";"0";"0";"0";"0";"0";"0";"0";"203";"0";"0";"203";"2";"1";"1";"0";"201";"23";"23";"155"
"7626-2120-b73d-f724-eb5d-cd73-96df-99f5";"180503";"57";"6";"wieś";"stały";"Szkoła Podstawowa w Zarzeczu, Zarzecze 143, 38-220 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"780";"859";"256";"524";"0";"0";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"12";"4";"8";"0";"512";"67";"63";"382"
"c768-24de-9ed3-6252-0ec7-90b0-6bdc-2c3f";"180503";"57";"7";"wieś";"stały";"Szkoła Podstawowa w Woli Dębowieckiej, Wola Dębowiecka 33, 38-220 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"510";"548";"200";"310";"0";"2";"0";"0";"0";"0";"0";"0";"0";"310";"0";"0";"310";"2";"0";"2";"0";"308";"28";"30";"250"
"663c-4dc6-0894-c29d-3716-3e28-734e-ea9b";"180503";"57";"8";"wieś";"stały";"Szkoła Podstawowa w Dobryni, Dobrynia 53, 38-222 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"350";"384";"141";"209";"0";"2";"0";"0";"0";"0";"0";"0";"0";"209";"0";"0";"209";"6";"0";"6";"0";"203";"10";"16";"177"
"c53b-d2cb-2714-7c23-a45c-f759-226e-8745";"180503";"57";"9";"wieś";"stały";"Szkoła Podstawowa w Foluszu, Folusz 53, 38-222 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"310";"346";"145";"165";"0";"1";"0";"0";"0";"0";"0";"0";"0";"165";"0";"0";"165";"1";"0";"1";"0";"164";"26";"18";"120"
"6c4e-7e6f-e71e-691b-48f8-4b79-acdd-89cd";"180503";"57";"10";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Foluszu, Folusz 56, 38-222 Dębowiec";"gm. Dębowiec";"jasielski";"podkarpackie";"140";"133";"94";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"46";"0";"0";"0";"0";"46";"6";"10";"30"
"485d-468c-cf23-4763-5503-d0e2-55ca-cc4d";"180504";"57";"1";"wieś";"stały";"Dom Świetlicowy, Kowalowy 122, 38-200 Jasło";"gm. Jasło";"jasielski";"podkarpackie";"380";"413";"100";"280";"0";"0";"0";"0";"0";"0";"0";"0";"0";"280";"0";"0";"280";"4";"0";"4";"0";"276";"48";"34";"194"
"ff07-754f-cb68-61cd-658f-6179-f83b-f102";"180504";"57";"2";"wieś";"stały";"Dom Ludowy w Gorajowicach, Gorajowice 33, 38-200 Jasło";"gm. Jasło";"jasielski";"podkarpackie";"240";"250";"78";"162";"2";"0";"0";"0";"0";"0";"0";"0";"0";"162";"0";"0";"162";"5";"1";"4";"0";"157";"31";"18";"108"
"1bc4-2963-bff0-abe6-5b30-acd0-840b-2c77";"180504";"57";"3";"wieś";"stały";"Szkoła Podstawowa w Warzycach, Warzyce 205, 38-200 Jasło";"gm. Jasło";"jasielski";"podkarpackie";"680";"723";"218";"462";"0";"1";"0";"0";"0";"0";"0";"0";"0";"462";"0";"0";"462";"8";"2";"6";"0";"454";"100";"50";"304"
"b03c-811a-4d35-dae5-3696-9e78-913c-6b64";"180504";"57";"4";"wieś";"stały";"Szkoła Podstawowa w Warzycach, Warzyce 205, 38-200 Jasło";"gm. Jasło";"jasielski";"podkarpackie";"580";"618";"202";"378";"0";"0";"0";"0";"0";"0";"0";"0";"0";"378";"0";"0";"378";"2";"1";"1";"0";"376";"91";"53";"232"
"6d64-f1c4-196a-9516-8ef3-777b-2876-34c5";"180504";"57";"5";"wieś";"stały";"Dom Ludowy, Zimna Woda 13, 38-203 Szebnie";"gm. Jasło";"jasielski";"podkarpackie";"310";"330";"105";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"205";"0";"0";"205";"2";"0";"2";"0";"203";"53";"18";"132"
"e389-93c0-2d70-b0b5-a685-0b25-29eb-30b3";"180504";"57";"6";"wieś";"stały";"Dom Ludowy, Bierówka 171, 38-203 Szebnie";"gm. Jasło";"jasielski";"podkarpackie";"420";"449";"111";"309";"1";"0";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"6";"1";"5";"0";"303";"43";"27";"233"
"3850-ad27-0e76-9b50-b19d-2e4d-b88a-6c36";"180504";"57";"7";"wieś";"stały";"Szkoła podstawowa w Niepli, Niepla 195, 38-203 Szebnie";"gm. Jasło";"jasielski";"podkarpackie";"420";"459";"155";"265";"0";"0";"0";"0";"0";"0";"0";"0";"0";"265";"0";"0";"265";"2";"0";"2";"0";"263";"33";"8";"222"
"d470-7104-5f3d-b057-44a8-a146-5972-092c";"180504";"57";"8";"wieś";"stały";"Budynek Rekreacyjno-Sportowy w Chrząstówce, Chrząstówka, 38-203 Szebnie";"gm. Jasło";"jasielski";"podkarpackie";"240";"261";"73";"167";"0";"0";"0";"0";"0";"0";"0";"0";"0";"167";"0";"0";"167";"2";"0";"2";"0";"165";"53";"19";"93"
"1c62-49f8-4ca5-b57f-59ea-f39f-ed8b-c655";"180504";"57";"9";"wieś";"stały";"Dom Ludowy, Szebnie 46, 38-203 Szebnie";"gm. Jasło";"jasielski";"podkarpackie";"750";"803";"242";"508";"4";"1";"0";"0";"0";"0";"0";"0";"0";"508";"0";"0";"508";"9";"3";"6";"0";"499";"99";"79";"321"
