"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan Tadeusz DUDA";"Jerzy Feliks FEDOROWICZ"
"6e1c-9b20-ed16-5eab-3c2c-6c26-8fa4-e919";"126101";"32";"444";"miasto";"zakład karny";"Zakład Karny Kraków-Nowa Huta, ul. Spławy 2, 31-988 Kraków";"m. Kraków";"Kraków";"małopolskie";"300";"281";"123";"177";"0";"0";"0";"0";"0";"0";"0";"0";"0";"177";"0";"0";"177";"15";"0";"15";"0";"162";"54";"108"
"6406-1b0e-4e64-f4bd-e535-44f7-a6a0-2f62";"126101";"32";"445";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, os. Sportowe 9, 31-965 Kraków";"m. Kraków";"Kraków";"małopolskie";"45";"42";"22";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"0";"0";"0";"0";"23";"15";"8"
"208e-0f9f-e49e-2fc5-9762-108d-a0c2-d5c4";"126101";"32";"446";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, os. Szkolne 28, 31-977 Kraków";"m. Kraków";"Kraków";"małopolskie";"32";"37";"9";"23";"0";"1";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"1";"1";"0";"0";"22";"20";"2"
"e3b1-cbff-6f22-2e2c-98fb-90e6-328e-0fed";"126101";"32";"447";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, os. Hutnicze 5, 31-917 Kraków";"m. Kraków";"Kraków";"małopolskie";"25";"23";"2";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"0";"0";"0";"0";"23";"14";"9"
"0e39-de92-6633-8ed5-8394-e318-ee31-b112";"126101";"32";"448";"miasto";"zakład leczniczy";"Centrum Medyczne Ujastek Sp. z o. o., ul. Ujastek 3, 31-752 Kraków";"m. Kraków";"Kraków";"małopolskie";"95";"135";"13";"82";"0";"6";"0";"0";"0";"0";"0";"0";"0";"82";"0";"0";"82";"0";"0";"0";"0";"82";"43";"39"
"07d0-691d-e2d6-2318-8932-6210-fcbf-19d3";"126101";"32";"449";"miasto";"zakład leczniczy";"Szpital Specjalistyczny im. Stefana Żeromskiego SP ZOZ w Krakowie, os. Na Skarpie 66, 31-913 Kraków";"m. Kraków";"Kraków";"małopolskie";"140";"184";"12";"128";"0";"9";"0";"0";"0";"0";"0";"0";"0";"128";"0";"0";"128";"4";"0";"4";"0";"124";"74";"50"
"b574-ef0c-44dc-4cbc-08bd-3c08-96d5-3134";"";"44";"89";"zagranica";"zagranica";"Al Asad Air Base (AAAB), Al Asad, Republika Iraku";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"baef-dd2d-5baa-ead8-92bb-be2c-9a51-a1e2";"";"44";"119";"zagranica";"zagranica";"Novo Selo, Camp Maréshal de Lattre de Tassigny Novo Selo/Maxhunaj, Novo Selo/Maxhunaj, Republika Kosowa";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"77ff-e659-096f-60b8-dd11-2683-a7fa-42a7";"";"44";"1";"zagranica";"zagranica";"Airfield Building 13982 Disney&California Loop (South), APO AE09354, Bagram, Islamska Republika Afganistanu";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"8a16-233c-3cec-586f-4c5b-9e39-863f-1b4c";"";"44";"87";"zagranica";"zagranica";"Irbil, Agencja Konsularna RP Junction of Texas and Hawaii Street, 250, American Village, Khanzad, Irbil, Irbil, Republika Iraku";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"36ff-c714-1fd9-06a0-b9e4-4cb3-2031-a154";"";"44";"186";"zagranica";"zagranica";"Krajowa, Cercul Militar Craiova Strada Marin Sorescu nr 2 200642 Craiova, Craiova, Rumunia";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"fa31-6795-b9fb-c775-0559-2e68-10de-652d";"";"44";"88";"zagranica";"zagranica";"At-Taji, Camp Taji Joint Operations Base in Taji, At-Taji, Republika Iraku";"";"";"";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
