"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jacek BOGUCKI";"Igor ŁUKASZUK";"Aldona Anna SKIRGIEŁŁO"
"4819-47f8-8c63-3155-8148-be2a-671e-4573";"200301";"61";"11";"miasto";"stały";"Zespół Szkół Specjalnych im. Jana Pawła II, ul. Wojska Polskiego 17, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1678";"1829";"666";"1012";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1012";"0";"0";"1012";"13";"4";"9";"0";"999";"389";"565";"45"
"7748-31a1-cb75-98af-74c8-c23b-9871-5270";"200301";"61";"12";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. kpt. Władysława Wysockiego, ul. Władysława Wysockiego 6, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"1778";"1962";"645";"1133";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1133";"0";"0";"1133";"11";"3";"8";"0";"1122";"591";"491";"40"
"a9ce-d82d-3f94-2cf5-0900-b4bb-afed-db68";"200301";"61";"13";"miasto";"stały";"Agencja Restrukturyzacji i Modernizacji Rolnictwa, ul. Białowieska 113 D, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"956";"1060";"411";"545";"0";"1";"0";"0";"0";"0";"0";"0";"0";"545";"0";"0";"545";"11";"0";"11";"0";"534";"167";"342";"25"
"efd4-9310-9af6-83a3-cb0d-a7ad-e749-4ae6";"200301";"61";"14";"miasto";"zakład leczniczy";"Samodzielny Publiczny ZOZ, Kleszczelowska 1, 17-100 Bielsk Podlaski";"m. Bielsk Podlaski";"bielski";"podlaskie";"120";"78";"81";"39";"0";"3";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"39";"1";"0";"1";"0";"38";"15";"21";"2"
"de78-2cad-d092-57f0-fbf1-8efa-e9dd-674e";"200302";"61";"1";"miasto";"stały";"Miejski Ośrodek Kultury w Brańku, ul. Rynek 19, 17-120 Brańsk";"m. Brańsk";"bielski";"podlaskie";"1384";"1362";"589";"795";"1";"3";"0";"0";"0";"0";"0";"0";"0";"795";"0";"0";"795";"11";"6";"5";"0";"784";"605";"147";"32"
"c826-1941-0895-d59e-bfb2-98e0-089d-bdde";"200302";"61";"2";"miasto";"stały";"Urząd Miasta w Brańsku, ul. Rynek 8, 17-120 Brańsk";"m. Brańsk";"bielski";"podlaskie";"1407";"1499";"501";"906";"9";"8";"0";"0";"0";"0";"0";"0";"0";"906";"0";"0";"906";"12";"2";"10";"0";"894";"698";"158";"38"
"7526-e7f4-4a59-17d8-67de-e126-9985-069f";"200302";"61";"3";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej im. Jana Pawła II, ul. Jana Pawła II 12, 17-120 Brańsk";"m. Brańsk";"bielski";"podlaskie";"113";"105";"52";"61";"0";"0";"0";"0";"0";"0";"0";"0";"0";"61";"0";"0";"61";"4";"0";"4";"0";"57";"27";"25";"5"
"8c6f-f1f8-29bf-ecfb-37b6-2a65-c09d-1fba";"200303";"61";"1";"wieś";"stały";"Szkoła Podstawowa w Augustowie, Augustowo 30, 17-100 Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"716";"797";"385";"331";"1";"1";"0";"0";"0";"0";"0";"0";"0";"331";"0";"0";"331";"5";"0";"5";"0";"326";"183";"135";"8"
"326b-41e4-42a2-0289-df84-78b1-792a-3450";"200303";"61";"2";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Łubinie Kościelnym, Łubin Kościelny 40, 17-100 Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"697";"785";"267";"430";"2";"1";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"3";"0";"3";"0";"427";"331";"75";"21"
"05ac-83bd-9b0e-373d-475f-186f-5055-d7c6";"200303";"61";"3";"wieś";"stały";"Centrum Kultury Wiejskiej w Dubiażynie, Dubiażyn 100, 17-106 Orla";"gm. Bielsk Podlaski";"bielski";"podlaskie";"581";"649";"307";"274";"0";"6";"0";"0";"0";"0";"0";"0";"0";"274";"0";"0";"274";"2";"0";"2";"0";"272";"58";"201";"13"
"a4cb-9c82-2216-5a99-1aa2-6dee-2a38-9ad4";"200303";"61";"4";"wieś";"stały";"Ośrodek Kultury Lokalnej w Pilikach, Piliki 53, 17-100 Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"403";"449";"150";"253";"2";"0";"0";"0";"0";"0";"0";"0";"0";"253";"0";"0";"253";"2";"0";"2";"0";"251";"135";"90";"26"
"9916-445d-4855-3591-9b34-467e-98aa-6962";"200303";"61";"5";"wieś";"stały";"Sala Konferencyjna Urzędu Gminy w Bielsku Podlaskim, ul. Mickiewicza 46, 17-100 Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"655";"739";"322";"333";"0";"2";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"3";"2";"1";"0";"330";"52";"263";"15"
"d81c-4865-78da-d331-18f8-62c6-b129-a28e";"200303";"61";"6";"wieś";"stały";"Ośrodek Kultury Lokalnej w Proniewiczach, Proniewicze 12, 17-100 Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"391";"439";"139";"252";"0";"0";"0";"0";"0";"0";"0";"0";"0";"252";"0";"0";"252";"2";"0";"2";"0";"250";"138";"100";"12"
"2eab-7c4a-1fcf-e733-41c5-1fd9-599c-e564";"200303";"61";"7";"wieś";"stały";"Remiza Strażacka w Pasynkach, Pasynki 30, 17-100  Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"669";"753";"384";"285";"0";"0";"0";"0";"0";"0";"0";"0";"0";"285";"0";"0";"285";"3";"0";"3";"0";"282";"62";"209";"11"
"b244-9d74-5784-3399-500d-a707-3cd3-e568";"200303";"61";"8";"wieś";"stały";"Wiejski Dom Kultury w Rajsku, Rajsk 57/2, 17-100  Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"608";"688";"314";"294";"2";"1";"0";"0";"0";"0";"0";"0";"0";"294";"0";"0";"294";"5";"3";"2";"0";"289";"65";"203";"21"
"b6b4-68fb-d258-c62f-3340-9c16-8d19-8a40";"200303";"61";"9";"wieś";"stały";"Remiza Strażacka w Ploskach, Ploski 88, 17-100 Bielsk Podlaski";"gm. Bielsk Podlaski";"bielski";"podlaskie";"412";"460";"262";"150";"0";"2";"0";"0";"0";"0";"0";"0";"0";"150";"0";"0";"150";"3";"0";"3";"0";"147";"23";"115";"9"
"a20d-8b67-9853-20de-0e5c-2706-f693-110c";"200304";"61";"1";"wieś";"stały";"Świetlica wiejska w Andryjankach, Andryjanki 77, 17-111 Boćki";"gm. Boćki";"bielski";"podlaskie";"444";"504";"204";"240";"3";"3";"0";"0";"0";"0";"0";"0";"0";"240";"0";"0";"240";"6";"0";"6";"0";"234";"170";"48";"16"
"2ac5-b5b7-ac8a-dde8-5544-c8e3-e568-249c";"200304";"61";"2";"wieś";"stały";"Gminny Ośrodek Kultury w Boćkach, ul. Dubieńska 11, 17-111 Boćki";"gm. Boćki";"bielski";"podlaskie";"1291";"1402";"502";"789";"7";"2";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"16";"6";"10";"0";"773";"510";"206";"57"
"486c-77c5-41ba-ee0c-ecc4-5ba8-a0a6-d9f2";"200304";"61";"3";"wieś";"stały";"Wiejski Dom Kultury w Nurcu, Nurzec 34, 17-111 Boćki";"gm. Boćki";"bielski";"podlaskie";"630";"696";"381";"249";"1";"0";"0";"0";"0";"0";"0";"0";"0";"249";"0";"0";"249";"8";"1";"7";"0";"241";"52";"175";"14"
"a4a3-c9fe-47c4-8eef-98da-674c-89e8-31ff";"200304";"61";"4";"wieś";"stały";"Świetlica Wiejska we wsi Olszewo, Olszewo 36, 17-111 Boćki";"gm. Boćki";"bielski";"podlaskie";"479";"544";"201";"278";"1";"2";"0";"0";"0";"0";"0";"0";"0";"278";"0";"0";"278";"3";"2";"1";"0";"275";"223";"38";"14"
"5d97-1005-c0a7-829f-9fbf-5beb-62f2-9aa2";"200304";"61";"5";"wieś";"stały";"Świetlica Wiejska we wsi Sielc, Sielc 37, 17-120 Brańsk";"gm. Boćki";"bielski";"podlaskie";"451";"487";"171";"280";"2";"1";"0";"0";"0";"0";"0";"0";"0";"280";"0";"0";"280";"8";"2";"6";"0";"272";"232";"21";"19"
"541b-0bf9-756f-40e3-89aa-8189-3c24-b52a";"200305";"61";"1";"wieś";"stały";"Gminny Ośrodek Upowszechniania Kultury w Kalnicy, Kalnica 54, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"503";"549";"198";"305";"3";"2";"0";"0";"0";"0";"0";"0";"0";"305";"0";"0";"305";"5";"1";"4";"0";"300";"260";"29";"11"
"9cae-fa3d-1b31-9798-2bff-7dcd-94a6-c2a1";"200305";"61";"2";"wieś";"stały";"Szkoła Podstawowa w Chojewie, Chojewo 109, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"284";"320";"71";"213";"0";"2";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"0";"0";"0";"0";"213";"193";"11";"9"
"d8f9-5f9f-ebd7-3444-e79b-7d0a-71ef-f691";"200305";"61";"3";"wieś";"stały";"Remiza OSP Popławy, Popławy 76, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"547";"606";"221";"326";"1";"0";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"1";"0";"1";"0";"325";"268";"43";"14"
"ce02-00a0-021d-9cd4-9759-aa6a-f13c-17dc";"200305";"61";"4";"wieś";"stały";"Remiza OSP Klichy, Klichy 98, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"384";"429";"136";"248";"1";"2";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"2";"1";"1";"0";"246";"204";"35";"7"
"8066-7210-21b1-985c-345e-4d3d-1402-20b6";"200305";"61";"5";"wieś";"stały";"Szkoła Podstawowa w Domanowie, Domanowo 19a, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"785";"874";"266";"519";"2";"2";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"7";"3";"4";"0";"512";"461";"34";"17"
"eb10-73f9-8b4f-e7f9-891e-9b67-c4d8-93e1";"200305";"61";"6";"wieś";"stały";"Szkoła Podstawowa w Domanowie, Szkoła Filialna w Świrydach, Świrydy 2, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"591";"651";"210";"381";"0";"3";"0";"0";"0";"0";"0";"0";"0";"381";"0";"0";"381";"6";"4";"2";"0";"375";"333";"29";"13"
"f9f0-7bb4-834c-d908-b0c6-a43a-9da0-fed5";"200305";"61";"7";"wieś";"stały";"Publiczne Gimnazjum w Glinniku, Glinnik 40c, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"587";"644";"179";"408";"0";"1";"0";"0";"0";"0";"0";"0";"0";"408";"0";"0";"408";"4";"2";"2";"0";"404";"370";"19";"15"
"a911-586a-7eab-87a3-4d5c-87ef-c719-26a8";"200305";"61";"8";"wieś";"stały";"Izba Tradycji Regionalnej i Rolnictwa w Szmurłach, Szmurły 31, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"332";"367";"113";"219";"1";"1";"0";"0";"0";"0";"0";"0";"0";"219";"0";"0";"219";"1";"1";"0";"0";"218";"189";"17";"12"
"89ed-7c1e-3268-f909-5135-53b2-8b39-d925";"200305";"61";"9";"wieś";"stały";"Remiza OSP Lubieszcze, Lubieszcze 39A, 17-120 Brańsk";"gm. Brańsk";"bielski";"podlaskie";"226";"256";"66";"160";"1";"0";"0";"0";"0";"0";"0";"0";"0";"160";"0";"0";"160";"1";"1";"0";"0";"159";"139";"13";"7"
"52b4-6d67-b3f0-6938-22af-a439-768d-818b";"200306";"61";"1";"wieś";"stały";"Gminne Centrum Kultury w Orli, ul. Mickiewicza 4, 17-106 Orla";"gm. Orla";"bielski";"podlaskie";"675";"761";"294";"381";"0";"2";"0";"0";"0";"0";"0";"0";"0";"381";"0";"0";"381";"9";"4";"5";"0";"372";"65";"289";"18"
"c687-c105-4519-b23a-926f-83a1-31dd-93b0";"200306";"61";"2";"wieś";"stały";"Szkoła Podstawowa z dodatkowym nauczaniem języka białoruskiego w Orli, ul. Bielska 32, 17-106 Orla";"gm. Orla";"bielski";"podlaskie";"725";"824";"392";"333";"3";"4";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"2";"1";"1";"0";"331";"90";"225";"16"
"7c5c-dfb8-2c98-a3fe-6f2e-720f-b730-47f1";"200306";"61";"3";"wieś";"stały";"Świetlica wiejska w Paszkowszczyźnie, Paszkowszczyzna 80, 17-106 Orla";"gm. Orla";"bielski";"podlaskie";"274";"308";"141";"133";"0";"0";"0";"0";"0";"0";"0";"0";"0";"133";"0";"0";"133";"1";"0";"1";"0";"132";"27";"98";"7"
"901e-70b3-ec7c-dc3a-c403-fef9-e981-b2d7";"200306";"61";"4";"wieś";"stały";"Świetlica wiejska w Dydulach, Dydule 60, 17-106 Orla";"gm. Orla";"bielski";"podlaskie";"266";"304";"142";"124";"1";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"124";"3";"0";"3";"0";"121";"22";"93";"6"
"8e25-e853-2c2a-7d54-d05c-818d-d36b-9fb8";"200306";"61";"5";"wieś";"stały";"Świetlica wiejska w Wólce Wygonowskiej, Wólka Wygonowska 62b, 17-106 Orla";"gm. Orla";"bielski";"podlaskie";"206";"249";"113";"93";"1";"3";"0";"0";"0";"0";"0";"0";"0";"93";"0";"0";"93";"2";"0";"2";"0";"91";"20";"63";"8"
"bbec-9e33-2781-5909-42d5-5696-2127-0a69";"200307";"61";"1";"wieś";"stały";"Świetlica Wiejska w Rudce, ul. Wolności 1, 17-123 Rudka";"gm. Rudka";"bielski";"podlaskie";"1062";"1157";"467";"595";"7";"3";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"15";"4";"11";"0";"580";"438";"112";"30"
"9845-b78d-8181-e3f0-97db-20f1-72a6-528b";"200307";"61";"2";"wieś";"stały";"Świetlica Wiejska w Kocach Borowych, Koce Borowe 1, 17-123 Rudka";"gm. Rudka";"bielski";"podlaskie";"315";"345";"123";"192";"2";"1";"0";"0";"0";"0";"0";"0";"0";"192";"0";"0";"192";"0";"0";"0";"0";"192";"166";"22";"4"
"58c8-6183-2477-d35e-d2c1-691a-d42d-5a2d";"200308";"61";"1";"wieś";"stały";"Szkoła Podstawowa im. Prezydenta Ryszarda Kaczorowskiego w Strabli, Strabla ul. Wesoła 2A, 17-132 Wyszki";"gm. Wyszki";"bielski";"podlaskie";"704";"781";"286";"418";"0";"2";"0";"0";"0";"0";"0";"0";"0";"418";"0";"0";"418";"5";"2";"3";"0";"413";"329";"64";"20"
"8c29-7576-9045-7ff3-0d3c-9310-7a16-99e4";"200308";"61";"2";"wieś";"stały";"Szkoła Podstawowa im. księdza Franciszka Jakuba Falkowskiego w Topczewie, Topczewo ul. Szkolna 2, 17-132 Wyszki";"gm. Wyszki";"bielski";"podlaskie";"1089";"1197";"412";"677";"2";"8";"0";"0";"0";"0";"0";"0";"0";"677";"0";"0";"677";"5";"2";"3";"0";"672";"547";"102";"23"
"dee7-e04b-a89d-e903-29d0-d425-bdea-19d7";"200308";"61";"3";"wieś";"stały";"Gminne Centrum Biblioteczno-Kulturalne w Wyszkach, ul. Piórkowska 30, 17-132 Wyszki";"gm. Wyszki";"bielski";"podlaskie";"1420";"1580";"488";"932";"7";"2";"0";"0";"0";"0";"0";"0";"0";"932";"0";"0";"932";"10";"5";"5";"0";"922";"796";"99";"27"
"01be-40db-1600-2e0c-f999-8895-a0dd-ab36";"200501";"61";"1";"miasto";"stały";"Hajnowski Dom Kultury, ul. Tamary Sołoniewicz 4, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1409";"1555";"536";"873";"0";"10";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"13";"4";"9";"0";"860";"153";"646";"61"
"8ef6-590c-1f6e-b201-ec0e-1f88-2cee-24dd";"200501";"61";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Walerego Wróblewskiego 2, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1300";"1431";"587";"713";"2";"9";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"12";"3";"9";"0";"701";"193";"460";"48"
"5262-5b42-73a5-43b0-8047-f895-b375-9e9b";"200501";"61";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Nowowarszawska 20, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1287";"1368";"552";"735";"0";"5";"0";"0";"0";"0";"0";"0";"0";"735";"0";"0";"735";"13";"6";"7";"0";"722";"182";"486";"54"
"00ee-b889-f1a2-0883-7b09-e5c4-e026-60e3";"200501";"61";"4";"miasto";"stały";"Przedszkole Nr 1, ul. Władysława Jagiełły 7, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1412";"1533";"653";"759";"1";"3";"0";"0";"0";"0";"0";"0";"0";"759";"0";"0";"759";"10";"4";"6";"0";"749";"264";"432";"53"
"049b-bfe8-988a-105c-4e7b-c6e6-ed3d-b60c";"200501";"61";"5";"miasto";"stały";"Przedszkole Nr 3, ul. Rzeczna 3, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1607";"1715";"671";"936";"0";"4";"1";"1";"0";"0";"0";"0";"1";"937";"1";"0";"937";"16";"5";"11";"0";"921";"259";"607";"55"
"22d3-f2b9-66fe-2500-dacc-fb17-abda-804a";"200501";"61";"6";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. 11 Listopada 24, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"728";"785";"331";"397";"0";"0";"0";"0";"0";"0";"0";"0";"0";"397";"0";"0";"397";"5";"3";"2";"0";"392";"115";"253";"24"
"834b-3bfa-33f9-2b90-db73-ba4b-4909-33ad";"200501";"61";"7";"miasto";"stały";"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Doc. Adama Dowgirda 9, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"828";"887";"310";"518";"0";"2";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"8";"3";"5";"0";"510";"114";"367";"29"
"ba97-40a5-11c5-6354-7faa-fa36-81ea-2685";"200501";"61";"8";"miasto";"stały";"Zespół Szkół z Dodatkową Nauką Języka Białoruskiego, ul. Marszałka Józefa Piłsudskiego 3, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1411";"1518";"613";"798";"0";"12";"0";"0";"0";"0";"0";"0";"0";"798";"0";"0";"798";"10";"0";"10";"0";"788";"269";"481";"38"
"6fef-ec67-bc38-f8f3-3b5b-f649-9fc0-1f93";"200501";"61";"9";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. 3 Maja 54, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1424";"1538";"627";"797";"2";"10";"0";"0";"0";"0";"0";"0";"0";"797";"0";"0";"797";"18";"6";"12";"0";"779";"326";"409";"44"
"707f-b354-1050-8ea5-515b-38a8-30e1-45ed";"200501";"61";"10";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Nowowarszawska 20, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"726";"765";"303";"423";"0";"1";"0";"0";"0";"0";"0";"0";"0";"423";"0";"0";"423";"6";"5";"1";"0";"417";"69";"318";"30"
"7272-bd51-1d08-9179-a499-8a30-7c9c-8bcf";"200501";"61";"11";"miasto";"stały";"Przedszkole Nr 5, ul. Mikołaja Reja 2, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1525";"1647";"643";"882";"0";"8";"0";"0";"0";"0";"0";"0";"0";"882";"0";"0";"882";"17";"2";"15";"0";"865";"243";"583";"39"
"be28-a763-b798-0e87-941f-4427-dcd4-933b";"200501";"61";"12";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Działowa 1, 17-200 Hajnówka";"m. Hajnówka";"hajnowski";"podlaskie";"1614";"1734";"599";"1015";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1015";"0";"0";"1015";"12";"3";"9";"0";"1003";"246";"693";"64"
