"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek Henryk BUBEL";"Andrzej MACIEJEWSKI";"Jarosław Marek SŁOMA";"Lidia Ewa STAROŃ"
"cece-63a5-f210-766f-ed16-98cc-f306-b629";"281104";"86";"6";"miasto";"stały";"Centrum Rehabilitacyjno-Edukacyjne w Nidzicy, ul. Krzywa 8, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"811";"874";"345";"466";"1";"3";"0";"0";"0";"0";"0";"0";"0";"466";"0";"0";"466";"4";"0";"4";"0";"462";"8";"69";"60";"325"
"0e39-6b8a-3acb-db31-82db-d8ee-9d23-9b8c";"281104";"86";"7";"miasto";"stały";"Przedszkole Nr 2 w Nidzicy, ul. 1 Maja 36, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"639";"689";"255";"384";"1";"4";"0";"0";"0";"0";"0";"0";"0";"384";"0";"0";"384";"4";"0";"4";"0";"380";"12";"46";"62";"260"
"c6b2-669d-43ea-368a-b902-bdc2-d214-f750";"281104";"86";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3 im. Janusza Korczaka w Nidzicy, ul. 1 Maja 42, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1581";"1707";"569";"1012";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1012";"0";"0";"1012";"14";"3";"11";"0";"998";"25";"101";"208";"664"
"1728-9fbd-4fb4-213d-ff57-5eed-8103-9ff5";"281104";"86";"9";"wieś";"stały";"Szkoła Podstawowa im. prof. Romana Kobendzy w Łynie, Łyna 26, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1019";"1124";"604";"415";"0";"10";"0";"0";"0";"0";"0";"0";"0";"415";"0";"0";"415";"5";"0";"5";"0";"410";"17";"54";"48";"291"
"9f85-5d94-ce5e-ce75-a7a2-194c-e303-fe6e";"281104";"86";"10";"wieś";"stały";"Szkoła Podstawowa im. Stanisława Mikołajczyka w Rączkach, Rączki 30, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"650";"731";"331";"319";"0";"5";"0";"0";"0";"0";"0";"0";"0";"319";"0";"0";"319";"10";"3";"7";"0";"309";"13";"33";"35";"228"
"a8f3-12b2-cb8f-abe8-ec74-a19c-a8c9-9b24";"281104";"86";"11";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II w Napiwodzie, Napiwoda 25A, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1021";"1125";"450";"571";"0";"10";"0";"0";"0";"0";"0";"0";"0";"571";"0";"0";"571";"11";"2";"9";"0";"560";"31";"56";"120";"353"
"3e3f-1ce3-89f8-189c-de36-cfce-4676-0480";"281104";"86";"12";"wieś";"stały";"Świetlica wiejska w Grzegórzkach, Grzegórzki 25/1, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"400";"426";"187";"213";"0";"0";"0";"0";"0";"0";"0";"0";"0";"213";"0";"0";"213";"10";"4";"6";"0";"203";"2";"40";"21";"140"
"d73e-4450-8c43-e9d0-44fb-b387-1889-cce6";"281104";"86";"13";"wieś";"stały";"Miejski Ośrodek Pomocy Społecznej w Nidzicy, ul. Kolejowa 5, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"1421";"1565";"699";"722";"0";"3";"0";"0";"0";"0";"0";"0";"0";"721";"0";"0";"721";"16";"3";"13";"0";"705";"22";"96";"98";"489"
"8e3d-c4bb-3dc9-74e7-2e1e-bc4d-0f6c-b7fe";"281104";"86";"14";"wieś";"stały";"Świetlica wiejska w Kanigowie, Kanigowo 18, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"551";"607";"314";"237";"0";"2";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"4";"0";"4";"0";"233";"12";"15";"17";"189"
"ffa9-e81e-527f-b2fc-3dfc-21c6-ace4-4542";"281104";"86";"15";"miasto";"zakład leczniczy";"Zespół Opieki Zdrowotnej w Nidzicy, ul. Mickiewicza 23, 13-100 Nidzica";"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";"99";"32";"84";"15";"0";"2";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"1";"0";"1";"0";"14";"2";"3";"0";"9"
