"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Janusz Andrzej PĘCHERZ";"Andrzej Franciszek WOJTYŁA"
"2cce-bf48-58da-ea9f-6f22-20f3-b62b-f18d";"300602";"96";"9";"miasto";"stały";"Zespół Szkół Nr 5, ul. Ludwika Waryńskiego 11, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1240";"1392";"359";"881";"2";"7";"0";"0";"0";"0";"0";"0";"0";"881";"0";"0";"881";"34";"8";"26";"0";"847";"494";"353"
"dc68-a28e-7056-ed30-80c5-0bb3-eb2b-b2b4";"300602";"96";"10";"miasto";"stały";"Zespół Szkół Nr 5, ul. Ludwika Waryńskiego 11, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"2670";"2890";"841";"1829";"3";"5";"1";"1";"0";"0";"0";"0";"1";"1830";"1";"0";"1830";"73";"6";"67";"0";"1757";"1058";"699"
"07cb-0a9c-3c9a-d838-28ed-c49e-00b3-5033";"300602";"96";"11";"miasto";"stały";"Niepubliczne Przedszkole „Stokrotka”, ul. Generała Józefa Hallera 8a, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1430";"1548";"449";"981";"0";"0";"1";"1";"0";"0";"0";"0";"1";"981";"1";"0";"981";"39";"10";"29";"0";"942";"552";"390"
"cb2c-154d-74a4-63e1-9d64-7686-1c23-6af3";"300602";"96";"12";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Wrocławska 168, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"2681";"2938";"1064";"1617";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1617";"0";"0";"1617";"62";"15";"47";"0";"1555";"814";"741"
"eede-a49a-1e4e-7de9-de64-575d-33a0-c810";"300602";"96";"13";"miasto";"stały";"Centrum Socjalne, ul. Wrocławska 39, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1670";"1810";"546";"1124";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1124";"0";"0";"1124";"55";"30";"25";"0";"1069";"630";"439"
"4e64-4597-6b72-f16c-0322-b006-17b7-40f0";"300602";"96";"14";"miasto";"stały";"Zespół Szkół Ponadpodstawowych Nr 2, ul. Franciszkańska 2, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1530";"1667";"441";"1089";"1";"2";"1";"1";"0";"0";"0";"0";"1";"1090";"1";"0";"1090";"41";"6";"35";"0";"1049";"603";"446"
"b261-525b-6187-035e-909a-81df-1518-1310";"300602";"96";"15";"miasto";"stały";"Zespół Szkół Nr 4, ul. Marii Curie-Skłodowskiej 4, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1779";"1921";"521";"1258";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1258";"0";"0";"1258";"49";"43";"6";"0";"1209";"713";"496"
"3cb6-c2b7-fbc7-1919-d465-be18-2b93-f8ee";"300602";"96";"16";"miasto";"stały";"Zespół Szkół Nr 4, ul. Marii Curie-Skłodowskiej 4, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1859";"2030";"566";"1293";"1";"3";"1";"1";"0";"0";"0";"0";"1";"1284";"1";"0";"1284";"37";"11";"26";"0";"1247";"756";"491"
"5cde-5249-eb0b-db27-2c70-606f-e731-68eb";"300602";"96";"17";"miasto";"stały";"Zespół Szkół Nr 4, ul. Marii Curie-Skłodowskiej 4, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"1260";"1370";"330";"930";"0";"17";"0";"0";"0";"0";"0";"0";"0";"929";"0";"0";"929";"35";"9";"26";"0";"894";"549";"345"
"babb-f6cf-d626-e39c-e659-fd3e-cf49-8caa";"300602";"96";"18";"miasto";"zakład leczniczy";"„Szpital Powiatowy w Jarocinie” Sp. z o. o., ul. Szpitalna 1, 63-200 Jarocin";"gm. Jarocin";"jarociński";"wielkopolskie";"140";"56";"117";"23";"0";"3";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"3";"0";"3";"0";"20";"12";"8"
"2fa6-db56-5945-bc02-0c53-843e-2561-52df";"300603";"96";"1";"wieś";"stały";"Biblioteka Publiczna Gminy Kotlin, ul. Powstańców Wielkopolskich 3a, 63-220 Kotlin";"gm. Kotlin";"jarociński";"wielkopolskie";"1130";"1221";"431";"699";"0";"1";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"37";"9";"28";"0";"662";"315";"347"
"33d4-8a04-74b9-7bf4-c3b0-d465-f663-9eaa";"300603";"96";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Marii Konopnickiej 22, 63-220 Kotlin";"gm. Kotlin";"jarociński";"wielkopolskie";"1209";"1323";"384";"825";"1";"1";"0";"0";"0";"0";"0";"0";"0";"825";"0";"0";"825";"39";"8";"31";"0";"786";"376";"410"
"3159-c510-1d71-4f39-b7c5-e25b-b174-aa34";"300603";"96";"3";"wieś";"stały";"Szkoła Podstawowa, Magnuszewice 17, 63-220 Kotlin";"gm. Kotlin";"jarociński";"wielkopolskie";"890";"982";"359";"531";"0";"0";"0";"0";"0";"0";"0";"0";"0";"531";"0";"0";"531";"28";"1";"27";"0";"503";"157";"346"
"7a04-59dc-55ca-e49d-b72e-b85e-629e-06aa";"300603";"96";"4";"wieś";"stały";"Szkoła Podstawowa Sławoszew z siedzibą w Parzewie, Parzew 6a, 63-220 Kotlin";"gm. Kotlin";"jarociński";"wielkopolskie";"799";"876";"350";"449";"0";"0";"0";"0";"0";"0";"0";"0";"0";"449";"0";"0";"449";"20";"7";"13";"0";"429";"155";"274"
"5fcf-211c-6d5e-5d78-587f-092d-131e-1746";"300603";"96";"5";"wieś";"stały";"Szkoła Podstawowa, Wola Książęca 103, 63-220 Kotlin";"gm. Kotlin";"jarociński";"wielkopolskie";"1060";"1155";"541";"519";"0";"0";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"20";"2";"18";"0";"499";"185";"314"
"4bfe-2532-e929-b26f-55ad-cee4-ac66-3474";"300604";"96";"1";"miasto";"stały";"Środowiskowa Hala Sportowa, ul. Cmentarna 10, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"1560";"1699";"410";"1150";"2";"8";"0";"0";"0";"0";"0";"0";"0";"1150";"0";"0";"1150";"36";"3";"33";"0";"1114";"541";"573"
"b044-682d-164b-aa96-2d02-a3a1-d944-4ea1";"300604";"96";"2";"wieś";"stały";"Hala Sportowa, Chrzan ul. Żerkowska 3, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"720";"783";"270";"450";"0";"0";"0";"0";"0";"0";"0";"0";"0";"450";"0";"0";"450";"14";"2";"12";"0";"436";"162";"274"
"849f-0ed4-8b84-f5f4-b148-a98b-e671-50bd";"300604";"96";"3";"wieś";"stały";"Szkoła Podstawowa, Dobieszczyzna 32a, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"1110";"1212";"483";"627";"0";"0";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"19";"1";"18";"0";"608";"195";"413"
"bd6a-474e-cdb6-d706-4b52-e8ee-5ede-a43f";"300604";"96";"4";"wieś";"stały";"Szkoła Podstawowa, Komorze Przybysławskie 18, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"910";"1006";"380";"530";"0";"0";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"22";"5";"17";"0";"507";"204";"303"
"86df-2d50-dd27-085c-437f-77ff-7ff8-98a3";"300604";"96";"5";"wieś";"stały";"Świetlica Wiejska, Brzóstków 46, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"480";"523";"213";"267";"0";"0";"0";"0";"0";"0";"0";"0";"0";"267";"0";"0";"267";"7";"2";"5";"0";"260";"85";"175"
"84bd-8a7a-d4cc-4860-c948-a4e4-62b5-35ad";"300604";"96";"6";"wieś";"stały";"Szkoła Podstawowa, ul. Cmentarna 10, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"1650";"1811";"729";"921";"1";"5";"0";"0";"0";"0";"0";"0";"0";"918";"0";"0";"918";"23";"4";"19";"0";"895";"314";"581"
"9e35-ea10-0341-4c7e-3c83-16bb-928c-9720";"300604";"96";"7";"wieś";"stały";"Świetlica Wiejska, Żerniki 29, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"540";"590";"248";"292";"0";"0";"0";"0";"0";"0";"0";"0";"0";"292";"0";"0";"292";"8";"0";"8";"0";"284";"68";"216"
"e414-e8b2-763d-a7d4-6912-f440-483d-3ab2";"300604";"96";"8";"wieś";"stały";"Szkoła Podstawowa w Chrzanie, Budynek Szkoły, Stęgosz 106, 63-210 Żerków";"gm. Żerków";"jarociński";"wielkopolskie";"500";"543";"203";"297";"0";"0";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"6";"0";"6";"0";"291";"74";"217"
"3147-5b17-f5dd-7792-be45-1208-1ca0-23ab";"300701";"96";"1";"wieś";"stały";"Szkoła Podstawowa, Blizanów Drugi 56, 62-814 Blizanów";"gm. Blizanów";"kaliski";"wielkopolskie";"900";"982";"394";"506";"0";"2";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"14";"4";"10";"0";"492";"188";"304"
"25dc-5e94-ec3f-4e22-8233-d4d7-2225-4a98";"300701";"96";"2";"wieś";"stały";"Sala OSP, Lipe 45, 62-814 Blizanów";"gm. Blizanów";"kaliski";"wielkopolskie";"880";"968";"453";"427";"0";"0";"0";"0";"0";"0";"0";"0";"0";"427";"0";"0";"427";"16";"5";"11";"0";"411";"143";"268"
"6c33-3e84-8ff6-1b48-63ca-3ae7-897a-c24d";"300701";"96";"3";"wieś";"stały";"Rychnowskie Stowarzyszenie na Rzecz Dzieci i Młodzieży, Rychnów 16, 62-814 Blizanów";"gm. Blizanów";"kaliski";"wielkopolskie";"810";"895";"293";"517";"1";"1";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"15";"4";"11";"0";"502";"167";"335"
"3822-c1d8-7c0e-93e6-bdf8-52a1-5545-beba";"300701";"96";"4";"wieś";"stały";"Sala OSP, Jastrzębniki 48, 62-812 Jastrzębniki";"gm. Blizanów";"kaliski";"wielkopolskie";"570";"626";"240";"330";"0";"0";"0";"0";"0";"0";"0";"0";"0";"330";"0";"0";"330";"18";"8";"10";"0";"312";"106";"206"
"e759-93b7-f1b1-0de6-908d-0798-e741-c9fb";"300701";"96";"5";"wieś";"stały";"Szkoła Podstawowa, Piotrów 65, 62-812 Jastrzębniki";"gm. Blizanów";"kaliski";"wielkopolskie";"1741";"1906";"493";"1248";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1246";"0";"1";"1245";"32";"9";"23";"0";"1213";"505";"708"
"6244-1092-8746-e1f9-9d2a-4e1b-23d0-6ce5";"300701";"96";"6";"wieś";"stały";"Budynek poszkolny, Pruszków 12, 62-800 Kalisz";"gm. Blizanów";"kaliski";"wielkopolskie";"930";"1005";"274";"656";"0";"1";"0";"0";"0";"0";"0";"0";"0";"656";"0";"0";"656";"20";"9";"11";"0";"636";"321";"315"
"2159-c2d4-7860-d32d-2c3b-c11b-a8bf-5fa2";"300701";"96";"7";"wieś";"stały";"Szkoła Podstawowa, Janków Pierwszy 78, 62-814 Blizanów";"gm. Blizanów";"kaliski";"wielkopolskie";"1000";"1099";"450";"550";"0";"0";"0";"0";"0";"0";"0";"0";"0";"550";"0";"0";"550";"24";"6";"18";"0";"526";"208";"318"
"7162-50d3-fd03-1119-a66c-ea24-dee2-29fb";"300701";"96";"8";"wieś";"stały";"Szkoła Filialna, Brudzew 11, 62-814 Blizanów";"gm. Blizanów";"kaliski";"wielkopolskie";"430";"465";"184";"246";"0";"0";"0";"0";"0";"0";"0";"0";"0";"246";"0";"0";"246";"10";"6";"4";"0";"236";"97";"139"
"d900-6a52-2075-d3a4-93fd-07ba-ef58-4335";"300702";"96";"1";"wieś";"stały";"Szkoła Podstawowa w Brzezinach, ul. Wrocławska 17, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"860";"936";"282";"578";"3";"3";"0";"0";"0";"0";"0";"0";"0";"578";"0";"0";"578";"22";"10";"12";"0";"556";"246";"310"
"0973-066c-6000-0639-d3b2-a761-6a0a-d0ad";"300702";"96";"2";"wieś";"stały";"Przedszkole w Brzezinach, ul. Gimnazjalna 1, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"620";"677";"185";"435";"0";"2";"0";"0";"0";"0";"0";"0";"0";"435";"0";"0";"435";"16";"8";"8";"0";"419";"181";"238"
"e1e4-7713-42b4-8223-5b27-851a-02db-ee5e";"300702";"96";"3";"wieś";"stały";"Budynek Ochotniczej Straży Pożarnej w Ostrowie Kaliskim, Ostrów Kaliski 41, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"510";"561";"196";"314";"0";"1";"0";"0";"0";"0";"0";"0";"0";"314";"0";"0";"314";"11";"1";"10";"0";"303";"119";"184"
"9138-52a7-e0e3-673b-d560-6d70-173a-cee1";"300702";"96";"4";"wieś";"stały";"Budynek Ochotniczej Straży Pożarnej w Dzięciołach, Dzięcioły 61, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"630";"687";"301";"329";"0";"0";"0";"0";"0";"0";"0";"0";"0";"329";"0";"0";"329";"11";"2";"9";"0";"318";"107";"211"
"624e-3399-6b8b-a041-e2bb-4c61-5e37-df30";"300702";"96";"5";"wieś";"stały";"Szkoła Podstawowa w Sobiesękach, Sobiesęki 11, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"540";"587";"259";"281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"281";"0";"0";"281";"14";"1";"13";"0";"267";"80";"187"
"980e-0474-e28e-263a-c04d-4bb4-ca6e-f6a3";"300702";"96";"6";"wieś";"stały";"Szkoła Podstawowa w Aleksandrii, Aleksandria 120, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"661";"728";"225";"436";"0";"0";"0";"0";"0";"0";"0";"0";"0";"436";"0";"0";"436";"15";"1";"14";"0";"421";"150";"271"
"c373-e8ef-1a29-dd7e-e0b7-79b0-26df-46af";"300702";"96";"7";"wieś";"stały";"Budynek po Szkole Podstawowej w Przystajni, Przystajnia 18, 62-874 Brzeziny";"gm. Brzeziny";"kaliski";"wielkopolskie";"420";"461";"190";"230";"0";"2";"0";"0";"0";"0";"0";"0";"0";"230";"0";"0";"230";"14";"2";"12";"0";"216";"66";"150"
"4c3e-0c1e-1e43-90c0-32cb-87b6-1e03-55b7";"300703";"96";"1";"wieś";"stały";"Szkoła Podstawowa w Cekowie-Kolonii, Ceków-Kolonia 2, 62-834 Ceków";"gm. Ceków-Kolonia";"kaliski";"wielkopolskie";"1571";"1739";"649";"922";"0";"6";"0";"0";"0";"0";"0";"0";"0";"922";"0";"0";"922";"56";"3";"53";"0";"866";"404";"462"
"adea-487e-0445-bef6-b2e1-dcd5-e593-dc03";"300703";"96";"2";"wieś";"stały";"Szkoła Podstawowa w Morawinie, Morawin 27, 62-834 Ceków";"gm. Ceków-Kolonia";"kaliski";"wielkopolskie";"760";"816";"339";"421";"0";"0";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"19";"5";"14";"0";"402";"193";"209"
"6627-9869-3715-dd66-e3df-1de2-78d4-2bd5";"300703";"96";"3";"wieś";"stały";"Szkoła Podstawowa w Kamieniu, Kamień 34A, 62-834 Ceków";"gm. Ceków-Kolonia";"kaliski";"wielkopolskie";"850";"941";"302";"548";"1";"2";"0";"0";"0";"0";"0";"0";"0";"548";"0";"0";"548";"24";"3";"21";"0";"524";"261";"263"
"4afe-3528-f7b9-33c3-b80c-63e7-298c-4eae";"300703";"96";"4";"wieś";"stały";"Ochotnicza Straż Pożarna, Przespolew Pański 34A, 62-834 Ceków";"gm. Ceków-Kolonia";"kaliski";"wielkopolskie";"300";"319";"107";"193";"0";"2";"0";"0";"0";"0";"0";"0";"0";"193";"0";"0";"193";"4";"0";"4";"0";"189";"70";"119"
"1073-77c0-cbd4-3b86-b0bd-53f8-9acd-0e33";"300704";"96";"1";"wieś";"stały";"Świetlica ""Stara Gmina"", Godziesze Wielkie ul. Rynek 7, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"949";"1037";"384";"565";"0";"3";"0";"0";"0";"0";"0";"0";"0";"565";"0";"0";"565";"19";"3";"16";"0";"546";"196";"350"
"095b-87f3-36d6-64da-5d9c-1da2-c414-618d";"300704";"96";"2";"wieś";"stały";"Szkoła Podstawowa im. Marii Konopnickiej, Godziesze Wielkie ul. ks. Augustyna Kordeckiego 8, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"990";"1082";"349";"641";"2";"1";"0";"0";"0";"0";"0";"0";"0";"641";"0";"0";"641";"23";"6";"17";"0";"618";"239";"379"
"3714-3fd9-9f25-a4d8-5180-00cd-35d8-abf7";"300704";"96";"3";"wieś";"stały";"Szkoła Podstawowa im. Polskich Olimpijczyków, Wola Droszewska 45, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"929";"1025";"400";"529";"0";"0";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"22";"4";"18";"0";"507";"200";"307"
"33b7-f8b5-53f3-e330-b49e-612d-529f-ea2b";"300704";"96";"4";"wieś";"stały";"Dom Ludowy, Wolica 36, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"980";"1071";"242";"738";"0";"5";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"28";"11";"17";"0";"710";"391";"319"
"09c0-e281-d2b6-00d7-4fb8-bdac-9bcc-d0a1";"300704";"96";"5";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II, Stara Kakawa 57, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"710";"781";"310";"400";"0";"0";"0";"0";"0";"0";"0";"0";"0";"400";"0";"0";"400";"18";"0";"18";"0";"382";"166";"216"
"cbbe-2f04-0b61-91a1-9c59-d1ce-6f9e-b58e";"300704";"96";"6";"wieś";"stały";"Szkoła Podstawowa im. Ks. Jana Twardowskiego, Żydów ul. Szkolna 72, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"390";"427";"115";"275";"0";"0";"0";"0";"0";"0";"0";"0";"0";"275";"0";"0";"275";"7";"2";"5";"0";"268";"83";"185"
"46a1-0266-8bfb-615d-ef01-6696-ba3d-0b2a";"300704";"96";"7";"wieś";"stały";"Publiczne Przedszkole im. Marii Konopnickiej w Godzieszach Wielkich, Oddział Zamiejscowy w Saczynie, Saczyn 103, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"410";"454";"147";"263";"0";"4";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"8";"3";"5";"0";"255";"55";"200"
"40f3-f52e-203f-ebd8-8811-d55a-99e3-d2e3";"300704";"96";"8";"wieś";"stały";"Szkoła Podstawowa im. Kard. Stefana Wyszyńskiego, Stobno Siódme 26, 62-872 Godziesze Małe";"gm. Godziesze Wielkie";"kaliski";"wielkopolskie";"930";"1023";"301";"629";"0";"4";"0";"0";"0";"0";"0";"0";"0";"629";"0";"0";"629";"20";"3";"17";"0";"609";"232";"377"
