"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Tomasz Piotr NOWAK - nr na liście 1";"Miłosława Dorota STĘPIEŃ - nr na liście 2";"Paulina HENNIG-KLOSKA - nr na liście 3";"Artur Piotr MOKRACKI - nr na liście 4";"Ireneusz NIEWIAROWSKI - nr na liście 5";"Grzegorz Józef CIESIELSKI - nr na liście 6";"Andrzej SZURGOT - nr na liście 7";"Barbara KUBIAK - nr na liście 8";"Piotr GAŁAN - nr na liście 9";"Hieronim Michał URBANEK - nr na liście 10";"Danuta WINIARSKA - nr na liście 11";"Inez Magdalena NISZCZAK - nr na liście 12";"Piotr KUBISIAK - nr na liście 13";"Alicja Teresa MAREK - nr na liście 14";"Stefan Julian ŚMIGASZEWSKI - nr na liście 15";"Żanetta Magdalena MATLEWSKA - nr na liście 16";"Mariola BUDZIŃSKA - nr na liście 17";"Dariusz Józef PILAK - nr na liście 18";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"Zdzisław Kazimierz JANKOWSKI - nr na liście 1";"Eugeniusz MACIEJEWSKI - nr na liście 2";"Mirosław Sławomir PATERKIEWICZ - nr na liście 3";"Julia URBANOWSKA - nr na liście 4";"Mariola Ewa KRENZ - nr na liście 5";"Milena CIESIELSKA - nr na liście 6";"Andrzej RUSIN - nr na liście 7";"Danuta MISIAK - nr na liście 8";"Mieczysław Piotr GÓRA - nr na liście 9";"Piotr ŚWIĄTEK - nr na liście 10";"Urszula Halina KURCZEWSKA - nr na liście 11";"Agnieszka Joanna DOROSZUK - nr na liście 12";"Tomasz HYBIAK - nr na liście 13";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Anna Mirosława BRYŁKA - nr na liście 1";"Maciej JÓŹWIAK - nr na liście 2";"Eryk KORZENIEWSKI - nr na liście 3";"Paweł Rafał RUSIN - nr na liście 4";"Przemysław Tomasz GRONEK - nr na liście 5";"Łukasz JANKOWIAK - nr na liście 6";"Karolina Zofia WIŚNIEWSKA - nr na liście 7";"Andrzej Zbigniew SMOLAREK - nr na liście 8";"Kinga WIŚNIEWSKA - nr na liście 9";"Jolanta Elżbieta NOWICKA - nr na liście 10";"Monika PODOLSKA - nr na liście 11";"Katarzyna Antonina SADZISZ - nr na liście 12";"Izabela GŁOWACKA - nr na liście 13";"Jakub Michał RAKOWSKI - nr na liście 14";"Mirosław Eugeniusz STRZELECKI - nr na liście 15";"Anna PINIŃSKA - nr na liście 16";"Jakub Michał TALENT-DOMINIAK - nr na liście 17";"Wojciech Maciej ZIĘTKOWSKI - nr na liście 18";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Jacek Jerzy TOMCZAK - nr na liście 1";"Anna MAJDA - nr na liście 2";"Mirosława Katarzyna KAŹMIERCZAK - nr na liście 3";"Władysław KOCAJ - nr na liście 4";"Marek Stanisław TOMICKI - nr na liście 5";"Piotr ŁYKOWSKI - nr na liście 6";"Teodor STĘPA - nr na liście 7";"Marek Kazimierz WESOŁOWSKI - nr na liście 8";"Michał PYRZYK - nr na liście 9";"Paweł Jerzy GUZIK - nr na liście 10";"Barbara ZIELIŃSKA - nr na liście 11";"Izabela STAJKOWSKA - nr na liście 12";"Urszula Barbara REMISZ - nr na liście 13";"Krzysztof Grzegorz CZAJKOWSKI - nr na liście 14";"Bożena Alina FRANKOWSKA - nr na liście 15";"Irena Elżbieta MACIEJEWSKA - nr na liście 16";"Bernard Marek BRZOSKI - nr na liście 17";"Jerzy Andrzej BERLIK - nr na liście 18";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Zbigniew Grzegorz HOFFMANN - nr na liście 1";"Witold Wojciech CZARNECKI - nr na liście 2";"Zbigniew DOLATA - nr na liście 3";"Ryszard BARTOSIK - nr na liście 4";"Leszek Ryszard GALEMBA - nr na liście 5";"Krzysztof Jan OSTROWSKI - nr na liście 6";"Marek Henryk WASZKOWIAK - nr na liście 7";"Robert Adam POPKOWSKI - nr na liście 8";"Anna WOŹNIAK - nr na liście 9";"Paweł WOJNA - nr na liście 10";"Anita Aldona SZYKOWNA - nr na liście 11";"Małgorzata WIŚNIEWSKA-ZABŁOCKA - nr na liście 12";"Emilia DERUCKA-KOŁATA - nr na liście 13";"Łukasz GRABOWSKI - nr na liście 14";"Małgorzata Marta CICHACKA - nr na liście 15";"Jacek Dariusz BARTKOWIAK - nr na liście 16";"Halina MUSIAŁEK - nr na liście 17";"Zofia Mariola ITMAN - nr na liście 18";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Paulina NOWAK - nr na liście 1";"Tadeusz TOMASZEWSKI - nr na liście 2";"Andrzej Jacek WNUK - nr na liście 3";"Ryszard Piotr NAWROCKI - nr na liście 4";"Robert GALĘBA - nr na liście 5";"Joanna Maria MACIEJEWSKA - nr na liście 6";"Paweł KLECZEWSKI - nr na liście 7";"Krystyna KUBICKA-SZTUL - nr na liście 8";"Jadwiga Elżbieta JARONIEWSKA - nr na liście 9";"Marek SIKORSKI - nr na liście 10";"Kacper PAROL - nr na liście 11";"Leszek Grzegorz STAWICKI - nr na liście 12";"Sylwia PRZYBYŁA - nr na liście 13";"Martyna BUNALSKA - nr na liście 14";"Paweł BARTKOWIAK - nr na liście 15";"Tomasz CZAPCZYK - nr na liście 16";"Anna BĄK - nr na liście 17";"Dariusz WILCZEWSKI - nr na liście 18";"Liczba obwodów"
"302502";"gmina wiejska";"gm. Krzykosy";"średzki";"wielkopolskie";4918;5423;1798;3120;1;6;0;0;0;0;0;0;0;3120;0;0;3120;64;45;19;0;3056;437;188;38;65;20;11;5;7;31;3;4;14;8;15;5;2;6;7;8;19;2;1;4;0;1;0;2;0;0;1;0;2;6;371;63;85;11;3;1;11;5;2;4;3;2;4;3;0;4;2;2;166;428;82;37;240;2;3;4;8;1;9;7;12;3;7;3;2;4;2;2;1460;535;179;245;25;12;82;20;10;55;22;4;191;9;19;8;14;14;16;341;87;107;45;7;3;8;11;18;1;7;3;4;14;2;7;2;6;9;4
"302503";"gmina wiejska";"gm. Nowe Miasto nad Wartą";"średzki";"wielkopolskie";6424;7044;2493;3931;1;19;0;0;0;0;0;0;0;3931;0;0;3931;79;57;22;0;3852;728;332;68;92;23;44;18;12;60;14;5;10;5;15;8;0;7;9;6;47;12;4;2;4;2;7;1;0;2;2;2;1;8;344;77;55;12;6;11;17;14;13;17;5;3;4;12;0;4;1;6;87;496;142;30;232;4;5;4;23;8;5;5;12;5;4;3;4;2;3;5;1786;638;241;403;24;16;107;18;8;84;42;23;93;6;11;26;9;21;16;451;177;80;27;14;11;21;15;24;6;7;8;2;10;5;2;4;30;8;5
"302504";"gmina miejsko-wiejska";"gm. Środa Wielkopolska";"średzki";"wielkopolskie";22687;24832;6951;15736;8;60;0;0;0;0;0;0;0;15731;0;1;15730;253;180;73;0;15477;3547;1286;270;653;79;37;38;27;700;15;15;39;21;269;11;4;16;27;40;121;32;13;1;8;5;10;8;14;2;5;1;10;12;2563;166;733;32;9;13;18;18;11;17;9;11;26;12;5;4;6;4;1469;1494;427;77;729;9;11;16;31;10;50;16;28;8;13;12;12;15;11;19;5308;1739;534;615;49;49;450;28;77;177;38;39;1257;16;39;51;59;39;52;2444;1005;350;202;35;30;61;26;473;10;37;18;17;49;17;30;10;45;29;23
"302505";"gmina wiejska";"gm. Zaniemyśl";"średzki";"wielkopolskie";4804;5302;1485;3319;3;20;0;0;0;0;0;0;0;3317;0;0;3317;51;37;14;0;3266;832;389;106;103;11;11;15;10;75;12;5;18;14;36;7;0;4;9;7;28;10;2;1;1;2;0;4;2;0;3;0;0;3;359;55;82;5;10;4;9;8;3;8;6;6;20;6;1;2;1;1;132;461;107;28;192;6;7;6;50;5;12;9;10;7;4;1;1;7;3;6;1109;374;141;179;19;7;37;12;7;30;78;8;152;5;11;15;10;13;11;477;219;78;38;8;1;20;9;33;4;13;5;1;17;1;7;4;10;9;4
"302601";"gmina wiejska";"gm. Brodnica";"śremski";"wielkopolskie";3466;3792;1407;2059;1;6;0;0;0;0;0;0;0;2059;0;0;2059;58;41;17;0;2001;483;200;69;75;10;7;18;15;24;3;23;5;1;6;5;0;7;10;5;30;10;4;1;1;3;1;1;3;2;0;0;2;2;180;65;19;6;6;5;15;13;7;6;5;8;4;5;1;3;1;2;9;266;81;32;30;3;2;1;68;4;4;10;7;1;3;3;3;3;3;8;732;228;76;136;17;6;16;7;9;20;148;6;18;7;2;12;14;6;4;310;133;58;10;5;4;11;11;6;3;25;4;4;6;1;6;1;15;7;4
"302602";"gmina miejsko-wiejska";"gm. Dolsk";"śremski";"wielkopolskie";4193;4547;1728;2465;0;12;0;0;0;0;0;0;0;2463;0;0;2463;66;44;22;0;2397;309;144;37;48;4;4;6;5;12;0;15;3;2;10;6;1;1;7;4;19;8;0;1;2;1;0;2;2;1;0;0;0;2;199;65;22;10;12;14;10;12;3;11;3;5;1;3;1;14;1;4;8;231;68;12;20;3;0;4;90;3;1;3;9;7;1;5;1;1;1;2;1081;429;109;237;10;7;22;8;7;34;148;9;9;8;10;7;13;4;10;558;78;42;8;5;1;4;2;1;0;395;2;1;4;1;4;0;6;4;5
"302603";"gmina miejsko-wiejska";"gm. Książ Wielkopolski";"śremski";"wielkopolskie";5944;6611;2494;3450;4;5;0;0;0;0;0;0;0;3450;0;0;3450;77;66;11;0;3373;539;253;75;66;11;5;13;5;34;5;23;13;7;4;4;2;2;9;8;32;10;1;1;2;0;6;3;2;0;1;0;0;6;251;65;31;8;23;14;25;10;14;12;4;5;7;2;5;9;3;3;11;433;81;19;54;3;5;3;217;6;2;3;9;5;1;5;2;7;2;9;1624;499;147;491;26;12;65;11;7;39;220;10;30;4;7;12;6;20;18;494;164;59;19;10;6;14;9;2;3;168;3;4;10;3;3;0;12;5;4
"302604";"gmina miejsko-wiejska";"gm. Śrem";"śremski";"wielkopolskie";29416;32023;9306;20102;21;88;0;0;0;0;0;0;0;20094;0;1;20093;284;200;84;0;19809;5264;2013;580;1355;57;72;84;45;144;42;544;73;30;65;37;7;22;46;48;186;53;6;6;18;7;12;9;20;1;16;3;9;26;1659;573;242;49;61;44;81;71;60;74;35;35;12;43;25;140;17;20;77;2065;711;169;110;20;20;18;732;26;24;38;50;25;13;10;20;31;10;38;7198;1959;319;2165;58;25;257;40;31;163;1664;51;236;20;28;50;38;47;47;3437;1544;770;171;61;33;100;72;48;29;242;32;26;76;24;52;9;93;55;23
"302701";"gmina miejska";"m. Turek";"turecki";"wielkopolskie";19893;21649;6622;13270;10;52;5;5;0;0;0;0;5;13275;5;0;13275;129;92;37;0;13146;2540;1138;176;301;23;337;303;43;61;9;5;16;13;14;16;39;14;19;13;104;22;41;4;9;4;4;5;6;1;2;3;1;2;734;306;89;39;26;13;99;26;29;22;13;6;4;10;8;11;8;9;16;1709;160;1348;17;7;11;2;4;10;12;10;57;6;1;4;8;37;0;15;5887;844;305;61;3688;55;97;47;201;124;18;22;35;199;26;41;21;25;78;2172;560;143;61;47;31;1137;31;11;1;17;12;11;27;7;8;4;46;18;14
"302702";"gmina wiejska";"gm. Brudzew";"turecki";"wielkopolskie";4326;4757;1588;2738;5;13;0;0;0;0;0;0;0;2738;0;0;2738;36;22;14;0;2702;192;80;6;25;1;23;26;17;1;2;0;4;1;0;1;1;1;1;2;12;4;3;0;3;0;1;0;1;0;0;0;0;0;99;48;3;8;12;2;16;1;2;3;1;1;0;0;0;0;0;1;1;533;31;113;2;1;4;0;0;2;0;0;372;3;0;2;0;0;1;2;1743;311;85;24;1049;56;37;9;54;33;8;7;11;16;6;8;9;9;11;123;58;9;3;4;14;19;1;0;0;2;1;1;1;1;2;0;6;1;6
"302703";"gmina miejsko-wiejska";"gm. Dobra";"turecki";"wielkopolskie";4420;4821;1746;2674;2;12;0;0;0;0;0;0;0;2674;0;0;2674;41;29;12;0;2633;188;86;22;13;3;32;11;4;6;2;2;0;1;1;1;4;0;0;0;11;2;2;0;0;0;1;2;4;0;0;0;0;0;97;46;16;2;8;4;8;3;3;4;1;0;0;0;0;0;0;0;2;487;31;428;6;1;4;1;0;1;1;0;5;1;1;0;1;5;0;1;1698;301;91;12;1114;19;15;13;19;43;5;6;4;12;9;7;9;7;12;152;79;10;6;6;7;26;1;0;3;1;3;0;3;1;2;0;3;1;6
"302704";"gmina wiejska";"gm. Kawęczyn";"turecki";"wielkopolskie";3864;4223;1494;2370;3;6;0;0;0;0;0;0;0;2370;0;0;2370;47;34;13;0;2323;109;26;1;7;1;50;14;3;3;1;0;0;0;1;1;0;1;0;0;11;1;4;0;1;0;0;1;0;0;0;0;1;3;87;45;8;5;3;2;6;2;1;5;3;1;1;2;1;0;0;1;1;513;14;491;1;0;0;0;1;0;0;1;0;1;0;2;0;1;0;1;1521;160;73;21;1167;9;9;6;26;21;1;3;2;6;4;2;7;1;3;82;27;8;2;5;1;23;2;2;1;3;1;1;2;0;0;1;2;1;4
"302705";"gmina wiejska";"gm. Malanów";"turecki";"wielkopolskie";4750;5188;2102;2648;1;8;0;0;0;0;0;0;0;2647;0;0;2647;53;43;10;0;2594;253;75;13;27;9;57;34;2;15;1;0;5;2;3;1;0;0;6;3;34;2;23;1;4;0;0;2;2;0;0;0;0;0;169;69;24;8;7;3;24;1;7;4;4;3;2;0;3;3;0;0;7;378;54;274;2;4;6;1;2;1;2;3;14;5;0;0;3;4;1;2;1571;251;73;12;1028;14;7;9;49;46;6;5;5;12;16;8;7;10;13;189;71;21;3;3;6;56;0;2;2;1;1;8;1;2;1;0;7;4;4
"302706";"gmina wiejska";"gm. Przykona";"turecki";"wielkopolskie";3280;3614;1216;2064;2;16;0;0;0;0;0;0;0;2064;0;0;2064;22;16;6;0;2042;166;72;14;9;0;15;27;1;4;3;1;6;3;0;3;0;0;4;4;7;4;2;0;0;0;0;0;1;0;0;0;0;0;102;47;11;4;3;1;4;5;3;3;2;1;3;4;2;2;4;2;1;258;44;180;6;0;1;1;3;1;0;4;12;1;0;1;1;0;0;3;1369;225;65;18;910;18;6;7;26;29;3;4;9;8;4;6;7;9;15;140;64;10;4;7;3;31;2;1;0;3;2;2;2;0;1;0;4;4;3
"302707";"gmina miejsko-wiejska";"gm. Tuliszków";"turecki";"wielkopolskie";7528;8233;2973;4555;8;12;0;0;0;0;0;0;0;4555;0;0;4555;72;56;16;0;4483;752;125;23;40;1;57;464;6;10;5;1;4;5;0;1;1;2;3;4;17;5;2;0;4;0;1;0;2;0;0;2;0;1;217;77;21;4;13;5;47;8;7;7;3;5;2;2;0;2;4;3;7;483;86;345;3;5;6;3;2;3;2;4;10;1;0;6;4;0;0;3;2762;575;230;52;1407;30;41;23;171;64;16;10;28;30;9;10;14;11;41;252;95;23;6;15;13;40;10;4;1;5;4;2;9;2;3;1;11;8;6
"302708";"gmina wiejska";"gm. Turek";"turecki";"wielkopolskie";6860;7524;2387;4473;4;12;0;0;0;0;0;0;0;4472;0;0;4472;47;27;20;0;4425;568;242;29;72;11;61;74;11;18;3;3;9;5;3;2;15;2;4;4;20;3;7;1;1;1;0;3;0;0;1;0;0;3;277;108;27;7;17;7;46;11;8;12;3;3;3;4;3;0;4;4;10;702;66;567;8;0;3;1;2;2;3;2;29;3;2;0;4;6;1;3;2434;310;109;24;1596;16;18;34;77;82;9;12;13;71;13;9;8;9;24;424;151;28;12;11;5;141;6;2;4;7;4;1;18;3;5;3;11;12;8
"302709";"gmina wiejska";"gm. Władysławów";"turecki";"wielkopolskie";5803;6331;1916;3887;5;5;0;0;0;0;0;0;0;3887;0;0;3887;53;43;10;0;3834;262;99;22;25;2;28;56;6;5;3;1;6;1;1;1;0;2;3;1;15;7;3;0;2;0;1;0;0;1;0;0;0;1;311;36;8;3;5;8;235;2;2;3;1;0;1;2;2;1;1;1;0;398;52;306;1;1;2;2;1;1;2;3;12;2;0;3;2;5;2;1;2645;379;137;25;1411;31;325;20;110;52;5;7;15;14;4;15;24;8;63;203;103;13;5;7;6;49;0;1;1;1;2;0;5;1;1;1;3;4;7
"303001";"gmina wiejska";"gm. Kołaczkowo";"wrzesiński";"wielkopolskie";4296;4635;1783;2513;0;3;0;0;0;0;0;0;0;2513;0;0;2513;51;39;12;0;2462;332;100;9;25;140;9;3;5;7;3;2;3;19;2;2;0;2;0;1;18;9;0;0;1;0;3;1;1;1;0;2;0;0;156;48;28;11;4;4;9;6;3;5;4;4;1;5;0;3;5;3;13;284;92;26;45;3;1;11;9;6;9;35;5;8;14;9;1;1;5;4;1304;449;146;340;23;15;29;18;26;52;11;44;18;8;38;56;11;8;12;368;46;257;12;9;2;4;3;2;2;4;5;7;4;0;3;3;2;3;5
"303002";"gmina miejsko-wiejska";"gm. Miłosław";"wrzesiński";"wielkopolskie";7420;8016;2697;4723;9;21;0;0;0;0;0;0;0;4723;0;1;4722;75;49;26;0;4647;731;270;63;87;184;28;0;5;27;4;3;12;15;11;3;1;2;9;7;26;7;2;0;1;1;0;1;2;3;6;0;2;1;376;116;63;17;11;11;23;16;6;11;10;12;3;15;4;6;5;2;45;395;120;21;72;5;11;6;10;11;17;30;13;6;45;8;2;10;3;5;2094;815;238;456;30;11;223;7;22;96;15;19;38;4;26;69;7;11;7;1025;114;375;433;10;4;23;4;8;4;4;4;10;10;4;4;2;8;4;7
"303003";"gmina miejsko-wiejska";"gm. Nekla";"wrzesiński";"wielkopolskie";5312;5819;1689;3623;3;16;0;0;0;0;0;0;0;3623;0;0;3623;38;17;21;0;3585;900;275;69;115;244;9;12;8;52;5;3;9;56;15;5;2;5;9;7;33;13;2;1;4;2;2;3;2;0;2;0;1;1;286;88;51;16;20;8;14;15;9;10;9;10;2;6;6;3;4;3;12;415;145;30;45;6;11;10;4;21;8;50;12;7;29;9;8;7;4;9;1396;582;211;255;29;18;39;14;12;47;9;18;32;9;18;66;16;9;12;555;207;212;24;12;11;17;5;5;1;4;4;13;8;4;10;5;9;4;4
"303004";"gmina miejsko-wiejska";"gm. Pyzdry";"wrzesiński";"wielkopolskie";5152;5536;2155;2997;4;13;0;0;0;0;0;0;0;2997;0;0;2997;56;37;19;0;2941;445;171;30;36;109;14;19;2;17;3;1;7;16;1;4;0;2;12;1;18;4;2;0;5;1;0;2;1;1;1;0;0;1;173;71;22;9;15;4;7;5;8;7;1;3;0;4;2;1;4;2;8;388;136;29;17;2;4;3;3;3;144;16;7;3;12;3;0;2;2;2;1602;440;179;387;32;15;184;16;135;59;10;45;14;4;6;20;16;17;23;315;66;159;20;10;3;5;5;2;2;5;4;3;8;1;3;2;11;6;6
"303005";"gmina miejsko-wiejska";"gm. Września";"wrzesiński";"wielkopolskie";32709;35692;9986;22723;8;83;4;3;0;0;0;0;3;22725;3;7;22718;211;159;52;0;22507;7439;1202;208;655;4246;19;31;30;82;32;10;44;759;34;17;2;11;26;31;159;63;15;2;18;8;9;8;10;2;8;2;2;12;1530;528;305;80;56;55;70;46;47;52;39;43;15;44;37;12;27;16;58;1631;633;102;119;23;29;26;21;25;52;231;55;44;115;46;20;38;11;41;8525;3005;984;1911;125;74;643;60;128;304;46;160;96;32;86;673;62;61;75;3223;1075;1058;225;59;153;86;30;28;9;43;111;131;54;18;28;5;69;41;30
"306201";"gmina miejska";"m. Konin";"Konin";"wielkopolskie";54032;58244;17227;36808;17;183;13;13;1;0;0;0;12;36817;12;0;36817;338;233;105;0;36479;10099;5370;1416;1561;61;904;72;97;138;46;12;58;34;28;33;8;148;64;49;232;71;19;3;23;9;14;23;13;3;12;7;14;21;1978;929;219;101;91;33;86;65;78;52;32;25;6;35;37;21;22;98;48;2221;962;302;79;157;117;30;18;90;37;51;55;20;24;94;101;26;22;36;15401;4149;1787;325;439;2371;296;1349;2607;397;61;64;89;45;65;101;65;89;1102;6548;2225;615;116;1485;701;119;33;39;34;49;73;22;59;27;46;25;117;763;47
