"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Bronisław DUTKA";"Jan Wincenty HAMERSKI";"Bogusław WAKSMUNDZKI";"Liczba obwodów"
"121105";"gmina wiejska";"gm. Jabłonka";"nowotarski";"małopolskie";12957;14317;4857;8100;9;61;0;0;0;0;0;0;0;8100;0;0;8100;160;33;127;0;7940;691;6264;985;11
"121106";"gmina wiejska";"gm. Krościenko nad Dunajcem";"nowotarski";"małopolskie";4839;5362;1670;3169;22;128;1;1;0;0;0;0;1;3168;1;0;3168;39;11;28;0;3129;381;1401;1347;6
"121107";"gmina wiejska";"gm. Lipnica Wielka";"nowotarski";"małopolskie";4127;4530;1592;2535;2;11;0;0;0;0;0;0;0;2535;0;0;2535;64;14;50;0;2471;222;1908;341;5
"121108";"gmina wiejska";"gm. Łapsze Niżne";"nowotarski";"małopolskie";6641;7326;2935;3706;1;108;0;0;0;0;0;0;0;3706;0;0;3706;67;8;59;0;3639;534;2457;648;9
"121109";"gmina wiejska";"gm. Nowy Targ";"nowotarski";"małopolskie";17014;18490;7297;9717;3;77;0;0;0;0;0;0;0;9717;0;0;9717;188;33;155;0;9529;1348;6249;1932;21
"121110";"gmina wiejska";"gm. Ochotnica Dolna";"nowotarski";"małopolskie";5936;6518;2137;3799;2;41;0;0;0;0;0;0;0;3798;0;0;3798;63;12;51;0;3735;384;2882;469;4
"121111";"gmina wiejska";"gm. Raba Wyżna";"nowotarski";"małopolskie";10397;11181;4283;6114;7;30;0;0;0;0;0;0;0;6114;0;0;6114;122;20;102;0;5992;909;4159;924;11
"121112";"gmina miejsko-wiejska";"gm. Rabka-Zdrój";"nowotarski";"małopolskie";12479;13870;4142;8336;21;348;2;2;0;0;0;0;2;8340;2;0;8340;168;47;121;0;8172;1853;4972;1347;13
"121113";"gmina wiejska";"gm. Spytkowice";"nowotarski";"małopolskie";3205;3489;1290;1915;8;12;0;0;0;0;0;0;0;1915;0;0;1915;38;7;31;0;1877;228;1370;279;5
"121114";"gmina wiejska";"gm. Szaflary";"nowotarski";"małopolskie";7727;8435;3804;3923;2;72;0;0;0;0;0;0;0;3921;0;0;3921;63;6;57;0;3858;467;2844;547;10
"121701";"gmina miejska";"m. Zakopane";"tatrzański";"małopolskie";20554;24278;4319;16235;28;2952;3;3;0;0;0;0;3;16232;3;0;16232;363;103;260;0;15869;5359;7298;3212;24
"121702";"gmina wiejska";"gm. Biały Dunajec";"tatrzański";"małopolskie";5022;5650;2061;2961;2;176;0;0;0;0;0;0;0;2961;0;0;2961;68;19;49;0;2893;497;2122;274;8
"121703";"gmina wiejska";"gm. Bukowina Tatrzańska";"tatrzański";"małopolskie";9281;10611;3153;6128;2;605;0;0;0;0;0;0;0;6127;0;0;6127;90;20;70;0;6037;1096;4166;775;10
"121704";"gmina wiejska";"gm. Kościelisko";"tatrzański";"małopolskie";6162;7077;2189;3973;7;312;1;1;0;0;0;0;1;3974;1;2;3972;71;22;49;0;3901;938;2330;633;4
"121705";"gmina wiejska";"gm. Poronin";"tatrzański";"małopolskie";8033;9177;3047;4984;5;379;0;0;0;0;0;0;0;4983;0;0;4983;97;23;74;0;4886;942;3355;589;8
