"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Radosław SAŁATA";"Michał SEWERYŃSKI";"Andrzej URBANIAK";"Jacek WALCZAK"
"404b-9f48-9cc4-32da-ee2b-3d70-d4a6-7cc9";"100902";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Chorzewie, Chorzew 4, 98-358 Kiełczygłów";"gm. Kiełczygłów";"pajęczański";"łódzkie";"758";"821";"271";"487";"3";"0";"0";"0";"0";"0";"0";"0";"0";"487";"0";"0";"487";"6";"1";"5";"0";"481";"54";"308";"28";"91"
"fd92-d026-029c-229a-b4aa-50de-d708-4429";"100903";"27";"1";"wieś";"stały";"Gimnazjum, Kościuszki 100, 98-331 Nowa Brzeźnica";"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";"1301";"1415";"446";"855";"2";"8";"0";"0";"0";"0";"0";"0";"0";"855";"0";"0";"855";"17";"2";"15";"0";"838";"87";"503";"30";"218"
"e95a-0e62-d448-15c6-d1ca-c742-7337-a055";"100903";"27";"2";"wieś";"stały";"Szkoła Podstawowa, Dworszowice Kościelne-Kolonia 74, 98-331 Nowa Brzeźnica";"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";"612";"681";"217";"395";"1";"4";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"9";"0";"9";"0";"386";"47";"208";"20";"111"
"6b53-4610-c92b-9b70-83d8-1c19-cc7c-71dd";"100903";"27";"3";"wieś";"stały";"Szkoła Podstawowa, Prusicko 73, 98-331 Nowa Brzeźnica";"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";"845";"931";"328";"517";"0";"2";"0";"0";"0";"0";"0";"0";"0";"516";"0";"0";"516";"12";"3";"9";"0";"504";"49";"322";"19";"114"
"6680-618a-04c5-7ef6-8d30-dbb4-5e67-50a9";"100903";"27";"4";"wieś";"stały";"Szkoła Podstawowa w Dubidzach, Dubidze Szkolna 16, 98-331 Nowa Brzeźnica";"gm. Nowa Brzeźnica";"pajęczański";"łódzkie";"673";"751";"226";"447";"1";"1";"0";"0";"0";"0";"0";"0";"0";"447";"0";"0";"447";"14";"0";"14";"0";"433";"56";"279";"21";"77"
"bd04-aedb-1907-2c12-67d9-ded2-3fd7-dfa4";"100904";"27";"1";"miasto";"stały";"Szkoła Podstawowa Nr 1 w Pajęcznie, Wiśniowa 7, 98-330 Pajęczno";"gm. Pajęczno";"pajęczański";"łódzkie";"1169";"1253";"450";"719";"0";"0";"0";"0";"0";"0";"0";"0";"0";"719";"0";"0";"719";"21";"3";"18";"0";"698";"62";"369";"34";"233"
"d464-e67c-8b9b-f6e2-4a67-7d66-000d-cf70";"100904";"27";"2";"miasto";"stały";"Urząd Miejski w Pajęcznie, Parkowa 8/12, 98-330 Pajęczno";"gm. Pajęczno";"pajęczański";"łódzkie";"1766";"1921";"649";"1118";"7";"4";"0";"0";"0";"0";"0";"0";"0";"1118";"0";"0";"1118";"19";"7";"12";"0";"1099";"145";"538";"61";"355"
"d574-eef8-1ee8-df56-2c69-3d3a-2777-e3f6";"100904";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Makowiskach, Makowiska Szkolna 1, 98-330 Pajęczno";"gm. Pajęczno";"pajęczański";"łódzkie";"1871";"2044";"702";"1169";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1169";"0";"0";"1169";"20";"2";"18";"0";"1149";"125";"738";"56";"230"
"35bb-949e-d451-d3ac-c7e6-1537-5867-77cd";"100904";"27";"4";"miasto";"stały";"Szkoła Podstawowa nr 2 w Pajęcznie, Sienkiewicza 7/11, 98-330 Pajęczno";"gm. Pajęczno";"pajęczański";"łódzkie";"1965";"2165";"656";"1309";"6";"11";"0";"0";"0";"0";"0";"0";"0";"1309";"0";"0";"1309";"24";"7";"17";"0";"1285";"137";"634";"54";"460"
"d318-f466-3819-7a8f-d453-290f-1c85-0b15";"100904";"27";"5";"miasto";"stały";"Biblioteka Publiczna w Pajęcznie, Wiśniowa 5, 98-330 Pajęczno";"gm. Pajęczno";"pajęczański";"łódzkie";"1802";"1975";"572";"1230";"2";"11";"0";"0";"0";"0";"0";"0";"0";"1230";"0";"0";"1230";"27";"24";"3";"0";"1203";"141";"629";"55";"378"
"3cff-428d-a728-a559-6130-02c5-cbeb-dbb1";"100904";"27";"6";"miasto";"zakład leczniczy";"Szpital Rejonowy w Pajęcznie, 1 Maja 13/15, 98-330 Pajęczno";"gm. Pajęczno";"pajęczański";"łódzkie";"63";"51";"59";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"4";"0";"0";"0";"0";"4";"0";"3";"0";"1"
"59b1-d0a7-f9f3-a939-092c-30f6-5a88-7e96";"100905";"27";"1";"wieś";"stały";"Urząd Gminy w Rząśni, Kościuszki 16, 98-332 Rząśnia";"gm. Rząśnia";"pajęczański";"łódzkie";"1443";"1592";"442";"1001";"12";"6";"0";"0";"0";"0";"0";"0";"0";"1001";"0";"0";"1001";"24";"10";"14";"0";"977";"99";"657";"46";"175"
"8f0a-2000-ccde-0145-8b52-5ee6-405f-3c65";"100905";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Białej, Biała 63, 98-332 Rząśnia";"gm. Rząśnia";"pajęczański";"łódzkie";"744";"781";"298";"446";"0";"2";"0";"0";"0";"0";"0";"0";"0";"446";"0";"0";"446";"16";"8";"8";"0";"430";"42";"263";"23";"102"
"ae0e-31d2-8824-a53b-ae4a-1660-be37-a0c1";"100905";"27";"3";"wieś";"stały";"Remiza Strażacka w Broszęcinie, Broszęcin 22A, 98-332 Rząśnia";"gm. Rząśnia";"pajęczański";"łódzkie";"329";"362";"76";"253";"0";"2";"0";"0";"0";"0";"0";"0";"0";"253";"0";"0";"253";"9";"1";"8";"0";"244";"23";"176";"10";"35"
"055b-c195-7c1d-79f3-5c3a-7bd1-d3f6-aa69";"100905";"27";"4";"wieś";"stały";"Szkoła Podstawowa w Stróży, Stróża 41, 98-332  Rząśnia";"gm. Rząśnia";"pajęczański";"łódzkie";"321";"352";"73";"248";"0";"2";"0";"0";"0";"0";"0";"0";"0";"248";"0";"0";"248";"2";"0";"2";"0";"246";"32";"162";"15";"37"
"0aad-260a-be1f-b993-f8f3-6bfd-ebfb-fec8";"100905";"27";"5";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej w Suchowoli, Suchowola 32, 98-332 Rząśnia";"gm. Rząśnia";"pajęczański";"łódzkie";"824";"874";"318";"506";"2";"3";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"16";"1";"15";"0";"490";"51";"331";"27";"81"
"5ba5-7b78-f350-569b-dc79-5c77-e598-6228";"100906";"27";"1";"wieś";"stały";"Szkoła Podstawowa w Siemkowicach, Nowa 1, 98-354 Siemkowice";"gm. Siemkowice";"pajęczański";"łódzkie";"943";"1049";"368";"575";"0";"6";"0";"0";"0";"0";"0";"0";"0";"575";"0";"0";"575";"20";"3";"17";"0";"555";"72";"270";"56";"157"
"d886-9e46-ae9d-da6f-a128-ed0a-cd99-8c8f";"100906";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Radoszewicach, Radoszewice Niemojewskich 1a, 98-354 Siemkowice";"gm. Siemkowice";"pajęczański";"łódzkie";"1045";"1165";"419";"626";"0";"2";"0";"0";"0";"0";"0";"0";"0";"626";"0";"0";"626";"20";"7";"13";"0";"606";"54";"385";"54";"113"
"cc17-51ab-719e-96e0-60b3-8616-9540-1c08";"100906";"27";"3";"wieś";"stały";"Szkoła Podstawowa w Lipniku, Kolonia Lipnik 11, 98-354 Siemkowice";"gm. Siemkowice";"pajęczański";"łódzkie";"920";"1012";"307";"614";"2";"1";"0";"0";"0";"0";"0";"0";"0";"614";"0";"0";"614";"19";"2";"17";"0";"595";"57";"416";"45";"77"
"db09-c673-d40d-422a-9b7e-8b6e-0596-800a";"100906";"27";"4";"wieś";"stały";"Ożegów, Ożegów Szkolna 19, 98-354 Siemkowice";"gm. Siemkowice";"pajęczański";"łódzkie";"666";"743";"216";"450";"3";"4";"0";"0";"0";"0";"0";"0";"0";"450";"0";"0";"450";"16";"3";"13";"0";"434";"46";"276";"51";"61"
"dccf-6ac1-5f34-532c-9ee7-6bec-d62b-aa9d";"100907";"27";"1";"wieś";"stały";"Sala Posiedzeń Urzędu Gminy, Częstochowska 14, 98-337 Strzelce Wielkie";"gm. Strzelce Wielkie";"pajęczański";"łódzkie";"870";"917";"275";"595";"0";"3";"0";"0";"0";"0";"0";"0";"0";"595";"0";"0";"595";"17";"6";"11";"0";"578";"58";"346";"28";"146"
"8fa6-49d8-0110-e71a-3b32-1fec-fe55-ccec";"100907";"27";"2";"wieś";"stały";"Wiewiec Szkoła Podstawowa, Wiewiec 26, 98-337 Strzelce Wielkie";"gm. Strzelce Wielkie";"pajęczański";"łódzkie";"1147";"1220";"489";"658";"0";"3";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"16";"1";"15";"0";"642";"56";"432";"42";"112"
"8ea7-00a7-81c6-2199-52a0-0b47-11e2-5125";"100907";"27";"3";"wieś";"stały";"Wistka budynek Ochotniczej Straży Pożarnej, Wistka 126, 98-337 Strzelce Wielkie";"gm. Strzelce Wielkie";"pajęczański";"łódzkie";"692";"745";"232";"460";"0";"5";"0";"0";"0";"0";"0";"0";"0";"460";"0";"0";"460";"15";"7";"8";"0";"445";"53";"310";"34";"48"
"7f39-2eb2-aabd-b875-4514-b20e-cb9c-5b3b";"100907";"27";"4";"wieś";"stały";"Sala Gimnastyczna przy Szkole Podstawowej, ul. Częstochowska 8a, 98-337 Strzelce Wielkie";"gm. Strzelce Wielkie";"pajęczański";"łódzkie";"761";"841";"298";"463";"0";"2";"0";"0";"0";"0";"0";"0";"0";"463";"0";"0";"463";"14";"6";"8";"0";"449";"43";"291";"23";"92"
"4194-05e7-fbae-b0fa-f957-c04b-af29-38b5";"100908";"27";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Bogumiłowicach, Bogumiłowice 85, 98-338 Sulmierzyce";"gm. Sulmierzyce";"pajęczański";"łódzkie";"746";"825";"254";"492";"1";"3";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"11";"2";"9";"0";"481";"52";"290";"29";"110"
"dda4-5fd4-7283-dd11-9ffb-ff13-4a8e-eae6";"100908";"27";"2";"wieś";"stały";"Szkoła Podstawowa w Dworszowicach Pakoszowych, Dworszowice Pakoszowe 5, 98-338 Sulmierzyce";"gm. Sulmierzyce";"pajęczański";"łódzkie";"432";"475";"169";"263";"0";"0";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"8";"0";"8";"0";"255";"20";"198";"11";"26"
"cfe0-b3fa-9363-cb35-2d60-c256-082b-6b47";"100908";"27";"3";"wieś";"stały";"Urząd Gminy w Sulmierzycach, Urzędowa 1, 98-338 Sulmierzyce";"gm. Sulmierzyce";"pajęczański";"łódzkie";"785";"858";"228";"557";"0";"9";"0";"0";"0";"0";"0";"0";"0";"557";"0";"0";"557";"16";"2";"14";"0";"541";"55";"381";"25";"80"
"3ec7-b040-b076-b19a-ee06-e186-b221-21ad";"100908";"27";"4";"wieś";"stały";"Gminna Biblioteka Publiczna im. Filipa Sulimierskiego w Sulmierzycach, Słoneczna 5, 98-338 Sulmierzyce";"gm. Sulmierzyce";"pajęczański";"łódzkie";"900";"965";"204";"696";"0";"4";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"27";"6";"21";"0";"669";"88";"391";"41";"149"
"cea6-f1c4-b51e-efe5-5053-5eba-65db-e202";"100908";"27";"5";"wieś";"stały";"Świetlica Wiejska w Chorzenicach, Chorzenice 107, 98-338 Sulmierzyce";"gm. Sulmierzyce";"pajęczański";"łódzkie";"478";"514";"149";"329";"0";"0";"0";"0";"0";"0";"0";"0";"0";"329";"0";"0";"329";"2";"1";"1";"0";"327";"29";"233";"22";"43"
"7956-0402-1535-2df4-783f-3ee3-da5c-c700";"101401";"27";"1";"miasto";"stały";"Przedszkole Nr 5 im. Misia Uszatka, Jana Pawła II 41, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1327";"1432";"371";"956";"0";"4";"0";"0";"0";"0";"0";"0";"0";"956";"0";"0";"956";"8";"2";"6";"0";"948";"77";"338";"12";"521"
"23ef-c5ba-b7bb-6607-6cce-e847-4178-544b";"101401";"27";"2";"miasto";"stały";"Wyższa Szkoła Humanistyczno-Ekonomiczna, Mickiewicza 6, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"906";"985";"349";"557";"0";"3";"0";"0";"0";"0";"0";"0";"0";"557";"0";"0";"557";"3";"0";"3";"0";"554";"38";"272";"14";"230"
"ccad-e2b7-14d5-5a51-e8f2-54e1-190f-7088";"101401";"27";"3";"miasto";"stały";"I Liceum Ogólnokształcące im. Kazimierza Jagiellończyka, Żwirki i Wigury 3, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1365";"1488";"446";"919";"0";"11";"0";"0";"0";"0";"0";"0";"0";"917";"0";"0";"917";"13";"0";"13";"0";"904";"97";"327";"27";"453"
"4fa6-8ebd-bc7f-0e0f-529d-3ac8-f14f-eb89";"101401";"27";"4";"miasto";"stały";"Szkoła Podstawowa Integracyjna Nr 8, Szlachecka 11, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1059";"1161";"269";"790";"0";"6";"0";"0";"0";"0";"0";"0";"0";"790";"0";"0";"790";"11";"5";"6";"0";"779";"103";"388";"24";"264"
"762d-1df6-a621-99a4-e7fa-020d-51cf-21dc";"101401";"27";"5";"miasto";"stały";"Państwowa Szkoła Muzyczna I stopnia, Jana Pawła II 48, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1691";"1814";"478";"1213";"2";"4";"0";"0";"0";"0";"0";"0";"0";"1212";"0";"0";"1212";"20";"9";"11";"0";"1192";"98";"478";"35";"581"
"00f3-afa4-cfed-5ddf-e416-afdf-cb60-5cf4";"101401";"27";"6";"miasto";"stały";"Przedszkole Nr 3 im. Jana Brzechwy, Władysława Łokietka 27A, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1686";"1824";"480";"1206";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1206";"0";"0";"1206";"20";"8";"12";"0";"1186";"110";"465";"33";"578"
"3d68-7302-e3ff-a389-7451-2768-bf94-afd4";"101401";"27";"7";"miasto";"stały";"Szkoła Podstawowa Nr 9 im. Władysława Łokietka, Władysława Łokietka 55, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1763";"1885";"528";"1235";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1235";"0";"0";"1235";"8";"0";"8";"0";"1227";"156";"421";"18";"632"
"8b00-5f8a-aacb-04ff-4b01-d136-eccb-5f09";"101401";"27";"8";"miasto";"stały";"Szkoła Podstawowa Nr 9 im. Władysława Łokietka, Władysława Łokietka 55, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1803";"1948";"524";"1279";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1279";"0";"0";"1279";"19";"5";"14";"0";"1260";"135";"517";"29";"579"
"5a62-f9e2-6097-82d2-0296-54aa-e987-8979";"101401";"27";"9";"miasto";"stały";"Szkoła Podstawowa Nr 10 im. Bolesława Zwolińskiego, Aleja Grunwaldzka 10, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1439";"1555";"414";"1025";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1025";"0";"0";"1025";"7";"3";"4";"0";"1018";"128";"426";"19";"445"
"aef6-3849-8cb6-52c2-b4f1-2cfc-12e0-3915";"101401";"27";"10";"miasto";"stały";"Dom Pomocy Społecznej, Armii Krajowej 34, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1554";"1678";"440";"1114";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1113";"0";"0";"1113";"17";"4";"13";"0";"1096";"142";"330";"35";"589"
"5895-323e-4227-71a4-e0ba-cf45-fb88-945e";"101401";"27";"11";"miasto";"stały";"Przedszkole Nr 15, Stacheckiego-Koliby 3, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1577";"1654";"458";"1119";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1119";"0";"0";"1119";"14";"3";"11";"0";"1105";"101";"453";"30";"521"
"af0f-1cbb-e835-ae63-34b7-80ba-1240-e1a6";"101401";"27";"12";"miasto";"stały";"Przedszkole Nr 15, Stacheckiego-Koliby 3, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1560";"1674";"433";"1127";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1126";"0";"0";"1126";"9";"4";"5";"0";"1117";"139";"434";"23";"521"
"dc62-6bc0-2572-688d-b670-54c9-e31b-7313";"101401";"27";"13";"miasto";"stały";"Komenda Powiatowa Państwowej Straży Pożarnej, T. Grzesika i R. Piwnika 1, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1039";"1110";"193";"846";"0";"3";"0";"0";"0";"0";"0";"0";"0";"846";"0";"0";"846";"9";"3";"6";"0";"837";"103";"307";"32";"395"
"17c2-2b0b-7e2b-871b-2990-a8d3-46d3-be4a";"101401";"27";"14";"miasto";"stały";"Zespół Szkół Katolickich przy parafii Św. Urszuli Ledóchowskiej w Sieradzu, Krakowskie Przedmieście 123a, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"590";"649";"189";"401";"0";"0";"0";"0";"0";"0";"0";"0";"0";"401";"0";"0";"401";"5";"1";"4";"0";"396";"39";"238";"8";"111"
"b332-541a-5c78-5e92-dc62-69d3-8390-1a3e";"101401";"27";"15";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Marii Konopnickiej, Broniewskiego 30, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"896";"969";"239";"657";"1";"5";"0";"0";"0";"0";"0";"0";"0";"657";"0";"0";"657";"11";"4";"7";"0";"646";"44";"257";"17";"328"
"dd24-a2a7-6870-0d28-b3c7-2d15-7efa-8fad";"101401";"27";"16";"miasto";"stały";"II Liceum Ogólnokształcące im. Stefana Żeromskiego, Stefana Żeromskiego 8, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1382";"1486";"262";"1120";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1120";"0";"0";"1120";"20";"9";"11";"0";"1100";"107";"276";"37";"680"
"dd54-20f5-acbb-b1cf-655f-39a3-7edd-18b0";"101401";"27";"17";"miasto";"stały";"Specjalny Ośrodek Szkolno-Wychowawczy im. Janusza Korczaka, Krakowskie Przedmieście 58, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1675";"1818";"423";"1252";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1252";"0";"0";"1252";"22";"4";"18";"0";"1230";"137";"512";"34";"547"
"0bdf-f9d2-af67-4740-d108-67a2-b69c-becc";"101401";"27";"18";"miasto";"stały";"Szkoła Podstawowa Nr 4 im. Marii Konopnickiej, Ks. A. Leśniewskiego 18, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1358";"1472";"539";"819";"2";"3";"0";"0";"0";"0";"0";"0";"0";"819";"0";"0";"819";"28";"9";"19";"0";"791";"79";"354";"21";"337"
"2d32-7610-4bc9-0b5e-0025-1b6b-f130-c942";"101401";"27";"19";"miasto";"stały";"Zespół Szkół Ponadgimnazjalnych Nr 1, Józefa Piłsudskiego 5, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1550";"1661";"538";"1012";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1012";"0";"0";"1012";"28";"3";"25";"0";"984";"79";"408";"37";"460"
"fd63-e751-c339-3024-dbae-e81e-9ff1-3968";"101401";"27";"20";"miasto";"stały";"Szkola Podstawowa Nr 1 im. Władysława Reymonta, Rycerska 4, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"873";"979";"339";"534";"2";"5";"0";"0";"0";"0";"0";"0";"0";"534";"0";"0";"534";"9";"0";"9";"0";"525";"48";"236";"7";"234"
"e753-659a-9135-6f6f-aac5-5503-b8a3-c041";"101401";"27";"21";"miasto";"stały";"Dom Ludowo Strażacki, Nadwarciańska 2, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"766";"836";"225";"541";"0";"3";"0";"0";"0";"0";"0";"0";"0";"541";"0";"0";"541";"12";"6";"6";"0";"529";"55";"307";"22";"145"
"a4c5-042a-1db3-bfcb-a375-c9ea-7fde-fa4d";"101401";"27";"22";"miasto";"stały";"Zespół Placówek Wychowania Pozaszkolnego, Tysiąclecia 3, 98-200 Sieradz";"m. Sieradz";"sieradzki";"łódzkie";"1026";"1120";"363";"663";"3";"4";"0";"0";"0";"0";"0";"0";"0";"663";"0";"0";"663";"19";"6";"13";"0";"644";"56";"267";"11";"310"
