"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Marcin BEŁBOT";"Sławomir Piotr RYBICKI";"Józef Franciszek WÓJCIK"
"451b-7c54-14f8-3de5-445c-8564-bea9-9d94";"221105";"64";"6";"wieś";"stały";"Szkoła Podstawowa w Pogórzu, Pogórze Szkolna 15, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"2599";"2944";"358";"2241";"0";"16";"0";"0";"0";"0";"0";"0";"0";"2241";"0";"0";"2241";"32";"20";"12";"0";"2209";"578";"1355";"276"
"e6d7-3e0b-a411-9573-39d9-b40b-9f0e-cb57";"221105";"64";"7";"wieś";"stały";"Świetlica Sołecka w Suchym Dworze, Suchy Dwór Jana Chryzostoma Paska 6, 81-198 Kosakowo";"gm. Kosakowo";"pucki";"pomorskie";"1052";"1133";"175";"877";"1";"13";"0";"0";"0";"0";"0";"0";"0";"877";"0";"0";"877";"14";"7";"7";"0";"863";"149";"639";"75"
"c492-c9f8-8a80-18f0-f524-600c-9cb8-e711";"221106";"64";"1";"wieś";"stały";"Szkoła Podstawowa, Abrahama 34, 84-113 Wierzchucino";"gm. Krokowa";"pucki";"pomorskie";"1943";"2154";"775";"1168";"0";"27";"0";"0";"0";"0";"0";"0";"0";"1168";"0";"0";"1168";"31";"3";"28";"0";"1137";"423";"551";"163"
"5d37-b5a5-fa6a-99c7-674a-1be3-1b0a-11da";"221106";"64";"2";"wieś";"stały";"Szkoła Podstawowa w Żarnowcu, Żarnowiec Szkolna 2, 84-110 Krokowa";"gm. Krokowa";"pucki";"pomorskie";"1200";"1335";"377";"823";"0";"42";"0";"0";"0";"0";"0";"0";"0";"823";"0";"0";"823";"20";"4";"16";"0";"803";"368";"333";"102"
"50c2-b791-eb77-3ccf-ec66-3e6f-ce2e-3577";"221106";"64";"3";"wieś";"stały";"Urząd Gminy Krokowa, Żarnowiecka 29, 84-110 Krokowa";"gm. Krokowa";"pucki";"pomorskie";"1899";"2069";"701";"1198";"0";"30";"0";"0";"0";"0";"0";"0";"0";"1196";"0";"0";"1196";"24";"5";"19";"0";"1172";"525";"495";"152"
"8fb1-f16f-a0fb-e7d6-a0de-1e3f-7ef0-57eb";"221106";"64";"4";"wieś";"stały";"Szkoła Podstawowa w Sławoszynie, Sławoszyno Floriana Ceynowy 24, 84-110 Krokowa";"gm. Krokowa";"pucki";"pomorskie";"1694";"1832";"682";"1012";"0";"5";"1";"1";"1";"0";"0";"0";"0";"1012";"0";"0";"1012";"29";"4";"25";"0";"983";"439";"432";"112"
"2396-650e-56a6-5582-6844-c446-3459-15c1";"221106";"64";"5";"wieś";"stały";"Szkoła Podstawowa w Lubocinie, Lubocino 10, 84-110 Krokowa";"gm. Krokowa";"pucki";"pomorskie";"749";"803";"268";"481";"0";"5";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"10";"0";"10";"0";"471";"246";"161";"64"
"1c41-fa86-9962-ae95-5a45-210e-1612-ca71";"221106";"64";"6";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej, Lubkowo ul. Długa 50, 84-110 Krokowa";"gm. Krokowa";"pucki";"pomorskie";"46";"51";"21";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"25";"3";"0";"3";"0";"22";"9";"11";"2"
"1491-df36-8275-6143-e788-7c97-15c7-0b35";"221107";"64";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Mechowska 2, 84-106 Leśniewo";"gm. Puck";"pucki";"pomorskie";"2496";"2768";"849";"1647";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1647";"0";"0";"1647";"27";"6";"21";"0";"1620";"752";"625";"243"
"12e1-2c1d-d158-97f5-2146-50ac-5b98-bf97";"221107";"64";"2";"wieś";"stały";"Szkoła Podstawowa, Mrzezino ul. Dworcowa 54, 84-123 Połchowo";"gm. Puck";"pucki";"pomorskie";"1741";"1933";"541";"1200";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1190";"0";"0";"1190";"20";"3";"17";"0";"1170";"471";"526";"173"
