"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jolanta Emilia HIBNER";"Jan Krzysztof ŻARYN"
"a93e-8c24-1ac8-972f-f34b-9514-3b77-dc50";"140804";"40";"8";"wieś";"stały";"Dom Parafialny, Groszkowskiego 1, 05-131 Zegrze";"gm. Serock";"legionowski";"mazowieckie";"741";"855";"125";"616";"0";"10";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"23";"0";"23";"0";"593";"405";"188"
"933e-c510-8fb3-18ad-9db3-01c8-e632-8fd1";"140805";"40";"1";"wieś";"stały";"Budynek Ochotniczej Straży Pożarnej Janówek Pierwszy, Janówek Pierwszy ul. Dworcowa 9, 05-124 Skrzeszew";"gm. Wieliszew";"legionowski";"mazowieckie";"1199";"1341";"306";"893";"0";"6";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"34";"18";"16";"0";"859";"404";"455"
"eddf-df9b-4152-5d80-87ed-7286-c8e8-39bd";"140805";"40";"2";"wieś";"stały";"Szkoła Podstawowa im. Bronisława Sokoła, Olszewnica Stara ul. Warszawska 40, 05-123 Chotomów";"gm. Wieliszew";"legionowski";"mazowieckie";"810";"946";"82";"728";"0";"19";"0";"0";"0";"0";"0";"0";"0";"728";"0";"0";"728";"31";"7";"24";"0";"697";"389";"308"
"c478-0db1-647d-c57d-301d-5dd3-168b-3137";"140805";"40";"3";"wieś";"stały";"Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 10, 05-124 Skrzeszew";"gm. Wieliszew";"legionowski";"mazowieckie";"2087";"2393";"360";"1727";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1725";"0";"0";"1725";"51";"15";"36";"0";"1674";"926";"748"
"3db0-bfdb-4f15-e5c6-70e0-e08b-83eb-ec7d";"140805";"40";"4";"wieś";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki, ul. Modlińska 60, 05-135 Wieliszew";"gm. Wieliszew";"legionowski";"mazowieckie";"1270";"1417";"302";"968";"0";"19";"0";"0";"0";"0";"0";"0";"0";"968";"0";"0";"968";"32";"12";"20";"0";"936";"475";"461"
"f37f-8b31-c1ca-f24e-f2c4-ffd9-4038-8793";"140805";"40";"5";"wieś";"stały";"Szkoła Podstawowa im. Tadeusza Kościuszki, ul. Modlińska 60, 05-135 Wieliszew";"gm. Wieliszew";"legionowski";"mazowieckie";"2107";"2438";"356";"1751";"1";"30";"0";"0";"0";"0";"0";"0";"0";"1751";"0";"0";"1751";"47";"13";"34";"0";"1704";"984";"720"
"f946-9825-bcb0-b4e4-a4a8-c165-5750-d76c";"140805";"40";"6";"wieś";"stały";"Zespól Szkół w Łajskach, Łajski ul. Kościelna 63, 05-119  Legionowo";"gm. Wieliszew";"legionowski";"mazowieckie";"1401";"1588";"253";"1148";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1148";"0";"0";"1148";"38";"5";"33";"0";"1110";"673";"437"
"f1e8-a02a-afcc-229f-4efe-df1e-dbe0-5ae4";"140805";"40";"7";"wieś";"stały";"Dom Ogrodnika Michałów-Reginów, Michałów-Reginów ul. Nowodworska 31, 05-119 Legionowo";"gm. Wieliszew";"legionowski";"mazowieckie";"1219";"1358";"235";"984";"0";"10";"0";"0";"0";"0";"0";"0";"0";"983";"0";"0";"983";"21";"6";"15";"0";"962";"528";"434"
"6e06-aa11-4d0f-dbcc-06ae-1b0c-fed1-e492";"140805";"40";"8";"miasto";"zakład leczniczy";"Mazowiecki Szpital Onkologiczny, ul. Kościelna 61, 05-135 Wieliszew";"gm. Wieliszew";"legionowski";"mazowieckie";"200";"157";"132";"68";"0";"17";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"68";"1";"0";"1";"0";"67";"31";"36"
"7830-3c9d-eab4-f958-2998-fbc1-bcde-0344";"141401";"40";"1";"miasto";"stały";"Szkoła Podstawowa im. A. Einsteina, ul. Dębowa 13, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1100";"1261";"193";"907";"1";"6";"0";"0";"0";"0";"0";"0";"0";"907";"0";"0";"907";"15";"7";"8";"0";"892";"543";"349"
"1c01-0989-70ed-2f6f-6d81-bbdc-0d62-d0b2";"141401";"40";"2";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 1, ul. Młodzieżowa 3, 05-101 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"2118";"2340";"454";"1664";"1";"9";"0";"0";"0";"0";"0";"0";"0";"1664";"0";"1";"1663";"52";"13";"39";"0";"1611";"1058";"553"
"3498-e2ac-85a7-abaf-96b6-d251-f762-fd28";"141401";"40";"3";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 1, ul. Młodzieżowa 1/(stołówka), 05-101 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"2250";"2482";"514";"1736";"0";"13";"0";"0";"0";"0";"0";"0";"0";"1736";"0";"0";"1736";"47";"9";"38";"0";"1689";"994";"695"
"37d2-f276-be64-559b-4f1e-3841-1f25-0f32";"141401";"40";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Chemików 1A, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1250";"1362";"377";"873";"0";"0";"0";"0";"0";"0";"0";"0";"0";"873";"0";"0";"873";"34";"8";"26";"0";"839";"521";"318"
"4735-1559-0b63-fd39-801f-78bd-88a1-daab";"141401";"40";"5";"miasto";"stały";"Liceum Ogólnokształcące, ul. Chemików 1, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1540";"1697";"388";"1152";"1";"16";"0";"0";"0";"0";"0";"0";"0";"1152";"0";"0";"1152";"36";"6";"30";"0";"1116";"624";"492"
"6c04-6e21-b201-0a1d-dbe5-66e1-2c1a-ced8";"141401";"40";"6";"miasto";"stały";"Zespół Szkół Nr 2, ul. Długa 10, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"990";"1147";"296";"694";"2";"11";"0";"0";"0";"0";"0";"0";"0";"694";"0";"0";"694";"19";"5";"14";"0";"675";"297";"378"
"97ad-2c37-367c-b4e9-2b33-431c-8958-f679";"141401";"40";"7";"miasto";"stały";"Urząd Miejski, ul. Zakroczymska 30, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"980";"1088";"266";"714";"0";"9";"0";"0";"0";"0";"0";"0";"0";"714";"0";"0";"714";"23";"2";"21";"0";"691";"394";"297"
"a786-6110-476f-0c3d-d465-7698-6f57-5f84";"141401";"40";"8";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Juliusza Słowackiego 2, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1920";"2148";"582";"1337";"5";"10";"0";"0";"0";"0";"0";"0";"0";"1338";"0";"0";"1338";"40";"5";"35";"0";"1298";"723";"575"
"1fed-a6d0-3d35-8491-04da-7418-d19e-9bb3";"141401";"40";"9";"miasto";"stały";"Publiczne Przedszkole Nr 3, ul. Bohaterów Modlina 26, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1840";"1935";"662";"1178";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1178";"0";"0";"1178";"31";"10";"21";"0";"1147";"602";"545"
"701f-7c8f-efc8-62d5-c1a7-134f-72d8-6154";"141401";"40";"10";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4, ul. Gen. Józefa Bema 312/(hala sportowa), 05-160 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1870";"2033";"633";"1237";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1237";"0";"0";"1237";"36";"6";"30";"0";"1201";"815";"386"
"c5da-38b4-ac5e-14c3-a3a1-d4e2-45b8-ed35";"141401";"40";"11";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 4, ul. Gen. Józefa Bema 312/(sala gimnastyczna), 05-160 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1738";"1884";"622";"1116";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1116";"0";"0";"1116";"40";"11";"29";"0";"1076";"714";"362"
"0786-3925-58fe-08b2-6351-2851-1fe6-62ec";"141401";"40";"12";"miasto";"stały";"Zespół Szkolno-Przedszkolny Nr 3, ul. Szkolna 3, 05-102 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"1889";"2141";"614";"1275";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1275";"0";"0";"1275";"47";"5";"42";"0";"1228";"650";"578"
"1476-c651-caa5-0d14-f686-dad0-41bb-1a50";"141401";"40";"13";"miasto";"zakład leczniczy";"Szpital Powiatowy w Nowym Dworze Mazowieckim (Nowodworskie Centrum Medyczne), Miodowa 2, 05-100 Nowy Dwór Mazowiecki";"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";"99";"104";"64";"35";"0";"2";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0";"35";"1";"0";"1";"0";"34";"18";"16"
"f376-0e3a-5bdc-9966-4c2d-91c8-995b-5483";"141402";"40";"1";"wieś";"stały";"Szkoła Podstawowa im. Prezydenta Gabriela Narutowicza w Cząstkowie Mazowieckim, Cząstków Mazowiecki 55, 05-152 Czosnów";"gm. Czosnów";"nowodworski";"mazowieckie";"1091";"1242";"256";"835";"1";"11";"0";"0";"0";"0";"0";"0";"0";"835";"0";"0";"835";"29";"6";"23";"0";"806";"398";"408"
"4fa2-fcb7-99ef-3b09-55a3-4e2f-6b5a-2572";"141402";"40";"2";"wieś";"stały";"Szkoła Podstawowa im. Macieja Rataja w Małocicach, Małocice ul. Wojska Polskiego 76, 05-152 Czosnów";"gm. Czosnów";"nowodworski";"mazowieckie";"1550";"1740";"355";"1195";"0";"9";"0";"0";"0";"0";"0";"0";"0";"1195";"0";"0";"1195";"53";"14";"39";"0";"1142";"628";"514"
"f650-8026-f22c-7de6-db07-7aeb-a12d-b46e";"141402";"40";"3";"wieś";"stały";"Szkoła Podstawowa im. ks. Jerzego Popiełuszki w Kazuniu Polskim, Kazuń Polski ul. Szkolna 2, 05-152 Czosnów";"gm. Czosnów";"nowodworski";"mazowieckie";"1324";"1454";"306";"1018";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1018";"0";"0";"1018";"33";"8";"25";"0";"985";"539";"446"
"1bd1-a38b-2435-9980-086d-0a8b-a536-4136";"141402";"40";"4";"wieś";"stały";"Szkoła Podstawowa w Sowiej Woli, Sowia Wola ul. Szkolna 108, 05-152 Czosnów";"gm. Czosnów";"nowodworski";"mazowieckie";"1080";"1190";"365";"715";"0";"3";"0";"0";"0";"0";"0";"0";"0";"714";"0";"0";"714";"41";"4";"37";"0";"673";"333";"340"
"dd17-a2b8-4719-b0ef-bdab-4e76-d7b9-91a2";"141402";"40";"5";"wieś";"stały";"Szkoła Podstawowa w Łomnie, Łomna ul. Jana Kochanowskiego 89, 05-152 Czosnów";"gm. Czosnów";"nowodworski";"mazowieckie";"1657";"1773";"428";"1229";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1229";"0";"0";"1229";"34";"6";"28";"0";"1195";"626";"569"
"b0a1-4209-4827-dda9-9281-19d1-8f13-bf0e";"141402";"40";"6";"wieś";"stały";"Zespół Szkolno-Przedszkolny Szkoła Podstawowa im. 2 Brygady Saperów w Kazuniu Nowym, Kazuń Nowy ul. Główna 6, 05-152 Czosnów";"gm. Czosnów";"nowodworski";"mazowieckie";"630";"693";"197";"433";"0";"11";"0";"0";"0";"0";"0";"0";"0";"433";"0";"0";"433";"23";"4";"19";"0";"410";"242";"168"
"a769-3f2d-6f52-dc29-7a2b-422d-90e0-4468";"141403";"40";"1";"wieś";"stały";"Szkoła Podstawowa w Górkach, Górki 67, 05-155 Leoncin";"gm. Leoncin";"nowodworski";"mazowieckie";"370";"411";"144";"226";"0";"1";"0";"0";"0";"0";"0";"0";"0";"226";"0";"0";"226";"6";"1";"5";"0";"220";"60";"160"
"8cb6-392d-e65c-0707-da1e-140a-2d01-5d8d";"141403";"40";"2";"wieś";"stały";"Szkoła Podstawowa w Leoncinie, Isaaca Bashevisa Singera 3, 05-155 Leoncin";"gm. Leoncin";"nowodworski";"mazowieckie";"1370";"1531";"400";"970";"3";"17";"0";"0";"0";"0";"0";"0";"0";"970";"0";"0";"970";"25";"9";"16";"0";"945";"347";"598"
"f88b-f9e4-1461-699b-694d-e1dd-9ab7-f56d";"141403";"40";"3";"wieś";"stały";"Szkoła Podstawowa w Głusku z siedzibą w Nowych Grochalach, Nowe Grochale 40, 05-155 Leoncin";"gm. Leoncin";"nowodworski";"mazowieckie";"1270";"1410";"379";"891";"1";"8";"0";"0";"0";"0";"0";"0";"0";"891";"0";"1";"890";"32";"6";"26";"0";"858";"394";"464"
"7dab-ca49-0647-c449-3d69-31e8-40f0-f249";"141403";"40";"4";"wieś";"stały";"Strażnica Ochotniczej Straży Pożarnej w Wilkowie Polskim, Wilków Polski 54A, 05-155 Leoncin";"gm. Leoncin";"nowodworski";"mazowieckie";"1071";"1184";"361";"710";"2";"7";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"17";"2";"15";"0";"693";"224";"469"
"6313-b48c-0fa2-cb13-6660-a9bd-9653-f987";"141404";"40";"1";"miasto";"stały";"Żłobek Miejski-hol w wejściu od strony placu zabaw, ul. Warszawska 39A, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"760";"817";"303";"457";"0";"3";"0";"0";"0";"0";"0";"0";"0";"457";"0";"0";"457";"19";"5";"14";"0";"438";"192";"246"
"b417-cef5-2e69-c683-efe7-0f2d-c307-a9f9";"141404";"40";"2";"miasto";"stały";"Żłobek Miejski-pomieszczenie w wejściu głównym od ulicy, ul. Warszawska 39A, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"680";"741";"214";"466";"0";"1";"0";"0";"0";"0";"0";"0";"0";"466";"0";"0";"466";"13";"2";"11";"0";"453";"229";"224"
"8a5b-5f20-abed-3433-b59b-2ae3-9803-daca";"141404";"40";"3";"miasto";"stały";"Hala Sportowa, ul. Staszica 1, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"989";"1076";"334";"655";"0";"3";"0";"0";"0";"0";"0";"0";"0";"655";"0";"0";"655";"23";"6";"17";"0";"632";"308";"324"
"2a4e-a869-276a-63f4-c464-ac5e-15f1-15b8";"141404";"40";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1 im. Konstytucji 3 Maja, ul. Staszica 1, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"899";"978";"269";"630";"1";"3";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"29";"2";"27";"0";"601";"303";"298"
"7ad9-b39d-3251-b60a-73bc-dea1-e506-e533";"141404";"40";"5";"miasto";"stały";"Zespół Szkół Zawodowych-hol w wejściu do sali gimnastycznej, ul. Lipowa 10, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"1071";"1162";"401";"670";"1";"2";"0";"0";"0";"0";"0";"0";"0";"670";"0";"0";"670";"24";"4";"20";"0";"646";"302";"344"
"9922-d473-e47d-fd6d-9c2b-5311-c817-006d";"141404";"40";"6";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Stefana Starzyńskiego, ul. Tadeusza Kościuszki 21, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"940";"1038";"313";"627";"1";"7";"0";"0";"0";"0";"0";"0";"0";"627";"0";"0";"627";"32";"5";"27";"0";"595";"246";"349"
"a63a-e035-f916-a268-c129-b53f-e145-aa2d";"141404";"40";"7";"wieś";"stały";"Szkoła Podstawowa im. Księcia Józefa Poniatowskiego-świetlica szkolna, Stare Pieścirogi ul. Kolejowa 65, 05-191 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"1019";"1148";"347";"672";"0";"3";"0";"0";"0";"0";"0";"0";"0";"672";"0";"0";"672";"22";"5";"17";"0";"650";"288";"362"
"4115-aaa8-7fd7-b660-af94-3484-1479-7488";"141404";"40";"8";"wieś";"stały";"Szkoła Podstawowa im. Księcia Józefa Poniatowskiego-klasa w nowej części szkoły, Stare Pieścirogi ul. Kolejowa 65, 05-191 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"1131";"1249";"440";"691";"1";"4";"0";"0";"0";"0";"0";"0";"0";"691";"0";"0";"691";"20";"10";"10";"0";"671";"237";"434"
"e87d-fb29-91c6-ef12-00da-4301-6782-b183";"141404";"40";"9";"wieś";"stały";"Zespół Szkół Zawodowych-hol w wejściu do starej części szkoły, ul. Lipowa 10, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"1030";"1140";"474";"556";"3";"2";"0";"0";"0";"0";"0";"0";"0";"556";"0";"0";"556";"14";"5";"9";"0";"542";"145";"397"
"3b52-d879-3828-25bd-c589-2b9a-2d93-eb14";"141404";"40";"10";"wieś";"stały";"Szkoła Podstawowa, Popowo Borowe 111, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"907";"996";"389";"518";"0";"1";"0";"0";"0";"0";"0";"0";"0";"518";"0";"0";"518";"10";"0";"10";"0";"508";"154";"354"
"95af-2ccb-daaf-01b7-5c10-dcb4-e461-bdb5";"141404";"40";"11";"wieś";"stały";"Szkoła Podstawowa im. Pierre'a de Coubertina-sala gimnastyczna, Budy Siennickie 67, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"1080";"1182";"370";"710";"1";"3";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"24";"0";"24";"0";"684";"207";"477"
"ea29-c5c9-91c8-9550-3775-de02-f31a-e62d";"141404";"40";"12";"wieś";"stały";"Remiza Ochotniczej Straży Pożarnej, Nuna 173, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"650";"704";"286";"364";"0";"1";"0";"0";"0";"0";"0";"0";"0";"364";"0";"0";"364";"17";"2";"15";"0";"347";"95";"252"
"0392-c2e5-0065-25e0-311b-d8dc-921a-2f97";"141404";"40";"13";"wieś";"stały";"Ośrodek Zdrowia, Stare Pieścirogi ul. Sikorskiego 1, 05-191 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"830";"909";"320";"510";"0";"0";"0";"0";"0";"0";"0";"0";"0";"510";"0";"0";"510";"11";"3";"8";"0";"499";"215";"284"
"d41d-b2c1-6421-ed0e-2eab-9a28-5f40-1fe3";"141404";"40";"14";"wieś";"stały";"Szkoła Podstawowa im. Jana Pawła II, Dębinki 12, 05-191 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"965";"1069";"395";"570";"0";"2";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"17";"4";"13";"0";"553";"172";"381"
"aad5-866c-0615-6a04-b81e-a38b-1683-f5e1";"141404";"40";"15";"wieś";"stały";"Szkoła Podstawowa im. Mikołaja Kopernika, ul. Marszałka Józefa Piłsudskiego 43, 05-192 Cieksyn";"gm. Nasielsk";"nowodworski";"mazowieckie";"1148";"1287";"430";"718";"0";"19";"0";"0";"0";"0";"0";"0";"0";"718";"0";"0";"718";"10";"3";"7";"0";"708";"252";"456"
"fc0c-3eae-5122-ab9d-8d3d-4827-992a-b705";"141404";"40";"16";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Nasielsku, ul. Tadeusza Kościuszki 25, 05-190 Nasielsk";"gm. Nasielsk";"nowodworski";"mazowieckie";"71";"69";"32";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"39";"4";"0";"4";"0";"35";"18";"17"
"7ad6-db32-7de4-9542-f129-9b0f-f0a6-a6f3";"141405";"40";"1";"wieś";"stały";"Hala Sportowa w Pomiechówku, Szkolna 3/Wejście A, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"873";"967";"199";"674";"0";"14";"0";"0";"0";"0";"0";"0";"0";"674";"0";"0";"674";"20";"11";"9";"0";"654";"304";"350"
"2ecf-8073-4cce-64fc-2288-2970-9910-9321";"141405";"40";"2";"wieś";"stały";"Hala Sportowa w Pomiechówku, Szkolna 3/Wejście B, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"860";"949";"151";"709";"0";"6";"0";"0";"0";"0";"0";"0";"0";"709";"0";"0";"709";"17";"6";"11";"0";"692";"406";"286"
"467d-8ab4-7f1a-5b84-7f15-b7ce-c57a-70d2";"141405";"40";"3";"wieś";"stały";"Gminny Ośrodek Kultury w Pomiechówku, Jana Kilińskiego 1, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"1438";"1600";"400";"1038";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1038";"0";"0";"1038";"38";"10";"28";"0";"1000";"542";"458"
"27c5-e9a4-0979-c274-46f8-4e99-b6f9-31e4";"141405";"40";"4";"wieś";"stały";"Klub wiejski w Kosewie, Kosewo, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"1010";"1120";"394";"616";"0";"4";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"19";"7";"12";"0";"597";"285";"312"
"ff38-b67b-26bd-71c5-4918-4f88-45c0-ae14";"141405";"40";"5";"wieś";"stały";"Klub wiejski w Czarnowie, Czarnowo, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"430";"482";"104";"326";"0";"3";"0";"0";"0";"0";"0";"0";"0";"326";"0";"0";"326";"14";"1";"13";"0";"312";"137";"175"
"c302-111c-2ea1-37e5-a742-e9cb-0dd3-cf4c";"141405";"40";"6";"wieś";"stały";"Szkoła Podstawowa w Starym Orzechowie, Stare Orzechowo, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"440";"487";"119";"321";"0";"4";"0";"0";"0";"0";"0";"0";"0";"321";"0";"0";"321";"15";"2";"13";"0";"306";"102";"204"
"d742-f094-7984-e03d-d9c5-4fc9-145a-117e";"141405";"40";"7";"wieś";"stały";"Szkoła Podstawowa w Goławicach Pierwszych, Goławice Pierwsze 11a, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"1090";"1238";"321";"769";"2";"12";"0";"0";"0";"0";"0";"0";"0";"769";"0";"0";"769";"20";"5";"15";"0";"749";"338";"411"
"3682-aea7-7074-5716-8b32-1a00-465d-3dea";"141405";"40";"8";"wieś";"stały";"Klub wiejski w Szczypiornie, Szczypiorno 16B, 05-180 Pomiechówek";"gm. Pomiechówek";"nowodworski";"mazowieckie";"430";"482";"97";"333";"0";"2";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"18";"3";"15";"0";"315";"156";"159"
"2f86-4eb5-428b-aafc-d72a-388c-e644-8f88";"141406";"40";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Zakroczymiu, ul. o. Honorata Koźmińskiego 63, 05-170 Zakroczym";"gm. Zakroczym";"nowodworski";"mazowieckie";"1260";"1383";"457";"803";"0";"12";"0";"0";"0";"0";"0";"0";"0";"803";"0";"0";"803";"26";"5";"21";"0";"777";"329";"448"
"782f-e965-e2b0-2bc4-3de0-bd39-1dc9-1a42";"141406";"40";"2";"miasto";"stały";"Strażnica OSP, ul. o. Honorata Koźmińskiego 11, 05-170 Zakroczym";"gm. Zakroczym";"nowodworski";"mazowieckie";"1129";"1219";"427";"702";"1";"4";"1";"1";"0";"0";"0";"0";"1";"703";"1";"0";"703";"13";"8";"5";"0";"690";"378";"312"
"e862-a32c-515a-00c7-90b5-a9d7-d5e0-73a1";"141406";"40";"3";"wieś";"stały";"Szkoła Podstawowa im. Fryderyka Chopina w Wojszczycach, Wojszczyce 4a, 05-180 Pomiechówek";"gm. Zakroczym";"nowodworski";"mazowieckie";"730";"792";"337";"393";"1";"1";"0";"0";"0";"0";"0";"0";"0";"392";"0";"0";"392";"16";"3";"13";"0";"376";"127";"249"
"c02c-6a03-ee79-9696-d657-49ea-cc0a-f073";"141406";"40";"4";"wieś";"stały";"Remiza Strażacka, Trębki Nowe 100b, 05-170 Zakroczym";"gm. Zakroczym";"nowodworski";"mazowieckie";"810";"886";"398";"412";"0";"2";"0";"0";"0";"0";"0";"0";"0";"411";"0";"0";"411";"19";"4";"15";"0";"392";"175";"217"
"66c1-3fd7-3c5f-498d-02bf-7633-8c28-e600";"141406";"40";"5";"wieś";"stały";"Szkoła Podstawowa im. Kornela Makuszyńskiego w Emolinku, Wygoda Smoszewska 16a, 05-170 Zakroczym";"gm. Zakroczym";"nowodworski";"mazowieckie";"690";"769";"350";"340";"0";"12";"0";"0";"0";"0";"0";"0";"0";"340";"0";"0";"340";"20";"4";"16";"0";"320";"133";"187"
"cb66-3015-55d3-3f03-a6fe-bfe8-147c-4ea4";"143201";"40";"1";"miasto i wieś";"stały";"Hala Sportowa im. Zygmunta Karlickiego w Błoniu, ul. Lesznowska 15A, Lesznowska 15A, 05-870 Błonie";"gm. Błonie";"warszawski zachodni";"mazowieckie";"1500";"1703";"367";"1133";"1";"8";"0";"0";"0";"0";"0";"0";"0";"1132";"0";"0";"1132";"26";"10";"16";"0";"1106";"621";"485"
"5d6d-d993-a1b8-f1f4-2418-1037-545c-cf6c";"143201";"40";"2";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Błoniu, ul. Nrutowicza 4, Narutowicza 4, 05-870 Błonie";"gm. Błonie";"warszawski zachodni";"mazowieckie";"1328";"1440";"400";"928";"1";"6";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"33";"7";"26";"0";"895";"493";"402"
"66ef-ea2b-5d2f-756e-b0de-22f7-84f1-d63c";"143201";"40";"3";"miasto";"stały";"Szkoła Podstawowa Nr 2 w Błoniu, ul. Narutowicza 21, Narutowicza 21, 05-870 Błonie";"gm. Błonie";"warszawski zachodni";"mazowieckie";"1470";"1592";"453";"1017";"3";"4";"0";"0";"0";"0";"0";"0";"0";"1017";"0";"0";"1017";"20";"4";"16";"0";"997";"512";"485"
