"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Antoni SZYMAŃSKI";"Ryszard Jan ŚWILSKI";"Liczba obwodów"
"221306";"gmina wiejska";"gm. Lubichowo";"starogardzki";"pomorskie";4470;5047;1733;2737;1;43;0;0;0;0;0;0;0;2737;0;1;2736;86;19;67;0;2650;1399;1251;6
"221307";"gmina wiejska";"gm. Osieczna";"starogardzki";"pomorskie";2049;2268;841;1208;1;13;0;0;0;0;0;0;0;1208;0;0;1208;51;8;43;0;1157;748;409;2
"221308";"gmina wiejska";"gm. Osiek";"starogardzki";"pomorskie";1820;2097;636;1183;2;97;1;1;1;0;0;0;0;1184;0;0;1184;33;4;29;0;1151;577;574;4
"221309";"gmina miejsko-wiejska";"gm. Skarszewy";"starogardzki";"pomorskie";9818;10799;4033;5785;1;30;0;0;0;0;0;0;0;5785;0;0;5785;157;47;110;0;5628;2951;2677;9
"221310";"gmina wiejska";"gm. Skórcz";"starogardzki";"pomorskie";3190;3510;1353;1837;0;9;0;0;0;0;0;0;0;1837;0;0;1837;50;6;44;0;1787;1072;715;4
"221311";"gmina wiejska";"gm. Smętowo Graniczne";"starogardzki";"pomorskie";3700;4025;1712;1988;3;9;0;0;0;0;0;0;0;1986;0;0;1986;79;15;64;0;1907;1078;829;6
"221312";"gmina wiejska";"gm. Starogard Gdański";"starogardzki";"pomorskie";11292;12095;3997;7295;1;25;0;0;0;0;0;0;0;7295;0;0;7295;230;55;175;0;7065;3564;3501;20
"221313";"gmina wiejska";"gm. Zblewo";"starogardzki";"pomorskie";8070;8856;3194;4876;3;60;0;0;0;0;0;0;0;4875;0;2;4873;209;36;173;0;4664;2569;2095;7
"221401";"gmina miejska";"m. Tczew";"tczewski";"pomorskie";40926;44067;13773;27140;23;101;1;1;0;0;0;0;1;27140;1;0;27140;987;315;672;0;26153;10977;15176;28
"221402";"gmina miejsko-wiejska";"gm. Gniew";"tczewski";"pomorskie";10926;11776;5025;5901;6;48;0;0;0;0;0;0;0;5900;0;0;5900;201;42;159;0;5699;2883;2816;16
"221403";"gmina wiejska";"gm. Morzeszczyn";"tczewski";"pomorskie";2542;2757;1313;1229;0;6;0;0;0;0;0;0;0;1229;0;0;1229;53;5;48;0;1176;681;495;3
"221404";"gmina miejsko-wiejska";"gm. Pelplin";"tczewski";"pomorskie";11345;12306;5042;6301;4;26;1;1;0;0;0;0;1;6302;1;0;6302;229;46;183;0;6073;3064;3009;12
"221405";"gmina wiejska";"gm. Subkowy";"tczewski";"pomorskie";3790;4141;1604;2186;2;9;0;0;0;0;0;0;0;2186;0;0;2186;74;13;61;0;2112;1000;1112;4
"221406";"gmina wiejska";"gm. Tczew";"tczewski";"pomorskie";10030;10870;3738;6292;5;28;0;0;0;0;0;0;0;6292;0;0;6292;213;56;157;0;6079;2625;3454;12
