"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Zygmunt Mieczysław FRANKIEWICZ";"Krystian Karol PROBIERZ"
"11ff-fe7a-a8c8-5725-2f83-0589-8ee4-204a";"240502";"70";"1";"miasto";"stały";"Przedszkole Miejskie Nr 1, ul. Oświęcimska 28, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1750";"1909";"683";"1067";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1067";"0";"0";"1067";"27";"2";"25";"0";"1040";"660";"380"
"c90e-22b6-b0b8-653e-f083-17ba-271f-848f";"240502";"70";"2";"miasto";"stały";"Miejska Biblioteka Publiczna-Filia Nr 1, ul. Traugutta 53, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"900";"959";"326";"574";"0";"2";"0";"0";"0";"0";"0";"0";"0";"574";"0";"0";"574";"14";"1";"13";"0";"560";"364";"196"
"bbf1-3481-6ac4-051b-624a-4f48-f950-e294";"240502";"70";"3";"miasto";"stały";"Ratusz, ul. Rynek 1, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1748";"1908";"681";"1067";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1067";"0";"0";"1067";"40";"4";"36";"0";"1027";"614";"413"
"6dc0-d3ad-95ad-d3ea-b3f2-c159-660e-6db6";"240502";"70";"4";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Wojska Polskiego 23, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1500";"1633";"548";"952";"0";"3";"0";"0";"0";"0";"0";"0";"0";"952";"0";"0";"952";"27";"6";"21";"0";"925";"549";"376"
"4d27-77e1-564f-e280-ddee-82cd-1e8d-fc40";"240502";"70";"5";"miasto";"stały";"Miejska Biblioteka Publiczna, Plac Józefa Piłsudskiego 1, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1600";"1756";"678";"922";"1";"4";"0";"0";"0";"0";"0";"0";"0";"922";"0";"0";"922";"30";"9";"21";"0";"892";"544";"348"
"3ccb-c1c8-dc94-1d77-fcdb-2e93-07ae-38e9";"240502";"70";"6";"miasto";"stały";"Hala Widowiskowo-Sportowa im. H. Wagnera, ul. Strzelców Bytomskich 1A, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1550";"1667";"710";"840";"3";"3";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"31";"8";"23";"0";"809";"484";"325"
"722b-583a-9ab1-c463-d4b1-d439-6bc1-76d3";"240502";"70";"7";"miasto";"stały";"Świetlica Osiedlowa, ul. Wojska Polskiego 3, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1650";"1776";"760";"890";"0";"3";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"20";"4";"16";"0";"870";"508";"362"
"b96d-6c58-1520-e760-7562-5021-cc9d-3ba0";"240502";"70";"8";"miasto";"stały";"Przedszkole Miejskie Nr 5, ul. Szopena 9A, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"1802";"1989";"581";"1221";"1";"5";"1";"1";"1";"0";"0";"0";"0";"1218";"0";"0";"1218";"35";"8";"27";"0";"1183";"764";"419"
"d796-1dd7-aab0-51f8-3775-4db8-7cbb-dc22";"240502";"70";"9";"miasto";"zakład leczniczy";"Szpital w Pyskowicach Spółka z o. o., Szpitalna 2, 44-120 Pyskowice";"m. Pyskowice";"gliwicki";"śląskie";"120";"53";"92";"28";"0";"3";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"1";"1";"0";"0";"27";"15";"12"
"88c4-d6e3-c008-5d83-6998-512b-b9f9-257e";"240503";"70";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny, ul. Powstańców Śląskich 41, 44-186 Gierałtowice";"gm. Gierałtowice";"gliwicki";"śląskie";"1750";"1924";"520";"1230";"5";"2";"0";"0";"0";"0";"0";"0";"0";"1230";"0";"0";"1230";"25";"7";"18";"0";"1205";"604";"601"
