"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Krzysztof KWIATKOWSKI";"Marek Sławomir MARKIEWICZ";"Małgorzata Krystyna NIEWIADOMSKA-CUDAK"
"152d-d5bd-e464-b99e-9e8a-8480-04c9-842a";"106101";"24";"282";"miasto";"stały";"Pogotowie Opiekuńcze Nr 1, ul. Krokusowa 15/17, 92-101 Łódź";"m. Łódź";"Łódź";"łódzkie";"1445";"1593";"281";"1164";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1162";"0";"0";"1162";"30";"16";"14";"0";"1132";"462";"396";"274"
"8e8c-fd65-92f0-f95b-965d-6b99-641c-2a5c";"106101";"24";"283";"miasto";"stały";"Szkoła Podstawowa Specjalna nr 128, ul. Nowogrodzka 6/14, 92-221 Łódź";"m. Łódź";"Łódź";"łódzkie";"1362";"1533";"431";"931";"1";"3";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"20";"8";"12";"0";"911";"385";"259";"267"
"470b-88f4-a0e1-3678-33b5-d7f1-705e-1777";"106101";"24";"294";"miasto";"zakład leczniczy";"Instytut Centrum Zdrowia Matki Polki w Łodzi, ul. Rzgowska 281/289, 93-338 Łódź";"m. Łódź";"Łódź";"łódzkie";"811";"159";"692";"119";"0";"11";"0";"0";"0";"0";"0";"0";"0";"119";"0";"0";"119";"0";"0";"0";"0";"119";"38";"48";"33"
"c2d7-75c6-77f7-14b7-f529-c961-3b8c-ca38";"106101";"24";"295";"miasto";"zakład leczniczy";"Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi, ul. Pabianicka 62, 93-490 Łódź";"m. Łódź";"Łódź";"łódzkie";"800";"476";"564";"236";"0";"9";"0";"0";"0";"0";"0";"0";"0";"236";"0";"0";"236";"6";"1";"5";"0";"230";"62";"104";"64"
"7711-6df6-97be-ac54-31f5-5ca9-13e0-34dc";"106101";"24";"296";"miasto";"zakład leczniczy";"Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi Ośrodek Wczesnej Rehabilitacji Kardiologicznej, ul. Popioły 40, 93-438 Łódź";"m. Łódź";"Łódź";"łódzkie";"54";"54";"7";"47";"0";"0";"0";"0";"0";"0";"0";"0";"0";"47";"0";"0";"47";"3";"0";"3";"0";"44";"12";"22";"10"
"ef87-e2d2-165b-980d-6b78-fd19-02fd-af4c";"106101";"24";"297";"miasto";"zakład leczniczy";"Szpital Zakonu Bonifratrów św. Jana Bożego w Łodzi Sp. z o. o., ul. Kosynierów Gdyńskich 61, 93-357 Łódź";"m. Łódź";"Łódź";"łódzkie";"134";"84";"92";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"0";"0";"0";"0";"42";"14";"21";"7"
"b5d6-085d-64f5-0d55-4177-2664-a190-9417";"106101";"24";"298";"miasto";"dom pomocy społecznej";"5 Dom Pomocy Społecznej w Łodzi, ul. Podgórna 2/14, 93-278 Łódź";"m. Łódź";"Łódź";"łódzkie";"160";"69";"132";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"28";"0";"0";"0";"0";"28";"10";"10";"8"
"2b45-10ad-b13d-a04a-6e0c-a9da-6a40-b9bf";"106101";"24";"299";"miasto";"dom pomocy społecznej";"3 Dom Pomocy Społecznej w Łodzi, ul. Paradna 36, 93-345 Łódź";"m. Łódź";"Łódź";"łódzkie";"115";"53";"91";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"5";"0";"5";"0";"19";"3";"14";"2"
"d8e3-01a4-7b0f-06f1-672b-d4ca-b700-1ca3";"106101";"24";"300";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej w Łodzi, ul. Rudzka 56, 93-423 Łódź";"m. Łódź";"Łódź";"łódzkie";"100";"89";"57";"43";"0";"0";"0";"0";"0";"0";"0";"0";"0";"43";"0";"0";"43";"0";"0";"0";"0";"43";"8";"27";"8"
"6988-7d74-9cb4-e763-b6e5-07dc-a748-9b5d";"106101";"24";"301";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek NMP NP im. bł. Edmunda Bojanowskiego w Łodzi, ul. Kosynierów Gdyńskich 20, 93-357 Łódź";"m. Łódź";"Łódź";"łódzkie";"116";"78";"54";"62";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62";"0";"1";"61";"0";"0";"0";"0";"61";"11";"44";"6"
