"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Waldemar Jerzy KRASKA";"Janina Ewa ORZEŁOWSKA"
"db4f-0cf4-7c3d-e8bc-aa84-16f4-2b04-7a9c";"141004";"48";"4";"wieś";"stały";"Przedszkole Samorządowe w Ruskowie, Rusków 104, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"384";"431";"167";"217";"0";"1";"0";"0";"0";"0";"0";"0";"0";"217";"0";"0";"217";"10";"1";"9";"0";"207";"114";"93"
"7107-c81c-bdb4-2457-70c9-54f0-b5b9-ead1";"141004";"48";"5";"wieś";"stały";"Młodzieżowy Ośrodek Wychowawczy w Czuchowie-Pieńkach, Czuchów-Pieńki 1, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"373";"414";"165";"208";"0";"0";"0";"0";"0";"0";"0";"0";"0";"208";"0";"0";"208";"2";"0";"2";"0";"206";"134";"72"
"6ebe-aeed-fb96-ac18-9062-bddb-6064-5b28";"141004";"48";"6";"wieś";"stały";"Świetlica wiejska w Mężeninie, Mężenin 25A, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"306";"348";"111";"195";"0";"7";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"195";"1";"0";"1";"0";"194";"104";"90"
"b5fc-776a-152b-0346-25c3-b3ab-82e8-47ce";"141004";"48";"7";"wieś";"stały";"Świetlica wiejska w Ostromęczynie, Ostromęczyn 1B, 08-210 Platerów";"gm. Platerów";"łosicki";"mazowieckie";"444";"484";"204";"240";"0";"1";"0";"0";"0";"0";"0";"0";"0";"240";"0";"0";"240";"8";"5";"3";"0";"232";"134";"98"
"e76b-3833-fe8f-0ce5-f26e-c0c8-dced-53c1";"141005";"48";"1";"wieś";"stały";"Szkoła Podstawowa w Sarnakach, 3 Maja 27, 08-220 Sarnaki";"gm. Sarnaki";"łosicki";"mazowieckie";"1089";"1204";"442";"647";"1";"18";"0";"0";"0";"0";"0";"0";"0";"644";"0";"0";"644";"9";"3";"6";"0";"635";"374";"261"
"d168-414c-1a99-794b-9b38-4422-f3cb-d637";"141005";"48";"2";"wieś";"stały";"Dzienny Dom ""Senior+"", Nowe Hołowczyce 79, 08-220 Sarnaki";"gm. Sarnaki";"łosicki";"mazowieckie";"826";"888";"303";"523";"0";"4";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"14";"4";"10";"0";"509";"350";"159"
"7c3f-9e55-f910-dcef-f218-d2f6-2bf1-242b";"141005";"48";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Serpelicach, Serpelice 83, 08-220 Sarnaki";"gm. Sarnaki";"łosicki";"mazowieckie";"878";"917";"354";"524";"0";"7";"0";"0";"0";"0";"0";"0";"0";"524";"0";"0";"524";"17";"4";"13";"0";"507";"366";"141"
"fefb-0acc-d7d3-e140-0ab7-abe8-2d07-2526";"141005";"48";"4";"wieś";"stały";"Urząd Gminy Sarnaki, Berka Joselewicza 3, 08-220 Sarnaki";"gm. Sarnaki";"łosicki";"mazowieckie";"805";"854";"284";"520";"3";"8";"1";"1";"0";"0";"0";"0";"1";"521";"1";"0";"521";"20";"8";"12";"0";"501";"271";"230"
"0d8c-1a2a-edb9-ead0-a6b9-01ed-5f9a-01dc";"141006";"48";"1";"wieś";"stały";"Urząd Gminy w Starej Kornicy, Stara Kornica 191, 08-205 Stara Kornica";"gm. Stara Kornica";"łosicki";"mazowieckie";"1000";"1078";"392";"608";"2";"1";"0";"0";"0";"0";"0";"0";"0";"608";"0";"0";"608";"11";"2";"9";"0";"597";"376";"221"
"1f25-bb8d-9f12-78b7-f702-9d48-31e7-2983";"141006";"48";"2";"wieś";"stały";"Zespół Publicznych Placówek Oświatowych im. Odzyskania Niepodległości w Starej Kornicy, Stara Kornica 172, 08-205 Stara Kornica";"gm. Stara Kornica";"łosicki";"mazowieckie";"807";"883";"313";"494";"0";"5";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"13";"1";"12";"0";"481";"342";"139"
