"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Leszek CZARNOBAJ";"Kazimierz Józef JANIAK"
"600a-f03b-0364-8093-cfd3-0ea4-b54f-f62d";"220704";"67";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Grunwaldzka 6, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"544";"600";"325";"219";"0";"1";"0";"0";"0";"0";"0";"0";"0";"219";"0";"0";"219";"10";"0";"10";"0";"209";"132";"77"
"c1de-5a53-13c7-f37b-336b-3cdc-2750-950c";"220704";"67";"2";"miasto";"stały";"Budynek lekcyjny Szkoły Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Grunwaldzka 6, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"760";"819";"332";"428";"2";"1";"0";"0";"0";"0";"0";"0";"0";"428";"0";"0";"428";"14";"0";"14";"0";"414";"278";"136"
"6f44-cacf-a1f5-a112-4a39-3d12-b6ba-5ba4";"220704";"67";"3";"miasto";"stały";"Przedszkole Niepubliczne ""Miś Uszatek"" Beata Lewandowska w Prabutach, ul. Kopernika 2, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"650";"693";"339";"311";"0";"1";"0";"0";"0";"0";"0";"0";"0";"311";"0";"0";"311";"8";"2";"6";"0";"303";"156";"147"
"bbf1-2641-9bf8-729b-3807-8cc5-d17e-5cc5";"220704";"67";"4";"miasto";"stały";"Przedszkole Niepubliczne ""Bratek"" w Prabutach, ul. Mickiewicza 3, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"560";"606";"221";"339";"0";"1";"0";"0";"0";"0";"0";"0";"0";"339";"0";"0";"339";"7";"3";"4";"0";"332";"200";"132"
"4496-0ffb-d7bc-5c2d-a1c0-cfd6-dcd9-5de4";"220704";"67";"5";"miasto";"stały";"Sala gimnastyczna Szkoły Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Grunwaldzka 6, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"600";"646";"282";"318";"0";"0";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"10";"1";"9";"0";"308";"166";"142"
"b85b-f4ce-9808-85d7-11d8-bd39-8d50-8416";"220704";"67";"6";"miasto";"stały";"Szkoła Podstawowa Nr 2 im. Obrońców Westerplatte w Prabutach (budynek główny-pokój nauczycielski), ul. Obrońców Westerplatte 11, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"640";"680";"245";"395";"0";"3";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"11";"2";"9";"0";"384";"242";"142"
"1e4f-8c72-ad45-6d31-9085-68d1-90d0-dbe2";"220704";"67";"7";"miasto";"stały";"Sala gimnastyczna Szkoły Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"431";"446";"162";"269";"0";"1";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"4";"2";"2";"0";"265";"154";"111"
"ba26-a7c0-a900-a1cb-b972-3b77-15bb-fc62";"220704";"67";"8";"miasto";"stały";"Budynek Nauczania Początkowego przy Szkole Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"771";"835";"398";"373";"1";"1";"0";"0";"0";"0";"0";"0";"0";"373";"0";"0";"373";"8";"2";"6";"0";"365";"210";"155"
"8452-d1ad-61c3-4e06-8d33-8fc1-3f8b-e180";"220704";"67";"9";"miasto";"stały";"Hala Sportowa przy Szkole Podstawowej Nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"812";"872";"359";"453";"2";"3";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"21";"7";"14";"0";"432";"294";"138"
"fb04-c60d-23cf-7474-3cfe-b99e-3e7d-e927";"220704";"67";"10";"miasto";"stały";"Budynek Nauczania Początkowego przy Szkole Podstawowej nr 2 im. Obrońców Westerplatte w Prabutach, ul. Obrońców Westerplatte 11, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"830";"903";"338";"492";"0";"4";"0";"0";"0";"0";"0";"0";"0";"492";"0";"0";"492";"12";"4";"8";"0";"480";"295";"185"
"a0a3-eb9d-a9ab-d9ed-055d-085d-677d-f0b8";"220704";"67";"11";"wieś";"stały";"Szkoła Podstawowa w Obrzynowie, Obrzynowo 37, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"731";"797";"389";"342";"1";"6";"0";"0";"0";"0";"0";"0";"0";"342";"0";"0";"342";"13";"1";"12";"0";"329";"115";"214"
"6464-88a8-294a-ae4c-f8cd-15a3-6487-6af2";"220704";"67";"12";"wieś";"stały";"Szkoła Podstawowa im. Kresowian w Rodowie, Rodowo 14, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"501";"550";"209";"292";"1";"0";"0";"0";"0";"0";"0";"0";"0";"292";"0";"0";"292";"14";"1";"13";"0";"278";"122";"156"
"65a0-6113-d103-84da-79b8-5528-a15a-9930";"220704";"67";"13";"wieś";"stały";"Świetlica Wiejska w Sypanicy, Sypanica 36A, 82-550 Prabuty";"gm. Prabuty";"kwidzyński";"pomorskie";"521";"560";"267";"254";"0";"0";"0";"0";"0";"0";"0";"0";"0";"254";"0";"0";"254";"11";"0";"11";"0";"243";"125";"118"
